书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35641564/,https://img2.doubanio.com/view/subject/s/public/s34031041.jpg,一切境, ,7.8,1075人,庆山 / 人民文学出版社 / 2021-11-2 / 66.00,庆山（安妮宝贝）2021年全新散文集。《一切境》留下了庆山近几年生命活动的痕迹与标记。伴随作者数年的日常观察、旅行、阅读和思考，作三言两语的灵光一现的直觉式... ,庆山,庆山&散文&安妮宝贝&随笔&散文随笔&随笔集&治愈&中国文学,人民文学出版社
https://book.douban.com/subject/35493021/,https://img1.doubanio.com/view/subject/s/public/s33921907.jpg,心的千问, ,8.8,903人,庆山 / 天津人民出版社 / 2021-7-7 / 68,暂无,庆山,庆山&成长&随笔&安妮宝贝&杂文随笔&非虚构&随便看看&2021,天津人民出版社
https://book.douban.com/subject/30415612/,https://img9.doubanio.com/view/subject/s/public/s29967206.jpg,夏摩山谷, ,6.9,6898人,庆山 / 江苏凤凰文艺出版社 / 2019-1 / 58.00元,暂无,庆山,庆山&安妮宝贝&小说&2019&中国近现代文学&中国&严肃文学&华语,江苏凤凰文艺出版社
https://book.douban.com/subject/1029159/,https://img1.doubanio.com/view/subject/s/public/s1084388.jpg,八月未央, ,7.5,52160人,安妮宝贝 / 作家出版社 / 2001-1 / 16.00元,2000年出版的《八月未央》是安妮宝贝第一本小说散文集，其中虚构和纪实部分文字比例相当，执著于低调的清冷风格，诠释宿命和无常、爱情和死亡、告别和流浪，形成她... ,安妮宝贝,安妮宝贝&八月未央&小说&爱情&散文&青春&安妮&文学,作家出版社
https://book.douban.com/subject/1529893/,https://img1.doubanio.com/view/subject/s/public/s1513548.jpg,莲花, ,8.0,91486人,安妮宝贝 / 作家出版社 / 2006-3 / 25.00元,暂无,安妮宝贝,安妮宝贝&莲花&小说&墨脱&行走&西藏&文学&安妮,作家出版社
https://book.douban.com/subject/1063190/,https://img2.doubanio.com/view/subject/s/public/s3237601.jpg,蔷薇岛屿, ,8.0,32537人,安妮宝贝 / 作家出版社 / 2002-8 / 18.00元,《蔷薇岛屿》安妮宝贝的第四本书。内容为在上海、北京、香港、越南、柬埔寨一路旅途中拍摄的照片及写下的字，留下时光和幻觉的印记，是一本关于旅行、爱和生死的影像书... ,安妮宝贝,安妮宝贝&蔷薇岛屿&游记&行走&随笔&散文&安妮&小说,作家出版社
https://book.douban.com/subject/1016523/,https://img1.doubanio.com/view/subject/s/public/s1011128.jpg,告别薇安, ,7.5,41082人,安妮宝贝 / 中国社会科学出版社 / 2000-1 / 19.00,暂无,安妮宝贝,安妮宝贝&告别薇安&小说&爱情&安妮&网络文学&中国&文学,中国社会科学出版社
https://book.douban.com/subject/26785701/,https://img3.doubanio.com/view/subject/s/public/s28825570.jpg,月童度河, ,7.3,5811人,庆山 / 北京十月文艺出版社 / 2016-6-28 / 45.00,暂无,庆山,庆山&安妮宝贝&散文随笔&随笔&散文&成长&文学&好书，值得一读,北京十月文艺出版社
https://book.douban.com/subject/2256438/,https://img9.doubanio.com/view/subject/s/public/s2686185.jpg,素年锦时, ,7.8,56727人,安妮宝贝 / 作家出版社 / 2007-9 / 27.00元,暂无,安妮宝贝,安妮宝贝&素年锦时&随笔&散文&安妮&散文集&小说&文学,作家出版社
https://book.douban.com/subject/1058234/,https://img9.doubanio.com/view/subject/s/public/s1157535.jpg,二三事, ,7.7,37677人,安妮宝贝 / 南海出版公司 / 2004-1 / 20.00元,《二三事》讲述了一个关于遗忘和记得的故事。爱与恩慈。从欲望纠缠直到无爱的淡薄和甘心承担。对另一个人的付出和牺牲，试图获得对自我的救赎。生之繁华直至荒芜。书中... ,安妮宝贝,安妮宝贝&二三事&小说&安妮&爱情&颓废&文学&中国,南海出版公司
