书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1066462/,https://img3.doubanio.com/view/subject/s/public/s1557610.jpg,向左走·向右走, ,8.4,105197人,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,“她习惯向左走，他习惯向右走，他们始终不曾相遇。”《向左走·向右走》是几米首次表现男女感情的长篇图文创作。男女主角彼此在生活中的巧妙关系，构成了整个故事的设... ,幾米,几米&绘本&向左走向右走&幾米&漫画&爱情&台湾&繪本,生活·读书·新知三联书店
https://book.douban.com/subject/4237837/,https://img9.doubanio.com/view/subject/s/public/s4687105.jpg,月亮忘记了,The Moon Forgets,9.0,3010人,幾米 / 海豚出版社 / 2010-1 / 32.00元,《月亮忘记了》创作于1999年台湾9.21大地震前夕，在那样的时期，它曾经至于许多孤单的心。有如一车车微笑的月亮，运往每个哀伤的黑暗城市。但是，当城市外在的... ,幾米,绘本&幾米&几米&月亮忘记了&台湾&漫画&童话&爱,海豚出版社
https://book.douban.com/subject/10553760/,https://img9.doubanio.com/view/subject/s/public/s8988425.jpg,时光电影院, ,9.0,3494人,几米 / 海豚出版社 / 2012-4 / 45.00元,“爸爸，你为什么哭了？”“没事没事，只是因为这部电影的结局太感人了。”女孩的妈妈在她很小的时候就离开了，每次女孩哭着要找妈妈时，爸爸就会说：“走，我们去看电... ,几米,绘本&幾米&几米&台湾&人生&电影&梦想&漫画/绘本,海豚出版社
https://book.douban.com/subject/1056733/,https://img2.doubanio.com/view/subject/s/public/s1672971.jpg,地下铁, ,8.3,51449人,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元,暂无,幾米,几米&绘本&幾米&地下铁&漫画&台湾&繪本&童话,辽宁教育出版社
https://book.douban.com/subject/30284415/,https://img9.doubanio.com/view/subject/s/public/s29829515.jpg,不爱读书不是你的错, ,8.9,677人,幾米 / 九州出版社 / 2018-10 / 48.00,街上的书店渐渐没有人去注意它了，以往爱到书店里面晃荡的人们，越来越少出现了。热爱阅读的书店老板，让他的小孩召集以往爱在书店晃荡的朋友们一起讨论，到底大家还爱... ,幾米,绘本&幾米&几米&温暖&好书，值得一读&插画&手绘&阅读,九州出版社
https://book.douban.com/subject/3665874/,https://img2.doubanio.com/view/subject/s/public/s4150073.jpg,星空, ,9.0,20301人,幾米 / 大塊文化 / 2009-5-1 / NT369,《星空》以一种年龄的视角，描绘了一类无法和世界沟通的孩子 ，从对社会的恐慌、逃避到逐步认识自我的过程。《星空》的画面精彩、震撼、美轮美奂，是几米目前最辉煌的... ,幾米,幾米&绘本&几米&星空&成长&心灵&漫画&台湾,大塊文化
https://book.douban.com/subject/3822879/,https://img1.doubanio.com/view/subject/s/public/s4014259.jpg,躲进世界的角落, ,8.8,6947人,幾米 / 人民文学出版社 / 2009-7 / 45.00元,《躲进世界的角落》内容简介：我心里有一个小孩，每当她觉得与世界格格不入，她就躲进角落。角落里有歌等着她唱，谜等着她解，有回忆等着她凝视，有梦想如落叶一般等着... ,幾米,绘本&幾米&几米&台湾&漫画&繪本&臺灣,人民文学出版社
https://book.douban.com/subject/1367964/,https://img9.doubanio.com/view/subject/s/public/s4407674.jpg,布瓜的世界,Pourquoi,8.2,14297人,幾米 / 大塊文化出版股份有限公司 / 2002-9-30 / TWD 360,暂无,幾米,几米&绘本&幾米&布瓜的世界&漫画&台湾&繪本&台灣,大塊文化出版股份有限公司
https://book.douban.com/subject/1061367/,https://img9.doubanio.com/view/subject/s/public/s1047304.jpg,幸运儿, ,8.4,11877人,幾米 / 辽宁教育出版社 / 2003-04 / 36.00,暂无,幾米,绘本&几米&幾米&幸运儿&台湾&漫画&繪本&jimmy,辽宁教育出版社
https://book.douban.com/subject/1887754/,https://img2.doubanio.com/view/subject/s/public/s1830092.jpg,失乐园1,寂寞上场了,8.3,6210人,幾米 / 现代出版社 / 2006-10 / 26.00元,幾米在《失乐园》里创造了数十位小朋友，以各种独特的方式为受伤的心发声。这些角色中，有的害羞寂寞，有的世故早熟，有的遗失了童年，有的终日寻求不可知的答案……他... ,幾米,绘本&几米&幾米&失乐园&台湾&漫画&繪本&jimmy,现代出版社
https://book.douban.com/subject/1358413/,https://img1.doubanio.com/view/subject/s/public/s4407669.jpg,我只能為你畫一張小卡片,Love in the cards,8.5,18396人,幾米 / 大塊文化出版股份有限公司 / 2002-2-4 / TWD 350,暂无,幾米,几米&绘本&幾米&我只能為你畫一張小卡片&台湾&我只能为你画一张小卡片&漫画&繪本,大塊文化出版股份有限公司
https://book.douban.com/subject/1059937/,https://img9.doubanio.com/view/subject/s/public/s1046024.jpg,微笑的鱼, ,8.4,15075人,幾米 / 辽宁教育出版社 / 2004-7 / 20.00元,“我拥有一条像狗一样忠心，像猫一样贴心，像爱人一样深情的鱼。她始终带着微笑的表情……”几米绘出一个男子深泓如海一样的幽闭内心，这是献给全世界所有大人和孩子的... ,幾米,几米&绘本&幾米&微笑的鱼&台湾&漫画&繪本&童话,辽宁教育出版社
https://book.douban.com/subject/4117202/,https://img9.doubanio.com/view/subject/s/public/s4073096.jpg,遗失了一只猫, ,8.4,1617人,几米 / 现代出版社 / 2009-10-1 / 23.00元,遗失了一只猫，ISBN：9787802442856，作者：幾米 著 ,几米,绘本&幾米&几米&遗失了一只猫&漫画&台湾&猫&中国,现代出版社
https://book.douban.com/subject/26117896/,https://img9.doubanio.com/view/subject/s/public/s27621484.jpg,故事的开始, ,8.1,870人,幾米 / 海豚出版社 / 2014-10 / 42.00元,暂无,幾米,幾米&绘本&随笔&几米&传记&台湾&漫画&amp;绘本&人生,海豚出版社
https://book.douban.com/subject/3770707/,https://img1.doubanio.com/view/subject/s/public/s6046827.jpg,恋之风景, ,8.3,3189人,几米 / 现代出版社 / 2009-7-1 / 28.00元,意外发生之后，她受了伤，他却永远离开这个世界。和他在一起做过的许多梦，现在都不可能实现了。她经常带着泪水入梦，总是梦到同样的风景：他们俩人站在树下﹐幸福地等... ,几米,绘本&幾米&几米&台湾&漫画&暖心&繪本&成长,现代出版社
https://book.douban.com/subject/2364778/,https://img9.doubanio.com/view/subject/s/public/s2832695.jpg,幸运儿,Mr. Wing,8.8,2649人,几米 / 人民文学出版社 / 2007-11 / 36.00元,董事长从小就是个幸运儿，他什么都有，而且全都是最好的。许多人一辈子辛苦追寻的梦想，董事长全都轻易拥有。有一天，上苍又眷顾了他，赐给他神奇的礼物…… ,几米,绘本&幾米&几米&幸运儿&台湾&漫画&繪本&中国,人民文学出版社
