书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/3521168/,https://img9.doubanio.com/view/subject/s/public/s25948224.jpg,谢谢你离开我,张小娴最美的散文,7.0,8252人,张小娴 / 湖南文艺出版社 / 2013-4 / 30.00元,本书是张小娴的最新爱情散文。主题是离开，实际是透过离开讲女人的成长，告诉我们爱一个人只有两条路，给他自由，或是成为很棒的女人。无论单身与否，首先要有自己的独... ,张小娴,张小娴&谢谢你离开我&爱情&治愈系&散文&生活智慧&青春文学&非常精致的一本书,湖南文艺出版社
https://book.douban.com/subject/25831335/,https://img1.doubanio.com/view/subject/s/public/s27223578.jpg,我这辈子有过你, ,7.1,1522人,张小娴 / 湖南文艺出版社 / 2014-3-1 / 32.00,张小娴《我这辈子有过你》（曾用名《三个A Cup的女人》），讲述了三个始终在爱情里颠沛流离的女人，那么义无反顾地寻觅世间的温暖，那么死心眼儿地爱着她们的男人... ,张小娴,张小娴&爱情&小说&女性&青春&心灵&喜欢&随笔,湖南文艺出版社
https://book.douban.com/subject/3176771/,https://img2.doubanio.com/view/subject/s/public/s3223082.jpg,面包树上的女人, ,7.8,9025人,张小娴 / 北京十月文艺出版社 / 2008-08 / 25.00元,暂无,张小娴,张小娴&爱情&面包树上的女人&小说&香港&言情小说&言情&張小嫻,北京十月文艺出版社
https://book.douban.com/subject/1168973/,https://img2.doubanio.com/view/subject/s/public/s1123611.jpg,卖海豚的女孩, ,7.5,1648人,张小娴 / 天津人民出版社 / 2004-6 / 18.00元,她相信承诺，喜欢一切美好的东西，漂亮的衣服、美呋的食物、男人的诺言、她寻找幸福，然后发现，失望，人时候，也是一种幸福。 因为有所期待，才人失望。 遗憾，也是... ,张小娴,张小娴&小说&爱情&香港&言情&现代&文学&中国文学,天津人民出版社
https://book.douban.com/subject/35389690/,https://img3.doubanio.com/view/subject/s/public/s33857080.jpg,只要你够强大就好（张小娴全新作品）, ,6.6,38人,张小娴 / 湖南文艺出版社 / 2021-3-20 / 58.00,张小娴写给新时代女性的独立箴言。包含5个章节，《他是人间烟火，他是细水长流》《我们都是孤独症患者》《不要应酬这世界》《只要你够强大就好》《愿你能活得邋遢，也... ,张小娴,张小娴&散文&張小嫻&治愈&女性&随笔&好书，值得一读&女人,湖南文艺出版社
https://book.douban.com/subject/1045247/,https://img9.doubanio.com/view/subject/s/public/s1566164.jpg,面包树上的女人, ,7.7,24952人,张小娴 / 南海出版公司 / 2001-4 / 16.00元,暂无,张小娴,张小娴&面包树上的女人&爱情&小说&香港&言情&现代小说&中国文学,南海出版公司
https://book.douban.com/subject/30383623/,https://img3.doubanio.com/view/subject/s/public/s29927950.jpg,后来我学会了爱自己, ,6.1,205人,张小娴 / 湖南文艺出版社 / 2018-12-1 / 48.0,暂无,张小娴,张小娴&爱情&我想读这本书&散文随笔&成长&随笔&感情&好书，值得一读,湖南文艺出版社
https://book.douban.com/subject/10789640/,https://img1.doubanio.com/view/subject/s/public/s10307307.jpg,相逢,张小娴散文精选集01,7.3,460人,张小娴 / 北京十月文艺出版社 / 2012-6 / 25.00元,暂无,张小娴,张小娴&散文&爱情&散文集&随笔&散文随笔&香港&青春文学,北京十月文艺出版社
https://book.douban.com/subject/19967506/,https://img9.doubanio.com/view/subject/s/public/s24430186.jpg,小王子, ,8.8,1081人,[法国] 圣埃克苏佩里 / 张小娴 / 北京十月文艺出版社 / 2013-1 / 25.00元,"法国作家圣埃克苏佩里的《小王子》一九四三年出版,七十年来风靡世界,是全球印量仅次于圣经的经典文学作品。 张小娴是华语世界最受欢迎的爱情文学作家,其作品感人肺... ",圣埃克苏佩里,小王子&张小娴&童话&圣·埃克苏佩里&爱&外国文学&法国&法国文学,北京十月文艺出版社
https://book.douban.com/subject/3864469/,https://img9.doubanio.com/view/subject/s/public/s3885805.jpg,吸血盟2 ─ 花開魔幻地, ,7.1,401人,張小嫻 / 皇冠出版社 / 2009-07-22 / HK$68,暂无,張小嫻,张小娴&小说&魔幻&爱情&言情&張小嫻&奇幻&香港,皇冠出版社
https://book.douban.com/subject/35695898/,https://img2.doubanio.com/view/subject/s/public/s34064532.jpg,當你夠強大，才能活成自己喜歡的樣子, ,暂无,少于10人,張小嫻 / 皇冠 / 2021-8 / NT$360,暂无,張小嫻,张小娴,皇冠
https://book.douban.com/subject/1036958/,https://img2.doubanio.com/view/subject/s/public/s1153421.jpg,把天空还给你, ,7.8,1452人,张小娴 / 南海出版公司 / 2003-01 / 14.00,暂无,张小娴,张小娴&散文&爱情&随笔&香港&小说&中国文学&張小嫻,南海出版公司
https://book.douban.com/subject/25785761/,https://img2.doubanio.com/view/subject/s/public/s27168813.jpg,賣海豚的女孩,the dolphin girl,7.2,64人,皇冠出版社（香港）有限公司 / 2013-7 / HKD 80,暂无,皇冠出版社[香港]有限公司,张小娴&爱情&小说&中国文学&中国小说,皇冠出版社
https://book.douban.com/subject/26586120/,https://img1.doubanio.com/view/subject/s/public/s28269929.jpg,情人无泪,我们爱了整整一个曾经,7.0,232人,张小娴 / 湖南文艺出版社 / 35.00,暂无,张小娴,张小娴&爱情&小说&我想读这本书&青春&好书，值得一读&真心想读&想读,湖南文艺出版社
https://book.douban.com/subject/26613943/,https://img9.doubanio.com/view/subject/s/public/s28298156.jpg,卖海豚的女孩, ,6.4,79人,张小娴 / 人民文学出版社 / 2015-8 / 35.00元,暂无,张小娴,张小娴&爱情&小说&香港&言情&中国&文学&弃,人民文学出版社
https://book.douban.com/subject/1171873/,https://img9.doubanio.com/view/subject/s/public/s1125316.jpg,三个A Cup的女人, ,7.8,2228人,张小娴 / 天津人民出版社 / 2004-6-1 / 18.00元,《三个A Cup的女人(修订本)》是小说是一九九五年在《明报》连载的 ，一九九六年出版，现在看来，书里还有许多粗糙的寺方，那时我是个新手，技巧很拙劣。可是，... ,张小娴,张小娴&小说&爱情&香港&言情&文学&張小嫻&中国文学,天津人民出版社
https://book.douban.com/subject/25733074/,https://img2.doubanio.com/view/subject/s/public/s27094652.jpg,那年的梦想,Channel A 01,7.3,117人,张小娴 / 北京十月文艺出版社 / 2013-10 / 25,张小娴都市爱情经典Channel A系列共有五部，本书是其中的第一部。华灯初上，故事从电台女主播夏心桔的深夜节目“Channel A”开始，展现了都市里形形... ,张小娴,张小娴&爱情&小说&都市言情&言情&短篇小说&时光&香港,北京十月文艺出版社
https://book.douban.com/subject/34465426/,https://img2.doubanio.com/view/subject/s/public/s33323762.jpg,我微笑是因为你微笑, ,7.6,52人,张小娴 / 湖南文艺出版社 / 2019-7 / 48.00元,暂无,张小娴,张小娴&温暖&散文&小说&中国文学,湖南文艺出版社
https://book.douban.com/subject/1052378/,https://img2.doubanio.com/view/subject/s/public/s1916412.jpg,荷包里的单人床, ,7.8,4872人,张小娴 / 天津人民出版社 / 2004-07 / 15.00,世上最遥远的距离，不是生与死的距离，不是天各一方，而是我就站在你面前，你却不知道我爱你。 失望，有时候也是一种幸福，因为有所期待，所以才会失望，因为有爱，才... ,张小娴,张小娴&小说&荷包里的单人床&爱情&香港&言情&暗恋&張小嫻,天津人民出版社
https://book.douban.com/subject/25997403/,https://img9.doubanio.com/view/subject/s/public/s27498425.jpg,红颜露水,原谅我不曾为爱燃烧,6.4,970人,张小娴 / 北京联合出版公司 / 2014-10-1 / 32.80元,暂无,张小娴,张小娴&小说&爱情&女性&言情&好书，值得一读&治愈系&想读,北京联合出版公司
https://book.douban.com/subject/3099359/,https://img2.doubanio.com/view/subject/s/public/s3126663.jpg,拥抱, ,8.0,5346人,张小娴 / 北京十月文艺出版社 / 2008-3 / 25.00元,《拥抱》是我第二本散文精选的名字，因为这是我最喜欢的一种“运动”。有时候，我觉得自己像一只树熊，喜欢爬到情人身上，四肢牢牢地搂住他，头枕在他肩上，任凭他多么... ,张小娴,张小娴&散文&爱情&随笔&散文集&女性&香港&中国文学,北京十月文艺出版社
https://book.douban.com/subject/6392676/,https://img2.doubanio.com/view/subject/s/public/s6640862.jpg,我的爱如此麻辣, ,7.2,3071人,张小娴 / 北京十月文艺出版社 / 2011-5 / 22.00元,《我的爱如此麻辣》讲述了：夏如星是一个不知天高地厚、任性率真二十多岁女孩，父亲在香港铜锣湾经营一家坚持只卖白汤与红汤的传统麻辣火锅店，如星也在父亲的庇荫下无... ,张小娴,张小娴&小说&爱情&香港&台湾&当代文学&2011,北京十月文艺出版社
https://book.douban.com/subject/25663085/,https://img2.doubanio.com/view/subject/s/public/s27069822.jpg,你终将爱我, ,7.1,717人,张小娴 / 北京联合出版公司 / 2013-8-1 / CNY 28.00,暂无,张小娴,张小娴&爱情&小说&正能量&中国文学&青春言情&旅行文学,北京联合出版公司
https://book.douban.com/subject/19989621/,https://img3.doubanio.com/view/subject/s/public/s22793560.jpg,面包树上的女人,面包树三部曲之一,7.4,1988人,张小娴 / 北京十月文艺出版社 / 2012-10 / 28.00元,面包树三部小说是我用文字谱成的一首长歌，歌唱着灿烂的青春，为世间的相聚而唱，也为那样缠绕执拗的爱情而歌。唯愿这一曲永不落幕，就像我们拥有过的所有刻骨铭心的爱... ,张小娴,张小娴&爱情&小说&青春&成长&香港&言情&爱,北京十月文艺出版社
https://book.douban.com/subject/25747960/,https://img1.doubanio.com/view/subject/s/public/s27094668.jpg,魔法蛋糕店,Channel A 03,6.6,93人,张小娴 / 北京十月文艺出版社 / 2013-10 / 25,张小娴都市爱情经典Channel A系列共有五部，本书是第三部。故事依旧由电台女主播夏心桔的深夜节目“Channel A”展开，展现都市里形形色色的爱情与人... ,张小娴,张小娴&小说&香港&都市言情&爱情&2014&短篇小说&现当代文学,北京十月文艺出版社
