书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35081657/,https://img2.doubanio.com/view/subject/s/public/s33673422.jpg,顿悟的时刻, ,8.2,2997人,张悦然 / 北京联合出版公司 / 2020-6-1 / 46.80,暂无,张悦然,写作&文学&张悦然&思维&2020&电影&导演&未知,北京联合出版公司
https://book.douban.com/subject/1914572/,https://img9.doubanio.com/view/subject/s/public/s1914506.jpg,誓鸟, ,7.6,19467人,张悦然 / 光明日报出版社 / 2006-11 / 23.00元,在神奇的南洋历时700天，张悦然从历史遗迹中寻找一个断了线的故事，在亲历的大海啸中收到撞击，从一枚贝壳中得到神秘的谕示，从而诞生出这部瑰丽动人的长篇小说。在... ,张悦然,张悦然&誓鸟&小说&青春&80后&记忆&文学&中国,光明日报出版社
https://book.douban.com/subject/1018153/,https://img2.doubanio.com/view/subject/s/public/s9060522.jpg,水仙已乘鲤鱼去, ,7.8,31906人,张悦然 / 作家出版社 / 2005-1 / 19.00元,璟小时候奇胖，母亲常冷嘲她的丑陋。11岁，奶奶、父亲先后亡故，母亲曼改嫁开画廊的陆逸寒，住进桃李街3号。璟受到继父及其儿子小卓的关爱。然而因受精神刺激，罹患... ,张悦然,张悦然&水仙已乘鲤鱼去&小说&青春&80后&爱情&中国&现代小说,作家出版社
https://book.douban.com/subject/26821459/,https://img2.doubanio.com/view/subject/s/public/s28897671.jpg,茧, ,7.3,4093人,张悦然 / 人民文学出版社 / 2016-7 / 45.00元,《茧》是一部以80后一代人的视角直面祖辈、父辈恩怨纠葛的转折之作，通过一桩骇人罪案层层抽丝剥茧的漫长过程，将几代中国人的现实际遇与心灵困境展开在读者面前。某... ,张悦然,张悦然&小说&中国文学&长篇小说&文学&成长&中国&2016,人民文学出版社
https://book.douban.com/subject/27174273/,https://img2.doubanio.com/view/subject/s/public/s29582432.jpg,大乔小乔, ,6.5,245人,张悦然 / 作家出版社 / 2017-10-1 / CNY 38.00,暂无,张悦然,张悦然&计划生育&当代文学&小说&中篇小说&国内小说&中国文学&2018,作家出版社
https://book.douban.com/subject/1012802/,https://img9.doubanio.com/view/subject/s/public/s2452374.jpg,十爱, ,7.2,17237人,张悦然 / 作家出版社 / 2004-7 / 20.00元,《十爱》是继《樱桃之远》后的最新小说集，讲述“跳舞的人们都已长眠山下”、“吉诺的跳马”、“昼若夜房间”、“谁杀死了五月”等十个有关爱的故事。 ,张悦然,张悦然&十爱&小说&青春&80后&爱情&中国&小说集,作家出版社
https://book.douban.com/subject/1074841/,https://img1.doubanio.com/view/subject/s/public/s1068858.jpg,葵花走失在1890, ,7.5,13785人,张悦然 / 作家出版社 / 2003-6 / 19.00元,书中收录《毁》《这些那些》《桃花救赎》等16篇小说。作者生于八十年代，这些作品记录了敏感而忧伤的少年们的心理成长轨迹，透射出与这个年龄的心力极为相称的真实。... ,张悦然,张悦然&葵花走失在1890&小说&青春&80后&青春文学&中国&文学,作家出版社
https://book.douban.com/subject/30385318/,https://img1.doubanio.com/view/subject/s/public/s29929579.jpg,鲤·时间胶囊, ,7.8,302人,张悦然 / 九州出版社 / 2018-11 / 56.00,《鲤·时间胶囊》试图谈论那些正在影响我们、并将持续作用于我们的，我们心中未来的经典。从《2666》、《三体》、村上春树、纳博科夫等如何塑造着当下的写作，到梳... ,张悦然,鲤&文学&张悦然&杂志&中国&小说&短篇小说&文学评论,九州出版社
https://book.douban.com/subject/2149169/,https://img1.doubanio.com/view/subject/s/public/s8454218.jpg,水仙已乘鲤鱼去, ,8.1,3720人,张悦然 / 明天出版社 / 2007-6 / 21.00元,璟小时候奇胖，母亲常冷嘲她的丑陋。11岁，奶奶、父亲先后亡故，母亲曼改嫁开画廊的陆逸寒，住进桃李街3号。璟受到继父及其儿子小卓的关爱。然而因受精神刺激，罹患... ,张悦然,张悦然&水仙已乘鲤鱼去&小说&青春&80后&青春文学&文学&中国文学,明天出版社
https://book.douban.com/subject/30192883/,https://img2.doubanio.com/view/subject/s/public/s32279913.jpg,鲤·匿名作家, ,6.9,329人,张悦然 / 北京日报出版社 / 2018-4 / 55.00,★2018年，张悦然主编知名文学主题书《鲤》创办第十年，一次只忠诚于文本的大型文学实验：以《鲤·匿名作家》特辑，开启“蒙面唱将”式短篇小说竞赛——“匿名作家... ,张悦然,鲤&张悦然&杂志书&小说&文学&中国当代文学&短篇小说&中国文学,北京日报出版社
https://book.douban.com/subject/1006004/,https://img9.doubanio.com/view/subject/s/public/s1110226.jpg,樱桃之远, ,7.5,25782人,张悦然 / 春风文艺出版社 / 2004-01 / 23.00元,《樱桃之远》为张悦然的长篇处女作。小说讲述了两个息息相关的女孩从小到大，由敌为友，面对友谊、爱情、生存和死亡的心路历程，强调了人与人之间的爱，人与自然万物的... ,张悦然,张悦然&樱桃之远&小说&青春&80后&两生花&青春文学&忧伤,春风文艺出版社
https://book.douban.com/subject/2150989/,https://img1.doubanio.com/view/subject/s/public/s8876817.jpg,樱桃之远, ,7.8,2738人,张悦然 / 明天出版社 / 2007-6 / 19.80元,我的梦里总是有一片茂密的樱桃林。初夏时节，樱桃树上已经结满了一串一串殷红的樱桃。风吹起来的时候，像风铃一般地摇摆、波浪般的陈陈香气被推到更远的地方去…… ,张悦然,张悦然&樱桃之远&小说&青春&青春文学&80后&中国&文学,明天出版社
https://book.douban.com/subject/27107374/,https://img2.doubanio.com/view/subject/s/public/s29511213.jpg,鲤·猫知道一切, ,7.2,322人,张悦然 主编 / 北京十月文艺出版社 / 2017-8 / 45,暂无,张悦然 主编,猫&鲤&张悦然&杂志&我想读这本书&中国文学&2017&中国,北京十月文艺出版社
https://book.douban.com/subject/20450061/,https://img1.doubanio.com/view/subject/s/public/s24512909.jpg,鲤·与书私奔, ,7.3,1309人,张悦然 / 上海文艺出版社 / 2013-1 / 25.00元,暂无,张悦然,鲤&张悦然&杂志&中国文学&散文&文化随笔&Mook&周嘉宁,上海文艺出版社
https://book.douban.com/subject/5341137/,https://img2.doubanio.com/view/subject/s/public/s4516522.jpg,十爱, ,7.5,512人,张悦然 / 上海文艺出版社 / 2010-10 / 23.00元,爱是一种处决，在举行婚礼的那一天与鬼魂私奔，用父亲的血将苍白的嘴唇涂红，拆下身上的每一根骨头赠与爱人；或爱是一种幽禁，在沉船里，在跳马上，在永夜的房间里，在... ,张悦然,张悦然&小说&短篇小说&十爱&青春文学&中国&爱情&青春,上海文艺出版社
https://book.douban.com/subject/27124852/,https://img9.doubanio.com/view/subject/s/public/s29530636.jpg,我循着火光而来, ,7.2,2125人,张悦然 / 北京联合出版公司 / 2017-10 / 43.00,《我循着火光而来》是张悦然的全新中短篇小说集。九个故事，一群孤独男女，背负着难以言说的过往，执着寻找生命中的火光。这些人物纯真又世故，冷漠又热烈，敏感又坚韧... ,张悦然,张悦然&小说&当代文学&短篇&文学&中国&成长&短篇集,北京联合出版公司
https://book.douban.com/subject/3091349/,https://img1.doubanio.com/view/subject/s/public/s3194897.jpg,鲤·孤独, ,7.3,9170人,张悦然 主编 / 江苏文艺出版社 / 2008-6 / 25.00元,暂无,张悦然 主编,张悦然&鲤·孤独&鲤&青春&孤独&文学&杂志&周嘉宁,江苏文艺出版社
https://book.douban.com/subject/26220763/,https://img1.doubanio.com/view/subject/s/public/s27964767.jpg,鲤·不上班的理想生活, ,7.0,1037人,张悦然 主编 / 北京十月文艺出版社 / 2015-1 / 35.00元,工作是生活的全部还是谋生的手段？上班是对人生的绑架还是通往自由之路？在如今的年轻人眼中，“工作”或者说“上班”开始具备越来越复杂的含义：做什么工作，怎么样工... ,张悦然 主编,鲤&张悦然&杂志&MOOK&生活&随笔散文&随笔&文化,北京十月文艺出版社
https://book.douban.com/subject/1080812/,https://img9.doubanio.com/view/subject/s/public/s1161604.jpg,红鞋, ,7.1,9453人,张悦然 / 上海译文出版社 / 2004-07 / 18.00元,《红鞋》是一部精致的图文长篇小说，讲述的是一个杀手和一个女孩的故事，其中红鞋作为一个意象和依托贯穿全文始终，而且还有作者亲自设计的以红鞋为主题的诸多美妙妩媚... ,张悦然,张悦然&红鞋&小说&青春&80后&青春文学&中国&中国文学,上海译文出版社
https://book.douban.com/subject/5341141/,https://img2.doubanio.com/view/subject/s/public/s4516521.jpg,葵花走失在1890, ,7.4,630人,张悦然 / 上海文艺出版社 / 2010 / 23.00元,暂无,张悦然,张悦然&葵花走失在1890&小说&青春&短篇小说&80后&中国文学&短篇,上海文艺出版社
https://book.douban.com/subject/5912889/,https://img9.doubanio.com/view/subject/s/public/s4595634.jpg,鲤·来不及, ,7.6,2815人,张悦然 主编 / 上海文艺出版社 / 2011-1 / 25.00元,"2011年1月，鲤创办两年后,第十本主题书《鲤•来不及》上市。粗略地追溯一下，“80后”这一名词，大约诞生于2000年前后，从那个时候起，这一代人开始发出自... ",张悦然 主编,鲤&张悦然&杂志&青春&中国&2011&小说&Mook,上海文艺出版社
https://book.douban.com/subject/2149169/,https://img1.doubanio.com/view/subject/s/public/s8454218.jpg,水仙已乘鲤鱼去, ,8.1,3720人,张悦然 / 明天出版社 / 2007-6 / 21.00元,璟小时候奇胖，母亲常冷嘲她的丑陋。11岁，奶奶、父亲先后亡故，母亲曼改嫁开画廊的陆逸寒，住进桃李街3号。璟受到继父及其儿子小卓的关爱。然而因受精神刺激，罹患... ,张悦然,张悦然&水仙已乘鲤鱼去&小说&青春&80后&青春文学&文学&中国文学,明天出版社
https://book.douban.com/subject/2146035/,https://img9.doubanio.com/view/subject/s/public/s2597735.jpg,昼若夜房间, ,7.6,2276人,张悦然 / 明天出版社 / 2007-6 / 19.80元,《昼若夜房间》是张悦然的短篇小说集，共收录她的12篇作品，其中包括：《跳舞的人们都已长眠山下》、《吉诺的木马》、《二进制》、《昼若夜房间》、《鼻子上的珍妮花... ,张悦然,张悦然&小说&青春&短篇&80后&中国&文学&青春文学,明天出版社
https://book.douban.com/subject/11593284/,https://img3.doubanio.com/view/subject/s/public/s11183350.jpg,鲤·文艺青年, ,7.5,1753人,张悦然 / 上海文艺出版社 / 2012-8 / 25.00元,暂无,张悦然,鲤&张悦然&文艺青年&杂志&文艺&文学&中国文学&周嘉宁,上海文艺出版社
https://book.douban.com/subject/35081657/,https://img2.doubanio.com/view/subject/s/public/s33673422.jpg,顿悟的时刻, ,8.2,2997人,张悦然 / 北京联合出版公司 / 2020-6-1 / 46.80,暂无,张悦然,写作&文学&张悦然&思维&2020&电影&导演&未知,北京联合出版公司
https://book.douban.com/subject/6524117/,https://img9.doubanio.com/view/subject/s/public/s6514284.jpg,鲤·偶像, ,7.6,1651人,张悦然 / 上海文艺出版社 / 2011-6-1 / 25.00元,80年代人，是伴随着偶像成长起来的一代，从崔健到五月天，从四大天王到陈奕迅，从王小波到村上春树，从赖宁到韩寒，在成长过程中，在懵懂无知的时代，偶像带给我们的... ,张悦然,鲤&张悦然&杂志&偶像&周嘉宁&mook&国内文学,上海文艺出版社
https://book.douban.com/subject/2150989/,https://img1.doubanio.com/view/subject/s/public/s8876817.jpg,樱桃之远, ,7.8,2738人,张悦然 / 明天出版社 / 2007-6 / 19.80元,我的梦里总是有一片茂密的樱桃林。初夏时节，樱桃树上已经结满了一串一串殷红的樱桃。风吹起来的时候，像风铃一般地摇摆、波浪般的陈陈香气被推到更远的地方去…… ,张悦然,张悦然&樱桃之远&小说&青春&青春文学&80后&中国&文学,明天出版社
https://book.douban.com/subject/27124852/,https://img9.doubanio.com/view/subject/s/public/s29530636.jpg,我循着火光而来, ,7.2,2125人,张悦然 / 北京联合出版公司 / 2017-10 / 43.00,《我循着火光而来》是张悦然的全新中短篇小说集。九个故事，一群孤独男女，背负着难以言说的过往，执着寻找生命中的火光。这些人物纯真又世故，冷漠又热烈，敏感又坚韧... ,张悦然,张悦然&小说&当代文学&短篇&文学&中国&成长&短篇集,北京联合出版公司
