书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35031587/,https://img2.doubanio.com/view/subject/s/public/s33685372.jpg,绝叫, ,8.7,32891人,[日] 叶真中显 / 林佩瑾 / 北京联合出版公司 / 2020-7 / 58.00元,暂无,叶真中显,社会派&日本&推理&悬疑&日系推理&推理小说&犯罪&小说,北京联合出版公司
https://book.douban.com/subject/3259440/,https://img2.doubanio.com/view/subject/s/public/s4610502.jpg,白夜行, ,9.1,488369人,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,“只希望能手牵手在太阳下散步”，这个象征故事内核的绝望念想，有如一个美丽的幌子，随着无数凌乱、压抑、悲凉的故事片段像纪录片一样一一还原：没有痴痴相思，没有海... ,东野圭吾,东野圭吾&東野圭吾&推理&悬疑&日本&推理小说&人性&日本文学,南海出版公司
https://book.douban.com/subject/10554308/,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,白夜行, ,9.1,378435人,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,暂无,东野圭吾,东野圭吾&悬疑推理&日系推理&推理&日本文学&日本&模糊式爱情&小说,南海出版公司
https://book.douban.com/subject/3211779/,https://img9.doubanio.com/view/subject/s/public/s3254244.jpg,嫌疑人X的献身, ,8.9,474096人,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,暂无,东野圭吾,东野圭吾&推理&推理小说&悬疑&日本&東野圭吾&日本文学&小说,南海出版公司
https://book.douban.com/subject/26877752/,https://img9.doubanio.com/view/subject/s/public/s29069735.jpg,恶意, ,8.7,72071人,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11-1 / 39.50元,《恶意》是东野圭吾挑战写作极限的长篇杰作，与《白夜行》《嫌疑人X的献身》《解忧杂货店》并称东野圭吾四大杰作。《恶意》深刻揭示人性，故事中无边的恶意深不见底，... ,东野圭吾,东野圭吾&推理&悬疑&日本推理&日本&悬疑推理&日本文学&小说,南海出版公司
https://book.douban.com/subject/27170951/,https://img2.doubanio.com/view/subject/s/public/s33593231.jpg,生吞, ,8.0,39048人,郑执 / 浙江文艺出版社 / 2017-11 / 42.00元,暂无,郑执,悬疑&推理&小说&郑执&中国&中国文学&意犹未尽&悬疑文学新高度,浙江文艺出版社
https://book.douban.com/subject/21371175/,https://img2.doubanio.com/view/subject/s/public/s25814002.jpg,罗杰疑案,阿加莎·克里斯蒂侦探作品集02,9.2,41091人,[英] 阿加莎·克里斯蒂 / 常禾 / 新星出版社 / 2013-3 / 28.00元,暂无,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&推理小说&悬疑&侦探小说&波洛&英国&小说,新星出版社
https://book.douban.com/subject/25924253/,https://img2.doubanio.com/view/subject/s/public/s27676061.jpg,嫌疑人X的献身, ,9.0,84348人,[日]东野圭吾 / 刘子倩 / 南海出版公司 / 2014-6-1 / 35.00元,暂无,东野圭吾,东野圭吾&推理&悬疑&嫌疑人X的献身&日本&爱情&日系推理&日本文学,南海出版公司
https://book.douban.com/subject/24859822/,https://img9.doubanio.com/view/subject/s/public/s26849345.jpg,无人生还,阿加莎·克里斯蒂侦探作品集10,8.6,54199人,[英] 阿加莎·克里斯蒂 / 夏阳 / 新星出版社 / 2013-7 / 28.00元,暂无,阿加莎·克里斯蒂,阿加莎·克里斯蒂&悬疑&推理&推理小说&侦探小说&英国&小说&英国文学,新星出版社
https://book.douban.com/subject/30237176/,https://img2.doubanio.com/view/subject/s/public/s30008412.jpg,19年间谋杀小叙, ,8.1,22225人,那多 / 人民文学出版社 / 2018-7 / 59.00元,与谋杀者的通信，与生死彼岸的通信，与不可能的爱情的通信，与叵测命运的通信。通信串起十九年的时间，串起愤怒、悲伤、不甘和眷恋，也串起了一宗又一宗的谋杀事件。当... ,那多,悬疑&推理&推理小说&犯罪&人性&那多&小说&中国推理,人民文学出版社
https://book.douban.com/subject/34778574/,https://img9.doubanio.com/view/subject/s/public/s33451826.jpg,夏天、烟火和我的尸体, ,7.3,22651人,[日] 乙一 / 连子心 / 南海出版公司 / 2019-9 / 45.00,暂无,乙一,乙一&悬疑&人性&日本&日本文学&犯罪&日系推理&小说,南海出版公司
https://book.douban.com/subject/26923390/,https://img9.doubanio.com/view/subject/s/public/s29179365.jpg,长夜难明,紫金陈“推理之王”第3部,8.5,64021人,紫金陈 / 云南人民出版社 / 2017-1 / 42.00元,暂无,紫金陈,紫金陈&悬疑&推理&国产推理&推理小说&好书，值得一读&中国&小说,云南人民出版社
https://book.douban.com/subject/1040211/,https://img3.doubanio.com/view/subject/s/public/s1229240.jpg,福尔摩斯探案全集（上中下）, ,9.3,114511人,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,最经典的群众出版社的翻译版本，一经出版，立即风靡成千上万的中国人。离奇的情节，扣人的悬念，世界上最聪明的侦探，人间最诡秘的案情，福尔摩斯不但让罪犯无处藏身，... ,阿·柯南道尔,福尔摩斯&推理&侦探&柯南道尔&侦探小说&经典&悬疑&小说,群众出版社
https://book.douban.com/subject/35249388/,https://img1.doubanio.com/view/subject/s/public/s33776227.jpg,沉默的病人, ,7.8,19423人,[英]亚历克斯·麦克利兹 / 祁阿红 / 河南文艺出版社 / 2020-12-1 / 45.00,暂无,亚历克斯·麦克利兹,悬疑&心理悬疑&心理学&推理&亲密关系&烧脑&英国文学&英国,河南文艺出版社
