书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35031587/,https://img2.doubanio.com/view/subject/s/public/s33685372.jpg,绝叫, ,8.7,32856人,[日] 叶真中显 / 林佩瑾 / 北京联合出版公司 / 2020-7 / 58.00元,暂无,叶真中显,社会派&日本&推理&悬疑&日系推理&推理小说&犯罪&小说,北京联合出版公司
https://book.douban.com/subject/35094680/,https://img1.doubanio.com/view/subject/s/public/s33805848.jpg,桶川跟踪狂杀人事件, ,9.0,16332人,[日] 清水洁 / 王华懋 / 后浪丨四川人民出版社 / 2021-2 / 45.00元,暂无,清水洁,纪实&日本&非虚构&日本文学&推理小说&日系推理&推理&小说,后浪丨四川人民出版社
https://book.douban.com/subject/34996429/,https://img1.doubanio.com/view/subject/s/public/s34070178.jpg,消失的13级台阶, ,8.7,49168人,[日] 高野和明 / 赵建勋 / 上海文艺出版社 / 2020-5-15 / 42.00元,暂无,高野和明,推理&推理小说&日本&日本推理&江户川乱步奖&日系推理&高野和明&侦探推理,上海文艺出版社
https://book.douban.com/subject/35390390/,https://img1.doubanio.com/view/subject/s/public/s33880929.jpg,字母表谜案, ,7.7,24837人,大山诚一郎 / 曹逸冰 / 河南文艺出版社 / 2021-5 / 42.00元,一座神秘的公寓，不定期举行推理合战。红茶、曲奇，搭配寒意逼人的谜案，与案件相关的字母似乎是重要线索。一群特殊的房客，联手组成侦探团，秘密追踪警视厅也难以锁定... ,大山诚一郎,悬疑推理&推理小说&大山诚一郎&推理&日系推理&日本&小说&短篇集,河南文艺出版社
https://book.douban.com/subject/3259440/,https://img2.doubanio.com/view/subject/s/public/s4610502.jpg,白夜行, ,9.1,488343人,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,“只希望能手牵手在太阳下散步”，这个象征故事内核的绝望念想，有如一个美丽的幌子，随着无数凌乱、压抑、悲凉的故事片段像纪录片一样一一还原：没有痴痴相思，没有海... ,东野圭吾,东野圭吾&東野圭吾&推理&悬疑&日本&推理小说&人性&日本文学,南海出版公司
https://book.douban.com/subject/10554308/,https://img1.doubanio.com/view/subject/s/public/s24514468.jpg,白夜行, ,9.1,378411人,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,暂无,东野圭吾,东野圭吾&悬疑推理&日系推理&推理&日本文学&日本&模糊式爱情&小说,南海出版公司
https://book.douban.com/subject/3211779/,https://img9.doubanio.com/view/subject/s/public/s3254244.jpg,嫌疑人X的献身, ,8.9,474078人,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,暂无,东野圭吾,东野圭吾&推理&推理小说&悬疑&日本&東野圭吾&日本文学&小说,南海出版公司
https://book.douban.com/subject/26877752/,https://img9.doubanio.com/view/subject/s/public/s29069735.jpg,恶意, ,8.7,72058人,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2016-11-1 / 39.50元,《恶意》是东野圭吾挑战写作极限的长篇杰作，与《白夜行》《嫌疑人X的献身》《解忧杂货店》并称东野圭吾四大杰作。《恶意》深刻揭示人性，故事中无边的恶意深不见底，... ,东野圭吾,东野圭吾&推理&悬疑&日本推理&日本&悬疑推理&日本文学&小说,南海出版公司
https://book.douban.com/subject/21371175/,https://img2.doubanio.com/view/subject/s/public/s25814002.jpg,罗杰疑案,阿加莎·克里斯蒂侦探作品集02,9.2,41083人,[英] 阿加莎·克里斯蒂 / 常禾 / 新星出版社 / 2013-3 / 28.00元,暂无,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&推理小说&悬疑&侦探小说&波洛&英国&小说,新星出版社
https://book.douban.com/subject/35271451/,https://img9.doubanio.com/view/subject/s/public/s33771274.jpg,星之继承者, ,8.9,5468人,[英] 詹姆斯·P.霍根 / [加] 仇春卉 / 新星出版社 / 2021-4 / 58.00元,2027年，月球上发现一具五万年前的人类尸体。如果地球存在高科技史前文明，不可能没有任何遗迹；但若说他来自外星，则又违背进化论。同时，科研发现月球正面与背面... ,詹姆斯·P.霍根,科幻&科幻小说&推理&小说&英国&外国文学&2021&新星出版社,新星出版社
https://book.douban.com/subject/33658616/,https://img1.doubanio.com/view/subject/s/public/s33317677.jpg,克莱因壶, ,8.8,30550人,[日]冈岛二人 / 张舟 / 化学工业出版社 / 2019-9 / 48.00元,暂无,冈岛二人,科幻&科幻推理&推理&日本&冈岛二人&推理小说&日系推理&日本推理,化学工业出版社
https://book.douban.com/subject/25897884/,https://img3.doubanio.com/view/subject/s/public/s33699260.jpg,13 67,陳浩基作品2,9.1,12567人,陳浩基 / 皇冠文化出版有限公司 / 2014-6-9 / NT$350,暂无,陳浩基,推理&推理小说&陈浩基&香港&香港推理&犯罪&小说&国产推理,皇冠文化出版有限公司
https://book.douban.com/subject/25924253/,https://img2.doubanio.com/view/subject/s/public/s27676061.jpg,嫌疑人X的献身, ,9.0,84335人,[日]东野圭吾 / 刘子倩 / 南海出版公司 / 2014-6-1 / 35.00元,暂无,东野圭吾,东野圭吾&推理&悬疑&嫌疑人X的献身&日本&爱情&日系推理&日本文学,南海出版公司
https://book.douban.com/subject/25862578/,https://img2.doubanio.com/view/subject/s/public/s27264181.jpg,解忧杂货店, ,8.5,708152人,[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,暂无,东野圭吾,东野圭吾&治愈&温暖&小说&日本&日本文学&東野圭吾&推理,南海出版公司
https://book.douban.com/subject/1040211/,https://img3.doubanio.com/view/subject/s/public/s1229240.jpg,福尔摩斯探案全集（上中下）, ,9.3,114504人,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,最经典的群众出版社的翻译版本，一经出版，立即风靡成千上万的中国人。离奇的情节，扣人的悬念，世界上最聪明的侦探，人间最诡秘的案情，福尔摩斯不但让罪犯无处藏身，... ,阿·柯南道尔,福尔摩斯&推理&侦探&柯南道尔&侦探小说&经典&悬疑&小说,群众出版社
https://book.douban.com/subject/27170951/,https://img2.doubanio.com/view/subject/s/public/s33593231.jpg,生吞, ,8.0,39041人,郑执 / 浙江文艺出版社 / 2017-11 / 42.00元,暂无,郑执,悬疑&推理&小说&郑执&中国&中国文学&意犹未尽&悬疑文学新高度,浙江文艺出版社
https://book.douban.com/subject/26864984/,https://img9.doubanio.com/view/subject/s/public/s29860726.jpg,金色梦乡, ,8.9,38113人,[日] 伊坂幸太郎 / 代珂 / 南海出版公司 / 2016-11 / 49.50元,《金色梦乡》是日本知名作家伊坂幸太郎的代表作，获第5届日本书店大奖、第21届山本周五郎奖，日文版销量突破114万册，堺雅人、竹内结子主演同名电影。对于《金色... ,伊坂幸太郎,伊坂幸太郎&日本文学&日本&推理&小说&文学&人生必读&外国文学,南海出版公司
