书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35506988/,https://img1.doubanio.com/view/subject/s/public/s34000538.jpg,地狱星REMINA, ,7.6,1081人,[日] 伊藤润二 / 郑晓蕾 / 新星出版社 / 2021-10 / 45.00元,暂无,伊藤润二,伊藤润二&漫画&恐怖&日本&日本漫画&科幻&新星出版社&日漫,新星出版社
https://book.douban.com/subject/30473909/,https://img9.doubanio.com/view/subject/s/public/s33443865.jpg,OPUS 作品, ,9.1,11138人,[日] 今敏 / Mrs.X / 北京联合出版公司 / 2019-8 / 88.00元（上下册）,暂无,今敏,今敏&漫画&日本漫画&日本&艺术&日本文学&后浪&2019,北京联合出版公司
https://book.douban.com/subject/35561015/,https://img2.doubanio.com/view/subject/s/public/s34032893.jpg,一个故事的99种讲法, ,8.1,499人,[美] 马特·马登 / 黄远帆 / 湖南美术出版社 / 2021-11 / 56.00元,暂无,马特·马登,漫画&写作技巧&写作&叙事&故事&编剧&电影理论&美国,湖南美术出版社
https://book.douban.com/subject/35217362/,https://img9.doubanio.com/view/subject/s/public/s34037466.jpg,呐，妈妈（漫编室）, ,7.4,697人,池边葵 / 焦阳 / 新星出版社 / 2021-11 / 38.00元,暂无,池边葵,漫画&读库&日本漫画&日本&情感&妈妈&2021&日常,新星出版社
https://book.douban.com/subject/35217798/,https://img1.doubanio.com/view/subject/s/public/s33896258.jpg,梦晕, ,9.2,701人,[日]藤本理 / 烨伊 / 新星出版社 / 2021-5 / 88.00元,暂无,藤本理,漫画&日本&日本漫画&读库&小说&推理小说&推理&艺术,新星出版社
https://book.douban.com/subject/35533868/,https://img9.doubanio.com/view/subject/s/public/s33973825.jpg,ルックバツク,Look Back,9.3,1766人,藤本 タツキ / 集英社 / 2021-9-3 / 484円,暂无,藤本 タツキ,漫画&日本&日本漫画&短篇&日漫&2021&集英社&漫畫,集英社
https://book.douban.com/subject/35083619/,https://img9.doubanio.com/view/subject/s/public/s33682886.jpg,旋涡 （全2册）, ,9.2,4902人,[日] 伊藤润二 / 穆迪 / 新星出版社 / 2020-8 / 99.00元,暂无,伊藤润二,伊藤润二&漫画&恐怖&日本&日本漫画&惊悚&悬疑&日漫,新星出版社
https://book.douban.com/subject/35303527/,https://img3.doubanio.com/view/subject/s/public/s33787910.jpg,国王排名(01), ,8.8,854人,十日草輔 / 賴思宇 / 尖端出版社 / 2020-8-12 / NT$220,暂无,十日草輔,漫画&日本漫画&日本&绘本&日漫&2021&童话&台版,尖端出版社
https://book.douban.com/subject/26634871/,https://img9.doubanio.com/view/subject/s/public/s28309786.jpg,迷宮飯(01), ,9.2,1245人,九井諒子 / 望 / 青文出版社 / 2015-10-16 / NT$130,暂无,九井諒子,漫画&日本漫画&美食&日本&冒险&奇幻&2015,青文出版社
https://book.douban.com/subject/27047659/,https://img9.doubanio.com/view/subject/s/public/s29453584.jpg,FIRE PUNCH炎拳1, ,8.8,3860人,藤本樹 / 林家祥 / 東立出版社有限公司 / 2017-4-17 / NT$100,『冰之魔女』造成整個世界被冰封在冰雪之中，饑饉與瘋狂淹沒了全世界，受凍的人民們一心追求火炎──。 受再生能力所祝福的少年艾格尼與他的妹妹露娜， 這對無依無靠... ,藤本樹,漫画&日本漫画&日本&意识流&日漫&人生,東立出版社
https://book.douban.com/subject/35110160/,https://img1.doubanio.com/view/subject/s/public/s33763757.jpg,伊藤润二短篇精选集, ,8.8,2744人,[日] 伊藤润二 / 金静和 / 新星出版社 / 2020-11 / 98.00元,暂无,伊藤润二,伊藤润二&漫画&日本&恐怖&恐怖漫画&日本漫画&惊悚&新星出版社,新星出版社
