书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35160284/,https://img2.doubanio.com/view/subject/s/public/s33699402.jpg,某某, ,7.9,8676人,木苏里 / 江苏凤凰文艺出版社 / 2020-8 / 49.80元,暂无,木苏里,木苏里&校园&耽美&耽美小说&BL&小说&2020,江苏凤凰文艺出版社
https://book.douban.com/subject/30336340/,https://img1.doubanio.com/view/subject/s/public/s29889999.jpg,撒野, ,8.5,40992人,巫哲 / 北京联合出版公司 / 2018-10 / 45.00元,暂无,巫哲,救赎&耽美&青春&撒野&勇敢&巫哲&校园&真实,北京联合出版公司
https://book.douban.com/subject/34429608/,https://img2.doubanio.com/view/subject/s/public/s33296083.jpg,伪装学渣, ,6.4,11653人,木瓜黄 / 北京时代华文书局 / 2019-6 / 39.80元,小说讲述了分班后，两位风靡校园的“问题少年”不止分进一个班还成为同桌的故事。他们明明是学霸却要装学渣，浑身都是戏，考试要争倒数第一，表面上天天玩游戏，实际上... ,木瓜黄,谢俞&耽美&贺朝&校园&耽美小说&木瓜黄&大佬&BL,北京时代华文书局
https://book.douban.com/subject/35003287/,https://img2.doubanio.com/view/subject/s/public/s33600112.jpg,偏偏宠爱, ,6.2,3084人,藤萝为枝、悦读纪 / 青岛出版社 / 2020-4 / 59.8,暂无,藤萝为枝&悦读纪,校园&甜宠&言情&网络小说,青岛出版社
https://book.douban.com/subject/34454047/,https://img9.doubanio.com/view/subject/s/public/s33314525.jpg,白日梦我,（人气作者栖见高口碑备受期待之作！无所不能的桀骜校霸VS外刚内柔的,6.3,6093人,栖见 / 百花洲文艺出版社 / 2019-7 / 69.80元,暂无,栖见,校园&甜宠&甜文&青春言情&言情&治愈,百花洲文艺出版社
https://book.douban.com/subject/24754316/,https://img9.doubanio.com/view/subject/s/public/s26720726.jpg,最好的我们, ,8.7,65678人,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,暂无,八月长安,八月长安&青春&最好的我们&成长&校园&献给青春&小说&献给青春。,湖南文艺出版社
https://book.douban.com/subject/33423246/,https://img1.doubanio.com/view/subject/s/public/s32312089.jpg,暗格里的秘密, ,6.9,3559人,耳东兔子 / 百花洲文艺出版社 / 2019-5 / 59.80元,暂无,耳东兔子,校园&青春言情&成长&青春文学&小说&言情&现言,百花洲文艺出版社
https://book.douban.com/subject/26591331/,https://img1.doubanio.com/view/subject/s/public/s28295137.jpg,你好，旧时光,六周年珍藏版,8.5,13726人,八月长安 / 长江文艺出版社 / 2015-10 / 86,暂无,八月长安,八月长安&青春&校园&林杨周周呀&成长&小说&成长历程&喜欢,长江文艺出版社
https://book.douban.com/subject/35058847/,https://img2.doubanio.com/view/subject/s/public/s33914673.jpg,撒野 3,撒野完结篇,8.9,3682人,巫哲 / 江苏凤凰文艺出版社 / 2020-5-7 / 49.80元,暂无,巫哲,耽美&巫哲&青春&校园&成长&爱情&暖心&小说,江苏凤凰文艺出版社
https://book.douban.com/subject/35458364/,https://img9.doubanio.com/view/subject/s/public/s33914755.jpg,阿也, ,6.0,437人,引路星 / 长江出版社 / 2021-4 / 39.8,暂无,引路星,耽美&ABO&甜文&校园&纯爱&小说&晋江&腐女,长江出版社
https://book.douban.com/subject/35553135/,https://img9.doubanio.com/view/subject/s/public/s33965695.jpg,她的山，她的海, ,7.8,266人,扶华 / 江苏凤凰文艺出版社 / 2021-9 / 45.00元,女孩子像什么？女孩子像山一样沉稳厚重，女孩子像海一样辽阔美丽。两个身份性情各异的少女，相识相伴，她们共同成长，她是她的山，她是她的海。 ,扶华,百合&校园&治愈&恋爱&青春&小说&救赎&网文,江苏凤凰文艺出版社
https://book.douban.com/subject/30205673/,https://img1.doubanio.com/view/subject/s/public/s29753637.jpg,她的小梨窝, ,6.2,3655人,唧唧的猫 / 百花洲文艺出版社 / 2018-5 / 36.80元,暂无,唧唧的猫,校园&甜文&青春&初恋&爱情&小说&文学&好书，值得一读,百花洲文艺出版社
https://book.douban.com/subject/35097041/,https://img1.doubanio.com/view/subject/s/public/s33665209.jpg,等风轻抚你, ,6.0,1014人,唧唧的猫 / 青岛出版社 / 2020-6 / 59.8,暂无,唧唧的猫,青春&校园&小说&跟着光无所畏惧&希望,青岛出版社
https://book.douban.com/subject/3879301/,https://img1.doubanio.com/view/subject/s/public/s10320248.jpg,微微一笑很倾城, ,7.9,99500人,顾漫 / 江苏文艺出版社 / 2009-8 / 25.00,暂无,顾漫,顾漫&言情&小说&网游&青春&爱情&温馨&大神,江苏文艺出版社
https://book.douban.com/subject/1026425/,https://img2.doubanio.com/view/subject/s/public/s1024882.jpg,三重门, ,7.4,110702人,韩寒 / NONE、NONE / 作家出版社 / 2000-5 / 16.00,《三重门》是一部由一个少年写就，但却不能简单划入儿童文学的一般意义上的小说，它恰恰是以成熟、老练，甚至以老到见长的。17岁的韩寒注定要扮演不安分且引人注目的... ,韩寒,韩寒&三重门&小说&青春&80后&校园&青春小说&中国文学,作家出版社
https://book.douban.com/subject/34810988/,https://img2.doubanio.com/view/subject/s/public/s33467981.jpg,伪装学渣2, ,6.6,4002人,木瓜黄 / 北京时代华文书局 / 2019-9 / 39.80元,暂无,木瓜黄,耽美&校园&木瓜黄&甜文&贺朝&小说&腐女&学校,北京时代华文书局
https://book.douban.com/subject/27591951/,https://img1.doubanio.com/view/subject/s/public/s29621188.jpg,微微一笑很倾城, ,7.5,821人,顾漫 / 江苏凤凰文艺出版社 / 2017-6-1 / 29.80元,暂无,顾漫,顾漫&校园&爱情&言情&青春&网游&小说&网络小说,江苏凤凰文艺出版社
https://book.douban.com/subject/34939309/,https://img1.doubanio.com/view/subject/s/public/s33553537.jpg,我喜歡你的信息素 下, ,7.1,1023人,引路星 / 沒譜文化出版社 / 2020-2 / NTD 350,暂无,引路星,ABO&耽美&校园&原耽&BL&小说&中国,沒譜文化出版社
https://book.douban.com/subject/4818929/,https://img9.doubanio.com/view/subject/s/public/s4345304.jpg,夏至未至, ,7.6,20940人,郭敬明 / 长江文艺出版社 / 2010-4 / 26.80元,故事开始于一个虚构的城市浅川，一个深北方长满高大香樟的城市。几个年轻的人开始自己的高中生活，一切都似乎格外的平静和缓慢，带着夏日特有的让人昏昏欲睡的叙述情绪... ,郭敬明,郭敬明&青春&青春文学&1995-2005夏至未至&夏至未至&小说&校园&小四,长江文艺出版社
https://book.douban.com/subject/20504749/,https://img2.doubanio.com/view/subject/s/public/s29928192.jpg,那些回不去的年少时光（套装上下册）, ,8.5,2643人,桐华 / 湖南文艺出版社 / 2013-2-1 / 54.00元,暂无,桐华,桐华&青春&成长&那些回不去的年少时光&校园&青春文学&回忆&小说,湖南文艺出版社
https://book.douban.com/subject/34805210/,https://img1.doubanio.com/view/subject/s/public/s33466659.jpg,草莓印, ,6.8,1056人,不止是颗菜 / 百花洲文艺出版社 / 2019-8 / 68.00元,暂无,不止是颗菜,甜&校园&言情&高中&言情小说&小说&小言&中国,百花洲文艺出版社
https://book.douban.com/subject/34817562/,https://img2.doubanio.com/view/subject/s/public/s33472891.jpg,轻狂, ,7.2,1794人,巫哲 / 印刷工业出版社 / 2019-9-1 / 49.80元,暂无,巫哲,巫哲&耽美&青春&校园&成长&耽美小说&小说&勇敢,印刷工业出版社
https://book.douban.com/subject/7047148/,https://img9.doubanio.com/view/subject/s/public/s8926854.jpg,同级生, ,6.7,11057人,东野圭吾 / 王丽丽 / 南海出版公司 / 2012-3 / 28.00元,暂无,东野圭吾,东野圭吾&推理&日本&小说&東野圭吾&日本文学&推理小说&日系推理,南海出版公司
https://book.douban.com/subject/30489254/,https://img1.doubanio.com/view/subject/s/public/s30025609.jpg,他的小仙女（完结篇）, ,8.8,193人,磨磨 / 百花洲文艺出版社 / 2018-11-1 / 36.80元,暂无,磨磨,言情&校园&爱情,百花洲文艺出版社
https://book.douban.com/subject/1936204/,https://img9.doubanio.com/view/subject/s/public/s6796124.jpg,女生日记,幸福的小窝,8.5,3297人,杨红樱 / 作家出版社 / 2006-11 / 19.00元,《女生日记》以日记的形式，真实而生动地描绘了六年级女生冉冬阳从小女孩成长为少女的生理、心理微妙的变化。作者以生命意识关照生活，把女孩子渴望长大又害怕长大的矛... ,杨红樱,女生日记&杨红樱&儿童文学&校园&杨红樱小说&小说&童年&儿童,作家出版社
