书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/26867351/,https://img9.doubanio.com/view/subject/s/public/s29103585.jpg,朱颜, ,7.1,1538人,沧月 / 长江出版社 / 2016-9 / 35.00元,《朱颜》为千万级畅销书《镜》系列前传，讲述了空桑王朝赤之一族的郡主朱颜从逃婚事件伊始，她与身为九嶷山大神官的师父时影间的情感纠葛。空桑王朝的命运随着她命运的... ,沧月,沧月&小说&奇幻&云荒&镜&中国&国产&中国文学,长江出版社
https://book.douban.com/subject/26792696/,https://img2.doubanio.com/view/subject/s/public/s28719862.jpg,镜（全6册）,沧月出道15周年纪念珍藏版,8.5,1220人,沧月 / 北京联合出版公司 / 2016-5 / 249.80元,暂无,沧月,沧月&玄幻&小说&奇幻&云荒&青春文学&经典&镜,北京联合出版公司
https://book.douban.com/subject/1919201/,https://img1.doubanio.com/view/subject/s/public/s3007857.jpg,七夜雪, ,8.4,34062人,沧月 / 北京十月文艺出版社 / 2006-10 / 25.00元,鼎剑阁霍展白为救治昔日恋人之子沫儿的病，用七年的时间拼死取得了药王谷主人薛紫夜开给他的七味绝世药引，魔教大光明宫排位第一的神秘杀手瞳为了自己能杀死魔教教主获... ,沧月,沧月&武侠&七夜雪&小说&爱情&奇幻&武侠玄幻&沧月-《七夜雪》,北京十月文艺出版社
https://book.douban.com/subject/2382707/,https://img9.doubanio.com/view/subject/s/public/s2862225.jpg,镜·双城, ,8.6,8226人,沧月 / 天津人民出版社 / 2007-11 / 28.00元,暂无,沧月,沧月&奇幻&镜&小说&镜・双城&玄幻&云荒&武侠,天津人民出版社
https://book.douban.com/subject/35594035/,https://img1.doubanio.com/view/subject/s/public/s33992167.jpg,朱颜, ,6.5,64人,沧月 / 江苏凤凰文艺出版社 / 2021-9 / 78.00元,暂无,沧月,沧月&奇幻&仙侠&言情&古言&影视原著&我的想读书单,江苏凤凰文艺出版社
https://book.douban.com/subject/35638222/,https://img9.doubanio.com/view/subject/s/public/s34029815.jpg,朱颜·完结篇, ,7.6,21人,沧月 / 江苏凤凰文艺出版社 / 2021-10 / 78.00元,暂无,沧月,沧月&奇幻&言情&我的想读书单&影视原著,江苏凤凰文艺出版社
https://book.douban.com/subject/5908885/,https://img2.doubanio.com/view/subject/s/public/s4593301.jpg,听雪楼,血薇,8.1,1227人,沧月 / 北方妇女儿童出版社 / 2011-1 / 29.80元,暂无,沧月,沧月&武侠&听雪楼&小说&玄幻&古风&血薇&中国,北方妇女儿童出版社
https://book.douban.com/subject/26786168/,https://img2.doubanio.com/view/subject/s/public/s28719882.jpg,镜·双城,沧月出道15周年纪念珍藏版,7.8,286人,沧月 / 北京联合出版公司 / 2016-5 / 42.80元,暂无,沧月,沧月&玄幻&小说&镜&奇幻&云荒&武侠&青春文学,北京联合出版公司
https://book.douban.com/subject/2271450/,https://img1.doubanio.com/view/subject/s/public/s2763207.jpg,镜·神寂, ,8.6,10711人,沧月 / 天津人民出版社 / 2007-8 / 25.00元,暂无,沧月,沧月&镜&奇幻&小说&玄幻&云荒&武侠&苏摩,天津人民出版社
https://book.douban.com/subject/26786170/,https://img9.doubanio.com/view/subject/s/public/s28719895.jpg,镜·龙战,沧月出道15周年纪念珍藏版,7.9,171人,沧月 / 北京联合出版公司 / 2016-5 / 42.80元,暂无,沧月,沧月&玄幻&小说&青春文学&武侠&奇幻&读客&言情,北京联合出版公司
