书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35561015/,https://img2.doubanio.com/view/subject/s/public/s34032893.jpg,一个故事的99种讲法, ,8.1,489人,[美] 马特·马登 / 黄远帆 / 湖南美术出版社 / 2021-11 / 56.00元,暂无,马特·马登,漫画&写作技巧&写作&叙事&故事&编剧&电影理论&美国,湖南美术出版社
https://book.douban.com/subject/35319720/,https://img1.doubanio.com/view/subject/s/public/s33849778.jpg,美丽黑暗, ,8.7,3588人,[法] 法比安·韦尔曼  编、[法] 凯拉斯科多  绘 / 陈潇 / 后浪丨中国纺织出版社 / 2021-4 / 88.00元,暂无,法比安·韦尔曼  编&凯拉斯科多  绘,绘本&漫画&黑暗&法国&欧美漫画&后浪漫&艺术&后浪,后浪丨中国纺织出版社
https://book.douban.com/subject/35632117/,https://img9.doubanio.com/view/subject/s/public/s34076076.jpg,我能有什么坏心思呢, ,7.3,861人,乔舒亚·巴克曼（Joshua Barkman） / 朱一凡 / 四川文艺出版社 / 2021-11-1 / 59.80元,暂无,乔舒亚·巴克曼,绘本&漫画&幽默&动物&鸟类&社会学&科普&文学,四川文艺出版社
https://book.douban.com/subject/35088492/,https://img2.doubanio.com/view/subject/s/public/s33662063.jpg,生活蒙太奇, ,8.9,8851人,天然 / 湖南文艺出版社 / 2020-7 / 128.00元,《生活蒙太奇》是一部充满奇妙质感的绘本作品，每天都有无数年轻人转发或评论它的精彩画面或动图。#生活蒙太奇#在全球社交媒体上有超过1345万以上的话题阅读（包... ,天然,绘本&治愈&温暖&漫画&生活&美好&绘画&中国,湖南文艺出版社
https://book.douban.com/subject/35649768/,https://img9.doubanio.com/view/subject/s/public/s34031986.jpg,不可思议的人体, ,8.4,161人,[日] 茨木保 / 周岩蕾 / 后浪｜北京联合出版公司 / 2021-11 / 39.80元,暂无,茨木保,科普&医学&漫画&人体&日本&健康&后浪&生活,后浪｜北京联合出版公司
https://book.douban.com/subject/35641411/,https://img2.doubanio.com/view/subject/s/public/s34029303.jpg,抱住棒棒的自己, ,8.6,564人,徐慢慢心理话 / 浙江文艺出版社 / 2021-11 / 59.80,徐慢慢是一位36岁的心理咨询师，她有一个佛系的程序员老公老赵，活泼的9岁儿子小航。从2019年起，有上百万的读者在观看徐慢慢的故事，跟她一起接纳自己，松绑情... ,徐慢慢心理话,心理学&治愈系&漫画&成长&心理&心灵&绘本&社会学,浙江文艺出版社
https://book.douban.com/subject/35653880/,https://img1.doubanio.com/view/subject/s/public/s34060828.jpg,不抓住什么就会飞走的海豹君, ,7.5,191人,（日）菊池祐纪 / 毛丹青 / 接力出版社 / 2021-11 / 49.00元,暂无,菊池祐纪,治愈&暖心&漫画&童年&图书&日本&搞笑&绘本,接力出版社
https://book.douban.com/subject/35324197/,https://img2.doubanio.com/view/subject/s/public/s33822153.jpg,黑睡莲, ,9.0,1452人,［法］米歇尔•普西 原著、［法］弗雷德里克•杜瓦尔 改编、［法］迪迪埃•卡塞格兰 绘 / 章含秋 / 四川美术出版社 / 2021-4 / 108.00元,暂无,米歇尔•普西 原著&弗雷德里克•杜瓦尔 改编&迪迪埃•卡塞格兰 绘,漫画&绘本&悬疑&法国&欧美漫画&小说&文学&新经典,四川美术出版社
https://book.douban.com/subject/35506988/,https://img1.doubanio.com/view/subject/s/public/s34000538.jpg,地狱星REMINA, ,7.6,1066人,[日] 伊藤润二 / 郑晓蕾 / 新星出版社 / 2021-10 / 45.00元,暂无,伊藤润二,伊藤润二&漫画&恐怖&日本&日本漫画&科幻&新星出版社&日漫,新星出版社
https://book.douban.com/subject/35569015/,https://img2.doubanio.com/view/subject/s/public/s33979742.jpg,忍不住想打扰你,bibi动物园系列作品01,8.2,1521人,bibi园长 / 南海出版公司 / 2021-9-1 / 49,暂无,bibi园长,治愈&绘本&温暖&漫画&暖心&成长&2021&艺术,南海出版公司
https://book.douban.com/subject/35701255/,https://img2.doubanio.com/view/subject/s/public/s34068042.jpg,胖虎下山, ,8.2,1151人,不二马 / 北京联合出版公司 / 2021-12-27 / 88,暂无,不二马,绘本&漫画&治愈&画集&国漫&动物&中国&2022,北京联合出版公司
https://book.douban.com/subject/35519558/,https://img9.doubanio.com/view/subject/s/public/s33941284.jpg,看你一眼就会笑, ,8.0,1189人,丘汉林 / 湖南文艺出版社 / 2021-8 / 49.80,暂无,丘汉林,治愈&绘本&漫画&可爱&插画&手绘&脑洞&马来西亚,湖南文艺出版社
https://book.douban.com/subject/35533868/,https://img9.doubanio.com/view/subject/s/public/s33973825.jpg,ルックバツク,Look Back,9.3,1738人,藤本 タツキ / 集英社 / 2021-9-3 / 484円,暂无,藤本 タツキ,漫画&日本&日本漫画&短篇&日漫&2021&集英社&漫畫,集英社
https://book.douban.com/subject/35110160/,https://img1.doubanio.com/view/subject/s/public/s33763757.jpg,伊藤润二短篇精选集, ,8.8,2736人,[日] 伊藤润二 / 金静和 / 新星出版社 / 2020-11 / 98.00元,暂无,伊藤润二,伊藤润二&漫画&日本&恐怖&恐怖漫画&日本漫画&惊悚&新星出版社,新星出版社
https://book.douban.com/subject/4933140/,https://img3.doubanio.com/view/subject/s/public/s34061500.jpg,狂王 3, ,9.2,37人,郑健和 编、邓志辉 绘 / 四川美术出版社 / 2021-12-20 / 59,暂无,郑健和 编&邓志辉 绘,漫画&热血&新经典文化&战斗&新经典文库&奇幻&新经典&好书，值得一读,四川美术出版社
https://book.douban.com/subject/35217362/,https://img9.doubanio.com/view/subject/s/public/s34037466.jpg,呐，妈妈（漫编室）, ,7.4,692人,池边葵 / 焦阳 / 新星出版社 / 2021-11 / 38.00元,暂无,池边葵,漫画&读库&日本漫画&日本&情感&妈妈&2021&日常,新星出版社
https://book.douban.com/subject/35573635/,https://img2.doubanio.com/view/subject/s/public/s33976923.jpg,漫画百年党史•开天辟地, ,8.0,1005人,陈磊•混知团队  陈晋 / 浙江人民出版社 / 2021-9-1 / 49.8,本书为“漫画百年党史”丛书第一卷，通过手绘漫画的方式讲述党史故事：从中国共产党成立前中国社会的背景讲起，重点讲述中共一大、开辟井冈山革命根据地、长征、推动建... ,陈磊•混知团队  陈晋,党史&漫画&历史&中国&近现代史&二混子&漫画/绘本&微信读书,浙江人民出版社
