书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35049755/,https://img1.doubanio.com/view/subject/s/public/s33925108.jpg,索拉里斯星, ,8.7,11292人,[波] 斯坦尼斯瓦夫·莱姆 / 靖振忠 / 译林出版社 / 2021-8 / 49.00元,暂无,斯坦尼斯瓦夫·莱姆,科幻&科幻小说&科幻奇幻&波兰&波兰文学&小说&外国文学&文学,译林出版社
https://book.douban.com/subject/35494160/,https://img9.doubanio.com/view/subject/s/public/s33958826.jpg,挽救计划, ,9.1,2975人,[美] 安迪·威尔 / 耿辉 / 译林出版社 / 2021-9 / 68.00,暂无,安迪·威尔,科幻&科幻小说&安迪·威尔&小说&美国&美国文学&2021&虚构,译林出版社
https://book.douban.com/subject/2567698/,https://img1.doubanio.com/view/subject/s/public/s2768378.jpg,三体,“地球往事”三部曲之一,8.8,426761人,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的... ,刘慈欣,科幻&刘慈欣&三体&科幻小说&中国科幻&硬科幻&中国&小说,重庆出版社
https://book.douban.com/subject/35271451/,https://img9.doubanio.com/view/subject/s/public/s33771274.jpg,星之继承者, ,8.9,5475人,[英] 詹姆斯·P.霍根 / [加] 仇春卉 / 新星出版社 / 2021-4 / 58.00元,2027年，月球上发现一具五万年前的人类尸体。如果地球存在高科技史前文明，不可能没有任何遗迹；但若说他来自外星，则又违背进化论。同时，科研发现月球正面与背面... ,詹姆斯·P.霍根,科幻&科幻小说&推理&小说&英国&外国文学&2021&新星出版社,新星出版社
https://book.douban.com/subject/6518605/,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,三体全集,地球往事三部曲,9.4,122521人,刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元,三体三部曲 (《三体》《三体Ⅱ·黑暗森林》《三体Ⅲ·死神永生》) ，原名“地球往事三部曲”，是中国著名科幻作家刘慈欣的首个长篇系列，由科幻世界杂志社策划制作... ,刘慈欣,刘慈欣&科幻&中国科幻&三体&科幻小说&硬科幻&经典&小说,重庆出版社
https://book.douban.com/subject/35268281/,https://img9.doubanio.com/view/subject/s/public/s33925045.jpg,其主之声, ,9.0,1386人,[波] 斯坦尼斯瓦夫·莱姆 / 由美 / 译林出版社 / 2021-8 / 46.00元,暂无,斯坦尼斯瓦夫·莱姆,科幻&科幻小说&波兰&小说&外国文学&莱姆&文学&2021,译林出版社
https://book.douban.com/subject/26362836/,https://img3.doubanio.com/view/subject/s/public/s28050760.jpg,献给阿尔吉侬的花束, ,9.1,47982人,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,声称能改造智能的科学实验在白老鼠阿尔吉侬身上获得了突破性的进展，下一步急需进行人体实验。个性和善、学习态度积极的心智障碍者查理·高登成为最佳人选。手术成功后... ,丹尼尔·凯斯,人性&科幻&心理&科幻小说&小说&丹尼尔·凯斯&心理学&外国文学,广西师范大学出版社
https://book.douban.com/subject/35330057/,https://img9.doubanio.com/view/subject/s/public/s33925034.jpg,未来学大会, ,8.9,3474人,[波] 斯坦尼斯瓦夫·莱姆 / 许东华 / 译林出版社 / 2021-8 / 42.00元,暂无,斯坦尼斯瓦夫·莱姆,科幻&科幻小说&波兰&小说&波兰文学&莱姆&文学&译林出版社,译林出版社
https://book.douban.com/subject/35637266/,https://img1.doubanio.com/view/subject/s/public/s34025719.jpg,蚁群, ,8.0,1638人,汤问棘 / 上海社会科学院出版社 / 2021-11 / 42.00,2137年，501城。在女性主导的高度智能化社会，人类被无数设备监控和服务着，“社会管理系统”通过打分来评判人的价值。一个宣称要解放男性的组织SFH却反对这... ,汤问棘,女性主义&科幻&科幻小说&女权&小说&中国文学&哲学&百合,上海社会科学院出版社
https://book.douban.com/subject/33658616/,https://img1.doubanio.com/view/subject/s/public/s33317677.jpg,克莱因壶, ,8.8,30595人,[日]冈岛二人 / 张舟 / 化学工业出版社 / 2019-9 / 48.00元,暂无,冈岛二人,科幻&科幻推理&推理&日本&冈岛二人&推理小说&日系推理&日本推理,化学工业出版社
https://book.douban.com/subject/3066477/,https://img2.doubanio.com/view/subject/s/public/s3078482.jpg,三体Ⅱ,黑暗森林,9.3,253392人,刘慈欣 / 重庆出版社 / 2008-5 / 32.00,暂无,刘慈欣,刘慈欣&科幻&三体&黑暗森林&科幻小说&中国科幻&小说&中国,重庆出版社
