书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35049755/,https://img1.doubanio.com/view/subject/s/public/s33925108.jpg,索拉里斯星, ,8.7,11393人,[波] 斯坦尼斯瓦夫·莱姆 / 靖振忠 / 译林出版社 / 2021-8 / 49.00元,暂无,斯坦尼斯瓦夫·莱姆,科幻&科幻小说&科幻奇幻&波兰&波兰文学&小说&外国文学&文学,译林出版社
https://book.douban.com/subject/35494160/,https://img9.doubanio.com/view/subject/s/public/s33958826.jpg,挽救计划, ,9.1,3035人,[美] 安迪·威尔 / 耿辉 / 译林出版社 / 2021-9 / 68.00,暂无,安迪·威尔,科幻&科幻小说&安迪·威尔&小说&美国&美国文学&2021&虚构,译林出版社
https://book.douban.com/subject/6518605/,https://img9.doubanio.com/view/subject/s/public/s28357056.jpg,三体全集,地球往事三部曲,9.4,122727人,刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元,三体三部曲 (《三体》《三体Ⅱ·黑暗森林》《三体Ⅲ·死神永生》) ，原名“地球往事三部曲”，是中国著名科幻作家刘慈欣的首个长篇系列，由科幻世界杂志社策划制作... ,刘慈欣,刘慈欣&科幻&中国科幻&三体&科幻小说&硬科幻&经典&小说,重庆出版社
https://book.douban.com/subject/26362836/,https://img3.doubanio.com/view/subject/s/public/s28050760.jpg,献给阿尔吉侬的花束, ,9.1,48148人,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,声称能改造智能的科学实验在白老鼠阿尔吉侬身上获得了突破性的进展，下一步急需进行人体实验。个性和善、学习态度积极的心智障碍者查理·高登成为最佳人选。手术成功后... ,丹尼尔·凯斯,人性&科幻&心理&科幻小说&小说&丹尼尔·凯斯&心理学&外国文学,广西师范大学出版社
https://book.douban.com/subject/2567698/,https://img1.doubanio.com/view/subject/s/public/s2768378.jpg,三体,“地球往事”三部曲之一,8.8,426962人,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的... ,刘慈欣,科幻&刘慈欣&三体&科幻小说&中国科幻&硬科幻&中国&小说,重庆出版社
https://book.douban.com/subject/35268281/,https://img9.doubanio.com/view/subject/s/public/s33925045.jpg,其主之声, ,9.0,1412人,[波] 斯坦尼斯瓦夫·莱姆 / 由美 / 译林出版社 / 2021-8 / 46.00元,暂无,斯坦尼斯瓦夫·莱姆,科幻&科幻小说&波兰&小说&外国文学&莱姆&文学&2021,译林出版社
https://book.douban.com/subject/35271451/,https://img9.doubanio.com/view/subject/s/public/s33771274.jpg,星之继承者, ,8.9,5493人,[英] 詹姆斯·P.霍根 / [加] 仇春卉 / 新星出版社 / 2021-4 / 58.00元,2027年，月球上发现一具五万年前的人类尸体。如果地球存在高科技史前文明，不可能没有任何遗迹；但若说他来自外星，则又违背进化论。同时，科研发现月球正面与背面... ,詹姆斯·P.霍根,科幻&科幻小说&推理&小说&英国&外国文学&2021&新星出版社,新星出版社
https://book.douban.com/subject/35637266/,https://img1.doubanio.com/view/subject/s/public/s34025719.jpg,蚁群, ,8.0,1660人,汤问棘 / 上海社会科学院出版社 / 2021-11 / 42.00,2137年，501城。在女性主导的高度智能化社会，人类被无数设备监控和服务着，“社会管理系统”通过打分来评判人的价值。一个宣称要解放男性的组织SFH却反对这... ,汤问棘,女性主义&科幻&科幻小说&女权&小说&中国文学&哲学&百合,上海社会科学院出版社
https://book.douban.com/subject/35330057/,https://img9.doubanio.com/view/subject/s/public/s33925034.jpg,未来学大会, ,8.9,3500人,[波] 斯坦尼斯瓦夫·莱姆 / 许东华 / 译林出版社 / 2021-8 / 42.00元,暂无,斯坦尼斯瓦夫·莱姆,科幻&科幻小说&波兰&小说&波兰文学&莱姆&文学&译林出版社,译林出版社
https://book.douban.com/subject/5363767/,https://img9.doubanio.com/view/subject/s/public/s26012674.jpg,三体Ⅲ,死神永生,9.2,241743人,刘慈欣 / 重庆出版社 / 2010-11 / 38.00元,与三体文明的战争使人类第一次看到了宇宙黑暗的真相，地球文明像一个恐惧的孩子，熄灭了寻友的篝火，在暗夜中发抖。自以为历经沧桑，其实刚刚蹒跚学步；自以为悟出了生... ,刘慈欣,刘慈欣&科幻&三体&中国科幻&科幻小说&硬科幻&小说&中国,重庆出版社
https://book.douban.com/subject/3066477/,https://img2.doubanio.com/view/subject/s/public/s3078482.jpg,三体Ⅱ,黑暗森林,9.3,253531人,刘慈欣 / 重庆出版社 / 2008-5 / 32.00,暂无,刘慈欣,刘慈欣&科幻&三体&黑暗森林&科幻小说&中国科幻&小说&中国,重庆出版社
https://book.douban.com/subject/25829693/,https://img3.doubanio.com/view/subject/s/public/s29555070.jpg,永恒的终结,关于时间旅行的终极奥秘和恢宏构想,9.0,34566人,[美] 艾萨克·阿西莫夫 / 崔正男 / 江苏凤凰文艺出版社 / 2014-9 / 32.00元,24世纪，人类发明了时间力场。27世纪，人类在掌握时间旅行技术后，成立了一个叫做永恒时空（Eternity）的组织，在每个时代的背后，默默地守护着人类社会的... ,艾萨克·阿西莫夫,科幻&阿西莫夫&时间旅行&科幻小说&小说&艾萨克·阿西莫夫&美国&外国文学,江苏凤凰文艺出版社
https://book.douban.com/subject/26295448/,https://img9.doubanio.com/view/subject/s/public/s28033064.jpg,你一生的故事,特德·姜科幻小说集,8.7,29484人,[美] 特德·姜 / 李克勤、王荣生、Bruceyew / 译林出版社 / 2015-5 / 36.00元,暂无,特德·姜,科幻&科幻小说&特德·姜&小说&美国&哲学&外国文学&美国文学,译林出版社
https://book.douban.com/subject/27097409/,https://img1.doubanio.com/view/subject/s/public/s29804168.jpg,雪崩, ,8.1,1133人,[美] 尼尔·斯蒂芬森 / 郭泽 / 四川科学技术出版社 / 2018-7 / 72.00元,中央情报局成了中央情报公司，国会图书馆成了中央情报公司数据库；至于国会，没几个人知道它是什么玩意儿。美国的大地上到处是特许邦国，也就是特许经营组织准国家实体... ,尼尔·斯蒂芬森,科幻&赛博朋克&科幻小说&小说&美国&世界科幻大师丛书&美国文学&外国文学,四川科学技术出版社
https://book.douban.com/subject/27041533/,https://img9.doubanio.com/view/subject/s/public/s29578434.jpg,仿生人会梦见电子羊吗？, ,8.7,15029人,[美] 菲利普·迪克 / 许东华 / 译林出版社 / 2017-10 / 39.80,“科幻鬼才”菲利普•迪克成长于西方科技文明创造出的崭新辉煌的时代。彼时，人类进入了太空，登上了月球，成功制造出第一台工业用机器人……科技的蓬勃发展也催生出主... ,菲利普·迪克,科幻&科幻小说&菲利普·迪克&人工智能&小说&美国&PKD&美国文学,译林出版社
https://book.douban.com/subject/35579302/,https://img9.doubanio.com/view/subject/s/public/s34021255.jpg,星星是冰冷的玩具, ,8.5,312人,[俄] 谢尔盖·卢基扬年科 / 肖楚舟 / 新星出版社 / 2021-10-30 / 118,暂无,谢尔盖·卢基扬年科,科幻&科幻小说&俄罗斯&小说&俄苏文学&外国文学&俄国文学&新星出版社,新星出版社
https://book.douban.com/subject/26836970/,https://img9.doubanio.com/view/subject/s/public/s29245314.jpg,沙丘, ,7.7,13510人,[美] 弗兰克·赫伯特 / 潘振华 / 江苏凤凰文艺出版社 / 2017-2-1 / 68.00元,暂无,弗兰克·赫伯特,科幻&科幻小说&弗兰克·赫伯特&科幻经典&沙丘系列&小说&美国&外国文学,江苏凤凰文艺出版社
https://book.douban.com/subject/35434654/,https://img2.doubanio.com/view/subject/s/public/s33934371.jpg,齐马蓝, ,7.9,1407人,[英] 阿拉斯泰尔·雷诺兹 / 陈楸帆、刘慧颖 / 湖南文艺出版社 / 2021-7 / 68.00元,2019年，Netfilx 播出 大卫·芬奇 监制剧集《爱，死亡和机器人》。天马行空的想象力、不拘一格的表现形式、深邃厚重的思想内涵征服了整个二次元世界，《... ,阿拉斯泰尔·雷诺兹,科幻&科幻小说&短篇小说&外国文学&小说&英国&英国文学&文学,湖南文艺出版社
