书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/26853361/,https://img9.doubanio.com/view/subject/s/public/s33565366.jpg,夜旅人, ,8.4,7707人,赵熙之 / 百花洲文艺出版社 / 2016-9 / 32.80元,暂无,赵熙之,民国&穿越&言情&小说&爱情&晋江&网络小说&医生,百花洲文艺出版社
https://book.douban.com/subject/35252833/,https://img9.doubanio.com/view/subject/s/public/s33757165.jpg,黑莲花攻略手册, ,7.2,3038人,白羽摘雕弓 / 青岛出版社 / 2020-11 / 69.8,暂无,白羽摘雕弓,古言&言情&穿越&治愈&晋江&魔幻&成长&网络,青岛出版社
https://book.douban.com/subject/35285918/,https://img2.doubanio.com/view/subject/s/public/s33777151.jpg,大奉打更人, ,7.3,1296人,卖报小郎君 / 追梦人出版社、中国文学艺术出版社 / 2020-11-1 / 87,暂无,卖报小郎君,网络小说&架空历史&穿越&小说&中国&2021&推理,追梦人出版社
https://book.douban.com/subject/4152754/,https://img2.doubanio.com/view/subject/s/public/s4123451.jpg,时生,东野圭吾作品08,7.6,49282人,[日]东野圭吾 / 徐建雄 / 南海出版公司 / 2010-1 / 25.00,《时生》为东野圭吾迄今风格最独特的一部，以惊天动地的想象和鬼斧神工的解谜，将幻想、悬疑、穿越、推理、亲情熔为一炉，东野圭吾更称其为迄今“集大成之作”，在东野... ,东野圭吾,东野圭吾&日本&推理&東野圭吾&亲情&小说&日本文学&时生,南海出版公司
https://book.douban.com/subject/3155622/,https://img9.doubanio.com/view/subject/s/public/s3207456.jpg,庆余年·壹,天下权臣宝典,8.0,18220人,猫腻 / 中国友谊出版公司 / 2008-7 / 28.00元,一个年轻的病人，因为一次毫不意外的经历，重生到一个完全不同的世界，成为古代庆国伯爵府一个并不光彩的私生子。修行无名功诀，踏足京都官场，继承庞大商团……范闲，... ,猫腻,穿越&猫腻&庆余年&小说&网络小说&架空历史&玄幻&武侠,中国友谊出版公司
https://book.douban.com/subject/31086991/,https://img9.doubanio.com/view/subject/s/public/s30146894.jpg,临高启明, ,9.2,517人,吹牛者 / 布衣书局.帝国出版社,《临高启明》是起点群体历史穿越小说的一件精品。本书原来是音速论坛（后改名为上班族论坛）的一场讨论——如果群体穿越，哪里最适合作为穿越者的基地？本书衍生于陆双... ,吹牛者,架空历史&穿越&小说&中国文学,布衣书局.帝国出版社
https://book.douban.com/subject/27075479/,https://img2.doubanio.com/view/subject/s/public/s33653541.jpg,人渣反派自救系統 上, ,7.2,7405人,墨香銅臭 / 平心工作室 / 2017-7-24 / NTD 330,暂无,墨香銅臭,墨香铜臭&耽美&耽美小说&古风&仙侠&穿越&重生&搞笑,平心工作室
https://book.douban.com/subject/3244068/,https://img3.doubanio.com/view/subject/s/public/s3304890.jpg,庆余年·陆, ,8.2,7225人,猫腻 / 中国友谊出版公司 / 2008-10 / 29.80元,一个年轻的病人，因为一次毫不意外的经历，重生到一个完全不同的世界，成为古代庆国伯爵府一个并不光彩的私生子。修行无名功诀，踏足京都官场，继承庞大商团……范闲，... ,猫腻,穿越&猫腻&庆余年&网络小说&小说&架空历史&玄幻&中国,中国友谊出版公司
https://book.douban.com/subject/35593509/,https://img3.doubanio.com/view/subject/s/public/s33991590.jpg,挑战古人100天, ,7.9,390人,云葭 / 有风丨北京联合出版公司 / 2021-9 / 72. 00元,暂无,云葭,历史&文化&有趣&中国历史&生活&穿越&社会&随笔,有风丨北京联合出版公司
https://book.douban.com/subject/35383720/,https://img9.doubanio.com/view/subject/s/public/s33853855.jpg,晚明, ,9.2,274人,柯山梦 / 2012-8,暂无,柯山梦,历史&明朝&穿越&网络小说&小说&中国&军事&中国文学, 
https://book.douban.com/subject/6790474/,https://img2.doubanio.com/view/subject/s/public/s24518871.jpg,别拿穿越不当工作（全三册）, ,8.3,1103人,楼笙笙 / 万卷出版公司 / 2011-6-1 / 72.00元,暂无,楼笙笙,穿越&小说&网络小说&历史&奇幻&中国,万卷出版公司
https://book.douban.com/subject/35005782/,https://img9.doubanio.com/view/subject/s/public/s33601934.jpg,献鱼, ,7.3,1384人,扶华 / 青岛出版社 / 2020-4-2 / 59.8,“多年前，我在三圣山见过司马焦一次。那时他尚且年幼，就显露出了非比寻常的心智与悟性。我当时为他取了‘慈藏’作为道号，便是希望他对生灵有慈心，能将杀心归藏。我... ,扶华,言情&穿越&小说&玄幻&古言&古代,青岛出版社
https://book.douban.com/subject/1812439/,https://img9.doubanio.com/view/subject/s/public/s1681146.jpg,步步惊心, ,8.1,55519人,桐华 / 民族出版社 / 2006-6 / 25.00元,一脚踏空的少女，穿越千年的时空，从繁华都市的深圳来到风云诡变的宫廷。正处于争位时候的阿哥们，款款深情的目光后，带着探究、带着诱惑也带着几分真真假假的心疼。她... ,桐华,桐华&穿越&步步惊心&言情&小说&清宫穿越小说&清穿&网络小说,民族出版社
https://book.douban.com/subject/3244065/,https://img1.doubanio.com/view/subject/s/public/s3304888.jpg,庆余年·伍, ,8.3,6395人,猫腻 / 中国友谊出版公司 / 2008-10 / 28.00元,一个年轻的病人，因为一次毫不意外的经历，重生到一个完全不同的世界，成为古代庆国伯爵府一个并不光彩的私生子。修行无名功诀，踏足京都官场，继承庞大商团……范闲，... ,猫腻,穿越&猫腻&小说&网络小说&庆余年&架空历史&中国&玄幻,中国友谊出版公司
