书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/33424453/,https://img9.doubanio.com/view/subject/s/public/s33619186.jpg,诡秘之主, ,8.6,6477人,爱潜水的乌贼 / 江苏凤凰文艺出版社 / 36.80元,暂无,爱潜水的乌贼,克苏鲁&蒸汽朋克&网络小说&奇幻&魔幻&◆小説,江苏凤凰文艺出版社
https://book.douban.com/subject/25714176/,https://img2.doubanio.com/view/subject/s/public/s27142913.jpg,雪中悍刀行 1,西北有雏凤,7.4,8889人,烽火戏诸侯 / 江苏文艺出版社 / 2013-9-1 / 25.00元,道门真人飞天入地，千里取人首级；佛家菩萨低眉怒目，抬手可撼昆仑；谁又言书生无意气，一怒敢叫天子露戚容。踏江踏湖踏歌，我有一剑仙人跪；提刀提剑提酒，三十万铁骑... ,烽火戏诸侯,烽火戏诸侯&武侠&.好书，很值得一看。&雪中悍刀行，你值得拥有&达到了我对武侠江湖的那个感觉~人物特点脱出。文笔好。。希望烽火&小说&新武侠&玄幻,江苏文艺出版社
https://book.douban.com/subject/35285918/,https://img2.doubanio.com/view/subject/s/public/s33777151.jpg,大奉打更人, ,7.3,1280人,卖报小郎君 / 追梦人出版社、中国文学艺术出版社 / 2020-11-1 / 87,暂无,卖报小郎君,网络小说&架空历史&穿越&小说&中国&2021&推理,追梦人出版社
https://book.douban.com/subject/6953273/,https://img1.doubanio.com/view/subject/s/public/s29937988.jpg,盗墓笔记, ,8.5,43022人,南派三叔 / 上海文化出版社 / 2011-9 / 295.20,暂无,南派三叔,南派三叔&盗墓笔记&盗墓&悬疑&小说&探险&张起灵&盗墓小说,上海文化出版社
https://book.douban.com/subject/35296868/,https://img9.doubanio.com/view/subject/s/public/s33792854.jpg,难哄, ,7.2,4616人,竹已 / 江苏凤凰文艺出版社 / 2020-12 / 48.00元,暂无,竹已,言情&治愈&爱情&小说&网络小说&搞笑&中国&2020,江苏凤凰文艺出版社
https://book.douban.com/subject/35050945/,https://img2.doubanio.com/view/subject/s/public/s33659092.jpg,宫墙柳, ,7.2,4341人,梦娃 / 江苏凤凰文艺出版社 / 2020-5-1 / 45元,★为什么后宫中嫔妃们一定要争宠？2019年度爆火红文，25万收藏，23万赞同，红遍知乎、B站的虐心古言！无数读者流泪推荐，这是一本你绝没有看过的‘宫斗’小说... ,梦娃,古言&意难平&小说&言情&网络小说&古代&情感&中国,江苏凤凰文艺出版社
https://book.douban.com/subject/26680113/,https://img9.doubanio.com/view/subject/s/public/s28357474.jpg,那个不为人知的故事, ,8.5,20438人,twentine / 江苏文艺出版社 / 2015-12 / 32.00元,暂无,twentine,Twentine&言情&小说&爱情&现代&twentine&现言&青春文学,江苏文艺出版社
https://book.douban.com/subject/4192766/,https://img1.doubanio.com/view/subject/s/public/s4126779.jpg,凡人修仙传（1-10）, ,7.4,5138人,忘语 / 太白文艺出版社 / 2010-01 / 280.00元（全10册）,暂无,忘语,网络小说&玄幻&仙侠&修仙&小说&网络文学&打发时间,太白文艺出版社
https://book.douban.com/subject/35286297/,https://img9.doubanio.com/view/subject/s/public/s33907616.jpg,开端, ,6.7,3237人,祈祷君、悦读纪 / 青岛出版社 / 2021-5 / 49.80元,暂无,祈祷君&悦读纪,小说&无限流&悬疑&中国&晋江&网文&网络小说&2021,青岛出版社
https://book.douban.com/subject/3705820/,https://img2.doubanio.com/view/subject/s/public/s6847563.jpg,斗罗大陆（全14卷）, ,7.0,16863人,唐家三少 / 太白文艺出版社 / 2009-7 / 364.00元,暂无,唐家三少,唐家三少&斗罗大陆&玄幻&网络小说&小说&三少的书，很经典&玄幻小说&奇幻,太白文艺出版社
https://book.douban.com/subject/22933018/,https://img1.doubanio.com/view/subject/s/public/s34053787.jpg,斗破苍穹, ,6.2,8280人,天蚕土豆 / 湖北少年儿童出版社 / 2010-7 / 695.00元,《斗破苍穹(珍藏全集)(套装共27册)》讲述了天才少年萧炎在创造了家族空前绝后的修炼纪录后突然成了废人，整整三年时间，家族冷遇，旁人轻视，被未婚妻退婚……种... ,天蚕土豆,玄幻&天蚕土豆&斗破苍穹&网络小说&小说&网络文学&玄幻小说&奇幻,湖北少年儿童出版社
https://book.douban.com/subject/26734228/,https://img2.doubanio.com/view/subject/s/public/s28455442.jpg,鬼吹灯全集, ,8.7,4980人,天下霸唱 / 青岛出版社 / 2016-1-1 / CNY 248.40,暂无,天下霸唱,天下霸唱&盗墓&盗墓小说&悬疑&小说&网络小说&中国文学&中国,青岛出版社
https://book.douban.com/subject/3155622/,https://img9.doubanio.com/view/subject/s/public/s3207456.jpg,庆余年·壹,天下权臣宝典,8.0,18212人,猫腻 / 中国友谊出版公司 / 2008-7 / 28.00元,一个年轻的病人，因为一次毫不意外的经历，重生到一个完全不同的世界，成为古代庆国伯爵府一个并不光彩的私生子。修行无名功诀，踏足京都官场，继承庞大商团……范闲，... ,猫腻,穿越&猫腻&庆余年&小说&网络小说&架空历史&玄幻&武侠,中国友谊出版公司
https://book.douban.com/subject/3426869/,https://img1.doubanio.com/view/subject/s/public/s3551687.jpg,三生三世 十里桃花, ,7.8,86213人,唐七公子 / 沈阳出版社 / 2009-1 / 26.80,暂无,唐七公子,唐七公子&言情&三生三世&小说&玄幻&十里桃花&爱情&网络小说,沈阳出版社
https://book.douban.com/subject/35099889/,https://img1.doubanio.com/view/subject/s/public/s33667607.jpg,我等你到三十五岁, ,9.0,2409人,南康白起 / 39.8元,暂无,南康白起,耽美&同性&爱情&小说&传记&网络小说&中国&言情, 
https://book.douban.com/subject/34448849/,https://img1.doubanio.com/view/subject/s/public/s33311419.jpg,间客, ,8.9,1766人,猫腻 / 起点出版社 / 2011-9,暂无,猫腻,猫腻&科幻&网络小说&小说&英雄&玄幻&战争&武侠,起点出版社
https://book.douban.com/subject/31585774/,https://img1.doubanio.com/view/subject/s/public/s30500608.jpg,碎玉投珠, ,8.4,5379人,北南 / 青岛出版社 / 2019-3 / 30.00,暂无,北南,耽美&古玩&耽美小说&BL&小说&网络小说,青岛出版社
https://book.douban.com/subject/25751764/,https://img1.doubanio.com/view/subject/s/public/s27142917.jpg,雪中悍刀行 2,白马出凉州,8.0,2771人,烽火戏诸侯 / 江苏文艺出版社 / 2013-11 / 28.00元,道门真人飞天入地，千里取人首级；佛家菩萨低眉怒目，抬手可撼昆仑；谁又言书生无意气，一怒敢叫天子露戚容。踏江踏湖踏歌，我有一剑仙人跪；提刀提剑提酒，三十万铁骑... ,烽火戏诸侯,烽火戏诸侯&武侠&小说&雪中悍刀行，你值得拥有&网络小说&玄幻&.好书，很值得一看。&达到了我对武侠江湖的那个感觉~人物特点脱出。文笔好。。希望烽火,江苏文艺出版社
https://book.douban.com/subject/35003287/,https://img2.doubanio.com/view/subject/s/public/s33600112.jpg,偏偏宠爱, ,6.2,3068人,藤萝为枝、悦读纪 / 青岛出版社 / 2020-4 / 59.8,暂无,藤萝为枝&悦读纪,校园&甜宠&言情&网络小说,青岛出版社
