书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35296868/,https://img9.doubanio.com/view/subject/s/public/s33792854.jpg,难哄, ,7.2,4591人,竹已 / 江苏凤凰文艺出版社 / 2020-12 / 48.00元,暂无,竹已,言情&治愈&爱情&小说&网络小说&搞笑&中国&2020,江苏凤凰文艺出版社
https://book.douban.com/subject/35003286/,https://img2.doubanio.com/view/subject/s/public/s33600111.jpg,偷偷藏不住, ,7.2,9561人,竹已 / 青岛出版社 / 2020-4 / 59.8,暂无,竹已,段嘉许是人间理想&甜文&温柔段嘉许&段嘉许&暗恋&青春校园&言情,青岛出版社
https://book.douban.com/subject/35003287/,https://img2.doubanio.com/view/subject/s/public/s33600112.jpg,偏偏宠爱, ,6.2,3059人,藤萝为枝、悦读纪 / 青岛出版社 / 2020-4 / 59.8,暂无,藤萝为枝&悦读纪,校园&甜宠&言情&网络小说,青岛出版社
https://book.douban.com/subject/34454047/,https://img9.doubanio.com/view/subject/s/public/s33314525.jpg,白日梦我,（人气作者栖见高口碑备受期待之作！无所不能的桀骜校霸VS外刚内柔的,6.3,6062人,栖见 / 百花洲文艺出版社 / 2019-7 / 69.80元,暂无,栖见,校园&甜宠&甜文&青春言情&言情&治愈,百花洲文艺出版社
https://book.douban.com/subject/26680113/,https://img9.doubanio.com/view/subject/s/public/s28357474.jpg,那个不为人知的故事, ,8.5,20413人,twentine / 江苏文艺出版社 / 2015-12 / 32.00元,暂无,twentine,Twentine&言情&小说&爱情&现代&twentine&现言&青春文学,江苏文艺出版社
https://book.douban.com/subject/26853361/,https://img9.doubanio.com/view/subject/s/public/s33565366.jpg,夜旅人, ,8.4,7679人,赵熙之 / 百花洲文艺出版社 / 2016-9 / 32.80元,暂无,赵熙之,民国&穿越&言情&小说&爱情&晋江&网络小说&医生,百花洲文艺出版社
https://book.douban.com/subject/35217524/,https://img9.doubanio.com/view/subject/s/public/s33732326.jpg,酸梅, ,6.7,1731人,黄三 / 江苏凤凰文艺出版社 / 2020-9 / 42.80元,这是一部青春校园题材的小说，故事围绕因丑闻事件而陷入舆论风波的明星夏藤，来到偏远县城躲避风头并静心准备高考，与男主祁正相爱相杀的故事。起初，夏藤自身的光环与... ,黄三,救赎&青春&爱情&言情&现言&通俗小说,江苏凤凰文艺出版社
https://book.douban.com/subject/35252833/,https://img9.doubanio.com/view/subject/s/public/s33757165.jpg,黑莲花攻略手册, ,7.2,2990人,白羽摘雕弓 / 青岛出版社 / 2020-11 / 69.8,暂无,白羽摘雕弓,古言&言情&穿越&治愈&晋江&魔幻&成长&网络,青岛出版社
https://book.douban.com/subject/30473240/,https://img2.doubanio.com/view/subject/s/public/s30014613.jpg,十二年故人戏, ,8.3,6211人,墨宝非宝 / 江苏凤凰文艺出版社 / 2019-3 / 79.80元,暂无,墨宝非宝,民国&墨宝非宝&言情&爱情&历史&小说&中国,江苏凤凰文艺出版社
https://book.douban.com/subject/35050945/,https://img2.doubanio.com/view/subject/s/public/s33659092.jpg,宫墙柳, ,7.2,4334人,梦娃 / 江苏凤凰文艺出版社 / 2020-5-1 / 45元,★为什么后宫中嫔妃们一定要争宠？2019年度爆火红文，25万收藏，23万赞同，红遍知乎、B站的虐心古言！无数读者流泪推荐，这是一本你绝没有看过的‘宫斗’小说... ,梦娃,古言&意难平&小说&言情&网络小说&古代&情感&中国,江苏凤凰文艺出版社
https://book.douban.com/subject/4231381/,https://img3.doubanio.com/view/subject/s/public/s4130990.jpg,那些回不去的年少时光, ,8.4,53865人,桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,暂无,桐华,桐华&青春&那些回不去的年少时光&成长&小说&青春文学&回忆&人生如戏，戏如人生（纪实/小说）,江苏文艺出版社
https://book.douban.com/subject/35476600/,https://img1.doubanio.com/view/subject/s/public/s33909157.jpg,女将星, ,8.1,854人,千山茶客、悦读纪 / 青岛出版社 / 2021-5 / 79.8,暂无,千山茶客&悦读纪,古言&重生&女扮男装&治愈&小说&热血&甜文&言情,青岛出版社
https://book.douban.com/subject/33446985/,https://img1.doubanio.com/view/subject/s/public/s32319818.jpg,你是我的荣耀, ,6.8,11161人,顾漫 / 九州出版社 / 2019-6 / 36元,暂无,顾漫,顾漫&言情&温暖&小说&言情小说&现言&电竞&好书，值得一读,九州出版社
https://book.douban.com/subject/3426869/,https://img1.doubanio.com/view/subject/s/public/s3551687.jpg,三生三世 十里桃花, ,7.8,86201人,唐七公子 / 沈阳出版社 / 2009-1 / 26.80,暂无,唐七公子,唐七公子&言情&三生三世&小说&玄幻&十里桃花&爱情&网络小说,沈阳出版社
https://book.douban.com/subject/25803547/,https://img1.doubanio.com/view/subject/s/public/s27193109.jpg,一生一世，美人骨, ,7.2,8996人,墨宝非宝 / 百花洲文艺出版社 / 2014-1-1 / CNY 29.80,暂无,墨宝非宝,墨宝非宝&言情&小说&爱情,百花洲文艺出版社
https://book.douban.com/subject/21321839/,https://img1.doubanio.com/view/subject/s/public/s26280217.jpg,十年一品温如言, ,7.9,7584人,书海沧生 / 江苏文艺出版社 / 2012-12 / 59.80元,当一切开始的时候，将来的我们，把它冠作，过去。她说，我的过去，与你们相同。从一个人，再回归到一个人的宿命。只是，留下一个无法消除的牙印，噬在喉头，再深一寸，... ,书海沧生,十年一品温如言&阿衡&言希&虐心&言情&青春&十年&爱情,江苏文艺出版社
https://book.douban.com/subject/4871447/,https://img9.doubanio.com/view/subject/s/public/s4437626.jpg,东宫, ,7.2,35380人,匪我思存 / 新世界出版社 / 2010-07 / 28.0,暂无,匪我思存,匪我思存&言情&太虐了。。。&东宫&小说&古代&虐&古言,新世界出版社
https://book.douban.com/subject/35570380/,https://img2.doubanio.com/view/subject/s/public/s33978862.jpg,你的情绪自己掌握,缓解焦虑和抑郁的积极疗法,8.8,66人,[德] 诺斯拉特·佩塞斯基安 / 张世胜、姚盼盼 / 江苏凤凰文艺出版社 / 2021-8 / 52.00,你也焦虑吗？别怕，我也是。在当下这个快节奏的时代，焦虑似乎已不仅是一个形容词，更多成了一种生活常态。年龄焦虑、职业焦虑、婚姻焦虑、容貌焦虑……如果焦虑不可避... ,诺斯拉特·佩塞斯基安,言情&小说&随笔&作家&诗歌,江苏凤凰文艺出版社
