书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/25752955/,https://img1.doubanio.com/view/subject/s/public/s27251177.jpg,来自新世界 （上下）, ,9.0,10618人,[日] 贵志祐介 / 丁丁虫 / 上海译文出版社 / 2014-1 / 88.00,暂无,贵志祐介,科幻&日本文学&反乌托邦&日本&贵志佑介&小说&贵志祐介&轻小说,上海译文出版社
https://book.douban.com/subject/5431784/,https://img1.doubanio.com/view/subject/s/public/s29485019.jpg,雪落香杉树, ,8.3,10581人,[美] 戴维·伽特森 / 熊裕 / 作家出版社 / 2017-6 / 52.00元,暂无,戴维·伽特森,小说&美国文学&外国文学&文学&戴维·伽特森&美国&悬疑&轻小说,作家出版社
https://book.douban.com/subject/26314932/,https://img1.doubanio.com/view/subject/s/public/s33685399.jpg,言叶之庭, ,8.4,2179人,[日] 新海诚 / CLOVER / 百花洲文艺出版社 / 2015-3-1 / CNY 32.00,暂无,新海诚,新海诚&日本文学&轻小说&日本&小说&青春&唯美&治愈,百花洲文艺出版社
https://book.douban.com/subject/35706973/,https://img9.doubanio.com/view/subject/s/public/s34072565.jpg,流浪医生的末日病历, ,暂无,少于10人,皮卡第三度 / 中国致公出版社 / 2021-12 / 45.00元,一场全球性的突发瘟疫夺走了几十亿人的生命，使乡村化为荒野、城市沦为废墟。取而代之的，是无数散落在荒芜大地上、平均只有几十个人的无数聚居点。唯有如此，人类才得... ,皮卡第三度,轻小说&科幻&二次元&小说&末世&丧尸&末日&文学,中国致公出版社
https://book.douban.com/subject/26980300/,https://img9.doubanio.com/view/subject/s/public/s29383824.jpg,三日间的幸福, ,8.0,1275人,[日] 三秋缒 / 许郁文 / 百花洲文艺出版社 / 2017-3 / 30.00元,看来在我今后的人生里不会有好事发生了。因此，我余下的寿命被“估价”每年一万日元。对自己未来非常悲观的我，干脆将余下的寿命卖掉了大半，并想着至少让余下的一点点... ,三秋缒,轻小说&日本&轻文学&日本文学&爱情&生命&治愈,百花洲文艺出版社
https://book.douban.com/subject/4898551/,https://img2.doubanio.com/view/subject/s/public/s4402043.jpg,四叠半神话大系, ,8.2,4872人,(日) 森见登美彦 / 张智渊 / 上海人民出版社 / 2010-8 / 24.00元,无名男主角升入大一，对未来充满希望，渴望能够结识黑发美女，妄想握住梦幻瑰宝——瑰丽而充实的校园生活，然而现实却是如此遥远。他加入各种充满了“爱”的社团，却改... ,森见登美彦,森见登美彦&日本&日本文学&轻小说&小说&青春&幻想&森見登美彥,上海人民出版社
https://book.douban.com/subject/35285623/,https://img9.doubanio.com/view/subject/s/public/s33800395.jpg,僕が答える君の謎解き,明神凛音は間違えない,8.1,147人,"紙城 境介 / 星海社 / 2021-2-17 / 1,350円+税",『継母の連れ子が元カノだった』の新時代ラブコメの旗手・紙城境介が放つ、極上の学園青春ラブコメ×「日常の謎」本格ミステリ！ ,紙城 境介,日系推理&轻小说&推理&日常推理&日本&短篇集&小说,星海社
https://book.douban.com/subject/35503448/,https://img9.doubanio.com/view/subject/s/public/s33941966.jpg,今夜，即使这份恋情从世界消散, ,8.1,53人,[日] 一条岬 / 段练 / 新星出版社 / 2021-7 / 45.00,暂无,一条岬,轻小说&天闻角川&言情&日本文学&青春&日本&小说,新星出版社
https://book.douban.com/subject/33458157/,https://img2.doubanio.com/view/subject/s/public/s33461832.jpg,春季限定草莓挞事件,“小市民”系列①,7.2,576人,[日] 米泽穗信 / 王兰 / 新星出版社 / 2019-9 / 39.00元,暂无,米泽穗信,米泽穗信&日系推理&推理&轻小说&日本&推理小说&日本文学&小说,新星出版社
https://book.douban.com/subject/35616902/,https://img3.doubanio.com/view/subject/s/public/s34009840.jpg,わたし、二番目の彼女でいいから。, ,,15人,西　条陽 / 電撃文庫 / 2021-9-11 / 737円（本体670円+税）,暂无,西　条陽,轻小说&校园&日本,電撃文庫
