书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1016300/,https://img1.doubanio.com/view/subject/s/public/s1513378.jpg,梦里花落知多少, ,7.1,170264人,郭敬明 / 春风文艺出版社 / 2003-11 / 20.00元,《梦里花落知多少》是郭敬明出版第二部小说，此作一改《幻城》的奇幻风格，从天上回到人间。小说以北京、上海等大都市为背景，讲述了几个年青人的爱情故事，情节曲折，... ,郭敬明,郭敬明&梦里花落知多少&青春&小说&80后&爱情&小四&中国,春风文艺出版社
https://book.douban.com/subject/2062200/,https://img9.doubanio.com/view/subject/s/public/s2405994.jpg,悲伤逆流成河, ,6.2,103532人,郭敬明 / 长江文艺出版社 / 2007-5 / 24.00元,暂无,郭敬明,郭敬明&悲伤逆流成河&小说&青春&成长&青春文艺&小四&80后,长江文艺出版社
https://book.douban.com/subject/3191328/,https://img9.doubanio.com/view/subject/s/public/s3251696.jpg,小时代1.0折纸时代, ,6.5,72110人,郭敬明 / 长江文艺出版社 / 2008-10 / 29.80元,故事以经济飞速发展的上海这座风光而时尚的城市为背景，讲述了林萧、南湘、顾里、唐宛如四个从小感情深厚、有着不同价值观和人生观的女生，先后所经历的友情、爱情，乃... ,郭敬明,郭敬明&小时代1.0折纸时代&小说&青春&青春文学&小时代&爱情&小四,长江文艺出版社
https://book.douban.com/subject/1059406/,https://img1.doubanio.com/view/subject/s/public/s1100387.jpg,幻城, ,7.0,103689人,郭敬明 / 春风文艺出版社 / 2003-1 / 28.00元,这是一本奇特的书。一边是火族，一边是冰族，一边是火焰之城，一边是幻雪帝国。作品属于纯粹的虚构。对虚空的虚构，其实比对现实的摹写更难。相对于虚构的能力，我以为... ,郭敬明,郭敬明&小说&幻城&奇幻&青春&魔幻&80后&中国,春风文艺出版社
https://book.douban.com/subject/4038164/,https://img9.doubanio.com/view/subject/s/public/s4604664.jpg,小时代2.0虚铜时代, ,6.2,43860人,郭敬明 / 长江文艺出版社 / 2010-1 / 26.80元,在《小时代2.0》中，依然是以经济飞速发展的上海这座城市为写作背景，故事延续了第一部中大量的时尚元素描写和搞笑的写作风格，但基本脱离了校园故事，更多的是几位... ,郭敬明,郭敬明&小时代2.0&小说&青春&青春文学&小时代&中国&小四,长江文艺出版社
https://book.douban.com/subject/6828611/,https://img2.doubanio.com/view/subject/s/public/s7011412.jpg,小时代3.0：刺金时代, ,6.2,22550人,郭敬明 / 长江文艺出版社 / 2011-12 / 32.80元,“小时代”系列的完结篇《小时代3.0 刺金时代》，将要为林萧、顾里、南湘、唐宛如四位主角，以及简溪、顾源、宫洺、周崇光、Neil……他们所有人的故事，画上出... ,郭敬明,郭敬明&小时代&小说&青春&3.0&青春文学&爱情&中国,长江文艺出版社
https://book.douban.com/subject/4818929/,https://img9.doubanio.com/view/subject/s/public/s4345304.jpg,夏至未至, ,7.6,20940人,郭敬明 / 长江文艺出版社 / 2010-4 / 26.80元,故事开始于一个虚构的城市浅川，一个深北方长满高大香樟的城市。几个年轻的人开始自己的高中生活，一切都似乎格外的平静和缓慢，带着夏日特有的让人昏昏欲睡的叙述情绪... ,郭敬明,郭敬明&青春&青春文学&1995-2005夏至未至&夏至未至&小说&校园&小四,长江文艺出版社
https://book.douban.com/subject/4920036/,https://img1.doubanio.com/view/subject/s/public/s4575397.jpg,临界·爵迹 Ⅱ, ,7.0,11739人,郭敬明 / 长江文艺出版社 / 2011-1 / 22.80元,传说中的奥汀大陆分为东南西北四国，在这个世界中，充斥着神秘莫测的魂术，弥漫着权力和欲望的激烈争夺。这四个国家中，最强等级的魂术师被称为【王爵】，每个国家的【... ,郭敬明,郭敬明&奇幻&临界·爵迹&小说&爵迹&青春文学&玄幻&中国,长江文艺出版社
https://book.douban.com/subject/3056892/,https://img1.doubanio.com/view/subject/s/public/s3053779.jpg,幻城, ,7.3,23754人,郭敬明 / 长江文艺出版社 / 2008-4 / 23.00元,《幻城》2008年全新内容修订版本，收录郭敬明回顾心情实录《冰雪王爵与末世苍雪》。 ,郭敬明,郭敬明&玄幻&小说&青春&幻城&中国&青春文学&奇幻,长江文艺出版社
https://book.douban.com/subject/1049189/,https://img9.doubanio.com/view/subject/s/public/s1302594.jpg,1995-2005夏至未至, ,7.3,74588人,郭敬明 / 春风文艺出版社 / 2005-2 / 24.00元,故事开始于一个虚构的城市浅川，一个深北方长满高大香樟的城市。几个年轻的人开始自己的高中生活，一切都似乎格外的平静和缓慢，带着夏日特有的让人昏昏欲睡的叙述情绪... ,郭敬明,郭敬明&1995-2005夏至未至&小说&青春&忧伤&青春文学&夏至未至&80后,春风文艺出版社
https://book.douban.com/subject/4920037/,https://img1.doubanio.com/view/subject/s/public/s4421057.jpg,临界·爵迹 I, ,6.8,15742人,郭敬明 / 长江文艺出版社 / 2010-8 / 19.80元,传说中的奥汀大陆分为东南西北四国，在这个世界中，充斥着神秘莫测的魂术，弥漫着权力和欲望的激烈争夺。这四个国家中，最强等级的魂术师被称为【王爵】，每个国家的【... ,郭敬明,郭敬明&奇幻&临界·爵迹&小说&爵迹&青春文学&玄幻&中国,长江文艺出版社
https://book.douban.com/subject/1041550/,https://img9.doubanio.com/view/subject/s/public/s3410395.jpg,爱与痛的边缘, ,6.6,22159人,郭敬明 / 东方出版中心 / 2003-4 / 16.80元,作者从追溯自己降临这个世界的那一刻起，试图剖析自己性格成长及心灵旨趣变化的内在动因。作者是一个忧伤的孩子，一个性格矛盾的孩子，一个有着鲜明个性、渴望独立自由... ,郭敬明,郭敬明&爱与痛的边缘&青春&散文&小说&80后&青春文学&成长,东方出版中心
https://book.douban.com/subject/25862448/,https://img2.doubanio.com/view/subject/s/public/s27262533.jpg,怀石逾沙, ,5.9,700人,郭敬明 / 长江文艺出版社 / 2014-5 / 28.80元,《怀石逾沙》是郭敬明十年心路历程投影三卷散文集之第三卷。该卷收录了郭敬明作品集《左手倒影，右手年华》的部分文章，以及他于《最小说》前期的专栏，同时亦收录了他... ,郭敬明,郭敬明&散文&青春&随笔&青春文学&最世&小四&成长,长江文艺出版社
https://book.douban.com/subject/26824353/,https://img1.doubanio.com/view/subject/s/public/s29801188.jpg,爵迹：冷血狂宴, ,5.5,998人,郭敬明 / 湖南文艺出版社 / 2018-7 / 42.80元,暂无,郭敬明,郭敬明&爵迹&玄幻&小说&奇幻&最世&内地&2018,湖南文艺出版社
https://book.douban.com/subject/25855964/,https://img2.doubanio.com/view/subject/s/public/s27262542.jpg,守岁白驹, ,6.3,802人,郭敬明 / 长江文艺出版社 / 2014-5 / 28.80元,《守岁白驹》是郭敬明三本散文卷之二，收录了《崇明春天》《天下》《四季焚香》等精美散文，以他的第一部作品《爱与痛的边缘》的文章为主要内容并加以增补，此次他亲自... ,郭敬明,郭敬明&散文&青春&随笔&散文随笔&.好书，很值得一看。&青春文学&唯美,长江文艺出版社
https://book.douban.com/subject/25745152/,https://img3.doubanio.com/view/subject/s/public/s27125450.jpg,愿风裁尘, ,6.5,2953人,郭敬明 / 长江文艺出版社 / 2013-12 / 36.80元,《愿风裁尘》是郭敬明十年心路历程投影的散文集。在《愿风裁尘》中收录了郭敬明从2004年—2013年间刊载与未刊载过的全部散文作品，经过郭敬明亲自修改和编订，... ,郭敬明,郭敬明&散文&青春&你好，旧时光&随笔&最世&青春文学&很想读,长江文艺出版社
