书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/1255625/,https://img9.doubanio.com/view/subject/s/public/s26018275.jpg,天龙八部, ,9.1,118922人,金庸 / 生活·读书·新知三联书店 / 1994-5 / 96.00元,天龙八部乃金笔下的一部长篇小说，与《射雕》，《神雕》等 几部长篇小说一起被称为可读性最高的金庸小说。《天龙》的故事情节曲折，内容丰富，也曾多次被改编为电视作... ,金庸,金庸&武侠&武侠小说&天龙八部&经典&小说&中国文学&中国,生活·读书·新知三联书店
https://book.douban.com/subject/35479455/,https://img9.doubanio.com/view/subject/s/public/s33990114.jpg,六神磊磊读金庸, ,7.5,1555人,六神磊磊 / 浙江文艺出版社 / 2021-9 / 68,我们读金庸，往往会沉浸在高深的武功和紧张刺激的情节中去。而有这样一个了不起的金庸粉丝，读懂了金庸先生烛照人性、洞察幽微的关怀，读出的是一代文豪对世人的“悲悯... ,六神磊磊,金庸&武侠&随笔&杂文&文学&散文杂文随笔&2021&经典,浙江文艺出版社
https://book.douban.com/subject/1002299/,https://img9.doubanio.com/view/subject/s/public/s2157335.jpg,笑傲江湖（全四册）, ,9.0,100673人,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,《笑傲江湖》是金庸1967年写的一部武侠小说，属于金庸的后期作品。 ,金庸,金庸&武侠&笑傲江湖&武侠小说&小说&经典&中国文学&中国,生活·读书·新知三联书店
https://book.douban.com/subject/1255624/,https://img9.doubanio.com/view/subject/s/public/s26018916.jpg,神雕侠侣, ,8.9,91487人,金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,《神雕侠侣》是金庸作品集之一。其主人公杨过自然而然地走上了非正统的人生道路，入了“道流”。其特点是“至情至性，实现自我”，即把个人的利益、情感、个性及人格尊... ,金庸,金庸&武侠&神雕侠侣&武侠小说&小说&经典&爱情&中国,生活·读书·新知三联书店
https://book.douban.com/subject/1044547/,https://img9.doubanio.com/view/subject/s/public/s2157336.jpg,射雕英雄传, ,9.0,75355人,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元,《射雕英雄传》是金庸的代表作之一，作于一九五七年到一九五九年，在《香港商报》连载。《射雕》中的人物个性单纯，郭靖诚朴厚重、黄蓉机智狡狯，读者容易印象深刻。这... ,金庸,金庸&武侠&武侠小说&射雕英雄传&经典&小说&中国文学&中国,生活·读书·新知三联书店
https://book.douban.com/subject/1789837/,https://img2.doubanio.com/view/subject/s/public/s28267663.jpg,射雕英雄传, ,9.0,22483人,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,《射雕英雄传》是金庸的代表作之一，作于一九五七年到一九五九年，在《香港商报》连载。《射雕》中的人物个性单纯，郭靖诚朴厚重、黄蓉机智狡狯，读者容易印象深刻。这... ,金庸,金庸&武侠&小说&武侠小说&经典&射雕英雄传&中国文学&中国,生活·读书·新知三联书店
https://book.douban.com/subject/1070851/,https://img9.doubanio.com/view/subject/s/public/s34097535.jpg,倚天屠龙记, ,8.6,55811人,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00,《倚天屠龙记》，金庸武侠小说，著于1961年，是“射雕三部曲”系列第三部，现收录在《金庸作品集》中。该书以元末群雄纷起、江湖动荡为广阔背景，叙述武当弟子张无... ,金庸,金庸&武侠&倚天屠龙记&武侠小说&小说&经典&中国文学&中国,生活·读书·新知三联书店
https://book.douban.com/subject/1212893/,https://img3.doubanio.com/view/subject/s/public/s1738660.jpg,鹿鼎记, ,8.8,51192人,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,暂无,金庸,金庸&武侠&鹿鼎记&武侠小说&小说&经典&韦小宝&中国,广州出版社
https://book.douban.com/subject/6969074/,https://img2.doubanio.com/view/subject/s/public/s7062701.jpg,天龙八部, ,9.4,6793人,金庸 / 广州出版社 / 2011-11 / 123.00元,《天龙八部(套装共5册)(旧版)》一书以北宋、辽、西夏、大理并立的历史为宏大背景，将儒释道、琴棋书画等中国传统文化融会贯通其中，书中人物繁多，个性鲜明，情节... ,金庸,金庸&武侠&武侠小说&天龙八部&经典&小说&江湖&中国文学,广州出版社
https://book.douban.com/subject/1789841/,https://img9.doubanio.com/view/subject/s/public/s26018914.jpg,倚天屠龙记, ,8.8,20649人,金庸 / 生活·读书·新知三联书店 / 1994年5月 / 76.80,《倚天屠龙记》，金庸武侠小说，著于1961年，是“射雕三部曲”系列第三部。该书以元末群雄纷起、江湖动荡为广阔背景，叙述武当弟子张无忌的江湖生涯，表现众武林豪... ,金庸,金庸&武侠&小说&武侠小说&倚天屠龙记&经典&中国&中国文学,生活·读书·新知三联书店
https://book.douban.com/subject/1559310/,https://img1.doubanio.com/view/subject/s/public/s1879839.jpg,鹿鼎记, ,9.0,15879人,金庸 / 生活·读书·新知三联书店 / 1994-5 / 96.00元,这是金庸先生最後一部小说，也是登峰造极之作，是金大侠自言最喜欢之大作。          这部小说讲的是一个从小在扬州妓院长大的小孩韦小宝，他不会任何武功，... ,金庸,金庸&武侠&小说&武侠小说&鹿鼎记&经典&中国&香港,生活·读书·新知三联书店
https://book.douban.com/subject/4832584/,https://img3.doubanio.com/view/subject/s/public/s7062710.jpg,笑傲江湖, ,9.3,5671人,金庸 / 广州出版社 / 2011-11 / 98.00元,名门正派的华山派大弟子令狐冲只因心性自由、不受羁勒，喜欢结交左道人士，被逐出师门，遭到正宗门派武林人士的唾弃而流落江湖。令狐冲依然率性而为，只因正义良知自在... ,金庸,金庸&武侠&武侠小说&笑傲江湖&经典&小说&江湖&令狐冲,广州出版社
https://book.douban.com/subject/1793132/,https://img2.doubanio.com/view/subject/s/public/s2655602.jpg,白马啸西风, ,7.6,22500人,金庸 / 海口-南海出版社 / 1993.11,暂无,金庸,金庸&武侠&小说&白马啸西风&武侠小说&爱情&中国文学&中国,海口-南海出版社
