书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/21371175/,https://img2.doubanio.com/view/subject/s/public/s25814002.jpg,罗杰疑案,阿加莎·克里斯蒂侦探作品集02,9.2,41247人,[英] 阿加莎·克里斯蒂 / 常禾 / 新星出版社 / 2013-3 / 28.00元,暂无,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&推理小说&悬疑&侦探小说&波洛&英国&小说,新星出版社
https://book.douban.com/subject/24859822/,https://img9.doubanio.com/view/subject/s/public/s26849345.jpg,无人生还,阿加莎·克里斯蒂侦探作品集10,8.6,54304人,[英] 阿加莎·克里斯蒂 / 夏阳 / 新星出版社 / 2013-7 / 28.00元,暂无,阿加莎·克里斯蒂,阿加莎·克里斯蒂&悬疑&推理&推理小说&侦探小说&英国&小说&英国文学,新星出版社
https://book.douban.com/subject/3006581/,https://img3.doubanio.com/view/subject/s/public/s2962510.jpg,无人生还, ,8.9,125123人,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,十个互不相识的人，被富有的欧文先生邀请到了印地安岛上的私人别墅里。晚餐后，一个神秘的声音揭开了人们心中所各自隐藏着的可怕秘密。当天晚上，年轻的马斯顿先生离奇... ,阿加莎・克里斯蒂,阿加莎·克里斯蒂&推理&悬疑推理&英国&侦探推理&无人生还&小说&悬疑,人民文学出版社
https://book.douban.com/subject/1827374/,https://img1.doubanio.com/view/subject/s/public/s1765799.jpg,东方快车谋杀案, ,9.0,120045人,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,午夜过后，一场大雪迫使东方快车停了下来。这辆豪华列车整年都处于满员状态。但那天早上却发现少了一名乘客。一个美国人死在了他的包厢里，他被刺了十二刀，可他包厢的... ,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&推理小说&侦探推理&东方快车谋杀案&英国&侦探&悬疑,人民文学出版社
https://book.douban.com/subject/24153048/,https://img1.doubanio.com/view/subject/s/public/s26344659.jpg,东方快车谋杀案,阿加莎·克里斯蒂侦探作品集04,8.9,38199人,[英] 阿加莎·克里斯蒂 / 郑桥 / 新星出版社 / 2013-4 / 26.00元,侦探波洛在叙利亚完成了一项委托，要搭乘辛普朗号东方快车回国。奇怪的是，似乎全世界的人都选在那一夜出行，这列铺位一向宽裕的豪华列车竟然一票难求。幸好他遇到了好... ,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&推理小说&侦探小说&悬疑&英国&小说&经典,新星出版社
https://book.douban.com/subject/24737009/,https://img1.doubanio.com/view/subject/s/public/s26716169.jpg,ABC谋杀案,阿加莎·克里斯蒂侦探作品集08,8.4,19688人,[英] 阿加莎·克里斯蒂 / 赵文伟 / 新星出版社 / 2013-6 / 28.00元,暂无,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&推理小说&英国&侦探小说&小说&侦探&英国文学,新星出版社
https://book.douban.com/subject/25697546/,https://img1.doubanio.com/view/subject/s/public/s27027698.jpg,尼罗河上的惨案,阿加莎·克里斯蒂作品11,8.6,22058人,[英] 阿加莎·克里斯蒂 / 张乐敏 / 新星出版社 / 2013-9 / 29.00元,琳内特•里奇卫拥有一切——年轻、美貌、过人的头脑，而且还继承了巨额财产。但出乎所有人的意料，她闪电般地与自己的地产经纪人，也就是好友奎杰琳的男友多伊尔结了婚... ,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&推理小说&侦探小说&英国&波洛&悬疑&小说,新星出版社
https://book.douban.com/subject/21692860/,https://img3.doubanio.com/view/subject/s/public/s25814170.jpg,斯泰尔斯庄园奇案,阿加莎·克里斯蒂侦探作品集01,7.8,12001人,[英] 阿加莎·克里斯蒂 / 郑卫明 / 新星出版社 / 2013-3 / 28.00元,暂无,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&推理小说&英国&波洛&侦探小说&小说&英国文学,新星出版社
https://book.douban.com/subject/25986273/,https://img2.doubanio.com/view/subject/s/public/s27467193.jpg,五只小猪,阿加莎·克里斯蒂侦探作品集26,8.4,9480人,[英] 阿加莎·克里斯蒂 / 周力 / 新星出版社 / 2014-10 / 28.00元,年轻的卡拉小姐在结婚前夕被告知自己的身世——十六年前她的父亲被杀，而她的母亲被当做杀人凶手死在狱中。大为震惊的同时，她也收到了母亲临死前留给她的信，信中坚称... ,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&推理小说&英国&赫尔克里·波洛&侦探小说&小说&波洛系列,新星出版社
https://book.douban.com/subject/26292535/,https://img2.doubanio.com/view/subject/s/public/s27988902.jpg,帷幕,阿加莎·克里斯蒂侦探作品集33,9.0,9108人,[英] 阿加莎·克里斯蒂 / 李杨 / 新星出版社 / 2015-2 / 26.00,暂无,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&赫尔克里·波洛&推理小说&英国&侦探小说&小说&悬疑,新星出版社
https://book.douban.com/subject/1818347/,https://img1.doubanio.com/view/subject/s/public/s1683067.jpg,尼罗河上的惨案, ,8.7,43083人,[英] 阿加莎·克里斯蒂 / 宫英海 / 人民文学出版社 / 2006-5 / 22.00元,暂无,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&英国&侦探推理&小说&侦探&尼罗河上的惨案&侦探小说,人民文学出版社
https://book.douban.com/subject/24535899/,https://img3.doubanio.com/view/subject/s/public/s26538460.jpg,悬崖山庄奇案,阿加莎·克里斯蒂侦探作品集06,8.2,6981人,[英] 阿加莎·克里斯蒂 / 程云琦 / 新星出版社 / 2013-5 / 28.00元,山崖上的古宅拥有一位年轻漂亮的主人：尼克•巴克利小姐。她热爱这幢祖屋，然而围绕着屋子却频频发生怪事，威胁到她的生命。她床头的油画莫名其妙地砸了下来，车子刹车... ,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&赫尔克里·波洛&推理小说&英国&侦探小说&小说&侦探推理,新星出版社
https://book.douban.com/subject/25929085/,https://img9.doubanio.com/view/subject/s/public/s27327775.jpg,阳光下的罪恶,阿加莎·克里斯蒂侦探作品集22,8.1,7707人,[英] 阿加莎·克里斯蒂 / 于婉青 / 新星出版社 / 2014-8 / 28.00元,艾莲娜•马歇尔太太是海盗旗旅馆中最令人瞩目的客人。在众多仰慕者中，她很快和英俊的帕特里克•雷德芬如胶似漆。雷德芬太太为此伤心愤怒，马歇尔先生却不动声色。好戏... ,阿加莎·克里斯蒂,阿加莎·克里斯蒂&推理&赫尔克里·波洛&推理小说&英国&侦探小说&小说&悬疑,新星出版社
