书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/27200257/,https://img1.doubanio.com/view/subject/s/public/s32266828.jpg,挪威的森林, ,8.6,16531人,[日]村上春树 / 林少华 / 上海译文出版社 / 2018-3 / 38.00元,《挪威的森林》是日本作家村上春树所著的一部长篇爱情小说，影响了几代读者的青春名作。故事讲述主角渡边纠缠在情绪不稳定且患有精神疾病的直子和开朗活泼的小林绿子之... ,村上春树,村上春树&日本文学&青春&小说&日本&村上春樹&文学&林少华,上海译文出版社
https://book.douban.com/subject/1046265/,https://img3.doubanio.com/view/subject/s/public/s1221930.jpg,挪威的森林, ,8.0,336936人,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,这是一部动人心弦的、平缓舒雅的、略带感伤的恋爱小说。小说主人公渡边以第一人称展开他同两个女孩间的爱情纠葛。渡边的第一个恋人直子原是他高中要好同学木月的女友，... ,村上春树,村上春树&挪威的森林&日本文学&爱情&小说&日本&青春&外国文学,上海译文出版社
https://book.douban.com/subject/30336340/,https://img1.doubanio.com/view/subject/s/public/s29889999.jpg,撒野, ,8.5,40889人,巫哲 / 北京联合出版公司 / 2018-10 / 45.00元,暂无,巫哲,救赎&耽美&青春&撒野&勇敢&巫哲&校园&真实,北京联合出版公司
https://book.douban.com/subject/2053249/,https://img1.doubanio.com/view/subject/s/public/s2380159.jpg,麦田里的守望者, ,8.1,72682人,[美国] J. D. 塞林格 / 孙仲旭 / 译林出版社 / 2007-3 / 28.00元,这本小说一出版，就受到国内青少年的热烈欢迎，认为它道出了自己的心声，一时大、中学校的校园里到处都模仿小说主人公霍尔顿——他们在大冬天身穿风衣，倒戴着红色猎人... ,J. D. 塞林格,麦田里的守望者&塞林格&青春&外国文学&小说&垮掉的一代&反叛&美国,译林出版社
https://book.douban.com/subject/2159042/,https://img1.doubanio.com/view/subject/s/public/s27312538.jpg,挪威的森林, ,8.5,119998人,[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元,这是一部动人心弦的、平缓舒雅的、略带感伤的恋爱小说。小说主人公渡边以第一人称展开他同两个女孩间的爱情纠葛。渡边的第一个恋人直子原是他高中要好同学木月的女友，... ,村上春树,村上春树&日本文学&挪威的森林&日本&青春&小说&爱情&孤独,上海译文出版社
https://book.douban.com/subject/1080370/,https://img9.doubanio.com/view/subject/s/public/s1127135.jpg,情书, ,8.6,98691人,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元,日本神户，渡边博子在未婚夫藤井树的三周年祭日上又一次陷入到悲痛和思念之中。博子在藤井树的中学同学录里找到了他在小樽市读书时的地址。由于抑制不住对爱人的怀念，... ,岩井俊二,岩井俊二&情书&爱情&日本&日本文学&小说&青春&纯爱,天津人民出版社
https://book.douban.com/subject/26210487/,https://img1.doubanio.com/view/subject/s/public/s27914268.jpg,强风吹拂, ,9.0,17853人,三浦紫苑 / 林佩瑾、李建铨、杨正敏 / 广西师范大学出版社 / 2015-1-1 / 39.00元,暂无,三浦紫苑,日本文学&三浦紫苑&跑步&励志&日本&小说&强风吹拂&青春,广西师范大学出版社
https://book.douban.com/subject/4231381/,https://img3.doubanio.com/view/subject/s/public/s4130990.jpg,那些回不去的年少时光, ,8.4,53861人,桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,暂无,桐华,桐华&青春&那些回不去的年少时光&成长&小说&青春文学&回忆&人生如戏，戏如人生（纪实/小说）,江苏文艺出版社
https://book.douban.com/subject/30230525/,https://img1.doubanio.com/view/subject/s/public/s29775868.jpg,情书, ,8.9,8777人,[日] 岩井俊二 / 穆晓芳 / 南海出版公司 / 2018-6-1 / 45.00元,《情书》是作家岩井俊二的长篇小说代表作，也是经典电影《情书》原著。两个同名同姓的藤井树，两张穿越时空却惊人相似的少女面孔，牵出一段珍藏在岁月深处的初恋。即使... ,岩井俊二,岩井俊二&爱情&日本文学&青春&温暖&情书&日本&小说,南海出版公司
https://book.douban.com/subject/28659562/,https://img1.doubanio.com/view/subject/s/public/s29720198.jpg,夏日终曲, ,8.7,22378人,[美] 安德烈·艾席蒙 / 吴妍蓉 / 外语教学与研究出版社 / 2018-3 / 39.90,暂无,安德烈·艾席蒙,请以你的名字呼唤我&青春&爱情&小说&外国文学&温暖&callmebyyourname&安德烈·艾西蒙,外语教学与研究出版社
