书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/4231381/,https://img3.doubanio.com/view/subject/s/public/s4130990.jpg,那些回不去的年少时光, ,8.4,53904人,桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,暂无,桐华,桐华&青春&那些回不去的年少时光&成长&小说&青春文学&回忆&人生如戏，戏如人生（纪实/小说）,江苏文艺出版社
https://book.douban.com/subject/4166819/,https://img1.doubanio.com/view/subject/s/public/s4293097.jpg,你好，旧时光（上 下）, ,8.7,43787人,八月长安 / 新世界出版社 / 2009-12 / 39.80元,暂无,八月长安,你好，旧时光&青春&小说&八月长安&成长&献给青春。&玛丽苏病例报告&文学,新世界出版社
https://book.douban.com/subject/24754316/,https://img9.doubanio.com/view/subject/s/public/s26720726.jpg,最好的我们, ,8.7,65674人,八月长安 / 湖南文艺出版社 / 2013-8-5 / 55,暂无,八月长安,八月长安&青春&最好的我们&成长&校园&献给青春&小说&献给青春。,湖南文艺出版社
https://book.douban.com/subject/26680113/,https://img9.doubanio.com/view/subject/s/public/s28357474.jpg,那个不为人知的故事, ,8.5,20486人,twentine / 江苏文艺出版社 / 2015-12 / 32.00元,暂无,twentine,Twentine&言情&爱情&小说&现代&twentine&现言&青春文学,江苏文艺出版社
https://book.douban.com/subject/35546311/,https://img2.doubanio.com/view/subject/s/public/s33962561.jpg,这么多年, ,7.5,6246人,八月长安 / 江苏凤凰文艺出版社 / 2021-8-14 / 128,暂无,八月长安,八月长安&成长&青春&小说&女性&高中&2021&青春文学,江苏凤凰文艺出版社
https://book.douban.com/subject/4732378/,https://img9.doubanio.com/view/subject/s/public/s4296814.jpg,那些回不去的年少时光·终场, ,8.7,21568人,桐华 / 江苏文艺出版社 / 2010-04 / 23.80元,故事虽落幕，青春不终场！经过孤独的小学时光，混乱的初中生涯，罗琦琦来到了高中。和所有走过那段岁月的人一样，面对高考的折磨，罗琦琦虽然不情愿，却也无法做到不在... ,桐华,桐华&青春&成长&小说&那些回不去的年少时光&那些回不去的年少时光终场&回忆&青春文学,江苏文艺出版社
https://book.douban.com/subject/33423246/,https://img1.doubanio.com/view/subject/s/public/s32312089.jpg,暗格里的秘密, ,6.9,3557人,耳东兔子 / 百花洲文艺出版社 / 2019-5 / 59.80元,暂无,耳东兔子,校园&青春言情&成长&青春文学&小说&言情&现言,百花洲文艺出版社
https://book.douban.com/subject/35592396/,https://img3.doubanio.com/view/subject/s/public/s33990840.jpg,偏爱, ,7.7,82人,夏七夕 / 湖南文艺出版社 / 2021-9-1 / 49.80元,暂无,夏七夕,青春文学&夏七夕&言情&小说,湖南文艺出版社
https://book.douban.com/subject/27139846/,https://img1.doubanio.com/view/subject/s/public/s29543659.jpg,我在未来等你, ,7.0,5978人,刘同 / 北京联合出版公司 / 2017-9 / 42.00,暂无,刘同,青春文学&好书，值得一读&励志&治愈&小说&我想读这本书&非常喜欢，精致，值得收藏&终于等到了，迫不及待想好好阅读~,北京联合出版公司
https://book.douban.com/subject/25829434/,https://img9.doubanio.com/view/subject/s/public/s27220774.jpg,暗恋·橘生淮南, ,7.8,21134人,八月长安 / 湖南文艺出版社 / 2014-7-25 / 58,暂无,八月长安,八月长安&暗恋&青春&橘生淮南&洛枳&小说&盛淮南&献给青春。,湖南文艺出版社
