书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/5275059/,https://img2.doubanio.com/view/subject/s/public/s4499471.jpg,1988：我想和这个世界谈谈, ,7.9,142097人,韩寒 / 国际文化出版公司 / 2010-9 / 25.00元,暂无,韩寒,韩寒&小说&我想和这个世界谈谈&公路小说&1988&中国文学&中国&文学,国际文化出版公司
https://book.douban.com/subject/1026425/,https://img2.doubanio.com/view/subject/s/public/s1024882.jpg,三重门, ,7.4,110689人,韩寒 / NONE、NONE / 作家出版社 / 2000-5 / 16.00,《三重门》是一部由一个少年写就，但却不能简单划入儿童文学的一般意义上的小说，它恰恰是以成熟、老练，甚至以老到见长的。17岁的韩寒注定要扮演不安分且引人注目的... ,韩寒,韩寒&三重门&小说&青春&80后&校园&青春小说&中国文学,作家出版社
https://book.douban.com/subject/1049219/,https://img1.doubanio.com/view/subject/s/public/s1563589.jpg,长安乱, ,7.4,84037人,韩寒 / 中国青年出版社 / 2004-8 / 20.00元,暂无,韩寒,韩寒&小说&长安乱&幽默&武侠&青春&80后&中国,中国青年出版社
https://book.douban.com/subject/20425053/,https://img9.doubanio.com/view/subject/s/public/s24593535.jpg,我所理解的生活, ,7.6,26079人,韩寒 / 浙江文艺出版社 / 2013-1-8 / 29.00元,暂无,韩寒,韩寒&杂文&随笔&调侃&文学&散文随笔&中国文学&中国,浙江文艺出版社
https://book.douban.com/subject/1453210/,https://img2.doubanio.com/view/subject/s/public/s1627352.jpg,一座城池, ,7.4,60902人,韩寒 / 二十一世纪出版社 / 2006-1 / 19.90元,暂无,韩寒,韩寒&小说&一座城池&青春&幽默&80后&中国&文学,二十一世纪出版社
https://book.douban.com/subject/3394338/,https://img1.doubanio.com/view/subject/s/public/s3557848.jpg,他的国, ,7.5,56930人,韩寒 / 万卷出版公司 / 2009-1 / 25.00元,暂无,韩寒,韩寒&小说&他的国&讽刺&青春&中国&超现实&中国文学,万卷出版公司
https://book.douban.com/subject/1034108/,https://img9.doubanio.com/view/subject/s/public/s1028954.jpg,零下一度, ,7.2,39360人,韩寒 / 上海人民出版社 / 2000-08 / 12.00,年仅18岁的韩寒是一个引人注目的角色。他是上海松江二中高一的学生，以一篇《杯中窥人》问鼎首届全国新概念作文大赛一等奖，并出版了长篇新作《三重门》，但与此同时... ,韩寒,韩寒&零下一度&小说&杂文&青春&80后&中国&散文,上海人民出版社
https://book.douban.com/subject/6902639/,https://img2.doubanio.com/view/subject/s/public/s6987692.jpg,青春, ,7.8,25953人,韩寒 / 湖南人民出版社 / 2011-11 / 29.00元,暂无,韩寒,韩寒&杂文&青春&随笔&中国&中国文学&2011&中国内地,湖南人民出版社
https://book.douban.com/subject/1009160/,https://img1.doubanio.com/view/subject/s/public/s1080179.jpg,像少年啦飞驰, ,7.3,41379人,韩寒 / 作家出版社 / 2002-1 / 16.00元,暂无,韩寒,韩寒&小说&像少年啦飞驰&青春&80后&幽默&中国&中国文学,作家出版社
https://book.douban.com/subject/3860856/,https://img9.doubanio.com/view/subject/s/public/s3947864.jpg,可爱的洪水猛兽, ,8.1,22724人,韩寒 / 万卷出版公司 / 2009-08-01 / 25.00元,继《杂的文》后再次推出韩寒2008-2009最新博客文的精选。本书集合了以韩寒自己独特的思考方式为基础的杂文，评时事、人文、电影、艺术、赛车等，把最率性的品... ,韩寒,韩寒&杂文&可爱的洪水猛兽&犀利&中国&中国文学&文学&思维,万卷出版公司
https://book.douban.com/subject/1914078/,https://img9.doubanio.com/view/subject/s/public/s1923514.jpg,三重门, ,7.6,14916人,韩寒 / 二十一世纪出版社 / 2006-9 / 19.90元,林雨翔也是眼红者之一。初一他去考文学社，临时忘了《父与子》是谁写的，惨遭淘汰。第二次交了两篇文章，走错一条路，揭露了大学生出国不归的现象，忘了唱颂歌，又被刷... ,韩寒,韩寒&小说&三重门&青春&80后&中国文学&中国&文学,二十一世纪出版社
https://book.douban.com/subject/24851617/,https://img9.doubanio.com/view/subject/s/public/s26824555.jpg,1988：我想和这个世界谈谈, ,7.6,2589人,韩寒 / 天津人民出版社 / 2013-7 / 32.00,本书以一部旅行车为载体，通过在路上的见闻、过去的回忆、扑朔迷离的人物关系等各种现实场景，表达了韩寒对这个世界与当下现实的看法。故事由两条线索并列推进，线索一... ,韩寒,韩寒&公路小说&小说&社会&当代文学&青春&1988&中国,天津人民出版社
https://book.douban.com/subject/3279273/,https://img9.doubanio.com/view/subject/s/public/s3475694.jpg,长安乱, ,7.6,7550人,韩寒 / 万卷出版公司 / 2008-10 / 25.00元,暂无,韩寒,韩寒&小说&长安乱&中国&当代文学&中国文学&青春&文学,万卷出版公司
https://book.douban.com/subject/30136797/,https://img1.doubanio.com/view/subject/s/public/s29831507.jpg,一座城池, ,7.9,79人,韩寒 / 天津人民出版社 / 2018-3 / 42.00元,暂无,韩寒,韩寒&小说&中国&2019&2009&轻松&搞笑&幽默,天津人民出版社
https://book.douban.com/subject/2133556/,https://img9.doubanio.com/view/subject/s/public/s2567655.jpg,光荣日（第一季）, ,6.9,29361人,韩寒 / 二十一世纪出版社 / 2007-6 / 21.00元,暂无,韩寒,韩寒&光荣日&小说&批判&现实主义&80后&中国&文学,二十一世纪出版社
https://book.douban.com/subject/1440101/,https://img1.doubanio.com/view/subject/s/public/s1457248.jpg,就这么漂来漂去, ,7.2,13669人,韩寒 / 接力出版社 / 2005-11 / 26.00元,在《就这么漂来漂去》中，韩寒用充满激情的文字，首次描述自己三年来漂来漂去的日子，特立独行的生活岁月，充满艰难与快乐的赛车经历，以及他对人生的感悟和对青春的诠... ,韩寒,韩寒&就这么漂来漂去&随笔&赛车&杂文&中国&80后&小说,接力出版社
https://book.douban.com/subject/24754123/,https://img3.doubanio.com/view/subject/s/public/s29403420.jpg,所有人问所有人, ,6.9,5765人,韩寒 / 湖南人民出版社 / 2013-8-1 / CNY 36.00,暂无,韩寒,韩寒&随笔&社会&中国&杂文&文学&中国文学,湖南人民出版社
https://book.douban.com/subject/3009033/,https://img1.doubanio.com/view/subject/s/public/s2965268.jpg,杂的文, ,7.8,22250人,韩寒 / 万卷出版公司 / 2008-3 / 19.90,暂无,韩寒,韩寒&杂文&杂的文&随笔&博客&中国&中国文学&80后,万卷出版公司
https://book.douban.com/subject/3279242/,https://img1.doubanio.com/view/subject/s/public/s5960529.jpg,三重门, ,7.5,5462人,韩寒 / 万卷出版公司 / 2008-10 / 26.00元,本书通过少年林雨翔的视角， 向读者揭示了一个类真实的高中生的生活， 把亲子关系、师生关系、同学关系的种种矛盾和问题展现开来， 体现了学生式的思考、困惑和梦想... ,韩寒,韩寒&小说&三重门&青春文学&青春&校园&中国&中国文学,万卷出版公司
https://book.douban.com/subject/26177823/,https://img9.doubanio.com/view/subject/s/public/s27874565.jpg,在这复杂世界里, ,6.4,3241人,韩寒 监制 / 浙江文艺出版社 / 2014-11 / 35.00元,每个人的人生都经历各种变故，各种亲情、爱情、友情剪不断，理还乱。但在这个复杂世界里，有你，有你们就够了。 22位人气作者为我们讲述生命中那些悲欢离合的故事。... ,韩寒 监制,韩寒&一个&杂文&随笔&文艺&青春&好书，值得一读&小说,浙江文艺出版社
https://book.douban.com/subject/21318055/,https://img2.doubanio.com/view/subject/s/public/s27192783.jpg,通稿二零零三, ,7.3,1246人,韩寒 / 天津人民出版社 / 2013-1-1 / 29.00元,《韩寒：通稿二零零三》是21岁时的韩寒写的一本关于中国教育现状的杂文集。他用17个问题集中针对现行教育体制下出现的各种现象，从学生视角出发，提出了自已的看法... ,韩寒,韩寒&杂文&随笔&社会&中国&教育&青春&文学,天津人民出版社
https://book.douban.com/subject/1063245/,https://img2.doubanio.com/view/subject/s/public/s1155952.jpg,通稿2003, ,7.6,22966人,韩寒 / 作家出版社 / 2003-9 / 9.00元,《通稿2003》是韩寒的杂文作品集，是对第一部小说问世后的四年里的学校、课程、家庭生活、写作、性格与压力问题的回顾与总结。书中对现行教育体制的方方面面提出了... ,韩寒,韩寒&杂文&通稿2003&中国&80后&青春&小说&文学,作家出版社
https://book.douban.com/subject/26359009/,https://img9.doubanio.com/view/subject/s/public/s28059304.jpg,和喜欢的一切在一起, ,6.5,3879人,韩寒 / 浙江文艺出版社 / 2015-5 / 35.00元,韩寒主编MOOK，2015春季版《和喜欢的一切在一起》，来自「一个」App二十四位高赞作者的佳作精选集。春日阅读，不妨和韩寒、蔡崇达、咸贵人、大冰、吴惠子、... ,韩寒,韩寒&一个&文艺&随笔&杂文&散文随笔&小说&2015,浙江文艺出版社
https://book.douban.com/subject/30136844/,https://img1.doubanio.com/view/subject/s/public/s29831508.jpg,1988：我想和这个世界谈谈, ,8.5,111人,韩寒 / 天津人民出版社 / 2018-3 / 39.00元,本书以一部旅行车为载体，通过在路上的见闻、过去的回忆、扑朔迷离的人物关系等各种现实场景，表达了韩寒对这个世界与当下现实的看法。故事由两条线索并列推进，线索一... ,韩寒,韩寒&文艺&公路小说&小说&中国&2010,天津人民出版社
https://book.douban.com/subject/1733250/,https://img2.doubanio.com/view/subject/s/public/s1528481.jpg,韩寒五年文集（上下）, ,8.4,4258人,韩寒 / 二十一世纪出版社 / 2006-1 / 39.00元,《韩寒五年文集(上)》收录了少年作家韩寒《三重门》、《像少年啦飞驰》、《零下一度》、《通稿2003》等五《韩寒五年文集(上)》的内容，是韩寒出道五年文集集合... ,韩寒,韩寒&小说&青春&文集&中国&杂文&80后&成长,二十一世纪出版社
https://book.douban.com/subject/25931540/,https://img9.doubanio.com/view/subject/s/public/s27345694.jpg,告白与告别, ,6.5,5474人,韩寒 / 北京联合出版公司 / 2014-8-1 / 32.80元,暂无,韩寒,韩寒&随笔&电影&梦想&闲时翻阅&中国&理想&文化,北京联合出版公司
https://book.douban.com/subject/1078809/,https://img9.doubanio.com/view/subject/s/public/s1160736.jpg,三重门,增订版,8.0,6355人,韩寒 / 作家出版社 / 2003-11-1 / 18.00,当韩寒的小说《三重门》发行到110万册的时候，已经证明它在广大青少年心中无可替代的位置。同时，作者韩寒也借机自己创意设计封面，增加一些他的照片，写下他想说的... ,韩寒,韩寒&小说&三重门&青春&校园&80后&中国&文学,作家出版社
