书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35518123/,https://img9.doubanio.com/view/subject/s/public/s34070996.jpg,不再是一个人吃饭啦, ,8.6,1829人,[日本] 高木直子 / 香冰 / 北京日报出版社 / 2021-7 / 49.9,暂无,高木直子,高木直子&绘本&治愈&日本&暖心&食物&2021&成长,北京日报出版社
https://book.douban.com/subject/35273151/,https://img1.doubanio.com/view/subject/s/public/s33771839.jpg,新手妈妈的头两年, ,8.6,935人,[日] 高木直子 / 胡璐瑶 / 新星出版社 / 2020-12 / ¥42.00,暂无,高木直子,高木直子&绘本&育儿&日本&漫画&2021&生活&2020,新星出版社
https://book.douban.com/subject/30302300/,https://img3.doubanio.com/view/subject/s/public/s29853190.jpg,两个人的头两年, ,8.7,4120人,高木直子 / 锦小豆 / 百花洲文艺出版社 / 2018-9-1 / 38.00元,★超级天后！高木直子以其幽默轻松的风格被誉为日本绘本天后，在亚马逊、当当等主流电商平台销售榜三甲常客；新华书店及主流书店重点码堆推荐；微博名人争相讨论，人气... ,高木直子,高木直子&绘本&日本&漫画&生活&女性&爱情&2018,百花洲文艺出版社
https://book.douban.com/subject/26389520/,https://img3.doubanio.com/view/subject/s/public/s32266220.jpg,肚子饿万岁, ,8.4,3060人,[日]高木直子 / 香冰 / 北京联合出版公司 / 2015-5-1 / CNY 39.90,美食永远带着温度，是可以吃下去的爱！本书围绕着“肚子饿了最想吃的美食”这一话题展开，讲述了高木直子自己和身边的亲友关于美食的种种趣事。原来，高木直子从孩童时... ,高木直子,高木直子&绘本&美食&日本&漫画&饮食&2015,北京联合出版公司
https://book.douban.com/subject/1346815/,https://img2.doubanio.com/view/subject/s/public/s7059163.jpg,一個人住第5年, ,8.4,43794人,高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220,暂无,高木直子,高木直子&绘本&一個人住第5年&日本&漫画&生活&一个人住第5年&一个人,大田
https://book.douban.com/subject/26411155/,https://img2.doubanio.com/view/subject/s/public/s28100053.jpg,一个人的小繁华②, ,8.8,1148人,[日]高木直子  著绘 / 陈怡君 / 北京联合出版公司 / 2015-5 / 39.90元,暂无,高木直子  著绘,高木直子&绘本&日本&治愈&漫画&绘本/漫画&坚强&成长,北京联合出版公司
https://book.douban.com/subject/26411083/,https://img2.doubanio.com/view/subject/s/public/s28100032.jpg,一个人的小繁华①, ,8.2,1457人,[日]高木直子 著绘 / 陈怡君 / 北京联合出版公司 / 2015-5 / 39.90元,暂无,高木直子 著绘,高木直子&绘本&日本&治愈&漫画&生活&漫画/绘本&2015,北京联合出版公司
https://book.douban.com/subject/25810764/,https://img2.doubanio.com/view/subject/s/public/s27200703.jpg,一个人的第一次, ,7.8,1113人,高木直子 / 常纯敏 / 北京联合出版公司 / 2013-7 / 39.9元,暂无,高木直子,高木直子&绘本&日本&漫画&生活&第一次&青春&繪本,北京联合出版公司
https://book.douban.com/subject/25857378/,https://img1.doubanio.com/view/subject/s/public/s27250479.jpg,一个人住第5年, ,8.5,1025人,高木直子 / 北京联合出版公司 / 2013-7 / 28.00元,暂无,高木直子,绘本&高木直子&日本&漫画&生活&独居&人生&闲看,北京联合出版公司
https://book.douban.com/subject/6387054/,https://img1.doubanio.com/view/subject/s/public/s32265778.jpg,一个人住的每一天, ,8.6,10453人,（日）高木直子 / 顾峰峰、书中缘、书锦缘 / 辽宁科学技术出版社 / 2011-6-1 / 25.00元,暂无,高木直子,高木直子&绘本&日本&生活&漫画&繪本&手绘&日本文学,辽宁科学技术出版社
https://book.douban.com/subject/27030108/,https://img3.doubanio.com/view/subject/s/public/s29442780.jpg,节日万岁！, ,7.9,1938人,[日]高木直子 / 香冰 / 北京联合出版公司 / 2017-3-31 / 49.9,暂无,高木直子,高木直子&绘本&日本&漫画&旅行&手绘&好书，值得一读&2017,北京联合出版公司
https://book.douban.com/subject/11537640/,https://img1.doubanio.com/view/subject/s/public/s11215098.jpg,一个人的美食之旅2, ,8.3,2262人,高木直子 / 香冰 / 江西科学技术出版社 / 2012-9-1 / 28.00元,暂无,高木直子,高木直子&绘本&美食&日本&旅行&漫画&生活&吃,江西科学技术出版社
https://book.douban.com/subject/26886428/,https://img3.doubanio.com/view/subject/s/public/s32265320.jpg,一个人住第几年？, ,8.6,1623人,[日]高木直子 / 香冰 / 百花洲文艺出版社 / 2016-9-1 / CNY 30.00,暂无,高木直子,高木直子&绘本&日本&一个人&绘本/漫画&生活&漫画&女性,百花洲文艺出版社
https://book.douban.com/subject/4780102/,https://img2.doubanio.com/view/subject/s/public/s4364063.jpg,一个人住第9年, ,8.4,12962人,高木直子 / 洪俞君 / 江西科学技术出版社 / 2010年04月 / 20.00元,终于从小套房搬到两房公寓了，终于成为订报一族了，终于旧家电可以汰旧换新了，终于想吃想睡、想洗澡看电视，都可以随心所欲了……一样爱逛超市，抢购半价鲷鱼沙西米，... ,高木直子,高木直子&绘本&日本&一个人住第九年&漫画&生活&日本漫画&繪本,江西科学技术出版社
https://book.douban.com/subject/6852200/,https://img9.doubanio.com/view/subject/s/public/s32265786.jpg,一个人暖呼呼, ,8.2,2364人,(日)高木直子 / 洪俞君 / 江西科学技术出版社 / 2011-10-1 / 28.00元,《一个人暖呼呼》一如高木直子旅行系列风格，主要描绘了一个人，坐着火车、看着美景、吃着美食，一路泡温泉的旅行。《一个人暖呼呼》讲述了各种特色的日本温泉——超便... ,高木直子,高木直子&绘本&日本&旅行&漫画&繪本&生活&2011,江西科学技术出版社
https://book.douban.com/subject/6731566/,https://img1.doubanio.com/view/subject/s/public/s32265799.jpg,一个人去跑步, ,8.6,3510人,高木直子 / 洪俞君 / 译林出版社 / 2011-8-1 / 28.00元,暂无,高木直子,高木直子&绘本&跑步&日本&漫画&运动&生活&治愈系,译林出版社
https://book.douban.com/subject/26690392/,https://img9.doubanio.com/view/subject/s/public/s32265384.jpg,出发吧!和爸妈一起!, ,8.6,1025人,高木直子 / 香冰 / 浙江人民美术出版社 / 2015-12-20 / CNY 30.00,暂无,高木直子,高木直子&绘本&日本&亲情&漫画&旅行&治愈&绘本&amp;漫画,浙江人民美术出版社
https://book.douban.com/subject/2070012/,https://img2.doubanio.com/view/subject/s/public/s2735243.jpg,一个人的第一次 第一次一个人旅行,人气绘本天后系列（全二册）,8.2,11284人,[日] 高木直子 图文 / 陈怡君、常纯敏 / 陕西师范大学出版社 / 2007-10 / 45.00元(全2册),暂无,高木直子 图文,高木直子&绘本&日本&一个人的第一次&漫画&生活&繪本&可爱,陕西师范大学出版社
https://book.douban.com/subject/1344548/,https://img9.doubanio.com/view/subject/s/public/s26706974.jpg,150cm Life, ,8.1,8315人,高木直子 / 洪俞君 / 大田 / 2006-3-1 / 新台币200元,身高過了15歲就一直停留在150公分的作者，覺得世界上的東西多半都大了點兒，和別人講話總是要抬起脖子、衣服袖子太長、拿高處東西總得踮起腳尖、走路總是不自覺的... ,高木直子,高木直子&绘本&日本&150cm生活&漫画&生活&繪本&150cm,大田
https://book.douban.com/subject/1475048/,https://img1.doubanio.com/view/subject/s/public/s1492718.jpg,150cm Life 2, ,8.0,8652人,高木直子 / 大田 / 2006年1月25日 / 新台币88元,暂无,高木直子,高木直子&绘本&日本&150cm&漫画&Life&生活&繪本,大田
https://book.douban.com/subject/27103840/,https://img3.doubanio.com/view/subject/s/public/s32265090.jpg,不靠谱的饭菜, ,8.5,942人,高木直子 / 锦小豆 / 百花洲文艺出版社 / 2017-7-1 / CNY 35.00,暂无,高木直子,高木直子&绘本&日本&美食&漫画&料理&生活&饮食,百花洲文艺出版社
https://book.douban.com/subject/25373041/,https://img2.doubanio.com/view/subject/s/public/s27034202.jpg,我和狗狗的16年, ,8.7,1848人,高木直子 / 黄悦生 / 北京联合出版公司 / 2013-9-1 / CNY 28.00,暂无,高木直子,高木直子&绘本&日本&狗狗&温情&漫画&成长&追忆,北京联合出版公司
https://book.douban.com/subject/1758767/,https://img2.doubanio.com/view/subject/s/public/s1689133.jpg,人气绘本天后高木直子作品典藏（全6册）, ,8.2,15017人,[日] 高木直子 / 洪俞君 / 陕西师范大学出版社 / 2007-4-1 / 120.00元,《人气绘本天后高木直子作品典藏》包括《150cm Life》（1、2、3）《一个人住第五年》《一个人上东京》《一个人的第一次》。2006年10月出版的《人气... ,高木直子,高木直子&绘本&日本&漫画&150cm生活&生活&一个人住第5年&一个人上东京,陕西师范大学出版社
https://book.douban.com/subject/26282049/,https://img1.doubanio.com/view/subject/s/public/s27995887.jpg,150cm life 2,一个人的小智慧,7.3,222人,[日]高木直子 / 常纯敏 / 北京联合出版公司 / 2013-5 / 49.90元,一个人依然过着150cm的生活，没有长高也没有变矮，坐公交车总是被挤得扁扁的；进入游泳池也只敢停留在130cm的地方，看牙总被医生说：再坐上来一点，再坐上来... ,高木直子,高木直子&绘本&日本&漫画&生活&治愈&绘本漫画&网易蜗牛读书,北京联合出版公司
https://book.douban.com/subject/5940434/,https://img9.doubanio.com/view/subject/s/public/s4707765.jpg,一个人的美食之旅, ,8.3,7243人,[日] 高木直子 / 陈怡君 / 江西科学技术出版社 / 2011-2 / 25.00元,"高木直子继续一个人旅行的风格,走遍日本9都府县,亲自品尝了43道美食,带领读者来一次最地道的日本美食之旅。而且全部是真实的店名、详细的店铺信息及地图指南，只... ",高木直子,高木直子&绘本&美食&日本&旅行&漫画&生活&食物,江西科学技术出版社
https://book.douban.com/subject/25843810/,https://img9.doubanio.com/view/subject/s/public/s27235884.jpg,一个人的幸福手作, ,7.8,1282人,高木直子 / 黄悦生 / 北京联合出版公司 / 2014-4-1 / CNY 28.00,《一个人的幸福手作》：这个时代几乎没有什么买不到，但亲自动手制作的东西更能让人感到幸福和温暖。每当找不到合用的家具、买不到称心的饰品，这个时候就自己动手吧！... ,高木直子,高木直子&绘本&日本&漫画&生活&手工&繪本&2014,北京联合出版公司
https://book.douban.com/subject/35496164/,https://img9.doubanio.com/view/subject/s/public/s33931034.jpg,30分老妈 1, ,8.4,58人,[日] 高木直子 / 吕点 / 新星出版社 / 2021-7 / 42.00,本作描绘的是20世纪70年代日本一个普通四口之家的日常生活。两个小调皮鬼的童年围绕着妈妈展开，但这个妈妈无论在家庭和工作方面，似乎都不能获得尽如人意的成绩—... ,高木直子,高木直子&漫画&日本&2021,新星出版社
https://book.douban.com/subject/4906101/,https://img2.doubanio.com/view/subject/s/public/s4463911.jpg,一个人旅行2, ,8.4,8728人,高木直子 / 陈怡君 / 江西科学技术出版社 / 2010年7月1日 / 25.00元,《一个人旅行2》讲述了：坐着卧铺列车去函馆吃了各式各样的美食；搭乘轮渡去四国吃遍了当地的乌冬面店，而且面对一览无遗的大海，在甲板上一个人唱起了独角戏……玩的... ,高木直子,高木直子&绘本&日本&旅行&漫画&一个人旅行&旅游&繪本,江西科学技术出版社
https://book.douban.com/subject/2040056/,https://img1.doubanio.com/view/subject/s/public/s2583797.jpg,150cm Life 3, ,8.2,4031人,高木直子 / 陳怡君 / 大田出版有限公司 / 20070326 / NT$220.00,暂无,高木直子,高木直子&绘本&日本&漫画&150cm&生活&150cm生活&繪本,大田出版有限公司
https://book.douban.com/subject/30309248/,https://img1.doubanio.com/view/subject/s/public/s32265627.jpg,已經不是一個人,高木直子40脫單故事,9.0,164人,高木直子 / 洪俞君 / 大田出版社 / 2018-9-1 / NTD 290,暂无,高木直子,高木直子&日本&绘本&生活&漫画&繪本&愛情&現代,大田出版社
https://book.douban.com/subject/35201682/,https://img9.doubanio.com/view/subject/s/public/s33757465.jpg,一个人住第9年, ,8.4,103人,[日] 高木直子 / 吕点 / 花城出版社 / 2020-8 / 42.00元,暂无,高木直子,高木直子&绘本&日本&生活&漫画&2020&通俗&2021,花城出版社
https://book.douban.com/subject/25789620/,https://img2.doubanio.com/view/subject/s/public/s29014432.jpg,一个人上东京, ,8.4,1095人,高木直子 / 常纯敏 / 北京联合出版公司 / 2013-7-1 / 28.00元,暂无,高木直子,高木直子&绘本&日本&漫画&成长&生活&理想&人生,北京联合出版公司
https://book.douban.com/subject/25947467/,https://img2.doubanio.com/view/subject/s/public/s27376903.jpg,一个人住的每一天, ,8.7,696人,高木直子 / 顾峰峰 / 中国民族摄影艺术出版社 / 2014-9-1 / 28.00,日本绘本天后高木直子的经典力作《一个人住的每一天》重装上市。本书是高木直子在杂志《尽情享受一个人的生活！》上发表的连载，加上一部分未发表的内容集结而成。杂志... ,高木直子,高木直子&绘本&日本&漫画&一个人&女性&生活&成长,中国民族摄影艺术出版社
https://book.douban.com/subject/1780565/,https://img1.doubanio.com/view/subject/s/public/s1651779.jpg,一個人的第一次, ,8.2,8751人,高木直子 / 常純敏 / 大田 / 2006-5-24 / 新台币88元,暂无,高木直子,高木直子&绘本&日本&一个人的第一次&漫画&生活&繪本&成长~,大田
https://book.douban.com/subject/35318803/,https://img3.doubanio.com/view/subject/s/public/s33798570.jpg,第一次一个人旅行 2, ,9.1,77人,[日] 高木直子 / 吕点 / 新星出版社 / 2021-1 / 42.00,&amp;nbsp; &amp;nbsp;作者喜爱旅游，更爱生活，通过幽默诙谐的笔触向读者们传达出她对生活的热爱。在生活节奏不断加快的现代社会，这部作品以温馨可爱的旅途经历... ,高木直子,高木直子&绘本&漫画&日漫&日本&旅行&天闻角川&上图,新星出版社
https://book.douban.com/subject/35496165/,https://img9.doubanio.com/view/subject/s/public/s33931036.jpg,30分老妈 2, ,8.8,31人,[日] 高木直子 / 小宝 / 新星出版社 / 2021-7 / 42.00,暂无,高木直子,高木直子&漫画&日本,新星出版社
https://book.douban.com/subject/25920002/,https://img2.doubanio.com/view/subject/s/public/s27316543.jpg,一个人Life：高木直子笔记本,日本绘本天后高木直子唯一授权简体中文版笔记本,8.5,136人,高木直子 绘 / 北京联合出版公司 / 2014-5-1 / 45.00,暂无,高木直子 绘,高木直子&绘本&日本&生活&漫画&正能量&绘画&随笔,北京联合出版公司
https://book.douban.com/subject/35451656/,https://img1.doubanio.com/view/subject/s/public/s33907898.jpg,再來一碗：高木直子全家吃飽飽萬歲！, ,,39人,高木直子 / 洪俞君 / 大田出版有限公司 / 2021-5-1 / NT$330,暂无,高木直子,高木直子&日本&绘本&2021,大田出版有限公司
https://book.douban.com/subject/3449759/,https://img3.doubanio.com/view/subject/s/public/s32265830.jpg,一个人漂泊的日子①, ,8.2,4977人,[日] 高木直子 图文 / 陈怡君 / 当代世界出版社 / 2009-1 / 25.00,工作、金钱、朋友全部归零的东京生活。紧握着远大梦想与手上的打工情报杂志，忐忑不安度日、屡屡遭遇挫折的那段“非常时期”，通通收录在这本书中。 ,高木直子 图文,高木直子&绘本&日本&漫画&生活&奋斗&一个人&日本漫画,当代世界出版社
https://book.douban.com/subject/35247276/,https://img1.doubanio.com/view/subject/s/public/s33930837.jpg,一个人的美食之旅, ,8.6,54人,[日] 高木直子 / 徐嘉悦 / 新星出版社 / 2020-11 / 42.00,本书是高木直子与伙伴们一起寻找日本各地美食的游记，从日本山形县到长崎、熊本县，直子尝遍了各地的特色美食，以食物为载体，向读者们展现了日本各地的风土人情。除了... ,高木直子,高木直子&日本&绘本&2021&美食&漫画&日漫&漫畫,新星出版社
https://book.douban.com/subject/1336968/,https://img9.doubanio.com/view/subject/s/public/s1361575.jpg,一個人上東京, ,8.4,13838人,高木直子 / 常純敏 / 大田出版 / 2005 / 新台币220元,追求理想奮鬥記，卯足精神求生存，一邊擦乾淚水，一邊勇敢向前走！高木直子為了實現「我想去東京當插畫家」的夢想，一個人離開老家到大城市闖蕩，將初次面試的緊張心情... ,高木直子,高木直子&绘本&日本&一個人上東京&漫画&一个人上东京&生活&繪本,大田出版
https://book.douban.com/subject/25842233/,https://img1.doubanio.com/view/subject/s/public/s27233809.jpg,150cm  Life3,一个人的尴尬事,7.8,222人,高木直子 / 陈怡君 / 北京联合出版公司 / 2013-7 / 28,因为150cm的身高，遇到了很多意想不到的尴尬事。空调遥控器坏掉时只能很恼火地跳着脚去按开关，看上的衣服总是没有合适自己的Size。可是没想到，那些让我们羡... ,高木直子,高木直子&绘本&日本&漫画&生活&日本绘本&日本文学&Kindle,北京联合出版公司
https://book.douban.com/subject/35273150/,https://img1.doubanio.com/view/subject/s/public/s33797258.jpg,第一次一个人旅行 1, ,7.8,94人,[日] 高木直子 / 吕点 / 新星出版社 / 2021-1 / ¥42.00,暂无,高木直子,高木直子&绘本&漫画&日本&生活&日漫&天闻角川&借阅,新星出版社
https://book.douban.com/subject/26253659/,https://img2.doubanio.com/view/subject/s/public/s32265441.jpg,一个人的美食跑跑跑·海外篇, ,8.7,786人,高木直子 / 香冰 / 湖南美术出版社 / 2014-11-1 / CNY 30.00,因为常年的运动不足，高木直子把心一横，决心向马拉松发起挑战！一边奔跑于马拉松比赛中，一边享受着沿途美景美食，这次更是冲出亚洲，为大家展现世界各地独特的有趣马... ,高木直子,高木直子&绘本&日本&美食&漫画&跑步&旅行&2014,湖南美术出版社
https://book.douban.com/subject/2258803/,https://img1.doubanio.com/view/subject/s/public/s2740797.jpg,一個人去旅行, ,8.3,8607人,[日] 高木直子 / 陳怡君 / 大田出版有限公司 / 2007-9-26 / 新台币250元,暂无,高木直子,高木直子&绘本&日本&一个人旅行&旅行&漫画&生活&游记,大田出版有限公司
https://book.douban.com/subject/25920004/,https://img1.doubanio.com/view/subject/s/public/s27761537.jpg,高木直子笔记本：一个人High,日本绘本天后高木直子唯一授权简体中文版笔记本,7.3,39人,高木直子 / 北京联合出版公司 / 2014-6-1 / CNY 45.00,暂无,高木直子,高木直子&绘本&生活&日本&漫画&正能量&已购入&随笔,北京联合出版公司
https://book.douban.com/subject/25810830/,https://img9.doubanio.com/view/subject/s/public/s27200774.jpg,第一次一个人旅行, ,8.2,1089人,[日] 高木直子 / 陈怡君 / 北京联合出版公司 / 2013-7 / 28.00元,大家好，我是高木直子。这一次，我借着“单独旅行新手”的名义，利用一年的时间，背起了行囊独自一人周游四海去。关于单独旅行这件事，我可是个不折不扣的菜鸟，种种迟... ,高木直子,高木直子&绘本&日本&旅行&漫画&游记&生活&日本文学,北京联合出版公司
https://book.douban.com/subject/10766040/,https://img1.doubanio.com/view/subject/s/public/s32265749.jpg,一個人去跑步：馬拉松2年級生, ,8.4,302人,高木直子 / 洪俞君 / 大田出版有限公司 / 2012-5-30 / NT$250,暂无,高木直子,高木直子&绘本&跑步&日本&马拉松&繪本&运动&漫画,大田出版有限公司
https://book.douban.com/subject/26901396/,https://img9.doubanio.com/view/subject/s/public/s29450294.jpg,一个人暖呼呼, ,7.7,142人,[日]高木直子 / 北京联合出版公司 / 2016-10 / 39.90元,暂无,高木直子,高木直子&绘本&日本&漫画&旅行&日本漫画&2016&日漫,北京联合出版公司
https://book.douban.com/subject/25712323/,https://img9.doubanio.com/view/subject/s/public/s27048526.jpg,一个人的美食之旅(第3版)(高木直子首发10周年纪念版), ,8.5,352人,[日] 高木直子 / 陈怡君 / 江西科学技术出版社 / 2013-7-1 / 28.00元,暂无,高木直子,高木直子&绘本&日本&美食&漫画&温暖&日本文学&繪本,江西科学技术出版社
https://book.douban.com/subject/27173015/,https://img2.doubanio.com/view/subject/s/public/s29580972.jpg,一个人住第9年,（第三版）,7.6,34人,高木直子 / 2013-7,暂无,高木直子,高木直子&日本&绘本&独居&漫画&人生&一个人&2013, 
