书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/33424453/,https://img9.doubanio.com/view/subject/s/public/s33619186.jpg,诡秘之主, ,8.6,6502人,爱潜水的乌贼 / 江苏凤凰文艺出版社 / 36.80元,暂无,爱潜水的乌贼,克苏鲁&蒸汽朋克&网络小说&奇幻&魔幻&◆小説,江苏凤凰文艺出版社
https://book.douban.com/subject/27131538/,https://img2.doubanio.com/view/subject/s/public/s29597721.jpg,白天的房子，夜晚的房子, ,8.6,6924人,[波兰] 奥尔加·托卡尔丘克 / 易丽君、袁汉镕 / 四川人民出版社 / 2017-12 / 60.00元,暂无,奥尔加·托卡尔丘克,魔幻&波兰文学&外国文学&小说&诺贝尔&波兰&奥尔加·托卡尔丘克&文学,四川人民出版社
https://book.douban.com/subject/1041007/,https://img2.doubanio.com/view/subject/s/public/s1557671.jpg,哈利·波特与魔法石, ,9.1,182297人,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,一岁的哈利・波特失去父母后，神秘地出现在姨父姨妈家的门前。哈利在姨父家饱受欺凌，度过十年极其痛苦的日子。姨父和姨妈好似凶神恶煞，他们那混世魔王儿子达力――一... ,J. K. 罗琳,J.K.罗琳&哈利波特&魔幻&小说&英国&哈利·波特&哈利・波特&外国文学,人民文学出版社
https://book.douban.com/subject/21979017/,https://img1.doubanio.com/view/subject/s/public/s27063429.jpg,魔戒, ,9.5,7465人,[英] J.R.R.托尔金 / 邓嘉宛、石中歌、杜蕴慈 / 上海人民出版社 / 2013-9 / 169.00元,暂无,J.R.R.托尔金,奇幻&J.R.R.托尔金&魔戒&小说&魔幻&外国文学&英国&托尔金,上海人民出版社
https://book.douban.com/subject/25826936/,https://img9.doubanio.com/view/subject/s/public/s27218035.jpg,冰与火之歌,（1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂,9.5,13616人,[美]乔治·R.R.马丁 / 谭光磊、屈畅、胡绍晏 / 重庆出版社 / 2013-10-1 / 330.00元,《冰与火之歌》（A Song of Ice and Fire）是由美国著名科幻奇幻小说家乔治·R·R·马丁（George R.R. Martin）所著的史诗... ,乔治·R.R.马丁,冰与火之歌&史诗&奇幻&魔幻小说&乔治·马丁&外国文学&魔幻&小说,重庆出版社
https://book.douban.com/subject/26904483/,https://img9.doubanio.com/view/subject/s/public/s33895236.jpg,蛙, ,8.7,8324人,莫言 / 浙江文艺出版社 / 2017-1 / 37.00元,本书为莫言于2002年动笔，又于2007年重起炉灶，完成于2009年的一部长篇小说。小说由剧作家蝌蚪写给日本作家杉谷义人的五封书信、四部长篇叙事和一部话剧组... ,莫言,莫言&社会问题&诺贝尔文学奖&中国当代文学&小说&魔幻&蛙&中国文学,浙江文艺出版社
https://book.douban.com/subject/1336330/,https://img9.doubanio.com/view/subject/s/public/s1358984.jpg,冰与火之歌（卷一）,权力的游戏,9.3,37663人,[美] 乔治·R. R. 马丁 / 谭光磊、屈畅 / 重庆出版社 / 2005-5 / 68.00元,《冰与火之歌》由美国著名科幻奇幻小说家乔治·R·R·马丁所著，是当代奇幻文学一部影响深远的里程碑式的作品。它于1996年刚一问世，便以别具一格的结构，浩瀚辽... ,乔治·R. R. 马丁,冰与火之歌&奇幻&乔治·马丁&史诗&小说&西方奇幻&魔幻&外国文学,重庆出版社
https://book.douban.com/subject/1009257/,https://img9.doubanio.com/view/subject/s/public/s1072746.jpg,哈利·波特与火焰杯, ,9.0,129382人,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2001-5 / 39.80元,暂无,J. K. 罗琳,哈利波特&J.K.罗琳&魔幻&小说&英国&哈利・波特&外国文学&HarryPotter,人民文学出版社
https://book.douban.com/subject/2295163/,https://img1.doubanio.com/view/subject/s/public/s2752367.jpg,哈利·波特与死亡圣器, ,9.0,104464人,[英] J. K. 罗琳 / 马爱农、马爱新 / 人民文学出版社 / 2007-10 / 66.00元,暂无,J. K. 罗琳,哈利波特&J.K.罗琳&魔幻&小说&英国&HarryPotter&哈利·波特&外国文学,人民文学出版社
https://book.douban.com/subject/35139961/,https://img2.doubanio.com/view/subject/s/public/s33717372.jpg,猎魔人（卷一）,白狼崛起（修订本）,8.8,600人,[波兰] 安杰伊·萨普科夫斯基 / 乌兰、赵琳、小龙 / 重庆出版社 / 2020-8 / 72.8,暂无,安杰伊·萨普科夫斯基,奇幻&波兰&小说&猎魔人&魔幻&外国文学&长篇小说&电子版,重庆出版社
https://book.douban.com/subject/35060745/,https://img9.doubanio.com/view/subject/s/public/s33759686.jpg,百年孤独,插图纪念版,9.5,505人,[哥伦比亚] 加西亚·马尔克斯、[智] 路易莎·里维拉 绘 / 范晔 / 南海出版公司 / 2020-9-8 / 128.00元,暂无,加西亚·马尔克斯&路易莎·里维拉 绘,马尔克斯&拉美文学&魔幻&外国文学&经典&文学&小说&哥伦比亚,南海出版公司
https://book.douban.com/subject/27124847/,https://img2.doubanio.com/view/subject/s/public/s29553843.jpg,葡萄牙的高山, ,8.5,6895人,[加拿大] 扬·马特尔 / 亚可 / 北京联合出版公司 / 2017-11-1 / 58.00元,暂无,扬·马特尔,扬·马特尔&魔幻现实&外国文学&小说&外国小说&文学&加拿大&魔幻,北京联合出版公司
