书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/26585065/,https://img3.doubanio.com/view/subject/s/public/s29497110.jpg,亲密关系, ,9.3,12473人,[美]罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 / 人民邮电出版社 / 2015-6 / 138.00元,亲密关系与泛泛之交有什么区别；大丈夫与小女子真的般配吗；吸引力的秘密是什么；男人与女人真的是不同的动物吗；同性恋真的是由基因决定的吗；单亲家庭的孩子长大后更... ,罗兰·米勒,心理学&亲密关系&人际关系&社会心理学&情感&心理&两性&爱情,人民邮电出版社
https://book.douban.com/subject/5952488/,https://img1.doubanio.com/view/subject/s/public/s4643548.jpg,亲密关系（第5版）, ,9.0,16455人,[美] 罗兰·米勒、[美] 丹尼尔·珀尔曼 / 王伟平 / 人民邮电出版社 / 2011-1-1 / 68.00元,暂无,罗兰·米勒&丹尼尔·珀尔曼,心理学&亲密关系&人际关系&爱情心理&心理&爱情&成长&社会学,人民邮电出版社
https://book.douban.com/subject/26363229/,https://img9.doubanio.com/view/subject/s/public/s28045305.jpg,亲密关系：通往灵魂的桥梁, ,7.6,12126人,[加]克里斯多福•孟 / 张德芬、余蕙玲 / 湖南文艺出版社 / 2015-4 / 35.00,暂无,克里斯多福•孟,亲密关系&心理学&人际关系&沟通&心灵与修养&心理&成长&爱情,湖南文艺出版社
https://book.douban.com/subject/1035517/,https://img2.doubanio.com/view/subject/s/public/s1372053.jpg,男人这东西,渡边淳一作品,7.5,13074人,[日]渡边淳一 / 炳坤 郑成 / 文化艺术出版社 / 2004-02 / 24.00,渡边淳一依据自身亲身观察与体验写的《男人这东西》，  在日本出版后曾引起巨大反响。作者用文学的笔法分析了男人与女人的性心理发育过程，着力探索计策性活动的文学... ,渡边淳一,渡边淳一&心理&日本&男性&心理学&男人这东西&日本文学&两性,文化艺术出版社
https://book.douban.com/subject/34460345/,https://img1.doubanio.com/view/subject/s/public/s33438927.jpg,李银河说爱情, ,8.1,9426人,李银河 / 北京十月文艺出版社 / 2019-8 / 45.00元,暂无,李银河,李银河&爱情&社会学&两性&女性&情感&社会学＆人类学&心理学,北京十月文艺出版社
https://book.douban.com/subject/35153840/,https://img2.doubanio.com/view/subject/s/public/s33693883.jpg,欲望的演化（最新修订版）,人类的择偶策略,8.5,454人,[美]戴维·巴斯 / 王叶、谭黎 / 中国人民大学出版社 / 2020-8 / 79.8,暂无,戴维·巴斯,心理学&进化心理学&社会学&两性&科普&社科&进化&美国,中国人民大学出版社
https://book.douban.com/subject/6507262/,https://img2.doubanio.com/view/subject/s/public/s6639653.jpg,如何让你爱的人爱上你, ,7.4,6280人,[美] 莉尔·朗兹 / 毛燕鸿 / 新世界出版社 / 2011-6 / 38.50元,暂无,莉尔·朗兹,恋爱&情感&心理学&爱情&两性&心理&社会心理学&婚恋,新世界出版社
https://book.douban.com/subject/34905537/,https://img2.doubanio.com/view/subject/s/public/s33537302.jpg,好的婚姻，要守护财产和爱,人人都需要的婚姻安全必修课,8.8,2540人,吴杰臻 / 北京联合出版有限公司 / 2019-12 / 49.80元,世界变化越来越快，离婚大战在我们身边时有上演。作为一名离婚律师，吴杰臻律师目睹了婚姻百态，当“教人离婚”成为日常工作时，他也在不断对婚姻进行思考，希望能从中... ,吴杰臻,婚姻&法律&科普&法律司法&两性&干货&心理学,北京联合出版有限公司
https://book.douban.com/subject/25809012/,https://img2.doubanio.com/view/subject/s/public/s27256973.jpg,爱的博弈,建立信任、避免背叛与不忠,7.9,2947人,约翰·戈特曼 (John Gottman)、娜恩·西尔弗 (Nan Silver) / 穆君、伏维 / 浙江人民出版社 / 2014-1-1 / 49.90,暂无,约翰·戈特曼&娜恩·西尔弗,心理学&亲密关系&爱情&两性&情感&心理&婚姻&沟通,浙江人民出版社
https://book.douban.com/subject/25891771/,https://img1.doubanio.com/view/subject/s/public/s27301157.jpg,失乐园, ,7.7,26747人,[日]渡边淳一 / 竺家荣 / 北京联合出版公司 / 2014-6 / 39.80元,暂无,渡边淳一,渡边淳一&情爱&日本文学&两性&日本&爱情&小说&情感,北京联合出版公司
https://book.douban.com/subject/34857213/,https://img2.doubanio.com/view/subject/s/public/s33608582.jpg,亲密陷阱,爱、欲望与平衡艺术,8.1,932人,[比利时]埃丝特•佩瑞尔（Esther Perel) / 若水 / 上海社会科学院出版社|青豆书坊 / 2019-10 / 46.8 元,好的婚姻，一半是爱，一半是性。本书被誉为性萧条时期亲密关系构建指南，是当代亲密关系领域洞察力先锋埃丝特•佩瑞尔的经典之作，帮你拥有真挚永恒的亲密关系，让浪漫... ,埃丝特•佩瑞尔,亲密关系&心理学&两性&婚姻&情感&爱&女性&成长,上海社会科学院出版社
https://book.douban.com/subject/35016930/,https://img2.doubanio.com/view/subject/s/public/s33630391.jpg,男性的衰落, ,7.9,1887人,[英]格雷森·佩里（Grayson Perry） / 张艳、许敏 / 湖南文艺出版社 / 2020-6 / 59.00元,暂无,格雷森·佩里,性别研究&社会学&男性&两性&社会&英国&文化&读书,湖南文艺出版社
https://book.douban.com/subject/35544971/,https://img3.doubanio.com/view/subject/s/public/s33955580.jpg,李银河谈亲密关系, ,6.5,505人,李银河 / 湖南文艺出版社 / 2021-8 / 59.80,暂无,李银河,李银河&亲密关系&女性&两性&爱情&随笔&2021&闲书,湖南文艺出版社
