书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/26585065/,https://img3.doubanio.com/view/subject/s/public/s29497110.jpg,亲密关系, ,9.3,12473人,[美]罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 / 人民邮电出版社 / 2015-6 / 138.00元,亲密关系与泛泛之交有什么区别；大丈夫与小女子真的般配吗；吸引力的秘密是什么；男人与女人真的是不同的动物吗；同性恋真的是由基因决定的吗；单亲家庭的孩子长大后更... ,罗兰·米勒,心理学&亲密关系&人际关系&社会心理学&情感&心理&两性&爱情,人民邮电出版社
https://book.douban.com/subject/3533221/,https://img1.doubanio.com/view/subject/s/public/s9346487.jpg,非暴力沟通, ,8.4,54748人,[美] 马歇尔·卢森堡 / 阮胤华 / 华夏出版社 / 2009-1 / 29.00元,作为一个遵纪守法的好人，也许我们从来没有想过和“暴力”扯上关系。不过如果稍微留意一下现实生活中的谈话方式，并且用心体会各种谈话方式给我们的不同感受，我们一定... ,马歇尔·卢森堡,心理学&沟通&人际沟通&非暴力沟通&人际关系&心理&沟通术&自我管理,华夏出版社
https://book.douban.com/subject/25985683/,https://img2.doubanio.com/view/subject/s/public/s28324472.jpg,人性的弱点,如何赢取友谊与影响他人,7.7,15047人,戴尔·卡耐基 (Dale Carnegie) / 陶曚 / 天津人民出版社 / 2014-9 / 32.00元,暂无,戴尔·卡耐基,人际关系&心理学&人性的弱点&个人管理&心理&卡耐基&好书，值得一读&自我探索,天津人民出版社
https://book.douban.com/subject/5952488/,https://img1.doubanio.com/view/subject/s/public/s4643548.jpg,亲密关系（第5版）, ,9.0,16455人,[美] 罗兰·米勒、[美] 丹尼尔·珀尔曼 / 王伟平 / 人民邮电出版社 / 2011-1-1 / 68.00元,暂无,罗兰·米勒&丹尼尔·珀尔曼,心理学&亲密关系&人际关系&爱情心理&心理&爱情&成长&社会学,人民邮电出版社
https://book.douban.com/subject/25808713/,https://img2.doubanio.com/view/subject/s/public/s27198442.jpg,人间游戏,人际关系心理学,7.7,357人,[美] Eric Berne / 刘玎 / 中国轻工业出版社 / 2014-2-1 / 36,沟通分析技术（TA）创始人艾瑞克·伯恩的最畅销著作《人间游戏》(Games People Play)，自1962年问世以来，50年畅销不衰，累计销售超过50... ,Eric Berne,心理学&人际关系&心理&社会心理学&心理治疗&沟通&社交&社会学,中国轻工业出版社
https://book.douban.com/subject/26363229/,https://img9.doubanio.com/view/subject/s/public/s28045305.jpg,亲密关系：通往灵魂的桥梁, ,7.6,12126人,[加]克里斯多福•孟 / 张德芬、余蕙玲 / 湖南文艺出版社 / 2015-4 / 35.00,暂无,克里斯多福•孟,亲密关系&心理学&人际关系&沟通&心灵与修养&心理&成长&爱情,湖南文艺出版社
https://book.douban.com/subject/35519608/,https://img2.doubanio.com/view/subject/s/public/s33941321.jpg,非暴力沟通, ,8.5,122人,[美]马歇尔·卢森堡 / 刘轶 / 华夏出版社 / 2021-5 / 59.8,暂无,马歇尔·卢森堡,沟通&心理学&人际关系&情绪管理&关系&2021&亲密关系&生活,华夏出版社
https://book.douban.com/subject/10586741/,https://img1.doubanio.com/view/subject/s/public/s9063857.jpg,关键对话,如何高效能沟通（原书第2版）,8.2,5969人,（美）科里·帕特森（Kerry Patterson）、约瑟夫·格雷尼（Joseph Grenny）、罗恩·麦克米兰（Ron McMillan） / 毕崇毅 / 机械工业出版社 / 2012-4 / 39.00元,暂无,科里·帕特森&约瑟夫·格雷尼&罗恩·麦克米兰,沟通&沟通技巧&人际关系&心理学&个人成长&个人管理&职场&管理,机械工业出版社
https://book.douban.com/subject/35440574/,https://img1.doubanio.com/view/subject/s/public/s33880228.jpg,阅人无数,突破沟通中的艰难时刻,8.8,145人,[英] 艾米丽·艾莉森、[英] 劳伦斯·艾莉森 / 侯奕茜 / 中信出版集团 / 2021-4-24 / 58.00元,在未来10年，我们的工作和生活能否取得进一步突破，将取决于人，取决于我们能否应对形形色色的人。“我是不是应该找他谈谈，还是忍一忍算了？”生活中，我们总会遇到... ,艾米丽·艾莉森&劳伦斯·艾莉森,沟通&人际关系&心理学&社会学&社会关系&人生智慧&方法论&治愈,中信出版集团
https://book.douban.com/subject/1444900/,https://img2.doubanio.com/view/subject/s/public/s24492121.jpg,爱的五种语言,创造完美的两性沟通,8.6,5314人,盖瑞·查普曼 / 王云良 / 中国轻工业出版社 / 2006-8 / 20.00元,《爱的五种语言》值得婚前的恋爱男女阅读，更值得已婚的夫妻阅读，在离婚率高涨的今天，这本书实在是无价的。《爱的五种语言》持续50周出现在《出版者周刊》的畅销书... ,盖瑞·查普曼,爱情&心理学&爱的五种语言&婚姻&交流，婚姻，人际关系&爱&人际关系&心理,中国轻工业出版社
https://book.douban.com/subject/2328178/,https://img9.doubanio.com/view/subject/s/public/s2852955.jpg,态度改变与社会影响, ,9.0,2397人,[美] 菲利普·津巴多、[美] 迈克尔·利佩 / 邓羽、肖莉、唐小艳、等 / 人民邮电出版社 / 2007-11-1 / 68.00元,暂无,菲利普·津巴多&迈克尔·利佩,心理学&社会心理学&态度改变与社会影响&社会学&心理&思维&津巴多&人际关系,人民邮电出版社
https://book.douban.com/subject/26275861/,https://img2.doubanio.com/view/subject/s/public/s27920443.jpg,沟通的艺术（插图修订第14版）,看入人里，看出人外,8.5,5553人,[美]罗纳德·B·阿德勒、拉塞尔·F·普罗科特 / 黄素菲、李恩 / 世界图书出版公司·后浪出版公司 / 2015-1 / 68.00元,暂无,罗纳德·B·阿德勒&拉塞尔·F·普罗科特,沟通&人际关系&心理学&技能技巧&情商&表达&心理&成长,世界图书出版公司·后浪出版公司
https://book.douban.com/subject/26801314/,https://img3.doubanio.com/view/subject/s/public/s28748370.jpg,人性的弱点, ,8.1,1730人,[美] 戴尔·卡耐基 / 朱凡希、王林 / 译林出版社 / 2016-6 / 28.00元,本书主要讲述了如何构建成功的人际关系，主要包括商务沟通和与人交往的策略，以及如何处理好与家人的关系，从而为你事业的成功打下良好的基础。作为卡耐基最成功的励志... ,戴尔·卡耐基,人际关系&心理&个人提升之沟通&情商&卡耐基&实用沟通经典&心灵&名著,译林出版社
