书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35332778/,https://img1.doubanio.com/view/subject/s/public/s33821128.jpg,我们为什么要睡觉？, ,8.5,1793人,[英] 马修·沃克 / 田盈春 / 后浪丨北京联合出版公司 / 2021-3 / 60.00元,暂无,马修·沃克,睡眠&科普&健康&生活&治愈&奇怪的东西&运动健身&英国,后浪丨北京联合出版公司
https://book.douban.com/subject/35604398/,https://img9.doubanio.com/view/subject/s/public/s34001916.jpg,病人家属，请来一下, ,8.4,698人,王兴 / 上海译文出版社 / 2021-9-1 / 48,暂无,王兴,医学&科普&健康&癌症&死亡&上海译文出版社&中国&2021,上海译文出版社
https://book.douban.com/subject/27590675/,https://img1.doubanio.com/view/subject/s/public/s29845298.jpg,你是你吃出来的,吃对少生病，病了这样吃,8.9,5663人,夏萌 / 江西科学技术出版社 / 2017-9-1 / 49.8,暂无,夏萌,健康&饮食&营养学&健康管理&营养&养生&科普&自我管理,江西科学技术出版社
https://book.douban.com/subject/35510592/,https://img2.doubanio.com/view/subject/s/public/s34069451.jpg,癌症·防御, ,9.1,198人,李治中（菠萝） / 中信出版社 / 2021-7 / 59.8,暂无,李治中,科普&健康&医学&癌症&医疗&生活&工具书&通俗,中信出版社
https://book.douban.com/subject/35643334/,https://img2.doubanio.com/view/subject/s/public/s34038832.jpg,身体由我,关于了不起的女性身体的一切,8.4,131人,[德] 希拉·德利兹 著、[德] 路易莎·施托默尔 绘 / 马心湖 / 北京科学技术出版社 / 2021-12 / 69.00元,暂无,希拉·德利兹 著&路易莎·施托默尔 绘,女性&科普&健康&生理学&医学&女性主义&性&博物,北京科学技术出版社
https://book.douban.com/subject/26706730/,https://img1.doubanio.com/view/subject/s/public/s28381539.jpg,肠子的小心思, ,8.9,9827人,【德】朱莉娅·恩德斯 / 钱为 / 江苏凤凰科学技术出版社 / 2016-1 / 38.00元,暂无,朱莉娅·恩德斯,科普&健康&医学&健康类图书&好书，值得一读&德国,江苏凤凰科学技术出版社
https://book.douban.com/subject/30354451/,https://img2.doubanio.com/view/subject/s/public/s32311632.jpg,皮肤的秘密,关于人体最大器官的一切,8.0,6283人,[德]耶尔•阿德勒 (Yael Adler)、[德]卡提雅•史匹哲 (Katja Spitzer )  绘 / 刘立 / 东方出版社 / 2019-2 / 59.00元,暂无,耶尔•阿德勒&卡提雅•史匹哲 [Katja Spitzer ]  绘,皮肤&健康&科普&美容&医学&生活&生物科普&科学和心理学,东方出版社
https://book.douban.com/subject/35673060/,https://img1.doubanio.com/view/subject/s/public/s34049558.jpg,疲劳自救手册,用认知行为疗法找回元气满满的自己,6.7,171人,[英] 玛丽·伯吉斯、[英] 特鲁迪·查尔德 / 张淼 / 后浪丨广东旅游出版社 / 2021-11,暂无,玛丽·伯吉斯&特鲁迪·查尔德,健康&认知行为疗法&心理&个人管理&心理学&认知科学&后浪&思维模式,后浪丨广东旅游出版社
https://book.douban.com/subject/34842793/,https://img2.doubanio.com/view/subject/s/public/s33514773.jpg,薄世宁医学通识讲义,一生需要上一次医学院,8.8,3293人,薄世宁 / 中信出版集团 / 2019-10 / 69.00元,医学，面对的是复杂的生命现象，既是最新科学技术的主战场，也是人类自我关怀和探寻生命意义的最前沿。人在一生中，难免要面对疾病的来临与生命的诘问，以医学的思维面... ,薄世宁,医学&科普&健康&认知&思维,中信出版集团
https://book.douban.com/subject/35041685/,https://img9.doubanio.com/view/subject/s/public/s33677194.jpg,人体简史,你的身体30亿岁了,8.6,3486人,[英] 比尔·布莱森 / 闾佳 / 文汇出版社 / 2020-6-1 / 69.9,暂无,比尔·布莱森,科普&生物学&健康&生物&冷知识&比尔·布莱森&英国&2020,文汇出版社
https://book.douban.com/subject/20507206/,https://img1.doubanio.com/view/subject/s/public/s24598159.jpg,众病之王,癌症传,9.0,11084人,[美] 悉达多·穆克吉 / 李虎 / 中信出版社 / 2013-2 / 42.00元,《众病之王：癌症传》是一部饱含人文主义色彩的社科文化著作。作者悉达多•穆克吉历时六年，凭借翔实的历史资料、专业文献、媒体报道、患者专访等众多信息，向读者阐述... ,悉达多·穆克吉,科普&医学&癌症&医学人文&健康&疾病&社会学&美国,中信出版社
https://book.douban.com/subject/35219154/,https://img2.doubanio.com/view/subject/s/public/s33837952.jpg,戒糖,改变一生的科学饮食法,7.6,960人,初夏之菡（罗晓） / 中信出版集团 / 2020-9 / 49.00元,暂无,初夏之菡,健康&饮食&营养学&科普&身体&生活&美食&好书，值得一读,中信出版集团
https://book.douban.com/subject/34462719/,https://img9.doubanio.com/view/subject/s/public/s33458976.jpg,女生呵护指南,一定要知道的关于女生的那些事儿,8.1,4057人,六层楼 / 浙江科学技术出版社 / 2019-7-1 / 78.00,从“大姨妈”的初次拜访开始，女生就和这位“亲戚”有了扯不断的关系。从小女孩逐渐成长为魅力女性的过程中，除了欣喜和向往，随之而来的还有迷茫、敏感、难言和不安。... ,六层楼,女性&科普&健康&医学&生活&好书，值得一读&指南,浙江科学技术出版社
https://book.douban.com/subject/26592648/,https://img9.doubanio.com/view/subject/s/public/s29459056.jpg,癌症·真相,医生也在读,8.9,4552人,菠萝 / 清华大学出版社 / 2015-9-1 / 39.00元,暂无,菠萝,科普&医学&癌症&健康&科学&中国&只有医生知道,清华大学出版社
https://book.douban.com/subject/26795949/,https://img1.doubanio.com/view/subject/s/public/s28742829.jpg,中国居民膳食指南（2016）, ,8.7,968人,中国营养学会 / 人民卫生出版社 / 2016-5 / 68.00元,为了指导居民合理选择食物，科学搭配食物，吃的营养，吃的健康，从而增强体质，预防疾病，我国于1989年首次发布了我国居民膳食指南，之后于1997年和2007年... ,中国营养学会,健康&营养学&营养&科普&生活&健身,人民卫生出版社
https://book.douban.com/subject/35649768/,https://img9.doubanio.com/view/subject/s/public/s34031986.jpg,不可思议的人体, ,8.6,130人,[日] 茨木保 / 周岩蕾 / 后浪｜北京联合出版公司 / 2021-11 / 39.80元,暂无,茨木保,科普&医学&漫画&人体&日本&健康&生活&后浪,后浪｜北京联合出版公司
https://book.douban.com/subject/30437166/,https://img2.doubanio.com/view/subject/s/public/s33686153.jpg,饮食的迷思,关于营养、健康和遗传的科学真相,8.3,2180人,[英] 蒂姆·斯佩克特 / 李超群 / 广西师范大学出版社 / 2019-3 / 52.00,暂无,蒂姆·斯佩克特,饮食&健康&营养学&科普&食物&养生&生活&健身,广西师范大学出版社
https://book.douban.com/subject/30157798/,https://img3.doubanio.com/view/subject/s/public/s33485430.jpg,健身营养全书,关于力量与肌肉的营养策略,9.4,782人,克里斯蒂安·冯·勒费尔霍尔茨 / 庄仲华 / 北京科学技术出版社 / 2018-4-1 / 98.00元,本书作者克里斯蒂安 冯 勒费尔霍尔茨博士是一名医生和营养学家，多年来也积极进行力量训练和对抗性体育运动。他以德国式的严谨科学方法，深入剖析了七大基本营养素对... ,克里斯蒂安·冯·勒费尔霍尔茨,健身&营养&运动健身&健康&饮食&营养学&自我管理&美食,北京科学技术出版社
https://book.douban.com/subject/27023900/,https://img1.doubanio.com/view/subject/s/public/s29437927.jpg,睡眠革命,如何让你的睡眠更高效,7.4,7490人,[英] 尼克·利特尔黑尔斯 / 王敏 / 北京联合出版公司 / 2017-6 / 49.80元,暂无,尼克·利特尔黑尔斯,睡眠&健康&生活方式&个人管理&睡眠革命&科普&生活&自我管理,北京联合出版公司
https://book.douban.com/subject/25755874/,https://img9.doubanio.com/view/subject/s/public/s28061126.jpg,运动改造大脑, ,7.5,2034人,[美] 约翰•瑞迪（John Ratey）、埃里克•哈格曼（Eric Hagerman） / 浦溶 / 浙江人民出版社 / 2013-11 / 49.90元,暂无,约翰•瑞迪&埃里克•哈格曼,运动&健康&心理学&科普&大脑&思维&脑&自我管理,浙江人民出版社
https://book.douban.com/subject/3529721/,https://img9.doubanio.com/view/subject/s/public/s28331406.jpg,"""赤脚医生""手册", ,8.8,109人,上海中医学院 等编写、上海出版系统出版革命组 编辑 / 上海科学技术出版社 / 1969-12 / 1.30,暂无,上海中医学院 等编写&上海出版系统出版革命组 编辑,医学&科普&健康&中国&手册,上海中医学院 等编写、上海出版系统出版革命组 编辑
https://book.douban.com/subject/35233219/,https://img9.doubanio.com/view/subject/s/public/s33744385.jpg,饮食术,风靡日本的科学饮食教科书,7.4,1234人,[日] 牧田善二 / 肖爽、梁永宣 / 中国中医药出版社 / 2020-10 / 59.80元,您知道吗？许多身体不适都和不健康的饮食方式有关——不断悄悄增加的体重减不下来、血压过高、容易疲劳、工作中容易犯困、注意力不能持续集中……这些困扰我们的疾病和... ,牧田善二,饮食&健康&科普&个人管理&日本文学&2020&规划&我盯你很久了,中国中医药出版社
https://book.douban.com/subject/20431965/,https://img1.doubanio.com/view/subject/s/public/s24511478.jpg,只有医生知道!,@协和张羽 发给天下女人的私信,8.5,14017人,张羽 / 江苏人民出版社 / 2013-1 / 35.00元,这是一本有关女性的百科全书。抱着“大医治未病”的愿景，作者通过一个个生动的故事，在幽默而不乏温情的叙述中，力图帮助女性真正了解自己的身体，懂得爱护并且知道如... ,张羽,女性&医学&健康&科普&只有医生知道&张羽&医疗&身体,江苏人民出版社
https://book.douban.com/subject/27131873/,https://img2.doubanio.com/view/subject/s/public/s29542473.jpg,每个人的战争,抵御癌症的有效生活方式,8.4,1286人,[法]大卫•塞尔旺-施莱伯 / 张俊 / 理想国丨广西师范大学出版社 / 2017-9-30 / 56.00元,暂无,大卫•塞尔旺-施莱伯,健康&医学&健康生活&癌症&科普&生活&医疗&科学,理想国丨广西师范大学出版社
https://book.douban.com/subject/35601622/,https://img9.doubanio.com/view/subject/s/public/s33998136.jpg,大脑保养刻不容缓, ,8.4,54人,〔俄〕弗拉基米尔·雅科夫  列夫·韦纳、〔俄〕玛丽娜·索伯·潘尼克、人天兀鲁思 出品 / 哈尔滨出版社 / 2021-9 / 53.00元,本书是一本由俄罗斯科学杂志编剧所著的医学与保健书籍，主要针对我们的大脑的研究提供有利于大脑的保健知识，比如我们焦虑、头昏、记忆力减退等问题，都源于大脑，本书... ,〔俄]弗拉基米尔·雅科夫  列夫·韦纳&〔俄]玛丽娜·索伯·潘尼克&人天兀鲁思 出品,健康&科普&心理&博物&工具书&医学&好书，值得一读&方法论,哈尔滨出版社
https://book.douban.com/subject/30436198/,https://img9.doubanio.com/view/subject/s/public/s33861475.jpg,吃出自愈力,哈佛医学专家讲述饮食的神奇作用,7.5,234人,[美] 威廉•W.李 / 湖南科学技术出版社 / 2021-4 / 78.00元,暂无,威廉•W.李,健康&营养学&饮食&科普&养生&美食&生活&随便看看,湖南科学技术出版社
https://book.douban.com/subject/35043425/,https://img3.doubanio.com/view/subject/s/public/s33627300.jpg,免疫功能90天复原方案, ,7.9,122人,【美】 苏珊·布卢姆、【美】 米歇尔·本德 / 王树岩 / 北京科学技术出版社 / 2020-6 / 79.00,暂无,苏珊·布卢姆&米歇尔·本德,健康&科普&医学&生活&管理&美国&2021,北京科学技术出版社
https://book.douban.com/subject/34454455/,https://img9.doubanio.com/view/subject/s/public/s33463715.jpg,改变你的作息，改变你的生活, ,8.1,443人,(印度) 苏哈斯·克什尔萨加尔、(美) 米歇尔·西顿 / 孙锦甜 / 北京联合出版公司 / 2019-7 / 58,暂无,苏哈斯·克什尔萨加尔&米歇尔·西顿,健康&自我管理&个人管理&生活&习惯,北京联合出版公司
