书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/27590675/,https://img1.doubanio.com/view/subject/s/public/s29845298.jpg,你是你吃出来的,吃对少生病，病了这样吃,8.8,5786人,夏萌 / 江西科学技术出版社 / 2017-9-1 / 49.8,暂无,夏萌,健康&饮食&营养学&健康管理&营养&养生&科普&自我管理,江西科学技术出版社
https://book.douban.com/subject/35694184/,https://img9.doubanio.com/view/subject/s/public/s34063534.jpg,更年期年轻人：身体漏洞修复指南, ,9.5,29人,徐昊 / 贵州科技出版社 / 2021-11 / 52.80,暂无,徐昊,健康&养生&保健&我想读这本书&认知&管理,贵州科技出版社
https://book.douban.com/subject/35606888/,https://img1.doubanio.com/view/subject/s/public/s34002839.jpg,康养实用技术, ,8.7,47人,王洪刚 / 华龄出版社 / 2021-9 / 66.00元,《康养实用技术》，是王洪刚先生“古法经络养生方法”的全面总结，以“破译人体经络密码”为开篇，详述经络理论，经络不通之因，经络调治之理。以“常用的家庭经络调养... ,王洪刚,养生&科普&健康&实用&好书，值得一读&社会学&文学&技巧,华龄出版社
https://book.douban.com/subject/23860392/,https://img2.doubanio.com/view/subject/s/public/s26305703.jpg,人体使用手册, ,8.2,463人,吴清忠 / 上海交通大学出版社 / 2013-4-1 / 38.00元,暂无,吴清忠,中医&健康&养生&科普&理念,上海交通大学出版社
https://book.douban.com/subject/30437166/,https://img2.doubanio.com/view/subject/s/public/s33686153.jpg,饮食的迷思,关于营养、健康和遗传的科学真相,8.3,2203人,[英] 蒂姆·斯佩克特 / 李超群 / 广西师范大学出版社 / 2019-3 / 52.00,暂无,蒂姆·斯佩克特,饮食&健康&营养学&科普&食物&养生&生活&健身,广西师范大学出版社
https://book.douban.com/subject/35219699/,https://img2.doubanio.com/view/subject/s/public/s33733463.jpg,减糖生活, ,7.4,593人,[日] 水野雅登 / 果露怡 / 江西科学技术出版社 / 2020-10 / 58.00,近年来，越来越多的人开始加入减糖生活的行列。然而，不少人都不知道应该如何在平日的饮食生活中正确减糖。我们的饮食习惯一般都以米饭、面食为主，辅以肉类、蔬菜和汤... ,水野雅登,健康&减肥&养生&瘦身&自我管理&日本&跑步&英语,江西科学技术出版社
https://book.douban.com/subject/1221145/,https://img2.doubanio.com/view/subject/s/public/s1167442.jpg,金丹养生的秘密:《太乙金华宗旨》语译评介, ,9.8,44人,张其成 / 张其成 / 华夏出版社 / 2005-1 / 15.00元,暂无,张其成,道家&养生&哲学&道学&丹道&psychology,华夏出版社
https://book.douban.com/subject/30436198/,https://img9.doubanio.com/view/subject/s/public/s33861475.jpg,吃出自愈力,哈佛医学专家讲述饮食的神奇作用,7.5,241人,[美] 威廉•W.李 / 湖南科学技术出版社 / 2021-4 / 78.00元,暂无,威廉•W.李,健康&营养学&饮食&科普&养生&美食&生活&随便看看,湖南科学技术出版社
https://book.douban.com/subject/35431666/,https://img3.doubanio.com/view/subject/s/public/s33874230.jpg,真原医,21世纪完整的预防医学,7.5,170人,杨定一 / 华龄出版社 / 2021-5-1 / 69.00,“世界预防医学领域天才中的天才”杨定一博士现象级著作。中国台湾热卖排行 NO.1  狂销 30 万册！从日常的保健方式中，参透你不懂的身体科学，人人都是更明... ,杨定一,医学&健康&保健&自我成长&心理学&养生&生活&好书，值得一读,华龄出版社
https://book.douban.com/subject/35340053/,https://img9.doubanio.com/view/subject/s/public/s33812756.jpg,你是你吃出来的2,慢病康复的饮食密码,8.0,445人,夏萌 / 科学技术文献出版社 / 2021-1-1 / 49.8元,本书是一本针对高血压、高脂血、糖尿病、痛风等慢病患者、亚健康人群从临床医学角度提出营养治病调理思路和方案的临床营养实践类图书。营养专家夏萌老师总结几十年临床... ,夏萌,健康&饮食&营养&营养学&养生&科普&2021&医学,科学技术文献出版社
https://book.douban.com/subject/35002434/,https://img9.doubanio.com/view/subject/s/public/s33599395.jpg,再读黄帝内经,探寻生命科学,9.6,113人,上海科学技术文献出版社 / 2020-3 / 88,作者二十年来效法古人，在临床通过“移精变气”的手法，治病救人，不断印证内经理论的科学，并结合秦汉时期的天文地理、医学成就等时代背景，追根溯源，重走古人生命探... ,上海科学技术文献出版社,养生&修行&经络,上海科学技术文献出版社
https://book.douban.com/subject/1254942/,https://img2.doubanio.com/view/subject/s/public/s8920051.jpg,黄帝内经, ,9.3,1980人,(唐)王冰 注 / 王冰 注解 / 中医古籍出版社 / 2003-11 / 30.00元,《黄帝内经》是我国现存医书中最早的典籍之一，成书于战国至秦汉时期，是我国劳动人民长期与疾病做斗争的经验总结。它的问世，开创了中医学独特的理论体系，标志着祖国... ,王冰 注,中医&黄帝内经&养生&国学&经典&中国古典&健康&医学,中医古籍出版社
https://book.douban.com/subject/26377453/,https://img1.doubanio.com/view/subject/s/public/s28991848.jpg,谷物大脑, ,7.1,2946人,（美）戴维•珀尔玛特（David Perlmutter）、克里斯廷•洛伯格（Kristin Loberg） / 温旻 / 机械工业出版社 / 2015-5-20 / 45.00元,暂无,戴维•珀尔玛特&克里斯廷•洛伯格,健康&饮食&营养学&科普&饮食文化&养生&大脑&个人管理,机械工业出版社
https://book.douban.com/subject/35413591/,https://img1.doubanio.com/view/subject/s/public/s33860258.jpg,不疲劳的生活, ,6.7,130人,[日]工藤孝文 / 葛培媛 / 江西科学技术出版社 / 2021-3 / 48,暂无,工藤孝文,养生&生活&心理&日本&医学&思维&想读,江西科学技术出版社
https://book.douban.com/subject/30434592/,https://img2.doubanio.com/view/subject/s/public/s32744233.jpg,女性养生三步走,疏肝，养血，心要修,7.9,309人,罗大伦 / 北京联合出版公司 / 2019-1 / 48.00元,暂无,罗大伦,养生&中医&女性&健康&女人&医学&美容&情感,北京联合出版公司
https://book.douban.com/subject/35687601/,https://img9.doubanio.com/view/subject/s/public/s34058984.jpg,护肾有方, ,9.2,31人,俞雨生 / 江苏凤凰科学技术出版社 / 2022-1 / 49.80元,暂无,俞雨生,养生&科普&健康&好书，值得一读,江苏凤凰科学技术出版社
https://book.douban.com/subject/25761492/,https://img9.doubanio.com/view/subject/s/public/s29470744.jpg,真原医,21世纪最完整的身心整体健康医学,8.1,240人,杨定一 / 湖南科学技术出版社 / 2013-11-1 / 39.00,只要你活着，就会面对健康问题。很多时候，只有人们的身心出了问题的时候，才想着去寻找解决问题的办法，而且人们寻找到的原因可能就会那么一两种，解决问题的方法也不... ,杨定一,健康&养生&生活&心理学&素食&成长&时间管理,湖南科学技术出版社
https://book.douban.com/subject/30351542/,https://img1.doubanio.com/view/subject/s/public/s29973818.jpg,斯坦福高效睡眠法, ,6.5,2223人,[日] 西野精治 / 君风竹 / 文化发展出版社 / 2018-10 / 18.00元,我们一生有1/3的时间在睡觉，但对于睡眠是怎么一回事，却浑然不知。熬夜会使女性越来越胖？早晨几点起床身体感觉*舒服？平时熬夜，周末补觉有用吗？午觉怎么睡才管... ,西野精治,睡眠&健康&个人管理&科普&自我管理&生活&方法论&养生,文化发展出版社
https://book.douban.com/subject/30311827/,https://img3.doubanio.com/view/subject/s/public/s33617880.jpg,知己, ,8.3,291人,徐文兵 / 湛庐文化/海南出版社 / 2018-8-20 / 69.90元,●如今，人们对于自己的身体健康越来越重视，养生已经不再是中老年人的专利，很多90后早已加入了养生的行列。但泡枸杞、上健身房就是对身体好吗？著名中医专家、《黄... ,徐文兵,中医&徐文兵&养生&医学&健康&身体&黄帝内经&身体管理,海南出版社
https://book.douban.com/subject/6729798/,https://img1.doubanio.com/view/subject/s/public/s6877067.jpg,一本书说透中医养生, ,9.1,26人,樊正伦 / 军事医科 / 2011-6 / 20.00元,《一本书说透中医养生》，本书包括中医的根；什么事养生？；细说疾病；情志养生；四季养生；常见病与其防治；儿童期养生；青春期养生；更年期养生；老年期养生。 ,樊正伦,养生&中医养生&中医&健康&学习&图书馆&入,军事医科
https://book.douban.com/subject/30141131/,https://img9.doubanio.com/view/subject/s/public/s29933554.jpg,饮食滋味（《黄帝内经》饮食版）, ,7.7,622人,徐文兵 / 江西科学技术出版社 / 2018-3-1 / CNY 59.90,暂无,徐文兵,中医&饮食&徐文兵&养生&中医养生&健康&身体管理&生活,江西科学技术出版社
