书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/33440205/,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg,你当像鸟飞往你的山, ,8.7,128820人,[美] 塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10 / 59.00元,人们只看到我的与众不同：一个十七岁前从未踏入教室的大山女孩，却戴上一顶学历的高帽，熠熠生辉。只有我知道自己的真面目：我来自一个极少有人能想象的家庭。我的童年... ,塔拉·韦斯特弗,教育与女性&教育&励志&传记&女性&回忆录&文学&美国文学,南海出版公司
https://book.douban.com/subject/1200840/,https://img2.doubanio.com/view/subject/s/public/s1144911.jpg,平凡的世界（全三部）, ,9.0,288956人,路遥 / 人民文学出版社 / 2005-1 / 64.00元,《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广... ,路遥,平凡的世界&路遥&人生&中国文学&经典&小说&文学&成长,人民文学出版社
https://book.douban.com/subject/10517238/,https://img9.doubanio.com/view/subject/s/public/s8865866.jpg,平凡的世界, ,9.0,59027人,路遥 / 北京十月文艺出版社 / 2012-3-1 / CNY 79.80,《平凡的世界(套装共3册)》是一部现实主义小说，也是小说化的家族史。作家高度浓缩了中国西北农村的历史变迁过程，作品达到了思想性与艺术性的高度统一，特别是主人... ,路遥,平凡的世界&路遥&人生&经典&中国文学&励志&茅盾文学奖&农村,北京十月文艺出版社
https://book.douban.com/subject/3608208/,https://img1.doubanio.com/view/subject/s/public/s3668327.jpg,牧羊少年奇幻之旅, ,8.5,143729人,[巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,牧羊少年圣地亚哥接连两次做了同一个梦，梦见埃及金字塔附近藏有一批宝藏。少年卖掉羊群，历尽千辛万苦一路向南，跨海来到非洲，穿越“死亡之海”撒哈拉大沙漠……期间... ,保罗·柯艾略,牧羊少年奇幻之旅&与心沟通&外国文学&保罗柯艾略&小说&成长&童话&巴西,南海出版公司
https://book.douban.com/subject/35640715/,https://img1.doubanio.com/view/subject/s/public/s34028609.jpg,涵解：无畏真实, ,7.4,189人,赵涵 / 人民邮电出版社 / 2021-11 / 69.80元,暂无,赵涵,成长&励志&个人成长&自我提升&真实&学习&情感&美好,人民邮电出版社
https://book.douban.com/subject/1064275/,https://img2.doubanio.com/view/subject/s/public/s1050021.jpg,老人与海, ,8.4,175626人,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,本书讲述了一个渔夫的故事。古巴老渔夫圣地亚哥在连续八十四天没捕到鱼的情况下，终于独自钓上了一条大马林鱼，但这鱼实在大，把他的小船在海上拖了三天才筋疲力尽，被... ,海明威,海明威&老人与海&外国文学&经典&励志&小说&名著&美国,上海译文出版社
https://book.douban.com/subject/35317149/,https://img1.doubanio.com/view/subject/s/public/s34026537.jpg,在峡江的转弯处,陈行甲人生笔记,9.3,2703人,陈行甲 / 人民日报出版社 / 2021-1-10 / 48.00元,《在峡江的转弯处：陈行甲人生笔记》是陈行甲的自传体随笔，从童年岁月写起，写母亲，写爱人；写了从大学毕业到基层工作九年多的生活经历；回顾了作者在巴东任县委书记... ,陈行甲,传记&随笔&思考&真诚&官场&政治&励志&非虚构,人民日报出版社
https://book.douban.com/subject/1829226/,https://img9.doubanio.com/view/subject/s/public/s4007145.jpg,肖申克的救赎, ,9.1,104140人,[美] 斯蒂芬·金 / 施寄青、赵永芬、齐若兰 / 人民文学出版社 / 2006-7 / 29.90元,这本书收入斯蒂芬·金的四部中篇小说，是他作品中的杰出代表作。其英文版一经推出，即登上《纽约时报》畅销书排行榜的冠军之位，当年在美国狂销二十八万册。目前，这本... ,斯蒂芬·金,肖申克的救赎&斯蒂芬·金&经典&小说&外国文学&希望&人性&美国,人民文学出版社
https://book.douban.com/subject/26210487/,https://img1.doubanio.com/view/subject/s/public/s27914268.jpg,强风吹拂, ,9.0,17424人,三浦紫苑 / 林佩瑾、李建铨、杨正敏 / 广西师范大学出版社 / 2015-1-1 / 39.00元,暂无,三浦紫苑,日本文学&三浦紫苑&跑步&励志&日本&小说&强风吹拂&青春,广西师范大学出版社
https://book.douban.com/subject/1775691/,https://img2.doubanio.com/view/subject/s/public/s2144391.jpg,少有人走的路,心智成熟的旅程,8.3,92034人,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,这本书处处透露出沟通与理解的意味，它跨越时代限制，帮助我们探索爱的本质，引导我们过上崭新，宁静而丰富的生活；它帮助我们学习爱，也学习独立；它教诲我们成为更称... ,M·斯科特·派克,心理学&成长&少有人走的路&心理&心智&励志&人生&爱,吉林文史出版社
