书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35534519/,https://img2.doubanio.com/view/subject/s/public/s33956462.jpg,素食者, ,8.0,12493人,[韩] 韩江 / 胡椒筒 / 四川文艺出版社 / 2021-9 / 48,暂无,韩江,女性&韩国文学&韩国&心理&小说&文学&奇怪的东西&外国文学,四川文艺出版社
https://book.douban.com/subject/35523099/,https://img2.doubanio.com/view/subject/s/public/s33984963.jpg,从零开始的女性主义, ,8.8,7078人,[日] 上野千鹤子、[日] 田房永子 / 吕灵芝 / 北京联合出版公司 / 2021-9 / 52.00元,暂无,上野千鹤子&田房永子,女性主义&女性&上野千鹤子&社会学&女权&日本&文化&非虚构,北京联合出版公司
https://book.douban.com/subject/27614904/,https://img2.doubanio.com/view/subject/s/public/s29651121.jpg,房思琪的初恋乐园, ,9.2,285504人,林奕含 / 北京联合出版公司 / 2018-2 / 45.00元,暂无,林奕含,女性&自我保护&林奕含&女性/性别&台湾文学&现代文学&小说&台湾,北京联合出版公司
https://book.douban.com/subject/35317169/,https://img1.doubanio.com/view/subject/s/public/s33841958.jpg,成为波伏瓦, ,9.0,4091人,[英]凯特·柯克帕特里克 / 刘海平 / 中信出版社 / 2021-3 / 78.00,暂无,凯特·柯克帕特里克,女性主义&波伏娃&女性&传记&女权主义&外国文学&文学&社会,中信出版社
https://book.douban.com/subject/25836270/,https://img1.doubanio.com/view/subject/s/public/s33797467.jpg,厌女,日本的女性嫌恶,9.0,27132人,(日) 上野千鹤子 / 王兰 / 上海三联书店 / 2015-1 / 28.00元,《厌女》不是一部纯理论性著作，而是运用女性主义理论针对日本当代的各种社会现象的实践性分析。《厌女》处理了广泛的日本题材，其中既有文学性的，比如谈到小说家吉行... ,上野千鹤子,女性主义&女性研究&社会学&女权主义&女性&上野千鹤子&日本&心理学,上海三联书店
https://book.douban.com/subject/33440205/,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg,你当像鸟飞往你的山, ,8.7,128744人,[美] 塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10 / 59.00元,人们只看到我的与众不同：一个十七岁前从未踏入教室的大山女孩，却戴上一顶学历的高帽，熠熠生辉。只有我知道自己的真面目：我来自一个极少有人能想象的家庭。我的童年... ,塔拉·韦斯特弗,教育与女性&教育&励志&传记&女性&回忆录&文学&美国文学,南海出版公司
https://book.douban.com/subject/34933208/,https://img9.doubanio.com/view/subject/s/public/s33939696.jpg,东京贫困女子, ,8.3,3779人,[日]中村淳彦 / 傅栩 / 人民文学出版社 / 2021-8 / 59.00元,暂无,中村淳彦,女性&纪实&社会学&日本&女性主义&日本文学&非虚构&文学,人民文学出版社
https://book.douban.com/subject/34998019/,https://img3.doubanio.com/view/subject/s/public/s33640730.jpg,秋园, ,8.9,20062人,杨本芬 / 北京联合出版公司 / 2020-6 / 38.00元,暂无,杨本芬,女性&回忆录&个人传记&中国&历史&口述史&20世纪&小说,北京联合出版公司
https://book.douban.com/subject/34896921/,https://img9.doubanio.com/view/subject/s/public/s33723475.jpg,父权制与资本主义, ,9.2,6838人,[日] 上野千鹤子 / 邹韵、薛梅 / 浙江大学出版社 / 2020-3 / 58.00元,暂无,上野千鹤子,女性主义&女权主义&社会学&性别研究&女性&上野千鹤子&社会&日本,浙江大学出版社
https://book.douban.com/subject/35532047/,https://img9.doubanio.com/view/subject/s/public/s34001866.jpg,基层女性, ,7.5,2257人,王慧玲 / 中国友谊出版公司 / 2021-8 / 49.80元,暂无,王慧玲,女性&成长&自我成长&社会学&自我管理&社会&中国&2021,中国友谊出版公司
https://book.douban.com/subject/1068920/,https://img1.doubanio.com/view/subject/s/public/s1078958.jpg,飘, ,9.3,187550人,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,小说中的故事发生在1861年美国南北战争前夕。生活在南方的少女郝思嘉从小深受南方文化传统的熏陶，可在她的血液里却流淌着野性的叛逆因素。随着战火的蔓廷和生活环... ,玛格丽特·米切尔,飘&经典&外国文学&爱情&外国名著&小说&美国&名著,译林出版社
https://book.douban.com/subject/34983889/,https://img1.doubanio.com/view/subject/s/public/s33763727.jpg,巴黎评论·女性作家访谈, ,8.9,2213人,美国《巴黎评论》编辑部 编 / 肖海生 等 / 人民文学出版社 / 2021-2 / 65.00元,《女性作家访谈》是《巴黎评论》编辑部自二〇一七年起推出的特辑，迄今为止已出版两辑。此次推出的《巴黎评论•女性作家访谈》篇目上有所调整，收录了十六位女性作家的... ,美国《巴黎评论》编辑部 编,女性&巴黎评论&文学评论&访谈录&文学&访谈&外国文学&谈话录,人民文学出版社
https://book.douban.com/subject/35608319/,https://img9.doubanio.com/view/subject/s/public/s34006244.jpg,俗女养成记, ,8.2,1155人,江鹅 / 理想国 | 北京日报出版社 / 2021-10 / 48.00元,暂无,江鹅,女性&台湾&随笔集&小说&理想国&散文&中国当代文学&文学,理想国 | 北京日报出版社
https://book.douban.com/subject/2143732/,https://img9.doubanio.com/view/subject/s/public/s2651394.jpg,灿烂千阳, ,8.8,106139人,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,私生女玛丽雅姆在父亲的宅院门口苦苦守候，回到家却看到因绝望而上吊自杀的母亲。那天是她十五岁的生日，而童年嘎然而止。玛丽雅姆随后由父亲安排远嫁喀布尔四十多岁的... ,卡勒德·胡赛尼,阿富汗&卡勒德·胡塞尼&女性&灿烂千阳&苦难&小说&外国文学&卡勒德·胡赛尼,上海人民出版社
https://book.douban.com/subject/35467795/,https://img9.doubanio.com/view/subject/s/public/s33941954.jpg,成年人的谎言生活, ,8.2,4555人,[意大利] 埃莱娜·费兰特 / 陈英、张燕燕 / 人民文学出版社 / 2021-8 / 69.00元,暂无,埃莱娜·费兰特,埃莱娜•费兰特&女性&意大利文学&意大利&小说&外国文学&长篇小说&2021,人民文学出版社
