书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/26775466/,https://img1.doubanio.com/view/subject/s/public/s28643319.jpg,小家，越住越大, ,8.4,15462人,逯薇 / 中信出版集团 / 2016-5 / 58.00元,房价高、面积小、东西多、收纳少；节奏快、压力大、时间紧、想法杂……这些是都市人生活普遍面临的问题。但是，即使只有有限的空间，也希望住得舒适、快乐， 纵然蜗居... ,逯薇,收纳&家居&生活&室内设计&装修&设计&绘本&我想读这本书,中信出版集团
https://book.douban.com/subject/30199037/,https://img1.doubanio.com/view/subject/s/public/s29745409.jpg,小家，越住越大2, ,8.6,5719人,逯薇 / 中信出版集团股份有限公司 / 2018-4 / 68.00元,《小家，越住越大》荣获2016年度 “大众喜爱的50种图书”，2016年上市以来，畅销40万册，更不可思议的是，它的版权输出至英国、瑞典、西班牙、罗马尼亚、... ,逯薇,家居&生活&设计&装修&收纳&绘本&2018&我想读这本书,中信出版集团股份有限公司
https://book.douban.com/subject/35511433/,https://img1.doubanio.com/view/subject/s/public/s33934128.jpg,装修，做好三件事就够了, ,9.1,238人,王奕龙 / 后浪丨江苏凤凰文艺出版社 / 2021-7 / 85.00元,暂无,王奕龙,装修&家居&设计&生活&居家&学习&后浪&纸书,后浪丨江苏凤凰文艺出版社
https://book.douban.com/subject/34824414/,https://img2.doubanio.com/view/subject/s/public/s33476613.jpg,小家，越住越大3, ,8.7,3361人,逯薇 / 中信出版社 / 2019-10 / 69.00元,暂无,逯薇,家居&装修&生活&室内设计&收纳&设计&绘本&非常不错的一本书，值得推荐！,中信出版社
https://book.douban.com/subject/33301294/,https://img1.doubanio.com/view/subject/s/public/s32300907.jpg,东京风格, ,7.8,2628人,[日]都筑响一 / 吕灵芝 / 新星出版社 / 2019-5 / 158.00元,你相信这是在东京吗？十平方米的空间，一扇窗，一块睡觉的地方，没有浴室或厨房，挂满衣服的晾衣绳横贯头顶，脚下是纠缠的电话线、成摞的杂志、昨日的垃圾，桌上是塞满... ,都筑响一,日本&摄影&生活&生活方式&东京&生活美学&文化&家居,新星出版社
https://book.douban.com/subject/25858712/,https://img9.doubanio.com/view/subject/s/public/s27251906.jpg,这样装修不后悔（插图修订版）,百笔血泪经验告诉你的装修早知道,8.3,2171人,姥姥 / 北京联合出版公司·后浪出版公司 / 2014-5 / 60.00元,暂无,姥姥,装修&家居装修&室内设计&家居&工具书&生活&设计&实用,北京联合出版公司·后浪出版公司
https://book.douban.com/subject/35503906/,https://img9.doubanio.com/view/subject/s/public/s33928055.jpg,BEAMS AT HOME 4 理想之家, ,7.7,72人,[日]BEAMS / 郑晓蕾 / 新星出版社 / 2021-7 / 158.00元,暂无,BEAMS,生活方式&家居&室内设计&生活&日本&家装&设计&新星出版社,新星出版社
https://book.douban.com/subject/26890247/,https://img9.doubanio.com/view/subject/s/public/s29089634.jpg,BEAMS AT HOME 2,136个人的家与生活,8.0,1078人,(日) 宝岛社 编 / 郑晓蕾 / 新星出版社 / 2016-10 / 128.00元,暂无,宝岛社 编,家居&日本&生活方式&生活&设计&生活美学&室内设计&室内,新星出版社
https://book.douban.com/subject/4746128/,https://img9.doubanio.com/view/subject/s/public/s6166156.jpg,家,家的要素：如何打造一个舒适的家,7.6,3868人,[日] 无印良品 / 广西师范大学出版社 / 2010-5 / 49.00元,暂无,无印良品,家居&无印良品&设计&日本&室内设计&生活&原研哉&建筑,广西师范大学出版社
https://book.douban.com/subject/27039453/,https://img3.doubanio.com/view/subject/s/public/s29445440.jpg,何为美好生活：Beams at Home, ,8.0,970人,[日] 宝岛社 / 黄怡轶 / 浦睿文化·湖南美术出版社 / 2017-6 / 128.00元,暂无,宝岛社,生活&日本&家居&设计&美学&生活的哲学&心理学&浦睿文化,浦睿文化·湖南美术出版社
https://book.douban.com/subject/1799984/,https://img2.doubanio.com/view/subject/s/public/s27978583.jpg,家庭收纳1000例, ,8.5,2089人,(日)主妇之友社、[日]近藤典子 / 刘丹云 / 吉林科学技术出版社 / 2006-5 / 29.80元,本书家庭收纳专家总结十八年的经验，一心提炼出这本“永久保存版”，印刷二十宗次，销售几十万册。    作者通过潜心研究，失败过很多次之后，才得出现在的经验。但... ,主妇之友社&近藤典子,收纳&生活&日本&家居&生活百科&家务,吉林科学技术出版社
https://book.douban.com/subject/30308405/,https://img2.doubanio.com/view/subject/s/public/s29852173.jpg,《优雅的人生整理：让你和家人告别混乱的生活》,让你和家人告别混乱的生活,6.3,398人,〔瑞典〕玛加丽塔•芒努松 / 潘婷婷 / 2018-10 / 38.00,在瑞典语中，Dö意指做，städning意指清洁。在瑞典这是一个术语，表示当你意识到自己离开这个星球的日子正在临近时，把一些不再需要的东西清理掉，从而使你的... ,〔瑞典]玛加丽塔•芒努松,整理&生活&瑞典&家居&冷知识&奇怪的东西&2019&2020, 
https://book.douban.com/subject/30534312/,https://img9.doubanio.com/view/subject/s/public/s33587054.jpg,住宅设计解剖书,第2版,7.7,72人,増田奏 / 赵可 / 南海出版公司 / 2018-9 / ¥58,暂无,増田奏,装修&室内设计&设计&住宅&家居&建筑&日本&Literature,南海出版公司
https://book.douban.com/subject/25732459/,https://img1.doubanio.com/view/subject/s/public/s28066368.jpg,装修设计解剖书, ,7.0,1113人,松下希和 / 温俊杰 / 南海出版公司 / 2013-9-1 / 39,本书的许多个案都是业界的经典设计，但许多参考这些案例的作品，往往会因为外观、视觉的因素而做一些改变，因而失去了原设计的精髓。本书介绍这些设计的原始初衷，我们... ,松下希和,室内设计&设计&装修&家居&日本&住宅设计&建筑&生活,南海出版公司
https://book.douban.com/subject/25746678/,https://img2.doubanio.com/view/subject/s/public/s27091971.jpg,如果家具会说话, ,7.2,60人,日青 / 商务印书馆 / 2013-8 / 70.00,本书主要介绍世界上最实用的设计品——家具。也许它的潮流更换没有服饰那么迅速，但与之有关的时尚、经典、传说、趣闻却能与它们一起长久被留在某个空间。例如中国古代... ,日青,设计&家具&家居&时尚&*北京·商务印书馆*,商务印书馆
https://book.douban.com/subject/26578184/,https://img2.doubanio.com/view/subject/s/public/s28262143.jpg,家的模样,生活美学家叶怡兰的私宅改造读本,7.5,1246人,叶怡兰 / 北京联合出版公司 / 2015-10 / 58.00元,“设计师能否满足房主的需求，设计出好住有好看的家？”“如何运用家居设计，让日常生活更方便？”“照片里那种好看的家，真的可以实现吗？真的好用吗？”这些装修与生... ,叶怡兰,家居&生活&装修&设计&叶怡兰&生活美学&室内设计&台湾,北京联合出版公司
https://book.douban.com/subject/26658841/,https://img9.doubanio.com/view/subject/s/public/s29219225.jpg,走进建筑师的家, ,8.3,926人,[日] 中村好文 / 杨婉蘅 / 南海出版公司 / 2016-1-1 / 88.00元,暂无,中村好文,建筑&设计&日本&生活美学&生活&建筑设计&中村好文&文化,南海出版公司
https://book.douban.com/subject/26548374/,https://img1.doubanio.com/view/subject/s/public/s28232579.jpg,好物100, ,6.7,2191人,[日]松浦弥太郎、[日]伊藤正子 / 吴迪 / 浦睿文化·湖南美术出版社 / 2015-7 / 48.00元,暂无,松浦弥太郎&伊藤正子,生活美学&日本&松浦弥太郎&生活&生活的艺术&生活方式&随笔&设计,浦睿文化·湖南美术出版社
https://book.douban.com/subject/26478367/,https://img2.doubanio.com/view/subject/s/public/s28216252.jpg,家事的抚慰（上册）,食物、衣物，以及合理的家事计划,8.1,255人,雪瑞·孟德森 / 林慧珍 / 湖北科学技术出版社 / 2015-4 / 58,一位职业女性，律师兼教授，因为对家务事的热情并乐于享受家务事带来的舒适感受，进而专研家事，并通过亲身实践，结合家事与对家的爱，写出了令人着迷的《家事的抚慰》... ,雪瑞·孟德森,生活&家居&家务&工具书&整理&个人管理&工具書&美国,湖北科学技术出版社
https://book.douban.com/subject/34857277/,https://img9.doubanio.com/view/subject/s/public/s33503246.jpg,爱上收纳：井井有条又热气腾腾的家, ,7.6,421人,蚂小蚁 / 慢半拍·化学工业出版社 / 2019-11 / 68.00,暂无,蚂小蚁,收纳&家居&居家&生活&家,慢半拍·化学工业出版社
https://book.douban.com/subject/25732461/,https://img2.doubanio.com/view/subject/s/public/s27462782.jpg,住宅设计解剖书, ,7.7,2533人,増田奏 / 赵可 / 南海出版公司 / 2013-9-1 / 39,本书是一本图解式的住宅设计与规划解剖书，用易懂的 550 幅插图搭配解说文字，让您清楚了解关于家的所有设计与规划。书中处处可见作者幽默风趣的表达方式及巧妙比... ,増田奏,住宅设计&室内设计&设计&家居&日本&建筑&装修&生活,南海出版公司
https://book.douban.com/subject/30439293/,https://img1.doubanio.com/view/subject/s/public/s29983987.jpg,自在小家, ,6.9,393人,[日]加藤乡子 / 吕凌燕 / 中信出版集团 / 2019-1 / 42.00元,为了学区房、缩短通勤时间、减轻还贷压力，越来越多的人选择了小房子。日本资深整理师、设计师、家装达人告诉你， 60㎡以下的小居室，人均不足10㎡的居住面积，只... ,加藤乡子,日本&家居&生活方式&极简主义&生活&收纳&家&2019,中信出版集团
https://book.douban.com/subject/30383598/,https://img1.doubanio.com/view/subject/s/public/s29927937.jpg,住宅读本, ,8.3,643人,[日] 中村好文 / 蕾克 / 后浪丨中国华侨出版社 / 2019-1 / 99.80元,暂无,中村好文,家居&住宅&生活&设计&日本&建筑&装修&中村好文,后浪丨中国华侨出版社
https://book.douban.com/subject/26958385/,https://img9.doubanio.com/view/subject/s/public/s29293864.jpg,理想的家,来自东京的定制家居设计,7.2,475人,[日] 蓝色工作室、[日] 石井健 (监修) / 张艳辉 / 化学工业出版社 / 2017-1-1 / 58.00元,什么样的房子是理想的家？把你对生活的爱与理解融入设计的房子，也许就是理想的家。如果你热爱旅行，如何用你从世界各地带回来的“战利品”打造你的家？如果你热爱美食... ,蓝色工作室&石井健,家居&设计&日本&生活方式&装修&生活&理想生活&建筑设计,化学工业出版社
https://book.douban.com/subject/6722886/,https://img9.doubanio.com/view/subject/s/public/s6773685.jpg,设计准则,成为自己的室内设计师,6.8,996人,[美] 伊莱恩·格里芬 / 张加楠 / 山东画报出版社 / 2011-7 / 30.00元,暂无,伊莱恩·格里芬,室内设计&设计&装修&家居&生活&艺术&建筑&住宅设计,山东画报出版社
