书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/26585065/,https://img3.doubanio.com/view/subject/s/public/s29497110.jpg,亲密关系, ,9.3,12363人,[美]罗兰·米勒 (Rowland S. Miller) / 王伟平 译、彭凯平 校 / 人民邮电出版社 / 2015-6 / 138.00元,亲密关系与泛泛之交有什么区别；大丈夫与小女子真的般配吗；吸引力的秘密是什么；男人与女人真的是不同的动物吗；同性恋真的是由基因决定的吗；单亲家庭的孩子长大后更... ,罗兰·米勒,心理学&亲密关系&人际关系&社会心理学&情感&心理&两性&爱情,人民邮电出版社
https://book.douban.com/subject/30254298/,https://img9.doubanio.com/view/subject/s/public/s29799055.jpg,云边有个小卖部, ,7.5,58211人,张嘉佳 / 湖南文艺出版社 / 2018-7 / 42.00元,暂无,张嘉佳,治愈&故乡&情感&张嘉佳&生活&小说&好书，值得一读&文学,湖南文艺出版社
https://book.douban.com/subject/3026879/,https://img9.doubanio.com/view/subject/s/public/s2990934.jpg,爱的艺术, ,8.8,38264人,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,《爱的艺术》是德裔美籍心理学家和哲学家、法兰克福学派重要成员艾里希-弗洛姆最著名的作品，自1956年出版至今已被翻译成32种文字，在全世界畅销不衰，被誉为当... ,艾·弗洛姆,心理学&爱的艺术&弗洛姆&爱情&哲学&心理&情感&爱,上海译文出版社
https://book.douban.com/subject/35545272/,https://img3.doubanio.com/view/subject/s/public/s33973820.jpg,贪婪的多巴胺, ,8.0,1506人,(美) 丹尼尔·利伯曼、(美) 迈克尔·E.朗 / 郑李垚 / 中信出版社 / 2021-9-5 / 59,为什么曾经浪漫的感情也会变淡？为什么成功人士通常不会觉得自己很成功？为什么几乎所有的节食计划后来都功亏一篑？为什么聪明的人经常会做出糟糕透顶、灾难性的决定？... ,丹尼尔·利伯曼&迈克尔·E.朗,心理学&科普&神经科学&心理&认知精进&医学&情感&美国,中信出版社
https://book.douban.com/subject/3533221/,https://img1.doubanio.com/view/subject/s/public/s9346487.jpg,非暴力沟通, ,8.4,54538人,[美] 马歇尔·卢森堡 / 阮胤华 / 华夏出版社 / 2009-1 / 29.00元,作为一个遵纪守法的好人，也许我们从来没有想过和“暴力”扯上关系。不过如果稍微留意一下现实生活中的谈话方式，并且用心体会各种谈话方式给我们的不同感受，我们一定... ,马歇尔·卢森堡,心理学&沟通&人际沟通&非暴力沟通&人际关系&心理&沟通术&自我管理,华夏出版社
https://book.douban.com/subject/27029890/,https://img1.doubanio.com/view/subject/s/public/s29435447.jpg,外婆的道歉信, ,8.0,32815人,[瑞典] 弗雷德里克·巴克曼 / 孟汇一 / 天津人民出版社 / 2017-5 / 42.00元,暂无,弗雷德里克·巴克曼,治愈&情感&弗雷德里克·巴克曼&小说&外国文学&我想读这本书&瑞典文学&想读，一定很精彩！,天津人民出版社
https://book.douban.com/subject/35635806/,https://img9.doubanio.com/view/subject/s/public/s34024286.jpg,小敏家, ,8.0,519人,伊北 / 人民文学出版社 / 2021-12 / 59,《小敏家》是一部现代都市家庭婚恋小说。作家伊北敏锐地捕捉到了当下都市女性面临的精神困境，一方面是职业女性需要的经济和精神独立，一方面是家庭观念需要的婚育和情... ,伊北,情感&心灵成长&婚姻&思考&豆瓣阅读&认知&职业&小说,人民文学出版社
https://book.douban.com/subject/35640715/,https://img1.doubanio.com/view/subject/s/public/s34028609.jpg,涵解：无畏真实, ,7.6,195人,赵涵 / 人民邮电出版社 / 2021-11 / 69.80元,暂无,赵涵,成长&励志&个人成长&自我提升&真实&学习&情感&美好,人民邮电出版社
https://book.douban.com/subject/1444900/,https://img2.doubanio.com/view/subject/s/public/s24492121.jpg,爱的五种语言,创造完美的两性沟通,8.6,5308人,盖瑞·查普曼 / 王云良 / 中国轻工业出版社 / 2006-8 / 20.00元,《爱的五种语言》值得婚前的恋爱男女阅读，更值得已婚的夫妻阅读，在离婚率高涨的今天，这本书实在是无价的。《爱的五种语言》持续50周出现在《出版者周刊》的畅销书... ,盖瑞·查普曼,爱情&心理学&爱的五种语言&婚姻&交流，婚姻，人际关系&爱&人际关系&心理,中国轻工业出版社
https://book.douban.com/subject/25809012/,https://img2.doubanio.com/view/subject/s/public/s27256973.jpg,爱的博弈,建立信任、避免背叛与不忠,7.9,2933人,约翰·戈特曼 (John Gottman)、娜恩·西尔弗 (Nan Silver) / 穆君、伏维 / 浙江人民出版社 / 2014-1-1 / 49.90,暂无,约翰·戈特曼&娜恩·西尔弗,心理学&亲密关系&爱情&两性&情感&心理&婚姻&沟通,浙江人民出版社
