书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35481512/,https://img2.doubanio.com/view/subject/s/public/s33944153.jpg,也许你该找个人聊聊, ,9.0,8449人,[美]洛莉·戈特利布 / 张含笑 / 果麦文化/上海文化出版社 / 2021-7-28 / 68.00元,这是一位心理治疗师的回忆录，讲述了发生在诊室中的故事。在这个小小的密闭空间里，人们会展现出最真实、最脆弱的一面；也是在这里，人们获得了陪伴和倾听，也获得了宝... ,洛莉·戈特利布,心理学&心理&心理治疗&心理咨询&治愈&自我完善&成长&哲学,上海文化出版社
https://book.douban.com/subject/1084336/,https://img2.doubanio.com/view/subject/s/public/s1103152.jpg,小王子, ,9.0,668489人,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,小王子是一个超凡脱俗的仙童，他住在一颗只比他大一丁点儿的小行星上。陪伴他的是一朵他非常喜爱的小玫瑰花。但玫瑰花的虚荣心伤害了小王子对她的感情。小王子告别小行... ,圣埃克苏佩里,小王子&童话&经典&成长&圣埃克苏佩里&哲学&外国文学&法国,人民文学出版社
https://book.douban.com/subject/1770782/,https://img3.doubanio.com/view/subject/s/public/s1727290.jpg,追风筝的人, ,8.9,724316人,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟... ,卡勒德·胡赛尼,追风筝的人&人性&救赎&阿富汗&成长&小说&外国文学&卡勒德·胡赛尼,上海人民出版社
https://book.douban.com/subject/26369699/,https://img1.doubanio.com/view/subject/s/public/s29237648.jpg,被讨厌的勇气,“自我启发之父”阿德勒的哲学课,8.6,78360人,岸见一郎、古贺史健 / 渠海霞 / 机械工业出版社 / 2015-3-1 / 39.8,暂无,岸见一郎&古贺史健,心理学&心灵成长&阿德勒&心理&哲学&成长&思考&人生,机械工业出版社
https://book.douban.com/subject/6781808/,https://img2.doubanio.com/view/subject/s/public/s23128183.jpg,杀死一只知更鸟, ,9.2,112637人,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的... ,哈珀·李,成长&杀死一只知更鸟&教育&经典&美国文学&小说&外国文学&正义,译林出版社
https://book.douban.com/subject/1200840/,https://img2.doubanio.com/view/subject/s/public/s1144911.jpg,平凡的世界（全三部）, ,9.0,288842人,路遥 / 人民文学出版社 / 2005-1 / 64.00元,《平凡的世界》是一部现实主义小说，也是一部小说形式的家族史。作者浓缩了中国西北农村的历史变迁过程，在小说中全景式地表现了中国当代城乡的社会生活。在近十年的广... ,路遥,平凡的世界&路遥&人生&中国文学&经典&小说&文学&成长,人民文学出版社
https://book.douban.com/subject/26879778/,https://img9.doubanio.com/view/subject/s/public/s29350294.jpg,杀死一只知更鸟, ,9.2,37846人,[美] 哈珀·李 / 李育超 / 译林出版社 / 2017-2 / 48.00,《杀死一只知更鸟》是公认的美国文学经典，而它在教育领域的意义却使其突破了国界，成为世界上最有名的成长小说之一。《杀死一只知更鸟》在西方世界的影响力巨大，是美... ,哈珀·李,成长&心灵的洗涤&美国文学&教育&外国文学&小说&心理&文学,译林出版社
https://book.douban.com/subject/1775691/,https://img2.doubanio.com/view/subject/s/public/s2144391.jpg,少有人走的路,心智成熟的旅程,8.3,92004人,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,这本书处处透露出沟通与理解的意味，它跨越时代限制，帮助我们探索爱的本质，引导我们过上崭新，宁静而丰富的生活；它帮助我们学习爱，也学习独立；它教诲我们成为更称... ,M·斯科特·派克,心理学&成长&少有人走的路&心理&心智&励志&人生&爱,吉林文史出版社
https://book.douban.com/subject/3608208/,https://img1.doubanio.com/view/subject/s/public/s3668327.jpg,牧羊少年奇幻之旅, ,8.5,143681人,[巴西] 保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元,牧羊少年圣地亚哥接连两次做了同一个梦，梦见埃及金字塔附近藏有一批宝藏。少年卖掉羊群，历尽千辛万苦一路向南，跨海来到非洲，穿越“死亡之海”撒哈拉大沙漠……期间... ,保罗·柯艾略,牧羊少年奇幻之旅&与心沟通&外国文学&保罗柯艾略&小说&成长&童话&巴西,南海出版公司
https://book.douban.com/subject/26382433/,https://img2.doubanio.com/view/subject/s/public/s28109182.jpg,无声告白, ,8.2,130471人,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,暂无,伍绮诗,成长&小说&好书，值得一读&华裔&美国文学&伍绮诗&外国文学&美国,江苏凤凰文艺出版社
https://book.douban.com/subject/35602271/,https://img1.doubanio.com/view/subject/s/public/s34017228.jpg,0次与10000次,如何创造全新的人生脚本,7.8,278人,[德] 吉塔·雅各布（Gitta Jacob） / 蔡清雨 / 人民邮电出版社 / 2021-10 / 59.8元,伴侣那么糟糕，为什么有些人就是离不开？为什么离开了一个糟糕的伴侣，又遇到一个更糟糕的伴侣？为什么你总是一次又一次地走进同样的死胡同？虽然你也会告诫自己“下次... ,吉塔·雅各布,自我成长&心理学&自我管理&成长&心理&读书&时间管理&科普,人民邮电出版社
https://book.douban.com/subject/1007914/,https://img2.doubanio.com/view/subject/s/public/s1067911.jpg,窗边的小豆豆, ,8.7,184531人,[日] 黑柳彻子 著、岩崎千弘 图 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,《窗边的小豆豆》讲述了作者上小学时的一段真实的故事。作者因淘气被原学校退学后，来到巴学园。在小林校长的爱护和引导下，让一般人眼里“怪怪”的小豆豆逐渐成了一个... ,黑柳彻子 著&岩崎千弘 图,窗边的小豆豆&儿童文学&黑柳彻子&教育&日本&童年&日本文学&儿童,南海出版公司
https://book.douban.com/subject/3533221/,https://img1.doubanio.com/view/subject/s/public/s9346487.jpg,非暴力沟通, ,8.4,54158人,[美] 马歇尔·卢森堡 / 阮胤华 / 华夏出版社 / 2009-1 / 29.00元,作为一个遵纪守法的好人，也许我们从来没有想过和“暴力”扯上关系。不过如果稍微留意一下现实生活中的谈话方式，并且用心体会各种谈话方式给我们的不同感受，我们一定... ,马歇尔·卢森堡,心理学&沟通&人际沟通&非暴力沟通&人际关系&心理&沟通术&自我管理,华夏出版社
https://book.douban.com/subject/3026879/,https://img9.doubanio.com/view/subject/s/public/s2990934.jpg,爱的艺术, ,8.8,38073人,[美] 艾·弗洛姆 / 李健鸣 / 上海译文出版社 / 2008-4 / 15.00元,《爱的艺术》是德裔美籍心理学家和哲学家、法兰克福学派重要成员艾里希-弗洛姆最著名的作品，自1956年出版至今已被翻译成32种文字，在全世界畅销不衰，被誉为当... ,艾·弗洛姆,心理学&爱的艺术&弗洛姆&爱情&哲学&心理&情感&爱,上海译文出版社
https://book.douban.com/subject/24531956/,https://img9.doubanio.com/view/subject/s/public/s29101586.jpg,哈利·波特, ,9.7,61934人,J.K.罗琳 (J.K.Rowling) / 苏农、马爱农、马爱新 / 人民文学出版社 / 2008-12-1 / 498.00元,暂无,J.K.罗琳,魔法&哈利波特&J.K.罗琳&奇幻&经典&HarryPotter&成长&英国,人民文学出版社
https://book.douban.com/subject/1254588/,https://img1.doubanio.com/view/subject/s/public/s2654869.jpg,城南旧事,纪念普及版,9.0,127788人,林海音 文、关维兴 图 / 中国青年出版社 / 2003-7 / 16.00元,多少年来，《城南旧事》感动了一代又一代的读者，除了再版无数次的小说版外，1985年，本书在中国大陆搬上银幕，电影“城南旧事”获得“中国电影金鸡奖”、第二届“... ,林海音 文&关维兴 图,林海音&城南旧事&童年&中国文学&成长&儿童文学&小说&小时候,中国青年出版社
