书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/34458510/,https://img9.doubanio.com/view/subject/s/public/s33317875.jpg,手工图鉴, ,8.7,93人,[日] 木内胜 著、[日] 木内胜、田中皓也 绘 / 吴逸林 / 四川人民出版社 / 2019-7 / 70.00元,暂无,木内胜 著&木内胜&田中皓也 绘,手工&工具书&日本&生活&有趣&玩具&科普&育儿,四川人民出版社
https://book.douban.com/subject/35419682/,https://img2.doubanio.com/view/subject/s/public/s33865342.jpg,家政女王玛莎·斯图尔特的缝纫百科, ,9.1,13人,[美]《玛莎·斯图尔特的生活》编辑部 / 苏莹 / 后浪︱中国纺织出版社 / 2021-4 / 168.00元,暂无,《玛莎·斯图尔特的生活》编辑部,手工&缝纫&生活&后浪&自我成长&艺术&生活态度&文化,后浪︱中国纺织出版社
https://book.douban.com/subject/35651833/,https://img1.doubanio.com/view/subject/s/public/s34033678.jpg,油画棒 好玩又解压, ,,35人,彤妍 / 江苏凤凰科学技术出版社 / 2022-1 / 59.80元,暂无,彤妍,画画&手工&减压&治愈系&成长&美术&自我提升&漫画,江苏凤凰科学技术出版社
https://book.douban.com/subject/6966099/,https://img9.doubanio.com/view/subject/s/public/s11309995.jpg,超可爱毛绒娃娃, ,,27人,阿呆 / 吉林科技 / 2011-10 / 25.00元,暂无,阿呆,手工,吉林科技
https://book.douban.com/subject/24859817/,https://img9.doubanio.com/view/subject/s/public/s27223004.jpg,塔莎的传家宝, ,8.2,199人,(美)托娃·马丁 著、(美)理查德·布朗 摄 / 孙婷婷 / 中国城市出版社 / 2014-2 / 45.00元,暂无,托娃·马丁 著&理查德·布朗 摄,生活&手工&塔莎奶奶&艺术&园艺&人物&美国&外国文学,中国城市出版社
https://book.douban.com/subject/35623602/,https://img9.doubanio.com/view/subject/s/public/s34054686.jpg,立体书艺术, ,暂无,少于10人,[法] 让- 夏尔·特雷比 / 潘鑫鑫 / 四川美术出版社 / 2021-11 / 138,暂无,让- 夏尔·特雷比,艺术&手工&立体书&后浪&文化研究&文化&历史,四川美术出版社
https://book.douban.com/subject/35661648/,https://img2.doubanio.com/view/subject/s/public/s34042681.jpg,立体手工博物馆 第三辑（全四册）,新交通工具馆 机甲战士馆 鸟类馆 锹甲虫与独角仙馆,暂无,少于10人,[日] 神谷正德 / 段博闻、陈娟 / 后浪丨北京联合出版公司 / 2021-11 / 218.00元,暂无,神谷正德,手工&童书&后浪&儿童&浪花朵朵&待查,后浪丨北京联合出版公司
https://book.douban.com/subject/30270832/,https://img9.doubanio.com/view/subject/s/public/s33894215.jpg,做书, ,7.8,51人,[英] 西蒙·古德、[英] 艾拉·米村 / 邵晓丹 / 浙江人民美术出版社,暂无,西蒙·古德&艾拉·米村,手工&书籍装帧&设计&@译本&书籍&未知,浙江人民美术出版社
https://book.douban.com/subject/25843810/,https://img9.doubanio.com/view/subject/s/public/s27235884.jpg,一个人的幸福手作, ,7.8,1268人,高木直子 / 黄悦生 / 北京联合出版公司 / 2014-4-1 / CNY 28.00,《一个人的幸福手作》：这个时代几乎没有什么买不到，但亲自动手制作的东西更能让人感到幸福和温暖。每当找不到合用的家具、买不到称心的饰品，这个时候就自己动手吧！... ,高木直子,高木直子&绘本&日本&漫画&生活&手工&繪本&2014,北京联合出版公司
https://book.douban.com/subject/20271923/,https://img3.doubanio.com/view/subject/s/public/s24682670.jpg,彼得·科恩木工基础,掌握木工技艺的精髓,8.5,687人,彼得·科恩 / 王来、马菲 / 北京科学技术出版社 / 2013-1-1 / 49.80元,《彼得·科恩木工基础》是一本木工入门书，2003年至今稳居木工书畅销榜首，近10万人验证成功的木工学习之路。1993年，美国“家具手工艺中心”校长彼得·科恩... ,彼得·科恩,木工&手工&DIY&设计&工具书&生活&设计，不安于室&技术,北京科学技术出版社
https://book.douban.com/subject/27060587/,https://img2.doubanio.com/view/subject/s/public/s29840503.jpg,跟大师学做立体书, ,9.6,21人,[美]保罗·杰克逊 / 雷霆 / 未来出版社 / 2017-5 / 69.80元,本书全面介绍了立体卡、立体书制作的基本技法和提高技巧，并展示了专业纸艺设计师、业余爱好者和相关专业学生如何创造性地应用这些技法。从入门到创意，100多款立体... ,保罗·杰克逊,立体书&手工&教程&生活艺术&设计&有实体书&文化研究&亲子,未来出版社
https://book.douban.com/subject/10435675/,https://img9.doubanio.com/view/subject/s/public/s8863496.jpg,最详尽的钩针编织教科书, ,9.3,136人,濑端靖子 / 何凝一 / 河南科学技术出版社 / 2012-2 / 32.80元,《最详尽的钩针编织教科书》内容简介：总想尝试钩针编织，却又苦于无从下手吗？这一定是你最想要的、也是最适合你的一本钩针编织教程！《最详尽的钩针编织教科书》分为... ,濑端靖子,手工&钩针&编织&DIY&手作&生活&日本,河南科学技术出版社
https://book.douban.com/subject/30301377/,https://img9.doubanio.com/view/subject/s/public/s29846685.jpg,超详细的热缩片入门教科书, ,8.6,12人,[日]娜娜阿库娅 / 中国纺织出版社 / 2017-10 / 58,暂无,娜娜阿库娅,手工&手作&手账,中国纺织出版社
https://book.douban.com/subject/35431618/,https://img1.doubanio.com/view/subject/s/public/s33874147.jpg,猫のきせかえぬいぐるみ, ,暂无,少于10人,芝千世 / グラフィック社 / 2021-2,暂无,芝千世,手作&手工,グラフィック社
https://book.douban.com/subject/5391225/,https://img9.doubanio.com/view/subject/s/public/s4560184.jpg,玩转手工100招,布艺、刺绣、编织全掌握,8.5,112人,（日）主妇之友社 / 杨彩裙 / 河南科学技术出版社 / 2010-11 / 38.80元,你是否觉得自己不擅长缝纽扣，甚至觉得穿针引线都是件很麻烦的事？其实只要掌握其中的小窍门，这些针线活对于你来说都再简单不过了。正要出门时发现裙子的下摆开线了，... ,主妇之友社,手工&DIY&生活&家居&手作&布艺&日本&编织,河南科学技术出版社
https://book.douban.com/subject/35108676/,https://img9.doubanio.com/view/subject/s/public/s33674956.jpg,手造食器：用烤箱制作的黏土小物件, ,暂无,少于10人,[日]岩仓庆子 / 中国纺织出版社 / 2020-6,暂无,岩仓庆子,手工&DIY,中国纺织出版社
https://book.douban.com/subject/35237313/,https://img9.doubanio.com/view/subject/s/public/s33747225.jpg,纸蔷薇的绕线首饰,基础教程,,18人,纸蔷薇 / 同济大学出版社 / 2020-10-30 / 79.8,暂无,纸蔷薇,手作&手工&首饰&艺术&中国&生活,同济大学出版社
https://book.douban.com/subject/25725995/,https://img2.doubanio.com/view/subject/s/public/s27045232.jpg,尾上惠美的刺绣入门教科书,200种针法+纯美图案,8.6,55人,[日]尾上惠美 / 梦工房 / 河南科学技术出版社 / 39.00元,尾上惠美的刺绣入门教科书：200种针法+纯美图案》由刺绣名家尾上惠美老师主编，精选200余种刺绣技法，全面实用，涵盖了各种常见的刺绣针法和技法；图解清晰，说... ,尾上惠美,刺绣&手工&手作&日本&DIY&生活&手工艺,河南科学技术出版社
https://book.douban.com/subject/24284213/,https://img1.doubanio.com/view/subject/s/public/s26338689.jpg,最详尽的缝纫教科书, ,8.6,85人,河合公美子 / 杨彩群 / 河南科学技术出版社 / 2013-6 / 36.00元,这是一本不可多得的缝纫基本功教科书。从缝纫机的细分和如何挑选缝纫机，以及对布料的认识和准备布料的过程，到缝纫过程中的答疑解惑，全书搭配真实细节照片和缝纫步骤... ,河合公美子,缝纫&手工&DIY&服饰&服装设计&生活&日本&手作,河南科学技术出版社
https://book.douban.com/subject/35667537/,https://img2.doubanio.com/view/subject/s/public/s34078443.jpg,猫物集：钩编温暖的家/钩编超萌的猫窝, ,暂无,少于10人,日本株式会社无限知识 / 叶宇丰,用温暖的毛线以及清爽的麻丝编织一年四季都能使用的猫窝。以受欢迎的篮筐式、吊床式、巨蛋式三种猫窝的形式为主题，介绍了让猫咪都无法抗拒的可爱小窝的制作方法。不仅... ,日本株式会社无限知识,手工, 
https://book.douban.com/subject/3006563/,https://img3.doubanio.com/view/subject/s/public/s2962490.jpg,极简风手缝皮革, ,8.5,103人,野谷久仁子 / 積木 / 2005 / NT$399,聽到「自製皮包」，而且要「用手縫」，一定有很多人會懷疑「自己毫無經驗，也能做嗎？」的確，經驗老道的皮包師傅們的精湛技術，確實不是泛泛的素人模仿得來的。但如果... ,野谷久仁子,手工&手作&日本&手工艺&生活&设计,積木
https://book.douban.com/subject/27092580/,https://img2.doubanio.com/view/subject/s/public/s29498521.jpg,比例模型制作指南 工具和作业篇, ,暂无,少于10人,MODEL ART / 吴曦 / 吉林美术出版社 / 2017-4-1 / 48.00元,暂无,MODEL ART,手工&模型&工具&日本&教程&手艺&艺术学&教育,吉林美术出版社
https://book.douban.com/subject/26702975/,https://img2.doubanio.com/view/subject/s/public/s28377962.jpg,水草造景艺术,从入门到精通,7.5,31人,王超 / 中国农业出版社 / 2015-8 / 68.00元,国内首部系统讲述水草造景艺术的专业书籍，精选国际大赛获奖作品实景震撼呈现。深入浅出讲解水草造景制作方法，从入门到精通全面领略水草造景的神奇魅力。 ,王超,博物&中国&手工,中国农业出版社
https://book.douban.com/subject/35611275/,https://img1.doubanio.com/view/subject/s/public/s34033277.jpg,折出故宫——二十四节气, ,暂无,少于10人,故宫博物院宣传文化部、御鉴文化（北京）有限公司 / 青岛出版社 / 2021-9 / 298.00元,暂无,故宫博物院宣传文化部&御鉴文化[北京]有限公司,手工&故宫&故事&折纸&传统文化&亲子,青岛出版社
https://book.douban.com/subject/35675161/,https://img9.doubanio.com/view/subject/s/public/s34050544.jpg,立体手工博物馆 第四辑（全五册）,新恐龙馆/新鱼类馆/两栖爬行动物馆/新昆虫馆/新动物馆,暂无,少于10人,[日] 神谷正德 / 赵天 / 后浪丨北京联合出版公司 / 2021-12 / 268.00元,暂无,神谷正德,童书&儿童&浪花朵朵&手工&后浪,后浪丨北京联合出版公司
https://book.douban.com/subject/3027615/,https://img1.doubanio.com/view/subject/s/public/s4642909.jpg,编织教科书, ,9.0,31人,韩国手工编织协会 主编 / 崔冬梅 / 南海出版社 / 2009-8 / 39.80元,《编织教科书》主要内容包括：棒针编织：大家可以先熟悉一下棒针的基本编织手法，再进一步了解制作实物所必需的主要技术后，就可以亲自编织一些作品了。钩针编织：记住... ,韩国手工编织协会 主编,编织&手工&DIY&生活&设计,南海出版社
https://book.douban.com/subject/33412294/,https://img1.doubanio.com/view/subject/s/public/s32293838.jpg,纸上花开,超唯美自然的纸艺花制作之书,暂无,少于10人,[澳大利亚] 詹尼弗·陈（Jennifer Tran） / 马笑 / 华中科技大学出版社-有书至美 / 2019-3 / 168元,这是一本讲解手工制作绉纸花的权威指南。包括超过30种花卉和叶子的组合案例：从常见的大朵百合、玫瑰、郁金香到文艺小清新的栀子花、水仙、百日菊再到充满诗意的梅花... ,詹尼弗·陈,艺术&手工,华中科技大学出版社
https://book.douban.com/subject/11507904/,https://img2.doubanio.com/view/subject/s/public/s25978872.jpg,毛线球1·设得兰编织物语, ,9.4,54人,宝库社 / 梦工房 / 河南科学技术出版社 / 2012-7-1 / 49.00元,本书向读者者介绍了2012、2013年即将流行的时尚毛衫80余款，本书作品全部由日本著名的编织大师设计制作，内容覆盖面非常宽泛，既有苏格兰风情的蕾丝编织、菲... ,宝库社,编织&手工&日本&生活,河南科学技术出版社
https://book.douban.com/subject/27594436/,https://img2.doubanio.com/view/subject/s/public/s29624861.jpg,机械昆虫制作全攻略, ,9.1,27人,[日]宇田川誉仁  著、[日]角丸圆  编 / 石泽玮 / 中国青年出版社 / 2018-1 / 99.00元,暂无,宇田川誉仁  著&角丸圆  编,手工&蒸汽朋克&艺术&日本&2018&玩具&工艺,中国青年出版社
https://book.douban.com/subject/34890977/,https://img1.doubanio.com/view/subject/s/public/s33875248.jpg,HANON娃衣缝纫书, ,暂无,少于10人,藤井里美 / 化学工业出版社 / 79.80元,这是一本给娃娃做衣服的书，作品造型简约，但是注重版型和细节设计，每款衣服的布料、配色、配饰都由娃衣设计大师藤井里美亲自设计。她的娃衣品牌HANON更为知名，... ,藤井里美,手工&日本&工具书,化学工业出版社
https://book.douban.com/subject/25839740/,https://img3.doubanio.com/view/subject/s/public/s28209230.jpg,服装制作基础事典, ,7.4,87人,郑淑玲 / 河南科学技术出版社 / 2013-11-1 / CNY 48.00,暂无,郑淑玲,服装&服装设计&手工&设计&缝纫&DIY,河南科学技术出版社
https://book.douban.com/subject/34444427/,https://img1.doubanio.com/view/subject/s/public/s33313558.jpg,惊掉下巴·中村开己动态纸玩具《嗖！纸玩具弹起来》, ,9.3,19人,[日] 中村开己 / 黄春琦 / 禹田·孩子国丨海豚出版社 / 2019-6 / 64,暂无,中村开己,手工&育儿&童书&日本&创造力&益智&成长&美学,禹田·孩子国丨海豚出版社
https://book.douban.com/subject/35648256/,https://img3.doubanio.com/f/shire/5522dd1f5b742d1e1394a17f44d590646b63871d/pics/book-default-lpic.gif,猫物集：钩编可爱饰物/制作猫咪饰品, ,暂无,少于10人,日本株式会社无限知识 / 半山上的主妇,用钩针编织制作的猫咪周边饰物——用线缠绕起来的轻巧柔软的爱猫项圈！  书中介绍了带有首字母的挂件、与毛色和花纹相衬的项圈、让爱猫迅速成为焦点的30多个时尚单... ,日本株式会社无限知识,手工, 
https://book.douban.com/subject/25870117/,https://img1.doubanio.com/view/subject/s/public/s28040679.jpg,木工全书, ,8.8,227人,英国DK出版社 / 张亦斌、李文一 / 北京科学技术出版社 / 2014-5-1 / 95.00元,暂无,英国DK出版社,木工&工具书&手工&DIY&设计&家居,英国DK出版社
https://book.douban.com/subject/35248024/,https://img9.doubanio.com/view/subject/s/public/s33779124.jpg,手作浪漫植物标本, ,暂无,少于10人,【日】errer / 施凡 / 中信出版集团 / 2020-11 / 68.00元,暂无,errer,手工&生活,中信出版集团
https://book.douban.com/subject/27049284/,https://img3.doubanio.com/view/subject/s/public/s29455150.jpg,皮艺技法全书(完整版vol.1), ,暂无,少于10人,刘好殊 / 中原农民 / 68元,暂无,刘好殊,手工&生活&教程,中原农民
https://book.douban.com/subject/35692020/,https://img3.doubanio.com/view/subject/s/public/s34062420.jpg,立体手工博物馆：复活霸王龙, ,暂无,少于10人,[日] 神谷正德 / 赵天 / 后浪丨北京联合出版公司 / 2022-1 / 99.80元,暂无,神谷正德,童书&浪花朵朵&手工&后浪&儿童&科普,后浪丨北京联合出版公司
https://book.douban.com/subject/1150414/,https://img9.doubanio.com/view/subject/s/public/s1114116.jpg,篆刻学, ,9.4,315人,邓散木 / 人民美术出版社 / 1979-5 / 39.00元,《篆刻学》初稿脱胎于作者三十年代在上海讲授金石篆刻的‘课徒稿’，几经修改补充，遂成此稿，作者在世时本拟再作校订修改，但因病逝，没有来得及完成这个愿望。现将原... ,邓散木,篆刻&书法&艺术&文化&美学&藝術&金石&手工,人民美术出版社
https://book.douban.com/subject/26354425/,https://img2.doubanio.com/view/subject/s/public/s28286151.jpg,立体书制作指南, ,9.2,78人,[美]大卫·A.卡特、詹姆斯·迪亚兹 / 张汉平 / 印刷工业出版社 / 2015-4 / 185.00元,暂无,大卫·A.卡特&詹姆斯·迪亚兹,立体书&手工&手作&Design&图书馆&美,印刷工业出版社
https://book.douban.com/subject/4284900/,https://img1.doubanio.com/view/subject/s/public/s4181668.jpg,手作族一定要会的缝纫基本功, ,8.2,268人,靓丽出版社 / 书锦缘 / 2010-2 / 32.80元,为布艺玩家献上的最贴心的缝纫书！能够将情趣布艺完美地融入普通的日常生活是入门新手和资深玩家们共同的目的。本书详尽地介绍了各种实用的基础缝纫知识和能够让你在布... ,靓丽出版社,手工&DIY&缝纫&手作&生活&教程&布艺&日本,靓丽出版社
https://book.douban.com/subject/25892353/,https://img2.doubanio.com/view/subject/s/public/s28056181.jpg,大伟的兵人, ,暂无,少于10人,曾伟人 / 湖北美术出版社 / 2013-12-1 / CNY 188.00,12寸兵人是一种可动玩偶，其高度仿真的配件和超强的可动性受到了许多模型玩家的喜爱，《大伟的兵人(1\6可动人型的把玩与技巧)》是一本汇集了一位台湾军事玩偶达... ,曾伟人,模型&手工&军事,湖北美术出版社
https://book.douban.com/subject/3702275/,https://img3.doubanio.com/view/subject/s/public/s4204130.jpg,贵金属材料与首饰制作, ,7.4,28人,徐植 / 2009-4 / 45.00元,《贵金属材料与首饰制作》立足珠宝首饰制作的基本技巧，首先介绍了各种饰用贵金属的性质和特点，接着介绍了珠宝首饰手工制作所需掌握的基本技巧，例如锤打、挫磨、焊接... ,徐植,首饰设计&手工&首饰&设计&艺术&珠宝, 
https://book.douban.com/subject/3696641/,https://img1.doubanio.com/view/subject/s/public/s6010708.jpg,皮革工艺与应用,皮革工艺与应用,暂无,目前无人,2009-4 / 36.00元,《皮革工艺与应用》是为了配合化工学院新增专业“轻化工程”的专业课程教学所编写的。通过《皮革工艺与应用》可以较为全面地了解制革的基本理论和现代制革技术，并对制... ,2009-4,手工, 
https://book.douban.com/subject/30427144/,https://img9.doubanio.com/view/subject/s/public/s29972754.jpg,绿意生活角,小空间里的混搭课,7.6,23人,[日]自然生活编辑部 著 / 泠点 译 / 中国画报出版社 / 2019-3 / 48,暂无,自然生活编辑部 著,植物&生活&DIY&手工&家居,中国画报出版社
https://book.douban.com/subject/25843212/,https://img9.doubanio.com/view/subject/s/public/s27287624.jpg,大人的科学：牛顿天文望远镜, ,9.0,84人,日本学研教育出版 / 刘晓苹 / 北京联合出版公司 / 2014-4-1 / 188.00元,暂无,日本学研教育出版,科普&手工&天文&日本&科学,日本学研教育出版
https://book.douban.com/subject/6525965/,https://img2.doubanio.com/view/subject/s/public/s6527342.jpg,Torchon Lacemaking, ,暂无,目前无人,"Tregidgo, Jan / 2011-5 / $ 45.14",Torchon lacemaking is a textile art steeped in tradition - the skills required... ,"Tregidgo, Jan",手工&刺绣, 
https://book.douban.com/subject/30190095/,https://img3.doubanio.com/view/subject/s/public/s29792280.jpg,生活工艺时代, ,8.2,184人,[日] 三谷龙二、[日] 新潮社 / 林叶 / 理想国|台海出版社 / 2018-4 / 69.00元,暂无,三谷龙二&新潮社,日本&生活美学&设计&生活&民艺&文化&手工&消费社会,理想国|台海出版社
https://book.douban.com/subject/5399568/,https://img3.doubanio.com/view/subject/s/public/s4601750.jpg,我的缝纫机笔记, ,8.7,105人,叶慈慧 / 河南科学技术出版社 / 2011-1-1 / 39.80元,暂无,叶慈慧,手工&缝纫&布艺&手作&DIY&生活&教程,河南科学技术出版社
https://book.douban.com/subject/1150994/,https://img2.doubanio.com/view/subject/s/public/s6093442.jpg,首饰设计, ,8.5,165人,奥尔弗 / 刘超、甘治欣 / 中国纺织出版社 / 2004-3 / 78.00元,《首饰设计》系统地介绍了珠宝首饰设计，其侧重点在于开拓我们的创意性思维。作者以一个西方首饰专家独特的视角和对专业领域孜孜不倦的探索，对珠宝首饰的概念、制作及... ,奥尔弗,首饰设计&设计&首饰&珠宝&艺术&珠宝设计&design&手工,中国纺织出版社
https://book.douban.com/subject/25719315/,https://img1.doubanio.com/view/subject/s/public/s27036758.jpg,梦想花园, ,7.7,81人,朱泓默 / 中国电力出版社 / 2013-10-1 / 48.00,本书以朱泓默的花园生活为主线，通过她对花园生活的描述，向读者打开梦想花园的门，读者不仅可以看到一位普通都市女性的园艺生活，有十年时间的老房子的屋顶花园的建设... ,朱泓默,园艺&生活&植物&手工&家居&心灵成长&摄影&修行,中国电力出版社
https://book.douban.com/subject/35490836/,https://img2.doubanio.com/view/subject/s/public/s33925372.jpg,Gloria元气漫游手账, ,6.6,49人,Gloria希希 / 江苏凤凰文艺出版社 / 2021-6 / 58.00元,阔别2年，“手账资深达人”Gloria希希再度开启手账世界漫游。专门写给决定从现在开始写手账的你，如何在众多令人眼花缭乱的文具堆里找到适合自己的那一款？初级... ,Gloria希希,手帐&手工&蜗牛&兴趣&自律&生活&2021&生活方式,江苏凤凰文艺出版社
https://book.douban.com/subject/2096153/,https://img2.doubanio.com/view/subject/s/public/s9098083.jpg,儿童学泥塑, ,暂无,目前无人,张红霞 / 上海世纪出版集团（上海书店出版社） / 2002-9 / 12.00元,《儿童学泥塑》以培养儿童审美情趣为出发点，以人和大自然为范本，通过“观察——发现——想象——表现”的创造过程，形象地告诉孩子们怎样运用美术工具和材料来画画和... ,张红霞,手工,上海世纪出版集团（上海书店出版社
https://book.douban.com/subject/26889252/,https://img9.doubanio.com/view/subject/s/public/s29333706.jpg,职人志,52位台湾顶尖手艺人的故事,7.8,239人,黄靖懿、严芷婕 / 未读·北京联合出版公司 / 2017-2 / 78.00,“职人（しょくにん）”一词来自日本，专指“传承守护着代代相传的传统技艺，并通过双手制造出良品”的生产者。职人对于制作有很执着的坚持，对自己的职业怀抱着极高的... ,黄靖懿&严芷婕,匠人&民俗&台湾&想读，一定很精彩！&设计&绘画&励志,未读·北京联合出版公司
https://book.douban.com/subject/4910634/,https://img2.doubanio.com/view/subject/s/public/s4430971.jpg,爱上制作1, ,9.1,59人,奥莱利 编 / 译言 / 人民邮电出版社 / 2010-6 / 35.00元,《爱上制作1》内容简介：主打的主题是低碳生活，让你坐在家里也能打造一个可持续的未来。自制一台纯木制的洗衣桶、自制低功率的可编程的室内LED夜灯、打造自给自足... ,奥莱利 编,DIY&科学&设计&电子&生活&手工&工业设计&科普,人民邮电出版社
https://book.douban.com/subject/30297778/,https://img9.doubanio.com/view/subject/s/public/s29843596.jpg,爸爸的木匠小屋,创意木工小课堂,暂无,少于10人,郑安全、郑若行 / 上海科学技术出版社 / 2018-8 / 68,暂无,郑安全&郑若行,手工&生活&2019,上海科学技术出版社
https://book.douban.com/subject/26303026/,https://img1.doubanio.com/view/subject/s/public/s27984958.jpg,手工皮艺基础,日本最受欢迎的手工皮具DIY书,8.2,72人,[日]高桥创新出版工房 / 张雨晗 / 北京科学技术出版社 / 2015-1-1 / 48.00元,暂无,高桥创新出版工房,手工&工具书&手作&手艺&学习&设计&生活&日本设计,[日]高桥创新出版工房
https://book.douban.com/subject/3001509/,https://img2.doubanio.com/view/subject/s/public/s2955983.jpg,橡皮章，開門！,OPEN THE DOOR!,8.0,302人,夏米 / 臺視文化 / 2008.01.11 / NTD250.00,暂无,夏米,橡皮章&手工&手作&设计&生活&DIY&艺术,臺視文化
