书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35331766/,https://img2.doubanio.com/view/subject/s/public/s33809923.jpg,森林、冰河与鲸, ,9.0,2335人,[日]星野道夫（Michio Hoshino） / 曹逸冰 / 广西师范大学出版社 / 2020-12 / 52.00元,暂无,星野道夫,摄影&星野道夫&旅行&自然&日本&随笔&艺术&理想国,广西师范大学出版社
https://book.douban.com/subject/35567281/,https://img9.doubanio.com/view/subject/s/public/s33986805.jpg,昨天堂, ,8.4,526人,严明 / 北京十月文艺出版社 / 2021-9 / 158.00元,暂无,严明,摄影&严明&艺术&摄影画册&纪实&文学&2021&Photography,北京十月文艺出版社
https://book.douban.com/subject/35547859/,https://img2.doubanio.com/view/subject/s/public/s34050352.jpg,稍息,1981—1984年的中国,8.0,94人,[意大利] 老安 / 上海文艺出版社 / 2021-11 / 298.00,暂无,老安,摄影&纪实&艺术&中国&画册&社会史&Photography&单读,上海文艺出版社
https://book.douban.com/subject/26698223/,https://img2.doubanio.com/view/subject/s/public/s28373253.jpg,永恒的时光之旅, ,9.2,3019人,[日] 星野道夫 / 游韵馨 / 广西师范大学出版社 / 2016-1 / 79.00元,《永恒的时光之旅》收录星野道夫未公开摄影作品及西伯利亚绝笔日记 ，是对星野道夫史诗般摄影生涯的回顾和致敬。星野道夫用镜头扑捉自然的至美和生命的脆弱与坚强，用... ,星野道夫,摄影&旅行&星野道夫&日本&自然&随笔&日本文学&西伯利亚,广西师范大学出版社
https://book.douban.com/subject/34835320/,https://img9.doubanio.com/view/subject/s/public/s33501396.jpg,这里是中国, ,8.2,6704人,星球研究所、中国青藏高原研究会 / 中信出版集团 / 2019-9 / 168.00元,暂无,星球研究所&中国青藏高原研究会,地理&中国&摄影&科普&自然&人文&地图&风光,中信出版集团
https://book.douban.com/subject/4282084/,https://img1.doubanio.com/view/subject/s/public/s4501907.jpg,论摄影,插图珍藏本,8.7,7041人,[美] 苏珊·桑塔格 / 黄灿然 / 上海译文出版社 / 2010-5 / 38.00元,《论摄影》不仅是一本论述摄影者的经典著作，而且是一本论述广泛意义上的现代文化的经典著作。它不是一本专业著作，书中也没有多少摄影术语，尽管有志于摄影者，应人手... ,苏珊·桑塔格,摄影&苏珊·桑塔格&艺术&文化研究&文化&美学&美国&苏珊・桑塔格,上海译文出版社
https://book.douban.com/subject/35571487/,https://img1.doubanio.com/view/subject/s/public/s33992869.jpg,世纪敦煌,跨越百年的莫高窟影像,9.1,195人,孙志军 / 中信出版社 / 2021-9 / 238.00元,公元366年，乐僔开始开凿莫高窟的第一个洞窟。此后的1500多年，莫高窟身处东西方文明的交汇之地，各民族和宗教的交叉点，兴荣交替直至被人彻底遗忘了几百年。从... ,孙志军,敦煌&艺术&历史&摄影&壁画&人文&美术史&雕塑,中信出版社
https://book.douban.com/subject/35331764/,https://img1.doubanio.com/view/subject/s/public/s33809928.jpg,旅行之木, ,8.9,1554人,[日]星野道夫（Michio Hoshino） / 曹逸冰 / 广西师范大学出版社 / 2021-1 / 42.00元,暂无,星野道夫,星野道夫&旅行&随笔&自然&游记&日本&摄影&治愈,广西师范大学出版社
https://book.douban.com/subject/35630392/,https://img1.doubanio.com/view/subject/s/public/s34022908.jpg,西行影纪, ,9.2,57人,主编：马晓峰 / 庄钧 / 后浪 | 四川美术出版社 / 2021-11 / 398.00元,暂无,主编：马晓峰,摄影&人类学&民族&摄影集&历史&艺术&西南&现实主义,后浪 | 四川美术出版社
https://book.douban.com/subject/26602756/,https://img1.doubanio.com/view/subject/s/public/s28286979.jpg,读, ,9.3,2179人,(法) 玛格南图片社、读库 编选 / 读库 / 新星出版社 / 2015-8 / 68,这本图册选取玛格南图片社以阅读为主题的历史图片百余幅，作为读库十周年特别纪念，与各位读友分享阅读之美。图片以时间排序，上限始于二战期间，下限终于二十世纪末。... ,玛格南图片社&读库 编选,摄影&摄影集&读书&读库&法国&艺术&图册&2015,新星出版社
https://book.douban.com/subject/27156016/,https://img3.doubanio.com/view/subject/s/public/s29610160.jpg,失焦, ,8.9,1915人,[匈]罗伯特·卡帕 / 徐振锋 / 广西师范大学出版社 / 2017-10-1 / 52.00,暂无,罗伯特·卡帕,摄影&二战&纪实&卡帕&传记&战争&历史&理想国,广西师范大学出版社
https://book.douban.com/subject/35634560/,https://img2.doubanio.com/view/subject/s/public/s34023401.jpg,霍克尼论摄影（增订本）, ,9.5,19人,[英]大卫·霍克尼、[英]保罗·乔伊斯 / 栾志超 / 理想国 | 北京日报出版社 / 2021-11 / 98,《霍克尼论攝影》(增订本)收录了大卫·霍克尼与好友保罗·乔伊斯关于摄影的对谈十七篇，内容关于霍克尼的图像思考与影像实验，展现了一位多才多艺、创造力十足的艺术... ,大卫·霍克尼&保罗·乔伊斯, ,理想国 | 北京日报出版社
