书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/33440205/,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg,你当像鸟飞往你的山, ,8.7,128829人,[美] 塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10 / 59.00元,人们只看到我的与众不同：一个十七岁前从未踏入教室的大山女孩，却戴上一顶学历的高帽，熠熠生辉。只有我知道自己的真面目：我来自一个极少有人能想象的家庭。我的童年... ,塔拉·韦斯特弗,教育与女性&教育&励志&传记&女性&回忆录&文学&美国文学,南海出版公司
https://book.douban.com/subject/6781808/,https://img2.doubanio.com/view/subject/s/public/s23128183.jpg,杀死一只知更鸟, ,9.2,112740人,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,成长总是个让人烦恼的命题。成长有时会很缓慢，如小溪般唱着叮咚的歌曲趟过，有时却如此突如其来，如暴雨般劈头盖脸……三个孩子因为小镇上的几桩冤案经历了猝不及防的... ,哈珀·李,成长&杀死一只知更鸟&教育&经典&美国文学&小说&外国文学&正义,译林出版社
https://book.douban.com/subject/26879778/,https://img9.doubanio.com/view/subject/s/public/s29350294.jpg,杀死一只知更鸟, ,9.2,37907人,[美] 哈珀·李 / 李育超 / 译林出版社 / 2017-2 / 48.00,《杀死一只知更鸟》是公认的美国文学经典，而它在教育领域的意义却使其突破了国界，成为世界上最有名的成长小说之一。《杀死一只知更鸟》在西方世界的影响力巨大，是美... ,哈珀·李,成长&心灵的洗涤&美国文学&教育&外国文学&小说&心理&文学,译林出版社
https://book.douban.com/subject/1007914/,https://img2.doubanio.com/view/subject/s/public/s1067911.jpg,窗边的小豆豆, ,8.7,184618人,[日] 黑柳彻子 著、岩崎千弘 图 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,《窗边的小豆豆》讲述了作者上小学时的一段真实的故事。作者因淘气被原学校退学后，来到巴学园。在小林校长的爱护和引导下，让一般人眼里“怪怪”的小豆豆逐渐成了一个... ,黑柳彻子 著&岩崎千弘 图, ,南海出版公司
https://book.douban.com/subject/3576486/,https://img2.doubanio.com/view/subject/s/public/s6530133.jpg,小狗钱钱,"引导孩子正确认识财富、创造财富的“金钱童话""",9.1,47881人,[德] 博多·舍费尔 / 王钟欣、余茜 / 南海出版公司 / 2009-2-1 / 20.00元,《小狗钱钱》主要内容：吉娅是一个普通的12岁女孩，一次偶然的机会，她救助了一只受伤的小狗，并给它取名叫“钱钱”。没想到，钱钱居然是一位深藏不露的理财高手，它... ,博多·舍费尔,理财&投资理财&教育&投资&经济&儿童文学&财商&要发财，先理财,南海出版公司
https://book.douban.com/subject/35173329/,https://img2.doubanio.com/view/subject/s/public/s33702542.jpg,真希望我父母读过这本书,你的孩子也会庆幸你读过,8.7,2147人,[美] 菲利帕·佩里 / 洪慧芳 / 中信出版集团 / 2020-7 / 48.00元,暂无,菲利帕·佩里,育儿&亲子&教育&心理学&成长&沟通&生活&Education,中信出版集团
https://book.douban.com/subject/35586814/,https://img9.doubanio.com/view/subject/s/public/s33988306.jpg,精英的傲慢,好的社会该如何定义成功？,7.9,526人,[美]迈克尔·桑德尔 / 曾纪茂 / 中信出版社 / 2021-9-1 / 79.00元,暂无,迈克尔·桑德尔,社会学&政治哲学&迈克尔·桑德尔&社会分层&社会&价值观&美国&教育,中信出版社
https://book.douban.com/subject/26425831/,https://img2.doubanio.com/view/subject/s/public/s28332051.jpg,斯通纳,A Novel,8.8,47681人,[美] 约翰·威廉斯 / 杨向荣 / 上海人民出版社 / 2016-1 / 49.00元,暂无,约翰·威廉斯,人生&小说&约翰·威廉斯&美国文学&外国文学&文学&美国&理想,上海人民出版社
https://book.douban.com/subject/34659228/,https://img1.doubanio.com/view/subject/s/public/s33439128.jpg,你想活出怎样的人生, ,8.7,12051人,[日] 吉野源三郎、[日] 胁田和(绘) / 史诗 / 南海出版公司 / 2019-8 / 49.50元,暂无,吉野源三郎&胁田和,成长&人生&日本文学&日本&影响宫崎骏一生的书&教育&好书，值得一读&文学,南海出版公司
https://book.douban.com/subject/26747208/,https://img1.doubanio.com/view/subject/s/public/s28522258.jpg,优秀的绵羊, ,8.0,6918人,[美] 威廉·德雷谢维奇 / 林杰 / 九州出版社 / 2016-4 / 42．00,2008年，在常春藤盟校待了24年之后，耶鲁大学教授威廉·德雷谢维奇决定辞去自己的终身教职，离开这所常春藤名校。之所以这么做，是因为他感觉当前的美国精英教育... ,威廉·德雷谢维奇,教育&思维方式&自我成长&美国&社会学&成长&社会&思维,九州出版社
