书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/35025453/,https://img1.doubanio.com/view/subject/s/public/s33660509.jpg,失落的卫星,深入中亚大陆的旅程,8.8,10912人,刘子超 / 文汇出版社 / 2020-7 / 69.00元,暂无,刘子超
https://book.douban.com/subject/1060068/,https://img3.doubanio.com/view/subject/s/public/s1066570.jpg,撒哈拉的故事, ,9.2,128938人,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,三毛作品中最脍炙人口的《撒哈拉的故事》，由12篇精彩动人的散文结合而成，其中《沙漠中的饭店》，是三毛适应荒凉单调的沙漠生活后，重新拾笔的第一篇文字，自此之后... ,三毛
https://book.douban.com/subject/35436901/,https://img1.doubanio.com/view/subject/s/public/s33878309.jpg,重走,在公路、河流和驿道上寻找西南联大,9.1,2371人,杨潇 / 上海文艺出版社 / 2021-5 / 98.00元,《重走：在公路、河流和驿道上寻找西南联大》是青年作者杨潇的新作，也是单读出版推出的首部长篇非虚构作品，关于一个不无困惑的写作者徒步重走西南联大西迁路的故事。... ,杨潇
https://book.douban.com/subject/35522033/,https://img1.doubanio.com/view/subject/s/public/s33955237.jpg,午夜降临前抵达, ,8.1,2861人,刘子超 / 文汇出版社 / 2021-8 / 59.00元,暂无,刘子超
https://book.douban.com/subject/35331766/,https://img2.doubanio.com/view/subject/s/public/s33809923.jpg,森林、冰河与鲸, ,8.9,2321人,[日]星野道夫（Michio Hoshino） / 曹逸冰 / 广西师范大学出版社 / 2020-12 / 52.00元,暂无,星野道夫
https://book.douban.com/subject/7060185/,https://img9.doubanio.com/view/subject/s/public/s32271204.jpg,江城, ,9.1,48692人,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,暂无,彼得·海斯勒
https://book.douban.com/subject/35148942/,https://img9.doubanio.com/view/subject/s/public/s33769015.jpg,在中国大地上,搭火车旅行记,8.3,2373人,[美] 保罗·索鲁 / 陈媛媛 / 后浪丨九州出版社 / 2020-12 / 68.00元,暂无,保罗·索鲁
https://book.douban.com/subject/5414391/,https://img1.doubanio.com/view/subject/s/public/s32271209.jpg,寻路中国,从乡村到工厂的自驾之旅,9.0,48510人,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,暂无,彼得·海斯勒
https://book.douban.com/subject/35331764/,https://img1.doubanio.com/view/subject/s/public/s33809928.jpg,旅行之木, ,8.9,1548人,[日]星野道夫（Michio Hoshino） / 曹逸冰 / 广西师范大学出版社 / 2021-1 / 42.00元,暂无,星野道夫
https://book.douban.com/subject/26698223/,https://img2.doubanio.com/view/subject/s/public/s28373253.jpg,永恒的时光之旅, ,9.2,3015人,[日] 星野道夫 / 游韵馨 / 广西师范大学出版社 / 2016-1 / 79.00元,《永恒的时光之旅》收录星野道夫未公开摄影作品及西伯利亚绝笔日记 ，是对星野道夫史诗般摄影生涯的回顾和致敬。星野道夫用镜头扑捉自然的至美和生命的脆弱与坚强，用... ,星野道夫
https://book.douban.com/subject/35482178/,https://img1.doubanio.com/view/subject/s/public/s33914679.jpg,阿富汗访古行记, ,7.9,516人,刘拓 / 北京大学出版社 / 2021-6-30 / 88.00,阿富汗是丝绸之路上东西方文明汇聚之地。此书记录了作者于2014年和2017年两次独自踏寻阿富汗诸多古代遗存的故事。阿富汗局势复杂，访古行旅充满冒险和艰辛，而... ,刘拓
https://book.douban.com/subject/34781750/,https://img9.doubanio.com/view/subject/s/public/s33456155.jpg,沿着季风的方向,从印度到东南亚的旅程,8.2,1814人,刘子超 / 人民文学出版社 / 2019-8 / 42.00元,暂无,刘子超
https://book.douban.com/subject/26997048/,https://img3.doubanio.com/view/subject/s/public/s29401350.jpg,撒哈拉的故事, ,9.2,11194人,三毛 / 北京十月文艺出版社 / 2017-3 / 35.00元,暂无,三毛
https://book.douban.com/subject/6710437/,https://img2.doubanio.com/view/subject/s/public/s6780941.jpg,撒哈拉的故事, ,9.3,58851人,三毛 / 北京十月文艺出版社 / 2011-1-7 / 24.00元,暂无,三毛
https://book.douban.com/subject/4881850/,https://img3.doubanio.com/view/subject/s/public/s6185540.jpg,阿勒泰的角落, ,9.1,16008人,李娟 / 万卷出版公司 / 2010-6 / 25.00元,《阿勒泰的角落》是关于新疆的最美丽文字，这是现代版《呼兰河传》。由作者1998-2003年之间陆续完成并在《文汇报》、《南方周末》等发表的短篇散文集结成册。... ,李娟
https://book.douban.com/subject/24934182/,https://img2.doubanio.com/view/subject/s/public/s26936721.jpg,一个人的朝圣, ,8.1,74098人,[英] 蕾秋·乔伊斯 / 黄妙瑜 / 北京联合出版公司 / 2013-9-1 / 32.80,暂无,蕾秋·乔伊斯
https://book.douban.com/subject/6712255/,https://img1.doubanio.com/view/subject/s/public/s6643217.jpg,天真的人类学家,小泥屋笔记&amp;重返多瓦悠兰,8.8,10279人,[英] 奈吉尔·巴利 / 何颖怡 / 广西师范大学出版社 / 2011-7 / 35.00元,本书诚实但又不失风趣地记录了作为人类学家的作者在非洲喀麦隆多瓦悠人村落两次进行田野工作的经历，将人类学家如何克服乏味、灾难、生病与敌意的真实田野生活拍案叫绝... ,奈吉尔·巴利
https://book.douban.com/subject/1036490/,https://img2.doubanio.com/view/subject/s/public/s1099483.jpg,万水千山走遍, ,8.8,40854人,三毛 / 哈尔滨出版社 / 2003-08 / 13.80,大地啊，我来到你岸上时原是一个陌生人，住在你房子里时原是一个旅客，而今我离开你的门时却是一个朋友了。 当飞机降落在墨西哥首都的机场时，我的体力已经透支得几乎... ,三毛
https://book.douban.com/subject/6125543/,https://img1.doubanio.com/view/subject/s/public/s6778118.jpg,北方的空地, ,9.1,2983人,杨柳松 / 重庆出版社 / 2011-4 / 68.00元,《北方的空地》内容简介：人类首次以自力方式横穿大羌塘无人区，羌塘，地球上独有的超级荒原，当我们热衷谈论偏远的阿里和热闹非凡的可可西里时，对这片酷寒的高原依然... ,杨柳松
https://book.douban.com/subject/11505636/,https://img9.doubanio.com/view/subject/s/public/s11180156.jpg,旅行的艺术, ,8.6,2988人,[英] 阿兰·德波顿 / 南治国、彭俊豪、何世原 / 上海译文出版社 / 2012-8 / 28.00元,与一般中国读者的预期不同，《旅行的艺术》不是游记散文，不是导游手册，也不是论述旅行历史和意义的常识读本。这部书就像一场完美的旅程，教我们如何好奇、思考和观察... ,阿兰·德波顿
https://book.douban.com/subject/5366382/,https://img9.doubanio.com/view/subject/s/public/s4540155.jpg,夜航西飞, ,8.7,8724人,[英] 柏瑞尔·马卡姆 / 陶立夏 / 人民文学出版社 / 2010-12 / 29.00元,《夜航西飞》以二十世纪二十至三十年代的肯尼亚为背景，真实再现了作者在非洲的生活，其中包括她毕生钟爱的两项有趣又传奇的事业——训练赛马和驾驶飞机。柏瑞尔•马卡... ,柏瑞尔·马卡姆
https://book.douban.com/subject/1361264/,https://img2.doubanio.com/view/subject/s/public/s3563113.jpg,撒哈拉的故事, ,9.0,190548人,三毛 / 皇冠出版社 / 1976 / 160 TWD,暂无,三毛
https://book.douban.com/subject/3765620/,https://img2.doubanio.com/view/subject/s/public/s4279052.jpg,在漫长的旅途中, ,8.7,6176人,[日] 星野道夫 / 蔡昭仪 / 上海人民出版社 / 2010-2 / 29.00元,单独在零下四十度的冰河地带扎营一个半月，所拍摄所写下的冰河挤压滚落至海中的声音；长期在海湾中冒着酷寒与浪涛，划着小独木舟来回巡弋所捕捉到的座头鲸深潜前扬起尾... ,星野道夫
https://book.douban.com/subject/25984204/,https://img9.doubanio.com/view/subject/s/public/s27466554.jpg,乖，摸摸头, ,7.3,54257人,大冰 / 湖南文艺出版社 / 2014-9-1 / 36.00元,暂无,大冰
https://book.douban.com/subject/25920202/,https://img1.doubanio.com/view/subject/s/public/s27324757.jpg,泛若不系之舟, ,8.6,7030人,傅真 / 中信出版社 / 2014-8 / CNY 39.80,暂无,傅真
https://book.douban.com/subject/30208077/,https://img2.doubanio.com/view/subject/s/public/s29831183.jpg,禅与摩托车维修艺术,珍藏版,8.7,1467人,[美]罗伯特·M.波西格 / 张国辰、王培沛 / 重庆出版社 / 2018-9 / 79.80,在《柏拉图对话集》中，斐德洛是一个爱好哲学的普通雅典青年。而在本书中，斐德洛重返人间。他曾经是学哲学的学生，同时也是教修辞学的教师，但是由于哲学理念与文化的... ,罗伯特·M.波西格
https://book.douban.com/subject/4884218/,https://img1.doubanio.com/view/subject/s/public/s6180859.jpg,我的阿勒泰, ,8.8,22919人,李娟 / 云南人民出版社 / 2010-7 / 22.00元,本书是作者十年来散文创作的合集。分为阿勒泰文字、阿勒泰角落和九篇雪三辑。这是一部描写疆北阿勒泰地区生活和风情的原生态散文集。充满生机活泼、新鲜动人的元素。记... ,李娟
https://book.douban.com/subject/35213787/,https://img9.doubanio.com/view/subject/s/public/s34017044.jpg,流浪者旅店, ,7.6,43人,[荷兰] 塞斯•诺特博姆 / 杜冬 / 译林出版社 / 2021-9 / 68.00元,暂无,塞斯•诺特博姆
https://book.douban.com/subject/27203505/,https://img9.doubanio.com/view/subject/s/public/s29614505.jpg,从大都到上都,在古道上重新发现中国,8.4,2598人,罗新 / 新星出版社 / 2017-11 / 45.00元,暂无,罗新
https://book.douban.com/subject/1933931/,https://img9.doubanio.com/view/subject/s/public/s1940795.jpg,沿着塞纳河到翡冷翠, ,8.7,5493人,黄永玉 / 作家出版社 / 2006-11 / 38.00元,一位67位岁的中国画家，支起画架，安顿好三脚凳，安然从在巴黎塞纳河畔、翡冷翠（佛罗伦萨）优雅的街头，专心画他的画。这是1991年的春天夏天的事情，画家黄永玉... ,黄永玉
https://book.douban.com/subject/22883503/,https://img1.doubanio.com/view/subject/s/public/s27029698.jpg,夜航西飞, ,9.0,2952人,[英] 柏瑞尔·马卡姆 / 陶立夏 / 上海文艺出版社 / 2013-11 / 39.90元,暂无,柏瑞尔·马卡姆
