书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35025453/,https://img1.doubanio.com/view/subject/s/public/s33660509.jpg,失落的卫星,深入中亚大陆的旅程,8.8,11046人,刘子超 / 文汇出版社 / 2020-7 / 69.00元,暂无,刘子超,旅行文学&中亚&游记&旅行&刘子超&文学&当代文学&大陆文学,文汇出版社
https://book.douban.com/subject/1060068/,https://img3.doubanio.com/view/subject/s/public/s1066570.jpg,撒哈拉的故事, ,9.2,129270人,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,三毛作品中最脍炙人口的《撒哈拉的故事》，由12篇精彩动人的散文结合而成，其中《沙漠中的饭店》，是三毛适应荒凉单调的沙漠生活后，重新拾笔的第一篇文字，自此之后... ,三毛,三毛&撒哈拉的故事&随笔&散文&游记&旅行&爱情&文学,哈尔滨出版社
https://book.douban.com/subject/35522033/,https://img1.doubanio.com/view/subject/s/public/s33955237.jpg,午夜降临前抵达, ,8.1,2946人,刘子超 / 文汇出版社 / 2021-8 / 59.00元,暂无,刘子超,旅行文学&游记&刘子超&旅行&欧洲&文学&非虚构&中国,文汇出版社
https://book.douban.com/subject/35148942/,https://img9.doubanio.com/view/subject/s/public/s33769015.jpg,在中国大地上,搭火车旅行记,8.3,2384人,[美] 保罗·索鲁 / 陈媛媛 / 后浪丨九州出版社 / 2020-12 / 68.00元,暂无,保罗·索鲁,旅行&游记&纪实&保罗·索鲁&火车&文化&文学&历史,后浪丨九州出版社
https://book.douban.com/subject/35482178/,https://img1.doubanio.com/view/subject/s/public/s33914679.jpg,阿富汗访古行记, ,7.9,521人,刘拓 / 北京大学出版社 / 2021-6-30 / 88.00,阿富汗是丝绸之路上东西方文明汇聚之地。此书记录了作者于2014年和2017年两次独自踏寻阿富汗诸多古代遗存的故事。阿富汗局势复杂，访古行旅充满冒险和艰辛，而... ,刘拓,阿富汗&游记&旅行&考古&历史&随笔&文化&非虚构,北京大学出版社
https://book.douban.com/subject/35331764/,https://img1.doubanio.com/view/subject/s/public/s33809928.jpg,旅行之木, ,8.9,1580人,[日]星野道夫（Michio Hoshino） / 曹逸冰 / 广西师范大学出版社 / 2021-1 / 42.00元,暂无,星野道夫,星野道夫&旅行&随笔&自然&游记&日本&摄影&治愈,广西师范大学出版社
https://book.douban.com/subject/34781750/,https://img9.doubanio.com/view/subject/s/public/s33456155.jpg,沿着季风的方向,从印度到东南亚的旅程,8.2,1830人,刘子超 / 人民文学出版社 / 2019-8 / 42.00元,暂无,刘子超,旅行文学&旅行&刘子超&游记&东南亚&随笔&非虚构&文学,人民文学出版社
https://book.douban.com/subject/35631900/,https://img9.doubanio.com/view/subject/s/public/s34080464.jpg,仙那度,追寻马可·波罗的脚步,8.4,70人,[英] 威廉·达尔林普尔 / 兰莹 / 社会科学文献出版社 / 2021-11 / 72.00元,“仙那度”（Xanadu）是西方文化中对元上都的称呼。英国著名“湖畔派”诗人柯尔律治在一个夏天梦到马可·波罗描述的忽必烈的宫殿，于梦醒后写下抒情诗《忽必烈汗... ,威廉·达尔林普尔,游记&历史&丝绸之路&甲骨文&非虚构&辽金元西夏&英国文学&英国,社会科学文献出版社
https://book.douban.com/subject/1393447/,https://img9.doubanio.com/view/subject/s/public/s1817185.jpg,忧郁的热带, ,9.1,4309人,[法] 列维-斯特劳斯 / 王志明 / 生活·读书·新知三联书店 / 2005-6 / 29.80元,暂无,列维-斯特劳斯,人类学&列维·斯特劳斯&社会学&忧郁的热带&游记&结构主义&法国&文化,生活·读书·新知三联书店
https://book.douban.com/subject/30187222/,https://img9.doubanio.com/view/subject/s/public/s29813835.jpg,夜航西飞, ,8.8,1182人,[英]柏瑞尔·马卡姆 / 陶立夏 / 人民文学出版社 / 2018-9 / 59.00元,本书是由三十年非洲岁月片段串联起来的回忆，讲述传奇女性柏瑞尔•马卡姆从童年到一九三六年的人生经历。她热衷于训练赛马和驾驶飞机。书中有她在非洲度过的童年、参与... ,柏瑞尔·马卡姆,非洲&柏瑞尔·马卡姆&飞行&旅行文学&游记&外国文学&英国&陶立夏,人民文学出版社
