书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/2277299/,https://img9.doubanio.com/view/subject/s/public/s2857766.jpg,当下的力量, ,8.4,8650人,[德] 埃克哈特·托利 / 曹植 / 中信出版社 / 2007-10 / 24.00元,暂无,埃克哈特·托利,心理学&灵修&当下的力量&心理&修行&哲学&自我&宁静,中信出版社
https://book.douban.com/subject/24758481/,https://img1.doubanio.com/view/subject/s/public/s26922429.jpg,当下的力量（珍藏版）, ,8.6,4651人,埃克哈特•托利 (Eckhart Tolle) / 曹植 / 中信出版社 / 2013-7-1 / CNY 32.00,暂无,埃克哈特•托利,灵修&心理学&成长&心理&心灵&当下的力量&思维&身心灵,中信出版社
https://book.douban.com/subject/26392337/,https://img2.doubanio.com/view/subject/s/public/s28076033.jpg,与神对话, ,8.4,3771人,[美]尼尔·唐纳德·沃尔什 / 李继宏 / 江西人民出版社 / 2015-5 / 48.00,1996年11月，许多美国人不再为圣诞节送什么礼物给亲友发愁，因为他们都已经有了目标：那是一本叫做《与神对话》的书，作者是名不见经传的尼尔·唐纳德·沃尔什。... ,尼尔·唐纳德·沃尔什,哲学&灵修&与神对话&心理学&心理&灵性&外国文学&好书，值得一读,江西人民出版社
https://book.douban.com/subject/5450660/,https://img9.doubanio.com/view/subject/s/public/s29347294.jpg,次第花开, ,8.5,4462人,希阿荣博堪布 / 海南出版社 / 2017-1 / 39.80元,暂无,希阿荣博堪布,心灵修行&佛学&哲学&希阿荣博堪布&藏传佛教&心灵&佛教&宗教,海南出版社
https://book.douban.com/subject/30384422/,https://img1.doubanio.com/view/subject/s/public/s29928689.jpg,臣服实验, ,8.4,1348人,（美）迈克•A. 辛格 / 易灵运 / 南京大学出版社 / 2019-1-1 / 45.00元,暂无,迈克•A. 辛格,心灵成长&自我成长&灵修&心理学&成长&个人发展&心灵&心理,南京大学出版社
https://book.douban.com/subject/35581777/,https://img2.doubanio.com/view/subject/s/public/s34014823.jpg,清醒地活,超越自我的生命之旅,8.9,205人,[美]迈克尔·辛格（Michael A. Singer） / 汪幼枫、陈舒 / 机械工业出版社 / 2021-9 / 59.00,畅销书作家、瑜伽和冥想大师迈克尔·辛格从崭新的视角带你探索内心、认识自我内在能量的来源和觉察束缚你心灵成长的阻碍，为你正经历的烦恼、压力、纠结、痛苦找到一味... ,迈克尔·辛格,心理学&心灵成长&灵修&禅修&思维&灵性&生活&成长,机械工业出版社
https://book.douban.com/subject/2340100/,https://img9.doubanio.com/view/subject/s/public/s3403254.jpg,遇见未知的自己, ,8.0,75868人,张德芬 / 华夏出版社 / 2008-1 / 29.00,暂无,张德芬,"遇见未知的自己&灵修&心理&心理学&精神之旅&修行&亲爱的,外面没有别人,只有你自己&心智",华夏出版社
https://book.douban.com/subject/3266968/,https://img9.doubanio.com/view/subject/s/public/s3331205.jpg,秘密, ,7.2,35225人,[澳] 朗达·拜恩 / 谢明宪 / 中国城市出版社 / 2008-11 / 32.00,《The Secret 秘密》是一本心灵励志书。本书作者朗达·拜恩是澳大利亚电视工作者，有一年，父亲突然去世、工作遭遇瓶颈、家庭关系也陷入僵局，就在人生跌至... ,朗达·拜恩,励志&心理学&心灵哲学&秘密&灵修&心理&心灵&吸引力法则,中国城市出版社
https://book.douban.com/subject/26815948/,https://img1.doubanio.com/view/subject/s/public/s28807248.jpg,当下的力量（白金版）,A Guide to Spiritual Enlightenment,8.2,976人,[德]埃克哈特•托利 / 曹植 / 中信出版社 / 2016-6 / 35.00元,《当下的力量》，身心灵大师埃克哈特•托利经典之作，20年蝉联美国亚马逊畅销书排行榜！被翻译成50多种文字，畅销全球500多万册，我们这个时代最具影响力的心灵... ,埃克哈特•托利,灵修&心灵&心理学&个人成长&心智&自我管理&个人管理&励志,中信出版社
https://book.douban.com/subject/20475763/,https://img2.doubanio.com/view/subject/s/public/s24584693.jpg,个人实相的本质,你的信念创造了你眼前的世界,9.1,265人,珍·罗伯兹 / 王季庆 / 2013-1 / 42.00元,暂无,珍·罗伯兹,心理学&灵修&心灵成长&心理&身心灵&修行&神秘学&心灵, 
https://book.douban.com/subject/6526752/,https://img2.doubanio.com/view/subject/s/public/s6515811.jpg,生命之书,365天的静心冥想,8.8,4394人,〔印度〕克里希那穆提著 / 胡因梦 / 译林出版社 / 2011-6-1 / 36.80元,本书是克氏教诲的精选，诸多内容内地读者都不曾接触。对于尚未领略克氏智慧之光的人而言，它是最佳入门读物，深入浅出，完整详实。对于已经入门的读者而言，它是深化之... ,〔印度]克里希那穆提著,克里希那穆提&灵修&哲学&生命之书&心灵&心灵成长&心理学&胡因梦,译林出版社
https://book.douban.com/subject/10546850/,https://img9.doubanio.com/view/subject/s/public/s10187754.jpg,内在的天空,占星学入门,8.9,3916人,[美] 斯蒂芬‧福裡斯特（Steven Forrest） / 郭宇 / 云南人民出版社 / 2012-3 / 42.00元,提到占星学，人们下意识的反应通常是：“我这个星座是什么样儿的？”仿佛占星提供的是人生定论、命中注定的赏罚，甚至很多占星师都这样使用它。然而本书指出，成长才是... ,斯蒂芬‧福裡斯特,占星&占星学&心理学&灵修&星座&神秘学&心理&ASTROLOGY,云南人民出版社
https://book.douban.com/subject/35631916/,https://img2.doubanio.com/view/subject/s/public/s34021692.jpg,丰盛,步入生命的丰盛，成功和幸福滚滚而来,,156人,杨定一 / 华龄出版社 / 2022-1-1 / 65,揭秘心想事成的至简真理，如何轻松不费力地拥有一生好运参透《秘密》《吸引力法则》的成功秘诀之背后秘密，真正登上人生富足之巅。天才科学家、奥运冠军心灵导师、《真... ,杨定一,自我实现&身心灵&自我成长&心理学&成长&灵修&励志&健康,华龄出版社
https://book.douban.com/subject/3158482/,https://img2.doubanio.com/view/subject/s/public/s3198253.jpg,新世界,灵性的觉醒,8.9,5978人,[德] 艾克哈特·托尔 / 张德芬 / 南方出版社 / 2012-2 / 28.00元,自远古以来，花朵、水晶、宝石和鸟类对人类心灵就一直有着重要意义。它们对人类之所以会有如此特殊的重要意义，以及人类之所以会对它们如此着迷并感觉亲切，就是因为它... ,艾克哈特·托尔,灵修&心理学&心灵成长&心灵&修行&灵性&成长&个人成长,南方出版社
https://book.douban.com/subject/6946710/,https://img2.doubanio.com/view/subject/s/public/s6982822.jpg,前世今生,生命轮回的启示,7.6,3761人,[美] 布莱恩·魏斯 / 谭智华 / 光明日报出版社 / 2011-11 / 32.00元,暂无,布莱恩·魏斯,轮回&心理学&灵修&灵魂&前世&精神之旅&心理&前世今生,光明日报出版社
https://book.douban.com/subject/24749465/,https://img9.doubanio.com/view/subject/s/public/s26872396.jpg,断舍离, ,7.4,39343人,山下英子 / 吴倩 / 广西科学技术出版社 / 2013-7-30 / CNY 32.00,“断舍离”是由日本杂物管理咨询师山下英子提出的人生整理观念。 所谓断舍离，就是透过整理物品了解自己，整理心中的混沌，让人生舒适的行动技术。换句话说，就是利用... ,山下英子,自我管理&个人管理&生活&断舍离&整理&日本&心理学&心理学（应用）,广西科学技术出版社
https://book.douban.com/subject/27040768/,https://img1.doubanio.com/view/subject/s/public/s29446677.jpg,开启你的高维智慧, ,8.6,391人,刘丰 / 中国青年出版社 / 2017-5-1 / CNY 39.80,暂无,刘丰,哲学&灵修&身心灵&心灵成长&灵性&心理&自我管理&文化,中国青年出版社
https://book.douban.com/subject/27153403/,https://img1.doubanio.com/view/subject/s/public/s29558199.jpg,新世界：灵性的觉醒（精装修订本）, ,9.2,456人,艾克哈特·托尔 / 张德芬 / 四川文艺出版社 / 2016-1-1 / 58,这是一本可以帮助人类整体意识得到提升和转化的“开悟”之书，本书是德国灵性大师艾克哈特·托尔不多的著作之一，2005年初版以后被美国著名黑人女主持奥普拉无意读... ,艾克哈特·托尔,灵修&心灵成长&心灵&自我成长&灵性&进化心理学&修行&思维,四川文艺出版社
