书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/30183051/,https://img9.doubanio.com/view/subject/s/public/s29767895.jpg,鱼翅与花椒, ,8.3,29220人,[英] 扶霞·邓洛普 / 何雨珈 / 上海译文出版社 / 2018-7 / 48.00元,扶霞是我的好友，也是我认识的所有外国人中，非常了解中国烹饪的一位。这本屡获殊荣的《鱼翅与花椒》无疑是很多外国人写中国食物的书籍里极为鲜活有趣和精准的 。——... ,扶霞·邓洛普,美食&饮食&纪实文学&饮食文化&文化&中国&川菜&生活,上海译文出版社
https://book.douban.com/subject/1227844/,https://img9.doubanio.com/view/subject/s/public/s1403565.jpg,雅舍谈吃, ,8.8,9246人,梁实秋 / 山东画报出版社 / 2005-02 / 17.00元,梁实秋先生是公认的华语世界中的一代文化宗师之一。他的许多文学作品都流播海内外，被人们赞为经典。其中“雅舍小品”更是他的代表作，先后印行了三百多版。《雅舍谈吃... ,梁实秋,美食&梁实秋&散文&美食文化&饮食&随笔&生活&中国文学,山东画报出版社
https://book.douban.com/subject/35571385/,https://img9.doubanio.com/view/subject/s/public/s34034695.jpg,FASHION FOOD！日本流行美食文化史,日本流行美食文化史,9.0,35人,[日]畑中三应子 / 曹逸冰 / 上海三联书店 / 2021-11-5 / 58元,暂无,畑中三应子,美食&日本&日本文化&饮食文化&文化&历史&食物&文化史,上海三联书店
https://book.douban.com/subject/30300327/,https://img2.doubanio.com/view/subject/s/public/s29845861.jpg,料理图鉴,每个人都应该知道的基本烹饪常识,8.5,1025人,[日]越智登代子 著 / 平野惠理子 绘 / 杨晓婷 / 后浪 丨 湖南美术出版社 / 2018-9 / 70.00元,暂无,越智登代子 著,料理&美食&日本&生活&饮食&菜谱&绘本&治愈,后浪 丨 湖南美术出版社
https://book.douban.com/subject/26899220/,https://img2.doubanio.com/view/subject/s/public/s29113352.jpg,生活，是很好玩的, ,8.8,6149人,汪曾祺 / 江西人民出版社 / 2016-11 / 52元,暂无,汪曾祺,汪曾祺&生活&散文&散文随笔&随笔&美食&文学&中国文学,江西人民出版社
https://book.douban.com/subject/1288925/,https://img2.doubanio.com/view/subject/s/public/s1728272.jpg,五味,汪曾祺谈吃散文32篇,8.8,4550人,汪曾祺 / 山东画报出版社 / 2005-04 / 13.00,汪曾祺既不是达官贵人，又不是商贾巨富，因此所食、所喜的多是地方风味和民间小食，他谈萝卜、豆腐，讲韭菜花、手把肉，皆是娓娓道来，从容闲适；读的人则津津有味，满... ,汪曾祺,汪曾祺&美食&散文&饮食文化&饮食&随笔&吃&生活,山东画报出版社
https://book.douban.com/subject/33438809/,https://img1.doubanio.com/view/subject/s/public/s33487137.jpg,手工咖啡：咖啡爱好者的完美指南,咖啡爱好者的完美冲煮指南,8.4,1004人,[美] 杰茜卡·伊斯托、[美] 安德烈亚斯·威尔霍夫 / 李粤梅 / 中信出版集团·雅信 / 2019-10 / 68,《手工咖啡：咖啡爱好者的完美冲煮指南》是一本全面而系统讲解咖啡知识的实用指南。作者杰茜卡·伊斯托有着近十年的在家冲煮咖啡的经验，她以咖啡爱好者的身份，在专业... ,杰茜卡·伊斯托&安德烈亚斯·威尔霍夫,咖啡&生活&美食&饮食&干货&美国,中信出版集团·雅信
https://book.douban.com/subject/26687647/,https://img9.doubanio.com/view/subject/s/public/s28363876.jpg,至味在人间, ,7.9,8638人,陈晓卿 / 广西师范大学出版社 / 2016-1 / 38.00元,暂无,陈晓卿,美食&陈晓卿&美食文化&随笔&饮食&人文&吃货&散文随笔,广西师范大学出版社
https://book.douban.com/subject/27029478/,https://img1.doubanio.com/view/subject/s/public/s29520918.jpg,厨艺的常识,理论、方法与实践,8.1,1053人,[美] 迈克尔·鲁尔曼 著、唐娜·鲁尔曼  摄 / 潘昱均 / 后浪丨江西人民出版社 / 2017-7 / 80.00元,暂无,迈克尔·鲁尔曼 著&唐娜·鲁尔曼  摄,烹饪&美食&厨房&料理&饮食&生活&学习&原理,后浪丨江西人民出版社
https://book.douban.com/subject/25849892/,https://img1.doubanio.com/view/subject/s/public/s28310438.jpg,人间滋味, ,8.7,3562人,汪曾祺 / 天津人民出版社 / 2014-4 / 34.80元,《人间滋味》是一部经典的美食散文集，内容涵盖五味人间、食肉和饮茶、吃食与文学、四方食事四大方面。文章的主要叙述对象包括地方风味、家常小菜、民间特色美食等内容... ,汪曾祺,汪曾祺&美食&饮食文化&随笔&散文&生活&文学&散文随笔,天津人民出版社
https://book.douban.com/subject/30288066/,https://img3.doubanio.com/view/subject/s/public/s29833180.jpg,宋宴, ,8.6,624人,徐鲤、郑亚胜、卢冉 / 新星出版社 / 2018-8 / 168.00元,暂无,徐鲤&郑亚胜&卢冉,美食&宋史&历史&文化&饮食&中国&食物&宋,新星出版社
https://book.douban.com/subject/1006884/,https://img9.doubanio.com/view/subject/s/public/s3303136.jpg,随园食单, ,8.6,3721人,(清)袁枚 / 江苏古籍出版社 / 2000年 / 6.00,暂无,袁枚,美食&袁枚&饮食&食谱&中国&饮食文化&生活&历史,江苏古籍出版社
https://book.douban.com/subject/35143853/,https://img9.doubanio.com/view/subject/s/public/s33835834.jpg,美食与文明,帝国塑造烹饪习俗的全球史,8.2,754人,蕾切尔·劳丹 / 杨宁 / 民主与建设出版社 / 2021-3 / 94.00元,暂无,蕾切尔·劳丹,饮食文化&美食&历史&文化&世界史&饮食&社会&生活,民主与建设出版社
https://book.douban.com/subject/26976286/,https://img2.doubanio.com/view/subject/s/public/s29458261.jpg,食物语言学, ,7.5,1414人,[美] 任韶堂 / 王琳淳 / 上海文艺出版社 / 2017-2 / 49.00元,《食物语言学》是一部妙趣横生，从冰激凌开始，到薯片、番茄酱，横跨欧亚，探讨食物、语言、文化传播间关系的作品。一些日常生活的食材，从名称就可以看出其奇异身世，... ,任韶堂,饮食文化&语言学&美食&饮食&文化研究&社会学&文化&美国,上海文艺出版社
https://book.douban.com/subject/35489949/,https://img2.doubanio.com/view/subject/s/public/s33917781.jpg,中国人超会吃, ,6.8,257人,王恺、戴小蛮、刘小柱 摄影 / 世纪文景丨上海人民出版社 / 2021-7 / 158,暂无,王恺&戴小蛮&刘小柱 摄影,美食&饮食&中国&文化&生活&摄影&散文&自然,世纪文景丨上海人民出版社
https://book.douban.com/subject/35546966/,https://img1.doubanio.com/view/subject/s/public/s33958318.jpg,这本书好吃吗, ,8.1,66人,张佳玮 / 华东师范大学出版社 / 2021-7 / 55,暂无,张佳玮,美食&饮食&张佳玮&随笔&文化&文学&生活&吃,华东师范大学出版社
https://book.douban.com/subject/35501309/,https://img9.doubanio.com/view/subject/s/public/s34017355.jpg,北方厨房,一个家庭的烹饪史,7.5,74人,蒋韵 / 上海文艺出版社 / 2021-8-31 / 68.00元,暂无,蒋韵,美食&随笔&蒋韵&随便看看&书&散文,上海文艺出版社
https://book.douban.com/subject/26634871/,https://img9.doubanio.com/view/subject/s/public/s28309786.jpg,迷宮飯(01), ,9.2,1214人,九井諒子 / 望 / 青文出版社 / 2015-10-16 / NT$130,暂无,九井諒子,漫画&日本漫画&美食&日本&冒险&奇幻&2015,青文出版社
https://book.douban.com/subject/26389520/,https://img3.doubanio.com/view/subject/s/public/s32266220.jpg,肚子饿万岁, ,8.4,2970人,[日]高木直子 / 香冰 / 北京联合出版公司 / 2015-5-1 / CNY 39.90,美食永远带着温度，是可以吃下去的爱！本书围绕着“肚子饿了最想吃的美食”这一话题展开，讲述了高木直子自己和身边的亲友关于美食的种种趣事。原来，高木直子从孩童时... ,高木直子,高木直子&绘本&美食&日本&漫画&饮食&2015,北京联合出版公司
https://book.douban.com/subject/35699008/,https://img2.doubanio.com/view/subject/s/public/s34084543.jpg,餐桌上的历史,刺激食客味蕾的50餐,暂无,少于10人,(法) 马里翁 ·戈德弗鲁瓦、(法) 格扎维埃·德克特 / 上海文化出版社 / 2022-1-1 / 52.00,暂无,马里翁 ·戈德弗鲁瓦&格扎维埃·德克特,美食&历史&饮食&社会史&文化&短篇小说集,上海文化出版社
https://book.douban.com/subject/25774775/,https://img1.doubanio.com/view/subject/s/public/s27748889.jpg,雅舍谈吃, ,9.1,212人,梁实秋 / 江苏文艺出版社 / 2013-10 / 35元,暂无,梁实秋,梁实秋&美食&散文&饮食文化&随笔&散文随笔&中国,江苏文艺出版社
https://book.douban.com/subject/35005050/,https://img9.doubanio.com/view/subject/s/public/s33782275.jpg,川菜,尝到了川菜也就尝到了生活。,7.9,671人,[英]扶霞·邓洛普 / 何雨珈 / 中信出版集团 / 2020-12 / 168.00元,暂无,扶霞·邓洛普,川菜&饮食&饮食文化&美食&文化&生活&海外中国研究&社会学,中信出版集团
https://book.douban.com/subject/35556951/,https://img9.doubanio.com/view/subject/s/public/s34029866.jpg,烟火三十六味,市集·餐桌·食物与人,7.9,24人,三三 / 生活·读书·新知三联书店 / 2021-10 / 78.00元,三三这本饮食随笔向读者展示了东南、西南的很多美食，最为可贵的是这些叙述并非来自餐桌，而是深入到了原料的来源和最普通的日常生活，有独特的画面感和能捕捉到的生活... ,三三,饮食文化&美食&饮食&生活&散文&中国&随笔,生活·读书·新知三联书店
https://book.douban.com/subject/35706294/,https://img2.doubanio.com/view/subject/s/public/s34071813.jpg,收山, ,暂无,少于10人,常小琥 / 北京时代华文书局 / 2022-1-31,暂无,常小琥,小说&文学&美食&社会学&自我成长&纪实&我想读这本书&自我提升,北京时代华文书局
https://book.douban.com/subject/35417011/,https://img9.doubanio.com/view/subject/s/public/s33947845.jpg,鱼米之乡,中国人的雅致饮食文化,7.1,330人,[英]扶霞·邓洛普 / 何雨珈 / 中信出版集团 / 2021-7 / 158.00元,暂无,扶霞·邓洛普,饮食文化&饮食&随笔&海外中国研究&海外汉学&2021&物质文化&美食,中信出版集团
https://book.douban.com/subject/27046024/,https://img2.doubanio.com/view/subject/s/public/s29458492.jpg,杂食者的两难,食物的自然史,8.4,1153人,[美] 迈克尔·波伦 / 邓子衿 / 中信出版集团 / 2017-7 / 69.00元,自从人类开始围坐在一起共同进餐，饮食之道就与文化而不仅仅是生理需求，结下了不解之缘，人类透过饮食，将自然转化为文化。数百万年来，人类已经整合汇编了明智的饮食... ,迈克尔·波伦,饮食&科普&饮食文化&社会学&美国&吃&美食&我想读这本书,中信出版集团
https://book.douban.com/subject/26969626/,https://img9.doubanio.com/view/subject/s/public/s29391015.jpg,鸭川食堂, ,7.8,1546人,[日] 柏井寿 / 史诗 / 百花文艺出版社 / 2017-3 / 35.00元,暂无,柏井寿,美食&治愈&日本文学&日本&小说&回忆&京都,百花文艺出版社
https://book.douban.com/subject/27049319/,https://img9.doubanio.com/view/subject/s/public/s29455184.jpg,人间有味, ,8.6,1954人,汪曾祺 / 北京时代华文书局 / 2017-4-1 / 42.00,暂无,汪曾祺,汪曾祺&美食&散文随笔&饮食&散文&文化&杂文&文学,北京时代华文书局
https://book.douban.com/subject/25913413/,https://img9.doubanio.com/view/subject/s/public/s27464856.jpg,四季便当, ,8.1,2950人,[日]吉井忍 / 广西师范大学出版社 / 2014-10 / 69.00元,本书内容包括作者朴素温馨的关于美食的记忆、家常而可口的便当菜制作方法和步骤，以及关于制作便当的一些实用小贴士。作者秉持“使用当地当季食材”原则，让日常便当实... ,吉井忍,美食&日本&饮食&日本料理&生活&饮食文化&吉井忍&日本文化,广西师范大学出版社
