书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/5325618/,https://img1.doubanio.com/view/subject/s/public/s4510907.jpg,高效能人士的七个习惯,30周年纪念版,8.4,16490人,[美] 史蒂芬·柯维 / 高新勇、王亦兵、葛雪蕾 / 中国青年出版社 / 2018-5-1 / 49.00元,本书精选柯维博士“七个习惯”的最核心思想和方法，为忙碌人士带来超价值的自我提升体验。用最少的时间，参透高效能人士的持续成功之路。 ,史蒂芬·柯维,个人管理&自我管理&自我修炼&成长&思维&管理&方法论&时间管理,中国青年出版社
https://book.douban.com/subject/33391219/,https://img9.doubanio.com/view/subject/s/public/s32276605.jpg,金字塔原理,思考、表达和解决问题的逻辑,8.1,2771人,[美]芭芭拉•明托 / 汪洱、高愉 / 南海出版公司 / 2019-4 / 88.00元,《金字塔原理》介绍了一种能清晰地展现思路的高效方法，是训练思考、使表达呈现逻辑性的实用宝典。金字塔原理能将零散的观点有序组织起来，化繁为简，适合所有需要精进... ,芭芭拉•明托,逻辑思维&思维&金字塔原理&职场&管理学&成长&麦肯锡&金融,南海出版公司
https://book.douban.com/subject/35620025/,https://img2.doubanio.com/view/subject/s/public/s34076681.jpg,底层逻辑,看清这个世界的底牌,6.9,998人,刘润 / 机械工业出版社 / 2021-10-9 / 69,暂无,刘润,思维方式&自我提升&逻辑&方法论&商业&成长&管理学&职场,机械工业出版社
https://book.douban.com/subject/35407140/,https://img1.doubanio.com/view/subject/s/public/s33928159.jpg,把自己当回事儿, ,6.6,4983人,杨天真 / 北京联合出版公司 / 2021-4-1 / 56,暂无,杨天真,沟通&职场&女性&自信&管理&逻辑&想读的书&随笔,北京联合出版公司
https://book.douban.com/subject/24753751/,https://img9.doubanio.com/view/subject/s/public/s26806155.jpg,向前一步,女性，工作及领导意志,8.1,17442人,[美]谢丽尔•桑德伯格（Sheryl Sandberg） / 颜筝 / 中信出版社 / 2013-6-30 / 39.00元,暂无,谢丽尔•桑德伯格,女性&职业发展&职场&自我完善&谢丽尔·桑德伯格&女性主义&传记&成长,中信出版社
https://book.douban.com/subject/24716436/,https://img3.doubanio.com/view/subject/s/public/s28226340.jpg,下一站白富美,聪明女人如何得到自己想要的一切,7.8,413人,[德]珂奈利亚·托普夫 / 郝湉 / 中华工商联合出版社 / 2013-6-1 / 42.00元,《下一站，白富美：聪明女人如何得到自己想要的一切》讲述同样是职业女性，有些人被家庭和事业这两份重担压得喘不过气，而有些人却能够以一种游戏般的轻松状态，从容自... ,珂奈利亚·托普夫,女性&职场&自我管理&女权&励志&管理&生活&中国,中华工商联合出版社
https://book.douban.com/subject/35627156/,https://img1.doubanio.com/view/subject/s/public/s34085629.jpg,拆掉思维里的墙（白金升级版）, ,8.1,333人,古典 / 中信出版集团 / 2021-10-25 / 59,暂无,古典,心智成长&个人发展&思维&职业规划&自我管理&成长&职场&个人成长,中信出版集团
https://book.douban.com/subject/35678298/,https://img1.doubanio.com/view/subject/s/public/s34052298.jpg,超越期待,松浦弥太郎的人生经营原则,,125人,[日]松浦弥太郎 / 王蕾 / 人民邮电出版社 / 2022-1-15 / 59.80元,暂无,松浦弥太郎,松浦弥太郎&自我成长&个人成长&自我提升&职场&思维&自我管理&心理学,人民邮电出版社
https://book.douban.com/subject/35222644/,https://img2.doubanio.com/view/subject/s/public/s33794521.jpg,从总账到总监,CFO的独家财务笔记,9.7,164人,钱自严 / 北京联合出版公司 / 2021-1 / 68.00元,这是一本用小说体例写作的财务专业书籍。工作中如何将财物数据业务化，找到绩效管理的关键点？在人工智能都会写诗的时代，财务这门学科是否会毫无价值？以及在未来，财... ,钱自严,财务&管理&职场&自我成长&学习方法&2021&中文&商业,北京联合出版公司
https://book.douban.com/subject/27117578/,https://img9.doubanio.com/view/subject/s/public/s29520436.jpg,沟通的艺术（插图修订第15版）,看入人里，看出人外,9.0,1555人,[美] 罗纳德·B·阿德勒、拉塞尔·F·普罗科特 / 黄素菲、李恩、王敏 / 后浪丨北京联合出版公司 / 2017-10 / 88.00元,暂无,罗纳德·B·阿德勒&拉塞尔·F·普罗科特, ,后浪丨北京联合出版公司
