书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/5394309/,https://img1.doubanio.com/view/subject/s/public/s4592217.jpg,简约至上,交互式设计四策略,8.4,6305人,[英] Giles Colborne / 李松峰、秦绪文 / 人民邮电出版社 / 2011-1-1 / 35.00,追求简单易用是人类的本性，无论是互联网产品。还是移动应用。亦或其他交互式设计，简单易用始终都是赢得用户的关键。同时，简单易用的程度也与产品寿命的长短密切相关... ,Giles Colborne,交互设计&设计&用户体验&简约设计&产品设计&互联网&心理学&Design,人民邮电出版社
https://book.douban.com/subject/6523997/,https://img1.doubanio.com/view/subject/s/public/s6519128.jpg,用户体验要素,以用户为中心的产品设计,8.3,3602人,Jesse James Garrett / 范晓燕 / 机械工业出版社 / 2011-7-1 / 39.00元,《用户体验要素:以用户为中心的产品设计(原书第2版)》是AJAX之父Jesse James Garrett的经典之作。本书用简洁的语言系统化地诠释了设计、技... ,Jesse James Garrett,用户体验&交互设计&产品经理&产品设计&互联网&产品&设计&UE,机械工业出版社
https://book.douban.com/subject/10557282/,https://img2.doubanio.com/view/subject/s/public/s28034473.jpg,About Face 3：交互设计精髓, ,8.8,511人,[美] 艾伦·库伯、[美] 罗伯特·瑞宁、[美] 大伟·克洛林 / 刘松涛 / 电子工业出版社 / 2012-3-1 / 98.00元,《About Face3交互设计精髓(经典再现软精装版)》是一本数字产品和系统的交互设计指南，全面系统地讲述了交互设计过程、原理和方法，涉及的产品和系统有个... ,艾伦·库伯&罗伯特·瑞宁&大伟·克洛林,交互设计&用户体验&设计&UI&互联网&产品&人机交互&UE,电子工业出版社
https://book.douban.com/subject/4881989/,https://img2.doubanio.com/view/subject/s/public/s4388772.jpg,交互设计指南, ,7.6,302人,Dan Saffer / 陈军亮、陈媛嫄、李敏 / 机械工业出版社 / 2010年7月 / 33.00元,本书对交互设计的来源和本质作了很好的介绍。书中包含了作者十多年来对交互设计的一些深刻理解，对如何做好交互设计有很强的实践价值。在本书第3～8章中，贯穿了一个... ,Dan Saffer,交互设计&用户体验&设计&UE&产品设计&产品经理&互联网&计算机,机械工业出版社
https://book.douban.com/subject/3279105/,https://img2.doubanio.com/view/subject/s/public/s3340712.jpg,About Face 3 交互设计精髓, ,8.6,1353人,Alan Cooper、Robert Reimann、David Cronin / 刘松涛 / 电子工业出版社 / 2008-11 / 72.00元,本书是一本数字产品和系统的交互设计指南，全面系统地讲述了交互设计过程、原理和方法，涉及的产品和系统有个人电脑上的个人和商务软件、Web应用、手持设备、信息亭... ,Alan Cooper&Robert Reimann&David Cronin,交互设计&用户体验&设计&UI&交互&产品设计&互联网&UE,电子工业出版社
https://book.douban.com/subject/2297549/,https://img1.doubanio.com/view/subject/s/public/s2923557.jpg,用户体验的要素,以用户为中心的Web设计,8.2,4360人,Jesse James Garrett / 范晓燕 / 机械工业出版社 / 2007年10月 / 25.00,暂无,Jesse James Garrett,用户体验&交互设计&互联网&设计&产品&UE&产品经理&UCD,机械工业出版社
https://book.douban.com/subject/25769796/,https://img9.doubanio.com/view/subject/s/public/s27137315.jpg,胜于言传：Web内容创作与设计的艺术, ,8.2,21人,[美] Janice(Ginny)Redish / 罗婷 / 机械工业出版社 / 2013-11 / 69.00元,暂无,Janice[Ginny]Redish,用户体验&交互设计&web设计&设计&产品经理&产品&互联网&design,机械工业出版社
https://book.douban.com/subject/19934344/,https://img9.doubanio.com/view/subject/s/public/s17505146.jpg,交互设计沉思录,顶尖设计专家Jon Kolko的经验与心得,7.8,757人,Jon Kolko / 方舟 / 机械工业出版社华章公司 / 2012-10-1 / 49.00元,本书由交互设计领域的思想领袖Jon Kolko所著，是交互设计领域的里程碑之作。本书完美地将当代设计理论和研究成果融入交互设计实践中，将对交互设计的阐释和分... ,Jon Kolko,交互设计&设计&用户体验&交互&UI&计算机&互联网&工业设计,机械工业出版社
https://book.douban.com/subject/1288844/,https://img9.doubanio.com/view/subject/s/public/s1915036.jpg,设计心理学, ,8.2,3917人,（美国）唐纳德﹒A﹒诺曼、none / 梅琼 / 中信出版社 / 2003-10-1 / 23.00,设计心理学，ISBN：9787800739255，作者：（美）唐纳德·A.·诺曼（Donald A. Norman）著；梅琼译；梅琼译 ,唐纳德﹒A﹒诺曼&none,设计&设计心理学&心理学&交互设计&用户体验&心理&Design&UI,中信出版社
https://book.douban.com/subject/2157554/,https://img2.doubanio.com/view/subject/s/public/s25503752.jpg,赢在用户,Web人物角色创建和应用实践指,8.0,1205人,[美]Steve Mulder、[美]Zivv Yarr / 范晓燕 / 机械工业出版社 / 2007-08-01 / 29.00,您如何保证您的网站确实给予用户他们所需要的，并对您产生商业成果？您需要了解谁是您的用户，您的用户的目标、行为和观点是什么，还要把他们的需求当成您的第一要务。... ,Steve Mulder&Zivv Yarr,用户体验&交互设计&产品经理&互联网&UCD&UE&设计&用户研究,机械工业出版社
https://book.douban.com/subject/1440223/,https://img9.doubanio.com/view/subject/s/public/s4357645.jpg,Don't Make Me Think,A Common Sense Approach to Web Usability,8.4,1573人,"Steve Krug / New Riders Press / 18 August, 2005 / $35.00","Five years and more than 100,000 copies after it was first published, it's har... ",Steve Krug,交互设计&用户体验&设计&UI&互联网&心理学&Web&产品经理,New Riders Press
