书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/25863515/,https://img2.doubanio.com/view/subject/s/public/s27283822.jpg,图解HTTP, ,8.1,3021人,[日] 上野宣 / 于均良 / 人民邮电出版社 / 2014-4 / 49.00元,本书对互联网基盘——HTTP协议进行了全面系统的介绍。作者由HTTP协议的发展历史娓娓道来，严谨细致地剖析了HTTP协议的结构，列举诸多常见通信场景及实战案... ,上野宣
https://book.douban.com/subject/25752357/,https://img1.doubanio.com/view/subject/s/public/s28988547.jpg,Head First HTML与CSS（第2版）, ,9.2,1031人,Elisabeth Robson、Eric Freeman / 徐阳、丁小峰 / 中国电力出版社 / 2013-9 / 98.00元,是不是已经厌倦了那些深奥的HTML书？你可能在抱怨，只有成为专家之后才能读懂那些书。那么，找一本新修订的《Head First HTML与CSS（第2版）》... ,Elisabeth Robson&Eric Freeman
https://book.douban.com/subject/1827702/,https://img9.doubanio.com/view/subject/s/public/s1723386.jpg,点石成金,访客至上的网页设计秘笈,8.5,6987人,[美] 史蒂夫·克鲁克 / De Dream' / 机械工业出版社 / 2006-8 / 39.00元,可用性设计是Web设计中最重要也是最困难的一项任务。《点石成金》的作者根据自己多年从业的经验，剖析用户的心理，在用户使用的模式、为浏览进行设计、导航设计、主... ,史蒂夫·克鲁克
https://book.douban.com/subject/30310340/,https://img2.doubanio.com/view/subject/s/public/s29993522.jpg,Flask Web开发实战,入门、进阶与原理解析,8.9,201人,李辉 / 机械工业出版社 / 2018-8-1 / 129,这是一本面向Python程序员的，全面介绍Python Web框架Flask的书。关于本书的详细介绍、相关资源等更多信息可以访问本书的官方主页http://... ,李辉
https://book.douban.com/subject/3735295/,https://img3.doubanio.com/view/subject/s/public/s3804740.jpg,未来是湿的,无组织的组织力量,7.5,2738人,[美] 克莱·舍基 / 胡泳、沈满琳 / 中国人民大学出版社 / 2009-5 / 39.80,一位妇女丢掉了手机，但征召了一群志愿者将其从盗窃者手中夺回。一个旅客在乘坐飞机时领受恶劣服务，她通过自己的博客发动了一场全民运动。在伦敦地铁爆炸案和印度洋海... ,克莱·舍基
https://book.douban.com/subject/32581281/,https://img2.doubanio.com/view/subject/s/public/s31471882.jpg,深入浅出Vue.js, ,7.8,119人,刘博文 / 人民邮电出版社 / 2019-3 / 79.00元,本书从源码层面分析了Vue.js。首先，简要介绍了Vue.js；然后详细讲解了其内部核心技术“变化侦测”，这里带领大家从0到1实现一个简单的“变化侦测”系统... ,刘博文
https://book.douban.com/subject/26906846/,https://img2.doubanio.com/view/subject/s/public/s29131113.jpg,互联网创业核心技术：构建可伸缩的web应用, ,8.3,74人,【美】Artur Ejsmont / 李智慧、何坤 / 电子工业出版社 / 2016-12 / 89,可伸缩架构技术是所有互联网技术中最重要，也是最引人入胜的技术。《互联网创业核心技术：构建可伸缩的web应用》针对互联网创业需求快速迭代，业务快速发展，短时间... ,Artur Ejsmont
https://book.douban.com/subject/4886100/,https://img9.doubanio.com/view/subject/s/public/s11230326.jpg,Web表单设计,点石成金的艺术,8.6,655人,[美] Luke Wroblewski / 卢颐、高韵蓓 / 清华大学出版社 / 2010-6 / 49.00元,精心设计的表单，能让用户感到心情舒畅，愉快地注册、付款和进行内容创建和管理，这是促成网上商业成功的秘密武器。本书通过独到、深邃的见解，丰富、真实的实例，道出... ,Luke Wroblewski
https://book.douban.com/subject/30250772/,https://img9.doubanio.com/view/subject/s/public/s29795756.jpg,深入浅出 HTTPS：从原理到实战, ,8.3,52人,虞卫东 / 电子工业出版社 / 2018-6 / 89,本书是一本专业的HTTPS书籍，全面讲解了HTTPS领域的相关知识，内容包括密码学、OpenSSL命令行、证书、TLS协议、HTTPS网站性能优化、HTTP... ,虞卫东
https://book.douban.com/subject/26745255/,https://img9.doubanio.com/view/subject/s/public/s33520236.jpg,深入理解Nginx（第2版）,模块开发与架构解析,8.7,155人,陶辉 / 机械工业出版社 / 2016-2 / 99.00元,"本书致力于说明开发Nginx模块的必备知识，第1版发行以后，深受广大读者的喜爱．然而由于Ng,nx功能繁多且性能强大，以致必须了解的基本技能也很庞杂，而第1... ",陶辉
https://book.douban.com/subject/26351021/,https://img2.doubanio.com/view/subject/s/public/s28033372.jpg,你不知道的JavaScript（上卷）, ,9.3,1000人,[美] Kyle Simpson / 赵望野、梁杰 / 人民邮电出版社 / 2015-4 / 49.00元,JavaScript语言有很多复杂的概念，但却用简单的方式体现出来（比如回调函数），因此，JavaScript开发者无需理解语言内部的原理，就能编写出功能全... ,Kyle Simpson
https://book.douban.com/subject/3169342/,https://img9.doubanio.com/view/subject/s/public/s3431996.jpg,Web信息架构(第3版),设计大型网站,8.2,912人,Peter Morville、Louis Rosenfeld / 陈建勋 / 电子工业出版社 / 2008年8月 / 85.00,本书涵盖了信息架构基本原理和实践应用的方方面面。全书共7个部分，包括信息架构概述、信息架构的基本原理、信息架构的开发流程和方法论、信息架构实践、信息架构与组... ,Peter Morville&Louis Rosenfeld
https://book.douban.com/subject/6038371/,https://img2.doubanio.com/view/subject/s/public/s4677623.jpg,JavaScript DOM编程艺术 （第2版）, ,8.6,1755人,[英] Jeremy Keith、[加] Jeffrey Sambells / 杨涛、王建桥、杨晓云 等 / 人民邮电出版社 / 2011-4 / 49.00元,JavaScript是Web开发中最重要的一门语言，它强大而优美。无论是桌面开发，还是移动应用。JavaScript都是必须掌握的技术。W3C的DOM标准是... ,Jeremy Keith&Jeffrey Sambells
https://book.douban.com/subject/3323633/,https://img9.doubanio.com/view/subject/s/public/s23486434.jpg,写给大家看的设计书（第3版）, ,8.6,12359人,[美] Robin Williams / 苏金国、刘亮 / 人民邮电出版社 / 2009-1 / 49.00元,这本书出自一位世界级设计师之手。复杂的设计原理在书中凝炼为亲密性、对齐、重复和对比4 个基本原则。作者以其简洁明快的风格，将优秀设计所必须遵循的这4 个基本... ,Robin Williams
https://book.douban.com/subject/30293851/,https://img3.doubanio.com/view/subject/s/public/s29839420.jpg,Flask Web开发,基于Python的Web应用开发实战（第2版）,8.2,46人,[美]米格尔•格林贝格 / 安道 / 人民邮电出版社 / 2018-8 / 69.00元,本书共分三部分，全面介绍如何基于Python微框架Flask进行Web开发。第一部分是Flask简介，介绍使用Flask框架及扩展开发Web程序的必备基础知... ,米格尔•格林贝格
https://book.douban.com/subject/26999243/,https://img2.doubanio.com/view/subject/s/public/s33318121.jpg,亿级流量网站架构核心技术,跟开涛学搭建高可用高并发系统,6.8,241人,张开涛 / 电子工业出版社 / 2017-4 / 99,《亿级流量网站架构核心技术》一书总结并梳理了亿级流量网站高可用和高并发原则，通过实例详细介绍了如何落地这些原则。本书分为四部分：概述、高可用原则、高并发原则... ,张开涛
https://book.douban.com/subject/10793814/,https://img2.doubanio.com/view/subject/s/public/s10321223.jpg,黑客攻防技术宝典（第2版）,Web实战篇（第2版）,8.5,169人,[英] Dafydd Stuttard、[英] Marcus Pinto / 石华耀、傅志红 / 人民邮电出版社 / 2012-6-26 / 99.00元,暂无,Dafydd Stuttard&Marcus Pinto
https://book.douban.com/subject/21750151/,https://img1.doubanio.com/view/subject/s/public/s28372188.jpg,Web Audio API, ,暂无,少于10人,Boris Smus / O'Reilly Media / 2013-3-25 / USD 16.99,暂无,Boris Smus
https://book.douban.com/subject/2308234/,https://img9.doubanio.com/view/subject/s/public/s2921314.jpg,CSS权威指南（第三版）, ,8.5,703人,[美] Eric A.Meyer / 侯妍、尹志忠 / 中国电力出版社 / 2007-10 / 58.00,暂无,Eric A.Meyer
https://book.douban.com/subject/26595981/,https://img9.doubanio.com/view/subject/s/public/s28279796.jpg,"CSS: The Missing Manual, 4th Edition", ,9.5,13人,David Sawyer McFarland / O'Reilly Media / 2015-8-28 / USD 39.99,"CSS lets you create professional-looking websites, but learning its finer poin... ",David Sawyer McFarland
https://book.douban.com/subject/25733421/,https://img2.doubanio.com/view/subject/s/public/s28741402.jpg,Web之困：现代Web应用安全指南, ,8.6,109人,(美)Michal Zalewski / 朱筱丹 / 机械工业出版社 / 2013-10 / 69,《web之困：现代web应用安全指南》在web安全领域有“圣经”的美誉，在世界范围内被安全工作者和web从业人员广为称道，由来自google chrome浏... ,Michal Zalewski
https://book.douban.com/subject/26077205/,https://img2.doubanio.com/view/subject/s/public/s29938062.jpg,Web应用安全权威指南, ,8.2,47人,德丸浩 / 赵文、刘斌 / 人民邮电出版社 / 2014-10 / 79,《web应用安全权威指南》系日本web安全第一人德丸浩所创，是作者从业多年的经验总结。作者首先简要介绍了web应用的安全隐患以及产生原因，然后详细介绍了we... ,德丸浩
https://book.douban.com/subject/26589719/,https://img1.doubanio.com/view/subject/s/public/s28273777.jpg,JavaScript设计模式, ,6.5,88人,张容铭 / 人民邮电出版社 / 2015-8-1 / 59.00,《JavaScript设计模式》共分六篇四十章，首先讨论了几种函数的编写方式，体会JavaScript在编程中的灵活性；然后讲解了面向对象编程的知识，其中讨... ,张容铭
https://book.douban.com/subject/26916420/,https://img1.doubanio.com/view/subject/s/public/s29154569.jpg,交互式计算机图形学,基于WebGL的自顶向下方法(第七版),8.6,17人,E.安杰尔 (Edward Ange)、D.斯赖纳 (Dave Shreiner) / 张荣华、姜丽梅 / 电子工业出版社 / 2016-4-1 / 89.00元,本书是作者多年来教学与科研工作的总结，采用自顶向下的结构进行讲解，涵盖了基于WebGL编程工具的交互式图形编程、三维可编程绘制流水线、变换与观察、光照与明暗... ,E.安杰尔&D.斯赖纳
https://book.douban.com/subject/26274202/,https://img3.doubanio.com/view/subject/s/public/s27906700.jpg,Flask Web开发：基于Python的Web应用开发实战, ,8.6,618人,[美] Miguel Grinberg / 安道 / 人民邮电出版社 / 2014-12 / 59.00元,暂无,Miguel Grinberg
https://book.douban.com/subject/21866396/,https://img3.doubanio.com/view/subject/s/public/s26086250.jpg,High Performance Browser Networking,What every web developer should know about networking and web performance,9.4,92人,Ilya Grigorik / O'Reilly Media / 2013-8-22 / USD 29.99,How prepared are you when it comes to building network-enabled applications? T... ,Ilya Grigorik
