书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/6709783/,https://img9.doubanio.com/view/subject/s/public/s6807265.jpg,浪潮之巅, ,9.0,30506人,吴军 / 电子工业出版社 / 2011-8 / 55.00元,暂无,吴军,互联网&IT&商业&计算机&浪潮之巅&历史&管理&投资,电子工业出版社
https://book.douban.com/subject/35567300/,https://img1.doubanio.com/view/subject/s/public/s34019848.jpg,沸腾新十年（上）,移动互联网丛林里的勇敢穿越者,8.3,312人,林军、胡喆 / 电子工业出版社 / 2021-9 / 89,中国互联网的发展，呈现出了清晰的时间线。2010年之前，是中国PC互联网崛起和百度、阿里巴巴、腾讯三巨头的发家史；2010年之后，中国移动互联网呼啸而来，业... ,林军&胡喆,互联网&商业&中国互联网史&新经济&历史&科技&中国&纪实,电子工业出版社
https://book.douban.com/subject/35545521/,https://img9.doubanio.com/view/subject/s/public/s33956464.jpg,元宇宙, ,5.5,1452人,赵国栋、易欢欢、徐远重 著 / 中译出版社（原中国对外翻译出版公司） / 2021-8 / 68.00元,2021年是元宇宙元年。堪比大航海时代的大迁徙，人类全面走进数字世界，开辟鸿蒙、创世而生。创造、生活、娱乐，乃至工作的数字时空，是为元宇宙。其中，需要重新思... ,赵国栋&易欢欢&徐远重 著,互联网&新经济&科技&真心想读&区块链&运营&企业&communication,中译出版社
https://book.douban.com/subject/33474750/,https://img1.doubanio.com/view/subject/s/public/s32513229.jpg,浪潮之巅（第四版）（上下册）, ,9.1,1519人,吴军 / 人民邮电出版社 / 2019-6 / 139.00元,暂无,吴军,互联网&商业&科技&吴军&创业&历史&企业&管理,人民邮电出版社
https://book.douban.com/subject/6798611/,https://img2.doubanio.com/view/subject/s/public/s6974202.jpg,史蒂夫·乔布斯传, ,8.7,54764人,[美] 沃尔特·艾萨克森 / 管延圻、魏群、余倩、赵萌萌、汤崧 / 中信出版社 / 2011-10-24 / 68.00元,这本乔布斯唯一授权的官方传记，在2011年上半年由美国出版商西蒙舒斯特对外发布出版消息以来，备受全球媒体和业界瞩目，这本书的全球出版日期最终确定为2011年... ,沃尔特·艾萨克森,传记&史蒂夫·乔布斯&苹果&乔布斯&SteveJobs&人物传记&互联网&美国,中信出版社
https://book.douban.com/subject/6021440/,https://img9.doubanio.com/view/subject/s/public/s4669554.jpg,黑客与画家,硅谷创业之父Paul Graham文集,8.7,21102人,[美] Paul Graham / 阮一峰 / 人民邮电出版社 / 2011-4 / 49.00元,本书是硅谷创业之父Paul Graham 的文集，主要介绍黑客即优秀程序员的爱好和动机，讨论黑客成长、黑客对世界的贡献以及编程语言和黑客工作方法等所有对计算... ,Paul Graham,计算机&互联网&黑客&创业&编程&思维&软件开发&阮一峰,人民邮电出版社
https://book.douban.com/subject/35544985/,https://img2.doubanio.com/view/subject/s/public/s33955591.jpg,字节跳动,从0到1的秘密,6.8,222人,【英】马修·布伦南（MATTHEW BRENNAN） / 刘勇军 / 湖南文艺出版社 / 2021-7-25 / 58.00元,暂无,马修·布伦南,互联网&商业&传记&简史&新经济&计算机&英国&湖南文艺出版社,湖南文艺出版社
https://book.douban.com/subject/5375620/,https://img3.doubanio.com/view/subject/s/public/s4554820.jpg,失控,全人类的最终命运和结局,8.7,16186人,[美] 凯文·凯利 / 东西文库 / 新星出版社 / 2010-12 / 88.00元,"《失控》，全名为《失控：机器、社会与经济的新生物学》（Out of Control: The New Biology of Machines, Social... ",凯文·凯利,哲学&凯文·凯利&互联网&思想&进化论&智能&文化&美国,新星出版社
https://book.douban.com/subject/35567301/,https://img1.doubanio.com/view/subject/s/public/s34070998.jpg,沸腾新十年：移动互联网丛林里的勇敢穿越者（下）, ,8.3,212人,林军、胡喆 / 电子工业出版社 / 2021-8 / 89,中国互联网的发展，呈现出了清晰的时间线。2010年之前，是中国PC互联网崛起和百度、阿里巴巴、腾讯三巨头的发家史；2010年之后，中国移动互联网呼啸而来，业... ,林军&胡喆,互联网&商业&中国互联网史&历史&新经济&经济&中国&纪实,电子工业出版社
https://book.douban.com/subject/26929955/,https://img9.doubanio.com/view/subject/s/public/s29653026.jpg,腾讯传,中国互联网公司进化论,7.8,16541人,吴晓波 / 浙江大学出版社 / 2017-1-1 / 58.00元,暂无,吴晓波,互联网&腾讯&企业史&吴晓波&传记&商业&创业&公司,浙江大学出版社
