书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/26978939/,https://img2.doubanio.com/view/subject/s/public/s32324032.jpg,交互设计：原理与方法, ,8.8,65人,顾振宇 / 清华大学出版社 / 2016-11-1 / 88,传统设计的信条——“形式追随功能”，意味着设计师具备一种由内而外的设计思维方式，首先发现一种有用性，并确定内容或功能（机能），然后设计相适应的交互界面和形式... ,顾振宇
https://book.douban.com/subject/26642302/,https://img9.doubanio.com/view/subject/s/public/s29011584.jpg,About Face 4: 交互设计精髓, ,8.6,1008人,[美] 艾伦·库伯、[美] 罗伯特·莱曼、[美] 戴维·克罗宁、[美] 克里斯托弗·诺埃塞尔 / 倪卫国、刘松涛、杭敏、薛菲 / 电子工出版社 / 2015-10 / 118.00元,《About Face 4: 交互设计精髓》是《About Face 3：交互设计精髓》的升级版，此次升级把全书的结构重组优化，更加精练和易用；更新了一些适... ,艾伦·库伯&罗伯特·莱曼&戴维·克罗宁&克里斯托弗·诺埃塞尔
https://book.douban.com/subject/6792322/,https://img2.doubanio.com/view/subject/s/public/s28035813.jpg,认知与设计,理解UI设计准则,8.7,1621人,Jeff Johnson / 张一宁 / 人民邮电出版社 / 2011-9-1 / 59.00元,本书语言清晰明了，将设计准则与其核心的认知学和感知科学高度统一起来，使得设计准则更容易地在具体环境中得到应用。涵盖了交互计算机系统设计的方方面面，为交互系统... ,Jeff Johnson
https://book.douban.com/subject/35174681/,https://img2.doubanio.com/view/subject/s/public/s33703773.jpg,一往无前,雷军亲述小米热血10年,8.2,3794人,范海涛 / 中信出版集团 / 2020-8 / 78.00,暂无,范海涛
https://book.douban.com/subject/34969052/,https://img9.doubanio.com/view/subject/s/public/s33576006.jpg,步步为赢,交互设计全流程解析,8.4,81人,董尚昊 / 人民邮电出版社 / 2020-1 / 79.8,本书以互联网公司中交互设计的完整流程为基础，涵盖了设计师在设计方案过程中的所有环节。本书将交互设计理论知识和设计方法与真实案例结合，系统介绍应用性较强的交互... ,董尚昊
https://book.douban.com/subject/25932290/,https://img1.doubanio.com/view/subject/s/public/s27338939.jpg,认知与设计,理解UI设计准则（第2版）,8.8,519人,Jeff Johnson / 张一宁、王军锋 / 人民邮电出版社 / 2014-8-1 / CNY 69.00,本书语言清晰明了，将设计准则与其核心的认知学和感知科学高度统一起来，使得设计准则更容易地在具体环境中得到应用。涵盖了交互计算机系统设计的方方面面，为交互系统... ,Jeff Johnson
https://book.douban.com/subject/25915629/,https://img9.doubanio.com/view/subject/s/public/s27312255.jpg,破茧成蝶,用户体验设计师的成长之路,8.5,1920人,刘津、李月 / 人民邮电出版社 / 2014-7 / 69.00,市面上已经有很多专业的用户体验书籍，但解决用户体验设计师在职场中遇到的众多现实问题的图书并不多见。本书从用户体验设计师的角度出发，系统地介绍了其职业生涯中的... ,刘津&李月
https://book.douban.com/subject/30134184/,https://img2.doubanio.com/view/subject/s/public/s29686292.jpg,品牌交互化设计,UX/UI设计完全指导手册,8.1,16人,马克.斯皮斯 / 中国青年出版社 / 2017-10-1 / 89.90,暂无,马克.斯皮斯
https://book.douban.com/subject/27133266/,https://img3.doubanio.com/view/subject/s/public/s29537110.jpg,交互的未来,物联网时代设计原则,7.3,71人,[美] Amber Case / 蒋文干、刘文仪、余声稳、王　李 / 人民邮电出版社 / 2017-9 / 39.00元,普适计算之父马克 ? 韦泽曾指出，影响最深远的技术是隐匿不见的，它们如纤维般融入日常生活，丝丝入扣，直至不可分辨，这样的平静技术将在 21 世纪起主导作用。... ,Amber Case
https://book.douban.com/subject/27023063/,https://img2.doubanio.com/view/subject/s/public/s29837501.jpg,交互系统新概念设计(用户绩效和用户体验设计准则)/UI\UE系列丛书,用户绩效和用户体验设计准则,8.1,33人,阿维·法利赛 (Avi Parush) / 机械工业出版社 / 2017-4-1 / CNY 79.00,暂无,阿维·法利赛
