书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/26642302/,https://img9.doubanio.com/view/subject/s/public/s29011584.jpg,About Face 4: 交互设计精髓, ,8.6,1008人,[美] 艾伦·库伯、[美] 罗伯特·莱曼、[美] 戴维·克罗宁、[美] 克里斯托弗·诺埃塞尔 / 倪卫国、刘松涛、杭敏、薛菲 / 电子工出版社 / 2015-10 / 118.00元,《About Face 4: 交互设计精髓》是《About Face 3：交互设计精髓》的升级版，此次升级把全书的结构重组优化，更加精练和易用；更新了一些适... ,艾伦·库伯&罗伯特·莱曼&戴维·克罗宁&克里斯托弗·诺埃塞尔
https://book.douban.com/subject/5394309/,https://img1.doubanio.com/view/subject/s/public/s4592217.jpg,简约至上,交互式设计四策略,8.4,6305人,[英] Giles Colborne / 李松峰、秦绪文 / 人民邮电出版社 / 2011-1-1 / 35.00,追求简单易用是人类的本性，无论是互联网产品。还是移动应用。亦或其他交互式设计，简单易用始终都是赢得用户的关键。同时，简单易用的程度也与产品寿命的长短密切相关... ,Giles Colborne
https://book.douban.com/subject/1827702/,https://img9.doubanio.com/view/subject/s/public/s1723386.jpg,点石成金,访客至上的网页设计秘笈,8.5,6987人,[美] 史蒂夫·克鲁克 / De Dream' / 机械工业出版社 / 2006-8 / 39.00元,可用性设计是Web设计中最重要也是最困难的一项任务。《点石成金》的作者根据自己多年从业的经验，剖析用户的心理，在用户使用的模式、为浏览进行设计、导航设计、主... ,史蒂夫·克鲁克
https://book.douban.com/subject/5914587/,https://img3.doubanio.com/view/subject/s/public/s6474670.jpg,启示录,打造用户喜爱的产品,8.5,7804人,[美] Marty Cagan / 七印部落 / 华中科技大学出版社 / 2011-5 / 36.00元,为什么市场上那么多软件产品无人问津，成功的产品凤毛麟角？怎样发掘有价值的产品？拿什么说服开发团队接受你的产品设计？如何将敏捷方法融入产品开发？过去二十多年，... ,Marty Cagan
https://book.douban.com/subject/26742341/,https://img3.doubanio.com/view/subject/s/public/s29343710.jpg,设计心理学,4卷装,8.6,987人,唐纳德·A·诺曼 / 小柯、张磊、何笑梅、欧秋杏 / 中信出版社 / 2015-12-1 / CNY 168.00,暂无,唐纳德·A·诺曼
https://book.douban.com/subject/6523997/,https://img1.doubanio.com/view/subject/s/public/s6519128.jpg,用户体验要素,以用户为中心的产品设计,8.3,3602人,Jesse James Garrett / 范晓燕 / 机械工业出版社 / 2011-7-1 / 39.00元,《用户体验要素:以用户为中心的产品设计(原书第2版)》是AJAX之父Jesse James Garrett的经典之作。本书用简洁的语言系统化地诠释了设计、技... ,Jesse James Garrett
https://book.douban.com/subject/26978939/,https://img2.doubanio.com/view/subject/s/public/s32324032.jpg,交互设计：原理与方法, ,8.8,65人,顾振宇 / 清华大学出版社 / 2016-11-1 / 88,传统设计的信条——“形式追随功能”，意味着设计师具备一种由内而外的设计思维方式，首先发现一种有用性，并确定内容或功能（机能），然后设计相适应的交互界面和形式... ,顾振宇
https://book.douban.com/subject/33403542/,https://img1.doubanio.com/view/subject/s/public/s32287019.jpg,用户体验要素：以用户为中心的产品设计（原书第2版）, ,8.2,207人,[美]杰西·詹姆斯·加勒特（Jesse James Garrett） 著 / 范晓燕 / 机械工业出版社 / 2019-4-1 / 79元,《用户体验要素：以用户为中心的产品设计（原书第2版）》是Ajax之父jesse james garrett的经典之作。本书用简洁的语言系统化地诠释了设计、技... ,杰西·詹姆斯·加勒特[Jesse James Garrett] 著
https://book.douban.com/subject/25915629/,https://img9.doubanio.com/view/subject/s/public/s27312255.jpg,破茧成蝶,用户体验设计师的成长之路,8.5,1920人,刘津、李月 / 人民邮电出版社 / 2014-7 / 69.00,市面上已经有很多专业的用户体验书籍，但解决用户体验设计师在职场中遇到的众多现实问题的图书并不多见。本书从用户体验设计师的角度出发，系统地介绍了其职业生涯中的... ,刘津&李月
https://book.douban.com/subject/30253370/,https://img1.doubanio.com/view/subject/s/public/s29798038.jpg,简约至上,交互式设计四策略（第2版）,8.6,298人,[英] 贾尔斯·科尔伯恩 / 李松峰 / 人民邮电出版社 / 2018-6 / 59.00元,本书介绍交互式设计的技术与技巧，讲述如何从目标用户的需求和期望出发，结合人类本身的心理特征和行为特点，用简单的方法创建易用、有效且让用户愉悦的设计。书中阐释... ,贾尔斯·科尔伯恩
