书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/5914587/,https://img3.doubanio.com/view/subject/s/public/s6474670.jpg,启示录,打造用户喜爱的产品,8.5,7804人,[美] Marty Cagan / 七印部落 / 华中科技大学出版社 / 2011-5 / 36.00元,为什么市场上那么多软件产品无人问津，成功的产品凤毛麟角？怎样发掘有价值的产品？拿什么说服开发团队接受你的产品设计？如何将敏捷方法融入产品开发？过去二十多年，... ,Marty Cagan,产品经理&产品&产品设计&互联网&用户体验&产品管理&交互设计&项目管理,华中科技大学出版社
https://book.douban.com/subject/6523997/,https://img1.doubanio.com/view/subject/s/public/s6519128.jpg,用户体验要素,以用户为中心的产品设计,8.3,3602人,Jesse James Garrett / 范晓燕 / 机械工业出版社 / 2011-7-1 / 39.00元,《用户体验要素:以用户为中心的产品设计(原书第2版)》是AJAX之父Jesse James Garrett的经典之作。本书用简洁的语言系统化地诠释了设计、技... ,Jesse James Garrett,用户体验&交互设计&产品经理&产品设计&互联网&产品&设计&UE,机械工业出版社
https://book.douban.com/subject/26742341/,https://img3.doubanio.com/view/subject/s/public/s29343710.jpg,设计心理学,4卷装,8.6,987人,唐纳德·A·诺曼 / 小柯、张磊、何笑梅、欧秋杏 / 中信出版社 / 2015-12-1 / CNY 168.00,暂无,唐纳德·A·诺曼,设计&设计心理学&心理学&交互设计&用户体验&设计理论&设计心理&产品,中信出版社
https://book.douban.com/subject/26942707/,https://img9.doubanio.com/view/subject/s/public/s29242946.jpg,游戏化实战,人类行为学×游戏机制，打造产品吸引力,8.6,530人,[美]Yu-kai Chou / 杨国庆 / 华中科技大学出版社 / 2017-1 / 59.00,暂无,Yu-kai Chou,游戏化&产品设计&心理学&用户体验&游戏设计&游戏&产品&思维,华中科技大学出版社
https://book.douban.com/subject/33403542/,https://img1.doubanio.com/view/subject/s/public/s32287019.jpg,用户体验要素：以用户为中心的产品设计（原书第2版）, ,8.2,207人,[美]杰西·詹姆斯·加勒特（Jesse James Garrett） 著 / 范晓燕 / 机械工业出版社 / 2019-4-1 / 79元,《用户体验要素：以用户为中心的产品设计（原书第2版）》是Ajax之父jesse james garrett的经典之作。本书用简洁的语言系统化地诠释了设计、技... ,杰西·詹姆斯·加勒特[Jesse James Garrett] 著,用户体验&产品经理&交互设计&产品&设计&用户研究&互联网&学习,机械工业出版社
https://book.douban.com/subject/34455950/,https://img2.doubanio.com/view/subject/s/public/s33447471.jpg,眼动追踪 用户体验优化操作指南,用户体验优化操作指南,7.9,16人,[美]阿加·博伊科（Aga Bojko） / 葛缨、何吉波 / 人民邮电出版社 / 2019-6-1 / 99元,暂无,阿加·博伊科,用户体验&用户研究&设计&商业&营销&工具&优化&谷歌,人民邮电出版社
https://book.douban.com/subject/1440223/,https://img9.doubanio.com/view/subject/s/public/s4357645.jpg,Don't Make Me Think,A Common Sense Approach to Web Usability,8.4,1573人,"Steve Krug / New Riders Press / 18 August, 2005 / $35.00","Five years and more than 100,000 copies after it was first published, it's har... ",Steve Krug,交互设计&用户体验&设计&UI&互联网&心理学&Web&产品经理,New Riders Press
https://book.douban.com/subject/5394309/,https://img1.doubanio.com/view/subject/s/public/s4592217.jpg,简约至上,交互式设计四策略,8.4,6305人,[英] Giles Colborne / 李松峰、秦绪文 / 人民邮电出版社 / 2011-1-1 / 35.00,追求简单易用是人类的本性，无论是互联网产品。还是移动应用。亦或其他交互式设计，简单易用始终都是赢得用户的关键。同时，简单易用的程度也与产品寿命的长短密切相关... ,Giles Colborne,交互设计&设计&用户体验&简约设计&产品设计&互联网&心理学&Design,人民邮电出版社
https://book.douban.com/subject/26710486/,https://img2.doubanio.com/view/subject/s/public/s28385241.jpg,用户体验度量：收集、分析与呈现（第2版）（全彩）, ,8.7,127人,【美】TOM TULLIS（汤姆 图丽斯）、【美】Bill Albert（比尔 艾博特） 著 / 周荣刚、秦宪刚 / 电子工业出版社 / 2016-2 / 99.00,如何量化用户体验对有效提高产品的使用质量至关重要。《用户体验度量：收集、分析与呈现（第2版）（全彩）》详尽地介绍了如何有效且可靠地收集、分析和呈现典型的用户... ,TOM TULLIS&Bill Albert[比尔 艾博特] 著,用户体验&用户研究&数据分析&交互设计&设计&研究方法&产品经理&心理学,电子工业出版社
https://book.douban.com/subject/34897704/,https://img9.doubanio.com/view/subject/s/public/s33525904.jpg,用户体验设计指南：从方法论到产品设计实践, ,8.3,98人,蔡贇、康佳美、王子娟 / 电子工业出版社 / 2019-11-20 / 99,现如今，在互联网领域，用户体验逐渐成为一个炙手可热的关键词，用户体验设计师也逐渐成为产品开发设计团队重要的成员。可以说，这是个用户体验为王的时代，人人都在讨... ,蔡贇&康佳美&王子娟,用户体验&交互设计&设计&产品设计&人工智能&2019,电子工业出版社
https://book.douban.com/subject/34907971/,https://img1.doubanio.com/view/subject/s/public/s33543538.jpg,俞军产品方法论, ,7.8,3198人,俞军 / 中信出版集团 / 2019-12-1 / 65,暂无,俞军,产品经理&产品&互联网&方法论&产品设计&思维&用户体验&经济&amp;商业&amp;管理,中信出版集团
https://book.douban.com/subject/1827702/,https://img9.doubanio.com/view/subject/s/public/s1723386.jpg,点石成金,访客至上的网页设计秘笈,8.5,6987人,[美] 史蒂夫·克鲁克 / De Dream' / 机械工业出版社 / 2006-8 / 39.00元,可用性设计是Web设计中最重要也是最困难的一项任务。《点石成金》的作者根据自己多年从业的经验，剖析用户的心理，在用户使用的模式、为浏览进行设计、导航设计、主... ,史蒂夫·克鲁克,用户体验&交互设计&网页设计&设计&Web&可用性&UI&网站设计,机械工业出版社
https://book.douban.com/subject/27129563/,https://img2.doubanio.com/view/subject/s/public/s29533203.jpg,用户思维+：好产品让用户为自己尖叫, ,8.2,777人,[美] Kathy Sierra / 石航 / 人民邮电出版社 / 2017-9 / 69.00元,畅销产品与普通产品的本质区别是什么？若没有巨额预算、不爱营销噱头、不开奢华的产品发布会，如何打造可持续成功的产品？本书针对上述问题提出了新颖的观点：用户并不... ,Kathy Sierra,产品&用户体验&产品经理&产品设计&互联网&思维&交互设计&学习,人民邮电出版社
https://book.douban.com/subject/26642302/,https://img9.doubanio.com/view/subject/s/public/s29011584.jpg,About Face 4: 交互设计精髓, ,8.6,1008人,[美] 艾伦·库伯、[美] 罗伯特·莱曼、[美] 戴维·克罗宁、[美] 克里斯托弗·诺埃塞尔 / 倪卫国、刘松涛、杭敏、薛菲 / 电子工出版社 / 2015-10 / 118.00元,《About Face 4: 交互设计精髓》是《About Face 3：交互设计精髓》的升级版，此次升级把全书的结构重组优化，更加精练和易用；更新了一些适... ,艾伦·库伯&罗伯特·莱曼&戴维·克罗宁&克里斯托弗·诺埃塞尔,交互设计&用户体验&设计&UX&产品设计&UI&产品经理&交互,电子工出版社
https://book.douban.com/subject/30322083/,https://img1.doubanio.com/view/subject/s/public/s29865509.jpg,打造峰值体验, ,7.9,979人,[美] 奇普·希思、[美] 丹·希思 / 靳婷婷 / 中信出版社 / 2018-8 / 68.00元,暂无,奇普·希思&丹·希思,心理学&用户体验&设计&思维&交互设计&认知精进&樊登读书会,中信出版社
https://book.douban.com/subject/26102860/,https://img1.doubanio.com/view/subject/s/public/s28072517.jpg,设计心理学1,日常的设计,8.5,1814人,[美] 唐纳德•A•诺曼 / 小柯 / 中信出版社 / 2015-5-15 / 42.00元,如果在旅馆里弄不清楚怎么开水龙头，或者面对不熟悉的炉灶或电灯开关时，即使再聪明的人也会手足无措。唐纳德•A•诺曼大胆地指出，不是你太笨，而是物品的设计没有考... ,唐纳德•A•诺曼,设计&设计心理&心理学&用户体验&设计心理学&交互设计&艺术&好书，值得一读,中信出版社
https://book.douban.com/subject/34444463/,https://img9.doubanio.com/view/subject/s/public/s33925915.jpg,设计的思考,用户体验设计核心问答,8.1,110人,周陟 / 清华大学出版社 / 2019-6-1 / 无69元,本书是知名设计师历经7年沉淀的设计思路与方法论集合，其中既保留了个人的情绪与判断，也时常回想笔者多年来对设计理解的变化。内容包含五大部分：设计项目管理、设计... ,周陟,设计&用户体验&方法论&交互设计&设计理论&艺术设计,清华大学出版社
https://book.douban.com/subject/2297549/,https://img1.doubanio.com/view/subject/s/public/s2923557.jpg,用户体验的要素,以用户为中心的Web设计,8.2,4360人,Jesse James Garrett / 范晓燕 / 机械工业出版社 / 2007年10月 / 25.00,暂无,Jesse James Garrett,用户体验&交互设计&互联网&设计&产品&UE&产品经理&UCD,机械工业出版社
https://book.douban.com/subject/25915629/,https://img9.doubanio.com/view/subject/s/public/s27312255.jpg,破茧成蝶,用户体验设计师的成长之路,8.5,1920人,刘津、李月 / 人民邮电出版社 / 2014-7 / 69.00,市面上已经有很多专业的用户体验书籍，但解决用户体验设计师在职场中遇到的众多现实问题的图书并不多见。本书从用户体验设计师的角度出发，系统地介绍了其职业生涯中的... ,刘津&李月,交互设计&用户体验&设计&产品经理&互联网&交互&UI&设计师,人民邮电出版社
https://book.douban.com/subject/26760348/,https://img2.doubanio.com/view/subject/s/public/s28576021.jpg,用户故事地图, ,7.5,391人,Jeff Patton / 李涛、向振东 / 清华大学出版社 / 2016-4-1 / 59.00元,用户故事地图作为一种有效的需求工具，越来越广泛地应用于开发实践中。本书以用户故事地图为主题，强调以合作沟通的方式来全面理解用户需求，涉及的主题包括怎么以故事... ,Jeff Patton,用户体验&产品经理&敏捷开发&产品&产品思维&交互设计&产品设计&互联网,清华大学出版社
https://book.douban.com/subject/25932290/,https://img1.doubanio.com/view/subject/s/public/s27338939.jpg,认知与设计,理解UI设计准则（第2版）,8.8,519人,Jeff Johnson / 张一宁、王军锋 / 人民邮电出版社 / 2014-8-1 / CNY 69.00,本书语言清晰明了，将设计准则与其核心的认知学和感知科学高度统一起来，使得设计准则更容易地在具体环境中得到应用。涵盖了交互计算机系统设计的方方面面，为交互系统... ,Jeff Johnson,交互设计&设计&UI设计&心理学&用户体验&UI&界面设计&交互,人民邮电出版社
https://book.douban.com/subject/6792322/,https://img2.doubanio.com/view/subject/s/public/s28035813.jpg,认知与设计,理解UI设计准则,8.7,1621人,Jeff Johnson / 张一宁 / 人民邮电出版社 / 2011-9-1 / 59.00元,本书语言清晰明了，将设计准则与其核心的认知学和感知科学高度统一起来，使得设计准则更容易地在具体环境中得到应用。涵盖了交互计算机系统设计的方方面面，为交互系统... ,Jeff Johnson,交互设计&设计&用户体验&心理学&UI&交互&UED&认知,人民邮电出版社
https://book.douban.com/subject/1288844/,https://img9.doubanio.com/view/subject/s/public/s1915036.jpg,设计心理学, ,8.2,3917人,（美国）唐纳德﹒A﹒诺曼、none / 梅琼 / 中信出版社 / 2003-10-1 / 23.00,设计心理学，ISBN：9787800739255，作者：（美）唐纳德·A.·诺曼（Donald A. Norman）著；梅琼译；梅琼译 ,唐纳德﹒A﹒诺曼&none,设计&设计心理学&心理学&交互设计&用户体验&心理&Design&UI,中信出版社
https://book.douban.com/subject/35219134/,https://img2.doubanio.com/view/subject/s/public/s33737293.jpg,在你身边为你设计Ⅲ,腾讯服务设计思维与实战,8.3,82人,腾讯公司用户研究与体验设计部 / 电子工业出版社 / 2020-9 / 118.00元,互联网+代表一种新的经济形态，即充分发挥互联网在生产要素配置中的优化和集成作用，将互联网的创新成果深度融合于经济社会各领域中，提升实体经济的创新力和生产力，... ,腾讯公司用户研究与体验设计部,用户体验&设计&交互设计&方法论&产品经理&UED&服务设计&工具书,电子工业出版社
https://book.douban.com/subject/30181078/,https://img2.doubanio.com/view/subject/s/public/s29726283.jpg,用户体验可视化指南, ,8.3,95人,James Kalbach / UXRen翻译组 / 人民邮电出版社 / 2018-1 / 79.00,第一部分，作者阐明了用户体验可视化的基础和价值，以及如何赋能企业和组织的战略规划。我们通过可视化方式将视野放的更宽，来帮助我们去重新审视所面临竞争者、重新审... ,James Kalbach,用户体验&交互设计&设计&UX&产品经理&产品设计&思维,人民邮电出版社
https://book.douban.com/subject/4723970/,https://img1.doubanio.com/view/subject/s/public/s4241529.jpg,人人都是产品经理, ,7.6,9032人,苏杰 / 电子工业出版社 / 2010年4月 / 45.00元,这是写给“-1到3岁的产品经理”的书，适合刚入门的产品经理、产品规划师、需求分析师，以及对做产品感兴趣的学生，用户体验、市场运营、技术部门的朋友们，特别是互... ,苏杰,产品经理&互联网&产品&用户体验&产品管理&交互设计&管理&成长,电子工业出版社
https://book.douban.com/subject/26928395/,https://img9.doubanio.com/view/subject/s/public/s29195996.jpg,进化式运营：从互联网菜鸟到绝顶高手, ,8.1,524人,李少加 / 电子工业出版社 / 2016-11 / 59,互联网运营作为一个新兴的岗位，一方面它是企业的核心岗职，身负重任，另一方面，又由于其短暂的历史，缺乏成熟体系的工作方法论，而目前业界主流的运营方法却是从企业... ,李少加,运营&互联网运营&互联网&产品&用户体验&创业&管理,电子工业出版社
https://book.douban.com/subject/24305938/,https://img2.doubanio.com/view/subject/s/public/s26373622.jpg,结网@改变世界的互联网产品经理,改变世界的互联网产品经理(修订版),8.0,1569人,王坚 / 人民邮电出版社 / 2013-5-1 / 69.00元,《结网@改变世界的互联网产品经理(修订版)》以创建、发布、推广互联网产品为主线，描述了互联网产品经理的工作内容，以及应对每一部分工作所需的方法和工具。产品经... ,王坚,产品经理&互联网&产品&PM&用户体验&管理&IT&计算机,人民邮电出版社
https://book.douban.com/subject/23708491/,https://img9.doubanio.com/view/subject/s/public/s26251595.jpg,设计师要懂心理学, ,7.5,1649人,[美] Susan Weinschenk / 徐佳、马迪、余盈亿 / 人民邮电出版社 / 2013-5-1 / 49.00元,《设计师要懂心理学》出自国际知名的设计心理学博士Susan M. Weinschenk之手，内容实用，示例清晰，以创造美观实用的设计为宗旨，讨论了设计师必须... ,Susan Weinschenk,设计&心理学&设计心理学&交互设计&用户体验&心理&艺术&设计哲学,人民邮电出版社
https://book.douban.com/subject/2157554/,https://img2.doubanio.com/view/subject/s/public/s25503752.jpg,赢在用户,Web人物角色创建和应用实践指,8.0,1205人,[美]Steve Mulder、[美]Zivv Yarr / 范晓燕 / 机械工业出版社 / 2007-08-01 / 29.00,您如何保证您的网站确实给予用户他们所需要的，并对您产生商业成果？您需要了解谁是您的用户，您的用户的目标、行为和观点是什么，还要把他们的需求当成您的第一要务。... ,Steve Mulder&Zivv Yarr,用户体验&交互设计&产品经理&互联网&UCD&UE&设计&用户研究,机械工业出版社
https://book.douban.com/subject/26840634/,https://img1.doubanio.com/view/subject/s/public/s28912007.jpg,This Is Service Design Doing,Applying Service Design and Design Thinking in the Real World,9.6,35人,Marc Stickdorn、Markus Edgar Hormess、Adam Lawrence、Jakob Schneider / O'Reilly Media / 2016-11-25 / USD 39.99,暂无,Marc Stickdorn&Markus Edgar Hormess&Adam Lawrence&Jakob Schneider,服务设计&设计&用户体验&Design&研究方法&方法&美国,O'Reilly Media
