书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/35044046/,https://img1.doubanio.com/view/subject/s/public/s33631858.jpg,神经网络与深度学习, ,9.4,368人,邱锡鹏 / 机械工业出版社 / 2020-4-10 / 149.00元,本书主要介绍神经网络与深度学习中的基础知识、主要模型（卷积神经网络、递归神经网络等）以及在计算机视觉、自然语言处理等领域的应用。 ,邱锡鹏
https://book.douban.com/subject/30270959/,https://img9.doubanio.com/view/subject/s/public/s29815955.jpg,深度学习入门,基于Python的理论与实现,9.4,852人,[ 日］  斋藤康毅 / 陆宇杰 / 人民邮电出版社 / 2018-7 / 59.00元,本书是深度学习真正意义上的入门书，深入浅出地剖析了深度学习的原理和相关技术。书中使用Python3，尽量不依赖外部库或工具，从基本的数学知识出发，带领读者从... ,斋藤康毅
https://book.douban.com/subject/35218199/,https://img9.doubanio.com/view/subject/s/public/s33732686.jpg,机器学习实战（原书第2版）,基于Scikit-Learn、Keras和TensorFlow,9.9,175人,[法] Aurélien Géron / 宋能辉、李娴 / 机械工业出版社 / 2020-10-1 / 149.00元,这本机器学习畅销书基于TensorFlow 2和Scikit-Learn的新版本进行了全面更新，通过具体的示例、非常少的理论和可用于生产环境的Python框... ,Aurélien Géron
https://book.douban.com/subject/30293801/,https://img1.doubanio.com/view/subject/s/public/s29839337.jpg,Python深度学习, ,9.6,874人,[美] 弗朗索瓦•肖莱 / 张亮 / 人民邮电出版社 / 2018-8 / 119.00元,本书由Keras之父、现任Google人工智能研究员的弗朗索瓦•肖莱（François Chollet）执笔，详尽介绍了用Python和Keras进行深度学... ,弗朗索瓦•肖莱
https://book.douban.com/subject/30192800/,https://img9.doubanio.com/view/subject/s/public/s29738046.jpg,Python神经网络编程, ,9.1,608人,[英]塔里克·拉希德（Tariq Rashid） / 林赐 / 人民邮电出版社 / 2018-4 / 69.00元,暂无,塔里克·拉希德
https://book.douban.com/subject/35128111/,https://img2.doubanio.com/view/subject/s/public/s33708013.jpg,深入浅出神经网络与深度学习, ,8.2,18人,[澳]迈克尔·尼尔森（Michael Nielsen） / 朱小虎 / 人民邮电出版社 / 2020-8-17 / 89.00元,本书深入讲解神经网络和深度学习技术，侧重于阐释深度学习的核心概念。作者以技术原理为导向，辅以贯穿全书的MNIST手写数字识别项目示例，介绍神经网络架构、反向... ,迈克尔·尼尔森
https://book.douban.com/subject/33414479/,https://img1.doubanio.com/view/subject/s/public/s32295077.jpg,深度学习的数学, ,8.4,294人,[日]涌井良幸、[日]涌井贞美 / 杨瑞龙 / 人民邮电出版社 / 2019-4 / 69.00元,《深度学习的数学》基于丰富的图示和具体示例，通俗易懂地介绍了深度学习相关的数学知识。第1章介绍神经网络的概况；第2章介绍理解神经网络所需的数学基础知识；第3... ,涌井良幸&涌井贞美
https://book.douban.com/subject/26727997/,https://img9.doubanio.com/view/subject/s/public/s28855545.jpg,Neural Networks and Deep Learning, ,9.5,225人,Michael Nielsen / 2016-1,http://neuralnetworksanddeeplearning.com/ ,Michael Nielsen
https://book.douban.com/subject/30379536/,https://img1.doubanio.com/view/subject/s/public/s29923729.jpg,智慧的疆界,从图灵机到人工智能,9.1,96人,周志明 / 机械工业出版社 / 2018-1-1 / 56.9,这是一部对人工智能充满敬畏之心的匠心之作，由《深入理解Java虚拟机》作者耗时一年完成，它将带你从奠基人物、历史事件、学术理论、研究成果、技术应用等5个维度... ,周志明
https://book.douban.com/subject/35260882/,https://img3.doubanio.com/view/subject/s/public/s33931760.jpg,大脑之美,圣地亚哥·拉蒙-卡哈尔绘图集,9.2,23人,[西] 圣地亚哥·拉蒙-卡哈尔 / 严青、傅贺(校) / 湖南科学技术出版社 / 2020-11 / 148.00元,"圣地亚哥·拉蒙-卡哈尔（Santiago Ramón y Cajal, 1852-1934）是现代神经科学之父，也是诺贝尔奖获得者。他还是一名出色的艺术家—... ",圣地亚哥·拉蒙-卡哈尔
