书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/35545272/,https://img3.doubanio.com/view/subject/s/public/s33973820.jpg,贪婪的多巴胺, ,8.1,900人,(美) 丹尼尔·利伯曼、(美) 迈克尔·E.朗 / 郑李垚 / 中信出版社 / 2021-9-5 / 59,为什么曾经浪漫的感情也会变淡？为什么成功人士通常不会觉得自己很成功？为什么几乎所有的节食计划后来都功亏一篑？为什么聪明的人经常会做出糟糕透顶、灾难性的决定？... ,丹尼尔·利伯曼&迈克尔·E.朗
https://book.douban.com/subject/25985021/,https://img2.doubanio.com/view/subject/s/public/s27814883.jpg,人类简史,从动物到上帝,9.1,165666人,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,暂无,尤瓦尔·赫拉利
https://book.douban.com/subject/35604398/,https://img9.doubanio.com/view/subject/s/public/s34001916.jpg,病人家属，请来一下, ,8.4,598人,王兴 / 上海译文出版社 / 2021-9-1 / 48,暂无,王兴
https://book.douban.com/subject/35332778/,https://img1.doubanio.com/view/subject/s/public/s33821128.jpg,我们为什么要睡觉？, ,8.5,1710人,[英] 马修·沃克 / 田盈春 / 后浪丨北京联合出版公司 / 2021-3 / 60.00元,暂无,马修·沃克
https://book.douban.com/subject/35508620/,https://img9.doubanio.com/view/subject/s/public/s33931624.jpg,深时之旅, ,9.2,296人,[英] 罗伯特·麦克法伦 / 王如菲 / 文汇出版社 / 2021-7 / 79.00元,暂无,罗伯特·麦克法伦
https://book.douban.com/subject/26706730/,https://img1.doubanio.com/view/subject/s/public/s28381539.jpg,肠子的小心思, ,8.9,9689人,【德】朱莉娅·恩德斯 / 钱为 / 江苏凤凰科学技术出版社 / 2016-1 / 38.00元,暂无,朱莉娅·恩德斯
https://book.douban.com/subject/35292688/,https://img1.doubanio.com/view/subject/s/public/s33823248.jpg,微积分的力量, ,8.7,849人,[美] 史蒂夫·斯托加茨 / 任烨 / 中信出版集团 / 2021-1 / 69.00元,微积分是人类历史上的伟大思想成就之一，也是数学领域不可或缺的一个重要分支。除此之外，我们更应该关注的事实是：如果没有微积分，人类就不可能发明电视、微波炉、移... ,史蒂夫·斯托加茨
https://book.douban.com/subject/26576861/,https://img1.doubanio.com/view/subject/s/public/s28260907.jpg,最好的告别,关于衰老与死亡，你必须知道的常识,9.0,37137人,[美] 阿图·葛文德（Atul Gawande） / 王一方 主编、彭小华 / 浙江人民出版社 / 2015-7-31 / 54.90元,当独立、自助的生活不能再维持时，我们该怎么办？在生命临近终点的时刻，我们该和医生谈些什么？应该如何优雅地跨越生命的终点？对于这些问题，大多数人缺少清晰的观念... ,阿图·葛文德
https://book.douban.com/subject/35601874/,https://img2.doubanio.com/view/subject/s/public/s34003891.jpg,跟动物交换身体, ,8.3,240人,[日] 川崎悟司 著 / 董方 / 湖南文艺出版社 / 2021-9 / 49.80元,暂无,川崎悟司 著
https://book.douban.com/subject/35041685/,https://img9.doubanio.com/view/subject/s/public/s33677194.jpg,人体简史,你的身体30亿岁了,8.6,3408人,[英] 比尔·布莱森 / 闾佳 / 文汇出版社 / 2020-6-1 / 69.9,暂无,比尔·布莱森
https://book.douban.com/subject/35635639/,https://img3.doubanio.com/view/subject/s/public/s34025530.jpg,法治的细节, ,8.5,639人,罗翔 / 云南人民出版社 / 2021-11 / 49.8,暂无,罗翔
https://book.douban.com/subject/35170896/,https://img1.doubanio.com/view/subject/s/public/s33710398.jpg,平面国,多维空间传奇往事,9.1,6420人,[英] 埃德温·A·艾勃特 / 鲁冬旭 / 上海文化出版社 / 2020-8 / 39.80元,暂无,埃德温·A·艾勃特
https://book.douban.com/subject/34842793/,https://img2.doubanio.com/view/subject/s/public/s33514773.jpg,薄世宁医学通识讲义,一生需要上一次医学院,8.8,3238人,薄世宁 / 中信出版集团 / 2019-10 / 69.00元,医学，面对的是复杂的生命现象，既是最新科学技术的主战场，也是人类自我关怀和探寻生命意义的最前沿。人在一生中，难免要面对疾病的来临与生命的诘问，以医学的思维面... ,薄世宁
https://book.douban.com/subject/26390842/,https://img9.doubanio.com/view/subject/s/public/s28073424.jpg,哲学家们都干了些什么,史上最严谨又最不严肃的哲学史,8.6,22156人,林欣浩 / 北京联合出版公司 / 2015-4 / 52.00元,暂无,林欣浩
https://book.douban.com/subject/26953606/,https://img9.doubanio.com/view/subject/s/public/s29802866.jpg,人类简史,从动物到上帝,9.1,28599人,[以] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2017-2-1 / 68.00元,暂无,尤瓦尔·赫拉利
https://book.douban.com/subject/1467022/,https://img9.doubanio.com/view/subject/s/public/s1486674.jpg,上帝掷骰子吗,量子物理史话,9.2,29298人,曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元,《上帝掷骰子吗》这本书是关于量子论的故事。量子论是一个极为奇妙的理论：从物理角度来说，它在科学家中间引起了最为激烈的争议和关注；从现实角度来说，它给我们的社... ,曹天元
https://book.douban.com/subject/1102715/,https://img3.doubanio.com/view/subject/s/public/s2516920.jpg,从一到无穷大,科学中的事实和臆测,9.1,12182人,[美] G. 伽莫夫 / 暴永宁 译、吴伯泽 校 / 科学出版社 / 2002-11 / 29.00元,《从一到无穷大：科学中的事实和臆测》是当今世界最有影响的科普经典名著之一，1970年代末由科学出版社引进出版后，曾在国内引起很大反响，直接影响了众多的科普工... ,G. 伽莫夫
https://book.douban.com/subject/27590675/,https://img1.doubanio.com/view/subject/s/public/s29845298.jpg,你是你吃出来的,吃对少生病，病了这样吃,8.9,5490人,夏萌 / 江西科学技术出版社 / 2017-9-1 / 49.8,暂无,夏萌
https://book.douban.com/subject/1291204/,https://img1.doubanio.com/view/subject/s/public/s1789059.jpg,哥德尔、艾舍尔、巴赫,集异璧之大成,9.4,7342人,[美] 侯世达 / 严勇、刘皓明、莫大伟 / 商务印书馆 / 1997-5 / 88.00元,集异璧－GEB，是数学家哥德尔、版画家艾舍尔、音乐家巴赫三个名字的前缀。《哥德尔、艾舍尔、巴赫书：集异璧之大成》是在英语世界中有极高评价的科普著作，曾获得普... ,侯世达
