书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35641088/,https://img3.doubanio.com/view/subject/s/public/s34032260.jpg,计算之魂,计算科学品位和认知进阶,9.3,45人,吴军 / 人民邮电出版社 / 2021-11 / 109,对计算机科学的掌握程度，决定了一个计算机行业从业者能走多远。在本书中，作者将人文历史与计算机科学相结合，通过一些具体的例题，分10个主题系统地讲解了计算机科... ,吴军,计算机&计算机科学&吴军&算法&编程&科普&科技&程序,人民邮电出版社
https://book.douban.com/subject/27080946/,https://img1.doubanio.com/view/subject/s/public/s29486759.jpg,The Little Schemer,递归与函数式的奥妙,9.2,123人,[美] Daniel P. Friedman、[美] Matthias Felleisen / 卢俊祥 / 电子工业出版社 / 2017-7 / 65.00,《The Little Schemer：递归与函数式的奥妙》是一本久负盛名的经典之作，两位作者Daniel P. Friedman、Matthias Fel... ,Daniel P. Friedman&Matthias Felleisen,编程&计算机科学&计算机&函数式编程&Lisp&程序&软件开发,电子工业出版社
https://book.douban.com/subject/1244000/,https://img1.doubanio.com/view/subject/s/public/s1287807.jpg,JAVA编程技术教程, ,暂无,少于10人,姚晓春 郑文清等 / 清华大学出版社 / 1999-2 / 42.00元,本书内容包括Ｊａｖａ语言简介、使用Ｓｙｍａｎｔｅｃ〓Ｃａｆｅ、Ｊａｖａ语言语法、面向对象的Ｊａｖａ语言、ＶｉｓｕａｌＪ＋＋６．０集成环境、Ｊａｖａ的布局设计... ,姚晓春 郑文清等,计算机&程序&技术,清华大学出版社
https://book.douban.com/subject/35500641/,https://img1.doubanio.com/view/subject/s/public/s33924988.jpg,爱上编程：给孩子的编程入门书, ,暂无,少于10人,［日］才望子株式会社/著、［日］月刊读懂新闻/编 / 郭玉英 / 浙江人民出版社 / 49.80,暂无,才望子株式会社,编程&程序&科普,浙江人民出版社
https://book.douban.com/subject/1484451/,https://img1.doubanio.com/view/subject/s/public/s27160437.jpg,Programming Pearls, ,9.5,176人,Jon Bentley / Addison-Wesley Professional / 1999-10-7 / USD 44.99,暂无,Jon Bentley,算法&programming&编程&计算机&计算机科学&algorithm&经典&程序设计,Addison-Wesley Professional
https://book.douban.com/subject/3652388/,https://img1.doubanio.com/view/subject/s/public/s25136218.jpg,程序员的自我修养,链接、装载与库,8.8,2612人,俞甲子、石凡、潘爱民 / 电子工业出版社 / 2009-4 / 65.00,这本书主要介绍系统软件的运行机制和原理，涉及在Windows和Linux两个系统平台上，一个应用程序在编译、链接和运行时刻所发生的各种事项，包括：代码指令是... ,俞甲子&石凡&潘爱民,编程&计算机&程序员&计算机科学&程序设计&Programming&软件开发&修养,电子工业出版社
https://book.douban.com/subject/4317573/,https://img1.doubanio.com/view/subject/s/public/s6144917.jpg,算法技术手册, ,8.1,154人,George T. Heineman、Gary Pollice、Stanley Selkow / 杨晨、李明 / 机械工业出版社 / 2010-3 / 55.00元,《算法技术手册》内容简介：开发健壮的软件需要高效的算法，然后程序员们往往直至问题发生之时，才会去求助于算法。《算法技术手册》讲解了许多现有的算法，可用于解决... ,George T. Heineman&Gary Pollice&Stanley Selkow,算法&计算机&编程&算法与数据结构&O&#39;Reilly&程序设计&Programming&工具书,机械工业出版社
https://book.douban.com/subject/35508455/,https://img9.doubanio.com/view/subject/s/public/s33931474.jpg,学Python，不加班——轻松实现办公自动化, ,8.7,21人,何华平 / 人民邮电出版社 / 2021-6-1 / 99,暂无,何华平,Python&程序&计算机&研究方法&计算机科学&编程,人民邮电出版社
https://book.douban.com/subject/27095752/,https://img9.doubanio.com/view/subject/s/public/s29973205.jpg,包容性Web设计, ,暂无,少于10人,,暂无,,程序, 
https://book.douban.com/subject/1159177/,https://img9.doubanio.com/view/subject/s/public/s1119156.jpg,高效程序的奥秘, ,8.6,208人,沃瑞恩 / 冯速 / 机械工业出版社 / 2004-5 / 28.00元,本书适合程序库、编译器开发者及追求优美程序设计的人员阅读，适合用作计算机专业高年级学生及研究生的参考用书。　　本书直观明了地讲述了计算机算术的更深层次的、更... ,沃瑞恩,算法&编程&计算机&程序设计&计算机科学&programming&程序&经典,机械工业出版社
