书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/2305237/,https://img9.doubanio.com/view/subject/s/public/s5772174.jpg,信息论基础, ,9.0,201人,[美] Thomas M. Cove / 阮吉寿、张华 / 机械工业出版社 / 2008-1 / 58.00元,《信息论基础》(原书第2版)是信息论领域中一本简明易懂的教材。主要内容包括：熵、信源、信道容量、率失真、数据压缩与编码理论和复杂度理论等方面的介绍。《信息论... ,Thomas M. Cove
https://book.douban.com/subject/25752043/,https://img9.doubanio.com/view/subject/s/public/s27157636.jpg,信息简史,一部历史 一个理论 一股洪流,8.7,2849人,[美] 詹姆斯·格雷克 / 高博 / 人民邮电出版社 / 2013-10 / 69.00元,人类与信息遭遇的历史由来已久。詹姆斯•格雷克笔下的这段历史出人意料地从非洲的鼓语讲起（第1章）。非洲土著部落在尚未直接跨越到移动电话之前，曾用鼓声来传递讯息... ,詹姆斯·格雷克
https://book.douban.com/subject/26743649/,https://img2.doubanio.com/view/subject/s/public/s33880403.jpg,通信之道——从微积分到5G, ,8.6,187人,杨学志 编著 / 电子工业出版社 / 2016-2 / 79,暂无,杨学志 编著
https://book.douban.com/subject/33477032/,https://img9.doubanio.com/view/subject/s/public/s32342135.jpg,大话通信（第2版）, ,7.9,31人,杨波、王元杰、周亚宁 / 人民邮电出版社 / 2019-6 / 119.00元,本书从通信发展的历程切入，从人们熟知的通信手段着手，以独特的视角说明通信的目的和方式。本书作者用独特、风趣的写作方式，从通信网络的基础架构到先进的技术，从通... ,杨波&王元杰&周亚宁
https://book.douban.com/subject/1446684/,https://img9.doubanio.com/view/subject/s/public/s6453425.jpg,通信原理, ,8.9,194人,周炯槃/庞沁华等编 / 北京邮电大学出版社 / 2005-11 / 46.00元,《通信原理》(合订本)系统、深入地介绍了通信系统及通信网的基本原理及基本分析方法，是通信及信息专业的专业基础教材。全书共十一章，内容包括通信系统交通网的基本... ,周炯槃
https://book.douban.com/subject/34861228/,https://img2.doubanio.com/view/subject/s/public/s33528222.jpg,两地书, ,8.7,85人,鲁迅、许广平 / 天津人民出版社 / 2019-12 / 39.80元,暂无,鲁迅&许广平
https://book.douban.com/subject/30208944/,https://img2.doubanio.com/view/subject/s/public/s33920593.jpg,深入浅出通信原理, ,8.4,92人,陈爱军 / 清华大学出版社 / 2017-12-22 / CNY 89.00,暂无,陈爱军
https://book.douban.com/subject/34805583/,https://img2.doubanio.com/view/subject/s/public/s33476553.jpg,5G+：5G如何改变社会, ,6.5,278人,李正茂、王晓云、张同须 / 中信出版社 / 2019-8-1 / 69.00元,2019年6月6日中国移动等四家运营商获得5G牌照，中国的5G进入产业全面冲刺的重要阶段。本书以中国移动“5G+”为主线，介绍了5G三大场景、九大指标、系统... ,李正茂&王晓云&张同须
https://book.douban.com/subject/33439392/,https://img2.doubanio.com/view/subject/s/public/s32314152.jpg,5G NR标准：下一代无线通信技术,下一代无线通信技术,9.0,54人,[瑞典]埃里克•达尔曼（Erik Dahlman）、斯特凡•巴克浮（Stefan Parkvall）、约翰•舍尔德（Johan Sk?ld） / 朱怀松、王剑、刘阳 / 机械工业出版社 / 2019-5-1 / 119,暂无,埃里克•达尔曼&斯特凡•巴克浮&约翰•舍尔德
https://book.douban.com/subject/1062827/,https://img2.doubanio.com/view/subject/s/public/s4403351.jpg,信号与系统, ,9.1,489人,[美]AlanV.Oppenh / 刘树棠 / 西安交通大学出版社 / 1998-3 / 58.00元,暂无,AlanV.Oppenh
https://book.douban.com/subject/1918022/,https://img3.doubanio.com/view/subject/s/public/s12365580.jpg,The Mathematical Theory of Communication, ,9.6,24人,Claude E Shannon、Warren Weaver / University of Illinois Press / 1971 / USD 23.00,Scientific knowledge grows at a phenomenal pace-but few books have had as last... ,Claude E Shannon&Warren Weaver
https://book.douban.com/subject/1689224/,https://img9.doubanio.com/view/subject/s/public/s24467275.jpg,高通方程式, ,7.5,32人,莫克 / 人民邮电出版社 / 2005-10 / 42.00元,本书讲述了一个来自圣迭戈的小公司如何翻新了无线通信业并带给市场一种全新的体验。这不是一本技术指南，而是一部传奇。读过它，不论是对通信业了解甚多还是对这个行业... ,莫克
https://book.douban.com/subject/35073679/,https://img1.doubanio.com/view/subject/s/public/s33648217.jpg,果壳中的5G,新网络时代的技术内涵与商业思维,7.8,26人,祝刚 / 人民邮电出版社 / 2020-5 / ¥79.00元,本书与已有的5G著作不同之处是以厚重的历史叙事手法写出5G的前世与今生、场景与生态、必然与未知、梦想与现实，寓技术于通信故事，轻松又不失严谨，深入果壳之中探... ,祝刚
https://book.douban.com/subject/3702300/,https://img1.doubanio.com/view/subject/s/public/s6016127.jpg,基于XILINX FPGA的OFDM通信系统基带设计, ,暂无,少于10人,1970-1 / 38.00元,《基于XILINX FPGA的OFDM通信系统基带设计》以无线局域网物理层标准IEEE 802．11a为实例，研究如何在FPGA上实现一个OFDM通信系统的... ,1970-1
https://book.douban.com/subject/1392977/,https://img2.doubanio.com/view/subject/s/public/s8908981.jpg,射频和无线技术入门, ,8.1,69人,韦斯曼 / 刘志华 / 清华大学出版社 / 2005-6 / 29.80元,《射频和无线技术入门(第2版)》主要内容：近几年来，无线通信系统在世界范围内得到了迅速发展，并不断有新技术出现，主要在于射频硬件处理技术的不断发展。从第1代... ,韦斯曼
https://book.douban.com/subject/35259997/,https://img2.doubanio.com/view/subject/s/public/s33768562.jpg,C++新经典：Linux C++通信架构实战, ,暂无,少于10人,王健伟 / 清华大学出版社 / 2020-11-10 / 99.00元,这是一部介绍在Linux下使用C++开发网络通信服务器程序的书。本书共8章36节，介绍了一个完整的项目，其中包括通信框架和业务逻辑框架，有以下几个特点：①项... ,王健伟
https://book.douban.com/subject/3777361/,https://img2.doubanio.com/view/subject/s/public/s6029142.jpg,数字通信,Digital Communications 5th Edition,9.1,47人,普罗科斯 / 电子工业出版社 / 2009-5 / 89.00元,《数字通信(第5版)(英文版)》是数字通信领域一本优秀的经典教材。《数字通信(第5版)(英文版)》在内容上既论述了数字通信的基本理论问题，又对数字通信新技术... ,普罗科斯
https://book.douban.com/subject/3228144/,https://img9.doubanio.com/view/subject/s/public/s4307126.jpg,Principles of Digital Communication, ,9.7,27人,Robert G. Gallager / Cambridge University Press / 2008-3-24 / USD 99.99,The renowned communications theorist Robert Gallager brings his lucid writing ... ,Robert G. Gallager
https://book.douban.com/subject/35627255/,https://img9.doubanio.com/view/subject/s/public/s34025755.jpg,鲜枣课堂：5G通识讲义, ,暂无,少于10人,周圣君 / 人民邮电出版社 / 2021-7 / 69.8,本书用图文搭配的方式搭建了关于5G的知识框架，提供了有趣、实用、丰富、浅显易懂的内容。本书共11章，从5G的演进背景开始，介绍什么是5G，为什么要有5G，接... ,周圣君
https://book.douban.com/subject/35231480/,https://img2.doubanio.com/view/subject/s/public/s33917953.jpg,控制论,或动物与机器的控制和通信的科学,9.1,15人,[美] 诺伯特·维纳 / 王文浩 / 商务印书馆 / 2020-10 / 45.00元,本书是控制论创始人维纳最经典的著作，内容涉及神经生理学、心理学、计算机科学等多个学科，其出版对20世纪的多个学科产生了极为深远的影响。本书还引发了一系列哲学... ,诺伯特·维纳
https://book.douban.com/subject/6876925/,https://img2.doubanio.com/view/subject/s/public/s9034311.jpg,大话移动通信, ,8.5,203人,丁奇、阳桢 / 人民邮电出版社 / 2011-10 / 45.00元,丁奇编著的《大话移动通信》是一本全面介绍移动通信的通俗图书，涵盖了从通信基本理论到GSM、WCDMA、TD-SCDMA、cdma2000、LTE、LTE-A... ,丁奇&阳桢
https://book.douban.com/subject/1859351/,https://img3.doubanio.com/view/subject/s/public/s7042470.jpg,Fundamentals of Wireless Communication, ,9.2,57人,David Tse、Pramod Viswanath / Cambridge University Press / 2005-7-11 / USD 92.00,The past decade has seen many advances in physical layer wireless communicatio... ,David Tse&Pramod Viswanath
https://book.douban.com/subject/34844695/,https://img9.doubanio.com/view/subject/s/public/s33514794.jpg,善数者成：大数据改变中国（中宣部2019年主题出版重点出版物）, ,6.9,49人,涂子沛、郑磊 / 人民邮电出版社 / 2019-9 / 69.00元,数据自古有之，它是对万事万物的精确刻画，也是对客观世界的普遍记录。伴随着信息爆炸与技术革新，大数据正以排山倒海之势席卷世界，影响着社会生产生活的方方面面，不... ,涂子沛&郑磊
https://book.douban.com/subject/35129228/,https://img2.doubanio.com/view/subject/s/public/s33695483.jpg,认识5G+, ,暂无,少于10人,,暂无,
https://book.douban.com/subject/19979789/,https://img2.doubanio.com/view/subject/s/public/s25136833.jpg,深入理解视频编解码技术,基于H.264标准及参考模型,暂无,少于10人,2012-10 / 52.00元,《深入理解视频编解码技术:基于H.264标准及参考模型》主要介绍基于H.264标准及参考模型的视频编解码技术。第1章绪论介绍了数字视频的基本概念和视频压缩标... ,2012-10
https://book.douban.com/subject/35166994/,https://img2.doubanio.com/view/subject/s/public/s34016343.jpg,网络综合布线（第2版）, ,暂无,少于10人,刘化君 / 电子工业出版社 / 2020-7 / 98,《网络综合布线（第2版）》全面、系统地讨论了网络综合布线基础理论、系统组成及设计、布线施工技术、布线系统测试与工程验收等知识；并针对当前网络布线领域的新技术... ,刘化君
https://book.douban.com/subject/25834772/,https://img1.doubanio.com/view/subject/s/public/s27226399.jpg,通信原理（第7版）, ,7.1,41人,樊昌信、曹丽娜 / 国防工业出版社 / 2012-11-1 / 58.00元,樊昌信等编的《通信原理》共14章，分为三大部分。第一部分（第1章～第5章）阐述通信基础知识和模拟调制原理。第二部分（第6章～第10章）主要论述数字通信（基带... ,樊昌信&曹丽娜
https://book.douban.com/subject/30764950/,https://img3.doubanio.com/f/shire/5522dd1f5b742d1e1394a17f44d590646b63871d/pics/book-default-lpic.gif,网络综合布线系统与施工技术（第5版）, ,暂无,少于10人,陈光辉 黎连业　王萍　黎长骏　等 / 机械工业出版社 / 99元,暂无,陈光辉 黎连业　王萍　黎长骏　等
https://book.douban.com/subject/35427735/,https://img9.doubanio.com/view/subject/s/public/s33986724.jpg,大话移动通信 第2版, ,暂无,少于10人,丁奇、周康林 / 人民邮电出版社 / 2021-4,本书是一本介绍移动通信的科普读物，在第1版的基础上，删除了过时的内容，并更新了相关的技术内容，完整地讲述了现有的主要移动通信技术，从1G、2G、3G、4G讲... ,丁奇&周康林
https://book.douban.com/subject/26301083/,https://img3.doubanio.com/view/subject/s/public/s27983260.jpg,大话核心网, ,6.5,17人,陈学梁 / 电子工业出版社 / 2015-1-6 / 48.00,本书根据核心网演进的脉络，采用浅显易懂的类比方式，描述了程控交换、七号信令、NGN网络、SIP协议、IMS网络、UMTS PS核心网、LTE EPC核心网、... ,陈学梁
https://book.douban.com/subject/26902436/,https://img3.doubanio.com/view/subject/s/public/s29120420.jpg,Antenna Theory,"Analysis and Design, 4th Edition",暂无,少于10人,Constantine A. Balanis / Wiley / 2016-2-15 / USD 174.95,This book introduces the fundamental principles of antenna theory and explains... ,Constantine A. Balanis
https://book.douban.com/subject/35000741/,https://img2.doubanio.com/view/subject/s/public/s33598023.jpg,5G网络全专业规划设计宝典, ,暂无,少于10人,梁雪梅 白冰 方晓农 李新  张国新 彭雄根 田杰 / 人民邮电出版社 / 168元,暂无,梁雪梅 白冰 方晓农 李新  张国新 彭雄根 田杰
https://book.douban.com/subject/30422823/,https://img3.doubanio.com/view/subject/s/public/s29968840.jpg,5G NR: The Next Generation Wireless Access Technology, ,暂无,少于10人,Erik Dahlman、Stefan Parkvall、Johan Skold / Academic Press / 2018-8-31 / $84.83,5G NR: The Next Generation Wireless Access Technology follows the authors' hig... ,Erik Dahlman&Stefan Parkvall&Johan Skold
https://book.douban.com/subject/5324552/,https://img3.doubanio.com/view/subject/s/public/s4579640.jpg,实战无线通信应知应会,新手入门，老手温故,8.2,36人,酷哥尔 / 人民邮电出版社 / 2010-11 / 49.00元,"《实战无线通信应知应会:新手入门,老手温故》是一本无线通信方面的专业通俗图书，运用大量生动形象的实例进行类比讲解，并穿插了许多活泼有趣的漫画，采用从无线通信... ",酷哥尔
https://book.douban.com/subject/10742067/,https://img9.doubanio.com/view/subject/s/public/s11334705.jpg,现代通信电源技术及应用, ,暂无,目前无人,刘宝庆 编 / 2012-5 / 69.00元,《现代通信电源技术及应用》以介绍通信电源基础理论知识为主要内容，兼顾技术应用及设备维护。《现代通信电源技术及应用》内容全面，包括通信电源系统及主要设备的作用... ,刘宝庆 编
https://book.douban.com/subject/5450807/,https://img9.doubanio.com/view/subject/s/public/s6275635.jpg,大话移动通信, ,7.2,37人,张海君、郑伟 / 2011-2 / 39.80元,《大话移动通信》是一本通俗易懂的移动通信技术读物。作者力求用最通俗、幽默、风趣的语言，从身边的通信讲起，历数古代通信到现代通信的发展历程及从最基础、最通用的... ,张海君&郑伟
https://book.douban.com/subject/27186106/,https://img9.doubanio.com/view/subject/s/public/s29595585.jpg,心流,最优体验心理学,8.2,11312人,[美] 米哈里·契克森米哈赖 / 张定绮 / 中信出版集团 / 2017-11 / 49.00,“心流”是指我们在做某些事情时，那种全神贯注、投入忘我的状态——这种状态下，你甚至感觉不到时间的存在，在这件事情完成之后我们会有一种充满能量并且非常满足的感... ,米哈里·契克森米哈赖
https://book.douban.com/subject/35507004/,https://img1.doubanio.com/view/subject/s/public/s33931199.jpg,从1G到5G,移动通信如何改变世界,6.9,16人,王建宙 / 中信出版集团 / 2021-7 / 69,信息、通信、连接……世界正在以前所未有的形式串联在一起。移动通信的每一代发展，每个奋斗的通信人，每件通信的大事记……都是时代不可磨灭的印迹。历史的波涛破旧立... ,王建宙
https://book.douban.com/subject/1189694/,https://img9.doubanio.com/view/subject/s/public/s9917416.jpg,业余无线电通信, ,9.2,50人,童效勇 / 人民邮电出版社 / 2004-10 / 26.0,《业余无线电通信》(修订本)既可作为开展业余电台活动的教材，也可作为业余无线电爱好者的自修读本和手册。相信本书的出版一定会对我国业余电台活动的健康发展起到重... ,童效勇
https://book.douban.com/subject/21405503/,https://img2.doubanio.com/view/subject/s/public/s26585792.jpg,现代通信原理,现代通信原理,暂无,少于10人,陶亚雄 / 电子工业出版社 / 2013-2 / 36.00元,陶亚雄主编的《现代通信原理》为第4版，根据教育部关于高职院校通信专业的教学大纲编写。全书共8章，主要介绍通信中的基本概念和术语；模拟调制系统中的线性AM、D... ,陶亚雄
https://book.douban.com/subject/35338176/,https://img9.doubanio.com/view/subject/s/public/s33810366.jpg,边缘计算2.0：网络架构与技术体系, ,暂无,少于10人,雷波 等 / 电子工业出版社 / 2021-1 / 69.00元,暂无,雷波 等
https://book.douban.com/subject/35020993/,https://img9.doubanio.com/view/subject/s/public/s33647855.jpg,无线通信简史,从电磁波到5G,7.6,24人,[芬] 彼得里·劳尼艾宁 / 蒋楠 / 人民邮电出版社 / 2020-4 / 99.00元,《无线通信简史》生动展示了无线通信发展的万丈波澜，讲述了每一次科技进步所涉及的热点事件、个人和公司，同时特别关注每一项新发明对社会的重大影响。从早期的火花式... ,彼得里·劳尼艾宁
https://book.douban.com/subject/1450818/,https://img1.doubanio.com/view/subject/s/public/s1548609.jpg,数字信号处理, ,9.4,16人,莱昂斯 / 朱光明、程建远、刘保童 / 机械工业出版社 / 2006年01月 / 55.0,本书对数字信号处理(DSP)的基本内容进行了系统阐述，包括目前数字信号处理的新技术成果，是一本理论和实践结合得十分完美的教材。本书自1997年出版以来，深受... ,莱昂斯
https://book.douban.com/subject/1750851/,https://img2.doubanio.com/view/subject/s/public/s8503363.jpg,电子技术基础 数字部分,数字部分（第五版）,7.3,97人,康华光、、华中科技大学电子技术课程组 / 高等教育出版社 / 2006-1 / 50.40元,本书主要介绍了：数字逻辑概论，逻辑代数和Verilog硬件描述语言，逻辑门电路，组合逻辑电路，锁存器和触发器，时序逻辑电路，存储器、复杂可编程器件和现场可编... ,康华光&&华中科技大学电子技术课程组
https://book.douban.com/subject/3165259/,https://img1.doubanio.com/view/subject/s/public/s5921959.jpg,复变函数与积分变换,复变函数与积分变换,7.5,28人,华中科技大学数学系 / 高等教育出版社 / 2008-6 / 16.00元,《大学数学系列教材•复变函数与积分变换》介绍复变函数与积分变换的基本概念、理论和方法。全书共分9章，主要内容包括：复数与复变函数，解析函数，复变函数的积分，... ,华中科技大学数学系
https://book.douban.com/subject/26654413/,https://img3.doubanio.com/view/subject/s/public/s28329720.jpg,业余无线电通信（第四版）, ,8.8,31人,童效勇、陈方 / 人民邮电出版社 / 2015-6-1 / 50.00,《业余无线电通信（第4版）》系统地介绍了开设、操作业余电台的基本知识和管理法规，同时介绍了有关业余电台奖状、比赛、电波传播、抢险救灾和简易的业余通信设备等内... ,童效勇&陈方
https://book.douban.com/subject/4199502/,https://img1.doubanio.com/view/subject/s/public/s6103437.jpg,大话无线通信, ,8.3,407人,丁奇 / 人民邮电出版社 / 2010-1 / 45.00元,《大话无线通信》是一本介绍无线通信的通俗书，首先介绍了有线通信向无线通信的演进、通信系统的理论基础知识和无线通信的空中接口技术，然后以GSM系统为范例详细介... ,丁奇
https://book.douban.com/subject/5386194/,https://img2.doubanio.com/view/subject/s/public/s26692443.jpg,TCP/IP协议族, ,9.0,91人,福罗赞 / 王海  张娟  等译、谢希仁  审校 / 清华大学出版社 / 2011-1 / 99.00元,《世界著名计算机教材精选·TCP/IP协议族(第4版)》是介绍TCP/IP协议族的经典图书的最新版本。《世界著名计算机教材精选·TCP/IP协议族(第4版)... ,福罗赞
https://book.douban.com/subject/34431059/,https://img9.doubanio.com/view/subject/s/public/s33297266.jpg,现场总线技术及其应用, ,暂无,少于10人,,暂无,
https://book.douban.com/subject/2145366/,https://img9.doubanio.com/view/subject/s/public/s5768314.jpg,差错控制编码, ,9.3,23人,"[美] Shu Lin、[美] Daniel J. Costello, Jr / 晏坚、何元智、潘亚汉 / 机械工业 / 2007-6 / 88.00元",据原书第2版译出。系统讲解差错控制编码系统的基础理论和实际应用，主要包括：用于可靠数字传输和存储的编码、线性分组码、循环码、二进制BCH码、大数逻辑可译码与... ,"Shu Lin&Daniel J. Costello, Jr"
https://book.douban.com/subject/4703192/,https://img9.doubanio.com/view/subject/s/public/s6138475.jpg,信息论与编码, ,9.2,28人,姜丹 / 中国科学技术大学出版社 / 2009-12 / 70.00元,《信息论与编码(第3版)》系统论述香农信息论的基本理论，介绍编码的基本方法。全书共分12章。内容包括：信息的定义、信息论的基本思路；单符号离散信源与信道、信... ,姜丹
https://book.douban.com/subject/35044751/,https://img9.doubanio.com/view/subject/s/public/s33750285.jpg,5G移动通信系统设计与标准详解, ,暂无,少于10人,王映民  孙韶辉 / 人民邮电出版社 / 2020-11 / 199元,本书全面系统地介绍了5G移动通信系统设计与标准协议。第一部分（第1-3章）系统概述与标准体系，主要介绍移动通信及5G发展的总体情况、5G系统的网络架构与标准... ,王映民  孙韶辉
https://book.douban.com/subject/1110492/,https://img2.doubanio.com/view/subject/s/public/s5699763.jpg,现代信号处理, ,7.1,26人,张贤达 / 清华大学出版社 / 2002-1 / 38.00元,《现代信号处理》系统、全面地介绍了现代信号处理的主要理论、具有代表性的方法及一些典型应用。全书共7章，内容包括随机信号、参数估计理论、现代谱估计、自适应滤波... ,张贤达
https://book.douban.com/subject/2122726/,https://img3.doubanio.com/view/subject/s/public/s6496200.jpg,无线通信, ,8.7,79人,哥德史密斯 / 杨鸿文 / 人民邮电出版社 / 2007-6 / 69.00元,《无线通信》重点论述当前各类无线通信系统中具有普遍性和代表性的基本知识，包括基本的理论、问题、设计思路和分析方法。全书内容包括无线信道模型、无线信道容量、无... ,哥德史密斯
