书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签
https://book.douban.com/subject/35508620/,https://img9.doubanio.com/view/subject/s/public/s33931624.jpg,深时之旅, ,9.2,296人,[英] 罗伯特·麦克法伦 / 王如菲 / 文汇出版社 / 2021-7 / 79.00元,暂无,罗伯特·麦克法伦,科普&地理&地质&科学&非虚构&社科&社会学&英国
https://book.douban.com/subject/1291204/,https://img1.doubanio.com/view/subject/s/public/s1789059.jpg,哥德尔、艾舍尔、巴赫,集异璧之大成,9.4,7342人,[美] 侯世达 / 严勇、刘皓明、莫大伟 / 商务印书馆 / 1997-5 / 88.00元,集异璧－GEB，是数学家哥德尔、版画家艾舍尔、音乐家巴赫三个名字的前缀。《哥德尔、艾舍尔、巴赫书：集异璧之大成》是在英语世界中有极高评价的科普著作，曾获得普... ,侯世达,哲学&科普&逻辑&数学&人工智能&科学&计算机&哥德尔
https://book.douban.com/subject/35292688/,https://img1.doubanio.com/view/subject/s/public/s33823248.jpg,微积分的力量, ,8.7,849人,[美] 史蒂夫·斯托加茨 / 任烨 / 中信出版集团 / 2021-1 / 69.00元,微积分是人类历史上的伟大思想成就之一，也是数学领域不可或缺的一个重要分支。除此之外，我们更应该关注的事实是：如果没有微积分，人类就不可能发明电视、微波炉、移... ,史蒂夫·斯托加茨,数学&科普&微积分&数学文化&自然科学&科学文化&自然科学相关&物理
https://book.douban.com/subject/33424487/,https://img2.doubanio.com/view/subject/s/public/s32332471.jpg,时间的秩序, ,8.9,16410人,[意] 卡洛·罗韦利 / 杨光 / 湖南科学技术出版社 / 2019-6 / 56.00元,为什么我们记得过去，而非未来？时间“流逝”意味着什么？是我们存在于时间之内，还是时间存在于我们之中？卡洛·罗韦利用诗意的文字，邀请我们思考这一亘古难题——时... ,卡洛·罗韦利,时间&哲学&科普&物理&物理学&卡洛·罗韦利&科学&社会学
https://book.douban.com/subject/1102715/,https://img3.doubanio.com/view/subject/s/public/s2516920.jpg,从一到无穷大,科学中的事实和臆测,9.1,12183人,[美] G. 伽莫夫 / 暴永宁 译、吴伯泽 校 / 科学出版社 / 2002-11 / 29.00元,《从一到无穷大：科学中的事实和臆测》是当今世界最有影响的科普经典名著之一，1970年代末由科学出版社引进出版后，曾在国内引起很大反响，直接影响了众多的科普工... ,G. 伽莫夫,科普&数学&科学&自然科学&从一到无穷大&物理&伽莫夫&经典
https://book.douban.com/subject/1034282/,https://img2.doubanio.com/view/subject/s/public/s1914861.jpg,时间简史,插图本,8.8,55176人,[英] 史蒂芬·霍金 / 许明贤、吴忠超 / 湖南科学技术出版社 / 2010-4 / 45.00元,《时间简史》讲述是探索时间和空间核心秘密的故事，是关于宇宙本性的最前沿知识，包括我们的宇宙图像、空间和时间、膨胀的宇宙不确定性原理、基本粒子和自然的力、黑洞... ,史蒂芬·霍金,科普&史蒂芬·霍金&宇宙&时间简史&物理&科学&物理学&时间
https://book.douban.com/subject/35490038/,https://img2.doubanio.com/view/subject/s/public/s33917843.jpg,宇宙, ,9.2,373人,[美]卡尔·萨根 / 虞北冥 / 上海科学技术文献出版社 / 2021-6 / 78,暂无,卡尔·萨根,科普&宇宙&天文&科学&哲学&经典&脑洞&必读
https://book.douban.com/subject/35023259/,https://img2.doubanio.com/view/subject/s/public/s33617061.jpg,这才是心理学(第11版),看穿伪科学的批判性思维,9.1,1152人,[加] 基思·斯坦诺维奇 / 窦东徽、刘肖岑 / 人民邮电出版社 / 2020-4 / 78.00元,在今天的大众媒体和图书市场上，到处充斥着关于潜能提升、心理操控、色彩星座、催眠读心等伪装成心理学的主题，更有一些伪心理学家、所谓的心理治疗师打着心理学的旗号... ,基思·斯坦诺维奇,心理学&批判性思维&心理&思维&科学&成长&思想
https://book.douban.com/subject/1467022/,https://img9.doubanio.com/view/subject/s/public/s1486674.jpg,上帝掷骰子吗,量子物理史话,9.2,29298人,曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元,《上帝掷骰子吗》这本书是关于量子论的故事。量子论是一个极为奇妙的理论：从物理角度来说，它在科学家中间引起了最为激烈的争议和关注；从现实角度来说，它给我们的社... ,曹天元,科普&量子物理&物理&量子力学&科学史&物理学&科学&哲学
https://book.douban.com/subject/20376550/,https://img1.doubanio.com/view/subject/s/public/s24227318.jpg,科学革命的结构, ,9.0,2314人,[美]托马斯·库恩、[美]伊安·哈金 (导读) / 金吾伦、胡新和 / 北京大学出版社 / 2012-11 / 29.00元,本书是20世纪学术史上最有影响的著作之一，是科学史与科学哲学研究的学者们不可不读的基本文献。它引导了科学哲学界的一场认识论的大变革，成为科学哲学史上一道重要... ,托马斯·库恩&伊安·哈金,科学哲学&哲学&科学史&科学&社会学&思想史&库恩&经典
