书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签
https://book.douban.com/subject/35196328/,https://img1.doubanio.com/view/subject/s/public/s33716278.jpg,Python编程,从入门到实践（第2版）,9.2,651人,[美]埃里克·马瑟斯（Eric Matthes） / 袁国忠 / 人民邮电出版社 / 2020-10 / 89,本书是针对所有层次Python读者而作的Python入门书。全书分两部分：第一部分介绍用Python编程所必须了解的基本概念，包括Matplotlib等强大... ,埃里克·马瑟斯,Python&编程&计算机&计算机科学&python&微信读书
https://book.douban.com/subject/4822685/,https://img2.doubanio.com/view/subject/s/public/s27331702.jpg,编码,隐匿在计算机软硬件背后的语言,9.3,4333人,[美] Charles Petzold / 左飞、薛佟佟 / 电子工业出版社 / 2010 / 55.00元,本书讲述的是计算机工作原理。作者用丰富的想象和清晰的笔墨将看似繁杂的理论阐述得通俗易懂，你丝毫不会感到枯燥和生硬。更重要的是，你会因此而获得对计算机工作原理... ,Charles Petzold,计算机&计算机原理&计算机科学&编程&编码&科普&技术&IT
https://book.douban.com/subject/6021440/,https://img9.doubanio.com/view/subject/s/public/s4669554.jpg,黑客与画家,硅谷创业之父Paul Graham文集,8.7,21102人,[美] Paul Graham / 阮一峰 / 人民邮电出版社 / 2011-4 / 49.00元,本书是硅谷创业之父Paul Graham 的文集，主要介绍黑客即优秀程序员的爱好和动机，讨论黑客成长、黑客对世界的贡献以及编程语言和黑客工作方法等所有对计算... ,Paul Graham,计算机&互联网&黑客&创业&编程&思维&软件开发&阮一峰
https://book.douban.com/subject/30329536/,https://img2.doubanio.com/view/subject/s/public/s29872642.jpg,数据密集型应用系统设计, ,9.7,1015人,Martin Kleppmann / 赵军平、李三平、吕云松、耿煜 / 中国电力出版社 / 2018-9-1 / 128,暂无,Martin Kleppmann,分布式系统&计算机&分布式&架构&计算机科学&数据库&大数据&数据
https://book.douban.com/subject/35524665/,https://img9.doubanio.com/view/subject/s/public/s34038775.jpg,JavaScript百炼成仙, ,8.0,52人,杨逸飞 / 2021-6-1 / 66.00元,这是一本讲解JavaScript编程语言的技术书籍，只不过，本书采用了一种全新的写作手法。如果你厌倦了厚厚的、如同字典般的编程书籍，不妨尝试一下新的口味！通... ,杨逸飞,JavaScript&编程&前端&奇书&中国&2021&玄幻&奇幻
https://book.douban.com/subject/26912767/,https://img1.doubanio.com/view/subject/s/public/s29195878.jpg,深入理解计算机系统（原书第3版）, ,9.8,1663人,Randal E.Bryant、David O'Hallaron / 龚奕利、贺莲 / 机械工业出版社 / 2016-11 / 139.00元,暂无,Randal E.Bryant&David O'Hallaron,计算机&计算机科学&计算机系统&计算机体系结构&操作系统&编程&CS&经典
https://book.douban.com/subject/1148282/,https://img9.doubanio.com/view/subject/s/public/s1113106.jpg,计算机程序的构造和解释(原书第2版), ,9.5,2536人,[美] Harold Abelson、[美] Gerald Jay Sussman、[美] Julie Sussman / 裘宗燕 / 机械工业出版社 / 2004-2 / 45.00元,《计算机程序的构造和解释》成型于美国麻省理工学院（MIT）多年使用的一本教材，1984年出版，1996年修订为第二版。在过去的二十多年里，该书对于计算机科学... ,Harold Abelson&Gerald Jay Sussman&Julie Sussman,计算机科学&计算机&编程&SICP&程序设计&经典&LISP&programming
https://book.douban.com/subject/35006892/,https://img9.doubanio.com/view/subject/s/public/s33836286.jpg,程序员修炼之道（第2版）,通向务实的最高境界,9.1,458人,[美] David Thomas、[美] Andrew Hunt / 云风 / 电子工业出版社 / 2020-4-1 / 89.00元,本书之所以在全球范围内广泛传播，被一代代开发者奉为圭臬，盖因它可以创造出真正的价值：或编写出更好的软件，或探究出编程的本质，而所有收获均不依赖于特定语言、框... ,David Thomas&Andrew Hunt,程序员&计算机&软件工程&编程&计算机科学&成长&修炼&精进
https://book.douban.com/subject/1477390/,https://img1.doubanio.com/view/subject/s/public/s1495029.jpg,代码大全（第2版）, ,9.3,4052人,[美] 史蒂夫·迈克康奈尔 / 金戈、汤凌、陈硕、张菲 译、裘宗燕 审校 / 电子工业出版社 / 2006-3 / 128.00元,第2版的《代码大全》是著名IT畅销书作者史蒂夫·迈克康奈尔11年前的经典著作的全新演绎：第2版不是第一版的简单修订增补，而是完全进行了重写；增加了很多与时俱... ,史蒂夫·迈克康奈尔,编程&代码大全&软件开发&计算机&软件工程&程序设计&代码&programming
https://book.douban.com/subject/27028517/,https://img9.doubanio.com/view/subject/s/public/s29434304.jpg,流畅的Python, ,9.4,963人,[巴西] Luciano Ramalho / 安道、吴珂 / 人民邮电出版社 / 2017-5-15 / 139元,暂无,Luciano Ramalho,Python&python&编程&计算机&进阶&程序设计&计算机科学&programming
