书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/27179563/,https://img9.doubanio.com/view/subject/s/public/s29636034.jpg,激荡十年，水大鱼大,中国企业2008—2018,8.3,13861人,吴晓波 / 中信出版社 / 2017-11-1 / CNY 58.00,暂无,吴晓波,吴晓波&企业史&中国经济&经济&商业&中国商业&通俗财经&历史,中信出版社
https://book.douban.com/subject/27599025/,https://img1.doubanio.com/view/subject/s/public/s29930727.jpg,激荡三十年,中国企业1978—2008,8.9,5946人,吴晓波 / 中信出版社 / 2017-11 / 116.00元,尽管任何一段历史都有它不可替代的独特性，可是，1978年－2008年的中国，却是不可能重复的。在一个拥有13亿人口的大国里，僵化的计划经济体制日渐瓦解了，一... ,吴晓波,企业史&吴晓波&中国&经济&商业&经济史&历史&经济与管理,中信出版社
https://book.douban.com/subject/26929955/,https://img9.doubanio.com/view/subject/s/public/s29653026.jpg,腾讯传,中国互联网公司进化论,7.8,16584人,吴晓波 / 浙江大学出版社 / 2017-1-1 / 58.00元,暂无,吴晓波,互联网&腾讯&企业史&吴晓波&传记&商业&创业&公司,浙江大学出版社
https://book.douban.com/subject/26771893/,https://img9.doubanio.com/view/subject/s/public/s29107216.jpg,光变,一个企业及其工业史,8.9,773人,路风 / 当代中国出版社 / 2016-3 / 79.00元,这是一本关于京东方的再创业史。记录了京东方在一个全球高技术工业中的史诗般崛起。通过讲述这个真实的故事——真实的团队在真实的世界里创造出来的真实业绩——解释了... ,路风,企业史&中国&商业&工业&产业&经济史&经济,当代中国出版社
https://book.douban.com/subject/1072438/,https://img1.doubanio.com/view/subject/s/public/s1057759.jpg,大败局, ,8.3,13631人,吴晓波 / 浙江人民出版社 / 2001-01 / 29.00元,这是一本放在手上令人发烫的书！一个个国内著名得很很著名的企业，突然在它们“花样年华”的日子里突然灰飞烟灭，突然无声无息的倒下了！如同一个个鲜活的生命突然的枯... ,吴晓波,吴晓波&商业&经济&管理&管理案例&企业史&大败局&企业管理,浙江人民出版社
https://book.douban.com/subject/35562019/,https://img9.doubanio.com/view/subject/s/public/s34021205.jpg,生生不息：一个中国企业的进化与转型, ,7.5,234人,范海涛 / 中信出版社 / 2021-8-1 / 88,从某种程度上说，守业比创业难。很多传统企业在初始阶段顺风顺水，但是在发展到某种规模之后，原始的积累被缓慢消耗，新的发展路径无处找寻，企业开始陷入停滞、萧条…... ,范海涛,商业&雷军&创业&互联网&企业史&科技&成长&找到你自己,中信出版社
https://book.douban.com/subject/25908391/,https://img9.doubanio.com/view/subject/s/public/s27305766.jpg,大败局1,修订版,8.1,2432人,吴晓波 / 浙江大学出版社 / 2013-12-1 / 40.00,《大败局》是一本有关于中国企业失败的MBA式教案！《大败局》解读十大著名企业盛极而衰的失败原因：标王失败的原因是什么？数十亿资产的企业为何这般脆弱？“青年近... ,吴晓波,商业&吴晓波&企业史&经济&案例&管理&企业&经济学,浙江大学出版社
https://book.douban.com/subject/1970428/,https://img3.doubanio.com/view/subject/s/public/s10431840.jpg,激荡三十年（上）,中国企业1978-2008,8.8,29653人,吴晓波 / 中信出版社 浙江人民出版社 / 2007-1 / 35.00,暂无,吴晓波,吴晓波&企业史&经济&商业&历史&中国&激荡三十年&经济学,中信出版社
https://book.douban.com/subject/2380307/,https://img2.doubanio.com/view/subject/s/public/s2879952.jpg,激荡三十年（下）,中国企业1978-2008,8.8,17771人,吴晓波 / 中信出版社 浙江人民出版社 / 2008-1 / 42.00,暂无,吴晓波,吴晓波&企业史&经济&商业&激荡三十年&历史&中国改革&中国,中信出版社
https://book.douban.com/subject/6508275/,https://img1.doubanio.com/view/subject/s/public/s27209007.jpg,大败局Ⅱ, ,8.7,1519人,吴晓波 / 浙江人民出版社 / 2011-5 / 35.00元,《大败局2》所记录的败局均发生在2000年到2007年之间，将它们与《大败局》中的失败案例合在一起来阅读，你将可以看到过去10年里发生在中国商业界的众多兴衰... ,吴晓波,吴晓波&企业史&商业&经济&案例&管理&企业&管理案例,浙江人民出版社
