书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35102294/,https://img1.doubanio.com/view/subject/s/public/s33784858.jpg,不拘一格,网飞的自由与责任工作法,8.2,2837人,[美] 里德·哈斯廷斯、[美] 艾琳·迈耶 / 杨占 / 中信出版社 / 2021-1-1 / 69.00,暂无,里德·哈斯廷斯&艾琳·迈耶,管理&商业&创业&新经济&美国&2020&听过1遍,中信出版社
https://book.douban.com/subject/26759508/,https://img9.doubanio.com/view/subject/s/public/s28571694.jpg,硅谷钢铁侠,埃隆·马斯克的冒险人生,8.0,11362人,[美] 阿什利·万斯 / 周恒星 / 中信出版集团 / 2016-4 / 68.00元,暂无,阿什利·万斯,传记&马斯克&人物传记&科技&商业&创业&互联网&美国,中信出版集团
https://book.douban.com/subject/10945606/,https://img9.doubanio.com/view/subject/s/public/s11137256.jpg,精益创业,新创企业的成长思维,8.3,5610人,[美] 埃里克·莱斯 / 吴彤 / 中信出版社 / 2012-8 / 49.00元,《精益创业:新创企业的成长思维》内容简介：我们正处在一个空前的全球创业兴盛时代，但无数创业公司都黯然收场，以失败告终。精益创业代表了一种不断形成创新的新方法... ,埃里克·莱斯,创业&商业&精益创业&管理&互联网&创业/企业/商业&精益&startup,中信出版社
https://book.douban.com/subject/26306686/,https://img9.doubanio.com/view/subject/s/public/s28007966.jpg,创业维艰,如何完成比难更难的事,8.3,8904人,本·霍洛维茨 Ben Horowitz / 杨晓红、钟莉婷 / 中信出版社 / 2015-2 / 49,本·霍洛维茨，硅谷顶级投资人，与网景之父马克·安德森联手合作18年，有着丰富的创业和管理经验。2009年创立风险投资公司A16Z，被外媒誉为“硅谷最牛的50... ,本·霍洛维茨 Ben Horowitz,创业&商业&管理&互联网&经管&思维&本·霍洛维茨&管理学,中信出版社
https://book.douban.com/subject/6021440/,https://img9.doubanio.com/view/subject/s/public/s4669554.jpg,黑客与画家,硅谷创业之父Paul Graham文集,8.7,21140人,[美] Paul Graham / 阮一峰 / 人民邮电出版社 / 2011-4 / 49.00元,本书是硅谷创业之父Paul Graham 的文集，主要介绍黑客即优秀程序员的爱好和动机，讨论黑客成长、黑客对世界的贡献以及编程语言和黑客工作方法等所有对计算... ,Paul Graham,计算机&互联网&黑客&创业&编程&思维&软件开发&阮一峰,人民邮电出版社
https://book.douban.com/subject/33414023/,https://img2.doubanio.com/view/subject/s/public/s33919681.jpg,我曾走在崩溃的边缘,俞敏洪亲述新东方创业发展之路,8.2,2208人,俞敏洪 / 中信出版集团 / 2019-4 / 68.00元,这本书是作者俞敏洪第一次完整、深度地讲述新东方从0到1、从1到N的创业历程，披露了诸多不为人知的细节，让人看到带领着新东方从一个培训班发展成为上市集团的创业... ,俞敏洪,创业&传记&俞敏洪&商业&励志&传记与回忆录&教育&管理,中信出版集团
https://book.douban.com/subject/26297606/,https://img9.doubanio.com/view/subject/s/public/s28299265.jpg,从0到1,开启商业与未来的秘密,7.5,27332人,[美] 彼得·蒂尔、[美] 布莱克·马斯特斯 / 高玉芳 / 中信出版社 / 2015-1-1 / 45.00元,暂无,彼得·蒂尔&布莱克·马斯特斯,创业&商业&互联网&思维&管理&经济学&科技&新经济,中信出版社
https://book.douban.com/subject/4243770/,https://img9.doubanio.com/view/subject/s/public/s4409486.jpg,创新者的窘境, ,8.5,3460人,克莱顿•克里斯坦森( Clayton M. Christensen ) / 胡建桥 / 中信出版社 / 2010-6 / 38.00元,暂无,克莱顿•克里斯坦森,商业&创新&管理&创业&思维&互联网&创新者的窘境&战略,中信出版社
https://book.douban.com/subject/35611100/,https://img2.doubanio.com/view/subject/s/public/s34005873.jpg,双重转型,如何重新定位核心业务并实现颠覆性创新,8.3,40人,[美]斯科特·D. 安东尼（Scott D. Anthony）、［美］克拉克·G. 吉尔伯特（Clark G. Gilbert）、［美］马克·W. 约翰逊（Mark W. Johnson） / 慕兰、啸程 / 人民邮电出版社 / 2021-11-1 / 69.8,暂无,斯科特·D. 安东尼&克拉克·G. 吉尔伯特&马克·W. 约翰逊,转型&管理&商业&创新&创业&经济&领导力&思维,人民邮电出版社
https://book.douban.com/subject/35174681/,https://img2.doubanio.com/view/subject/s/public/s33703773.jpg,一往无前,雷军亲述小米热血10年,8.2,3819人,范海涛 / 中信出版集团 / 2020-8 / 78.00,暂无,范海涛,小米&雷军&传记&商业&创业&中国&2020&交互,中信出版集团
