书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35102294/,https://img1.doubanio.com/view/subject/s/public/s33784858.jpg,不拘一格,网飞的自由与责任工作法,8.2,2830人,[美] 里德·哈斯廷斯、[美] 艾琳·迈耶 / 杨占 / 中信出版社 / 2021-1-1 / 69.00,暂无,里德·哈斯廷斯&艾琳·迈耶,管理&商业&创业&新经济&美国&2020&听过1遍,中信出版社
https://book.douban.com/subject/35620025/,https://img2.doubanio.com/view/subject/s/public/s34076681.jpg,底层逻辑,看清这个世界的底牌,6.9,917人,刘润 / 机械工业出版社 / 2021-10-9 / 69,暂无,刘润,思维方式&自我提升&逻辑&方法论&商业&成长&管理学&职场,机械工业出版社
https://book.douban.com/subject/6709783/,https://img9.doubanio.com/view/subject/s/public/s6807265.jpg,浪潮之巅, ,9.0,30549人,吴军 / 电子工业出版社 / 2011-8 / 55.00元,暂无,吴军,互联网&IT&商业&计算机&浪潮之巅&历史&管理&投资,电子工业出版社
https://book.douban.com/subject/27608239/,https://img2.doubanio.com/view/subject/s/public/s29643861.jpg,原则, ,8.3,29434人,[美] 瑞·达利欧 / 刘波、綦相 / 中信出版社 / 2018-1 / CNY 98.00,瑞·达利欧是全世界顶级投资家、企业家之一，对冲基金公司桥水创始人。桥水创立至今为客户赚取的收益远远超过历史上任何一家对冲基金。达利欧认为桥水的成功源自他所奉... ,瑞·达利欧,个人管理&思维&管理&提升&商业&投资&金融&生活,中信出版社
https://book.douban.com/subject/26287433/,https://img9.doubanio.com/view/subject/s/public/s29111376.jpg,心若菩提, ,9.1,2965人,曹德旺 / 人民出版社 / 2015-1 / 49.00,曹德旺1946年出生于福建福清高山，9岁上学，14岁辍学，卖过烟丝、贩过水果、修过板车。1983年承包高山异型玻璃厂。1985年将主业迅速转向汽车玻璃，彻底... ,曹德旺,传记&人物传记&商业&人物&智慧&人生&管理学&好书，值得一读,人民出版社
https://book.douban.com/subject/35009826/,https://img1.doubanio.com/view/subject/s/public/s33843649.jpg,一生的旅程,迪士尼CEO自述,8.7,8666人,[美] 罗伯特·艾格、[美] 乔尔·洛弗尔 / 靳婷婷 / 文汇出版社 / 2020-5 / 88.00元,作为迪士尼的董事长兼首席执行官，罗伯特·艾格在书中回顾了自己45年的职业生涯，分享了《复仇者联盟》《星球大战》《黑豹》等超级IP的诞生过程，记录了他与乔布斯... ,罗伯特·艾格&乔尔·洛弗尔,人物传记&传记&商业&迪士尼&领导力&个人管理&皮克斯&漫威,文汇出版社
https://book.douban.com/subject/1786387/,https://img9.doubanio.com/view/subject/s/public/s1657785.jpg,影响力, ,8.6,46258人,[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元,政治家运用影响力来赢得选举，商人运用影响力来兜售商品，推销员运用影响力诱惑你乖乖地把金钱捧上。即使你的朋友和家人，不知不觉之间，也会把影响力用到你的身上。但... ,罗伯特·西奥迪尼,心理学&影响力&营销&社会心理&管理&营销心理&心理&商业,中国人民大学出版社
https://book.douban.com/subject/35567300/,https://img1.doubanio.com/view/subject/s/public/s34019848.jpg,沸腾新十年（上）,移动互联网丛林里的勇敢穿越者,8.3,336人,林军、胡喆 / 电子工业出版社 / 2021-9 / 89,中国互联网的发展，呈现出了清晰的时间线。2010年之前，是中国PC互联网崛起和百度、阿里巴巴、腾讯三巨头的发家史；2010年之后，中国移动互联网呼啸而来，业... ,林军&胡喆,互联网&商业&中国互联网史&新经济&历史&科技&中国&纪实,电子工业出版社
https://book.douban.com/subject/3151575/,https://img3.doubanio.com/view/subject/s/public/s3203360.jpg,激荡三十年,中国企业1978-2008（珍藏图文版）,8.6,15486人,吴晓波 / 中信出版社 / 2008-7-1 / 32.00元,尽管任何一段历史都有它不可替代的独特性，可是，1978年—2008年的中国，却是最不可能重复的，在一个拥有近13亿人口的大国里，僵化的计划经济体制日渐瓦解了... ,吴晓波,经济&吴晓波&商业&历史&中国&激荡三十年&企业&国情,中信出版社
https://book.douban.com/subject/35611100/,https://img2.doubanio.com/view/subject/s/public/s34005873.jpg,双重转型,如何重新定位核心业务并实现颠覆性创新,8.3,40人,[美]斯科特·D. 安东尼（Scott D. Anthony）、［美］克拉克·G. 吉尔伯特（Clark G. Gilbert）、［美］马克·W. 约翰逊（Mark W. Johnson） / 慕兰、啸程 / 人民邮电出版社 / 2021-11-1 / 69.8,暂无,斯科特·D. 安东尼&克拉克·G. 吉尔伯特&马克·W. 约翰逊,转型&管理&商业&创新&创业&经济&领导力&思维,人民邮电出版社
