书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,用户标签,出版社
https://book.douban.com/subject/1031526/,https://img2.doubanio.com/view/subject/s/public/s1090891.jpg,一个广告人的自白, ,8.3,8944人,（美）奥格威 / 林桦 / 中国物价出版社 / 2003-7-1 / 29.80,在这本书中，奥格威坦诚地介绍他本人和奥美广告公司的宝贵经验，包括怎样经营广告公司、怎样争取客户、怎样维系客户，怎样当一个好客户，怎样撰写有效的文案、怎样制作... ,广告&一个广告人的自白&营销&奥格威&大卫·奥格威&奥美&自传&专业,中国物价出版社
https://book.douban.com/subject/5421787/,https://img9.doubanio.com/view/subject/s/public/s4578724.jpg,定位,有史以来对美国营销影响最大的观念,8.0,9684人,杰克·特劳特（Jack Trout）、阿尔·里斯（AL Ries） / 谢伟山、苑爱冬 / 机械工业出版社 / 2011-1-1 / 42.00元,暂无,营销&定位&商业&市场分析&传播&amp;创意&amp;营销&管理&广告&市场营销,机械工业出版社
https://book.douban.com/subject/35462648/,https://img9.doubanio.com/view/subject/s/public/s33899976.jpg,奥格威谈广告, ,7.7,140人,[美] 大卫·奥格威 / 高志宏 / 中信出版集团 / 2021-5 / 88.00元,暂无,广告&营销&大卫·奥格威&奥美&经典&樊登读书会&设计&职场,中信出版集团
https://book.douban.com/subject/35345323/,https://img2.doubanio.com/view/subject/s/public/s33858963.jpg,秒赞,文案女王20年创作技巧与心法,7.4,990人,林桂枝 / 中信出版 / 2021-2 / 59.00,好文案就要直击人心，令人秒赞。 奥美前首席文案，被誉为“文案女王”的林桂枝倾力相授，浓缩众多爆款文案背后的创作技巧与心法，详解对于文案和时代的深刻理解和洞察... ,文案&广告&营销&工具书&奥美&商业&写作&2021,中信出版
https://book.douban.com/subject/34804492/,https://img9.doubanio.com/view/subject/s/public/s33465396.jpg,计算广告 第2版,互联网商业变现的市场与技术,8.9,297人,刘鹏、王超 / 人民邮电出版社 / 2019-9 / 89.00,计算广告是一项新兴的研究课题，它涉及大规模搜索和文本分析、信息获取、统计模型、机器学习、分类、优化以及微观经济学等诸多领域的知识。本书从实践出发，系统地介绍... ,广告&互联网&计算广告&计算机&营销&用户增长&运营&推荐,人民邮电出版社
https://book.douban.com/subject/35482191/,https://img3.doubanio.com/view/subject/s/public/s33913810.jpg,以红之名,奥美中国草创,8.3,287人,宋秩铭、董洽、郁海敏 / 中信出版集团 / 2021-6-15 / 108.00元,暂无,奥美&广告&广告创意&营销&奥格威&经济&amp;商业&amp;管理&艺术设计&经管,中信出版集团
https://book.douban.com/subject/5300079/,https://img1.doubanio.com/view/subject/s/public/s4492227.jpg,科学的广告+我的广告生涯, ,8.4,1068人,【美】克劳德•霍普金斯（Claude C. Hopkins） / 邱凯生 / 华文出版社 / 2010-10 / 45.00元,暂无,广告&营销&商业&营销策划&传记&文案&美国&设计,华文出版社
https://book.douban.com/subject/35641576/,https://img9.doubanio.com/view/subject/s/public/s34029396.jpg,销售脑科学,洞悉顾客，快速成交,9.0,26人,[美]克里斯托弗·莫林（Christophe Morin）、[美]帕特里克·任瓦茨（Patrick Renvoise） / 李婷婷、施芒素 / 人民邮电出版社 / 2021-11 / 69.80元,暂无,脑科学&营销&心理学&销售&自我成长&思维&职场&广告,人民邮电出版社
https://book.douban.com/subject/27045943/,https://img1.doubanio.com/view/subject/s/public/s29451968.jpg,品牌的技术与艺术,向广告鬼才葉明桂学洞察力与故事力,8.4,368人,葉明桂 / 时报出版,暂无,广告&品牌&营销&创意&Marketing&台湾&设计,时报出版
https://book.douban.com/subject/25813579/,https://img1.doubanio.com/view/subject/s/public/s27323047.jpg,让创意更有黏性,创意直抵人心的六条路径,8.2,1267人,[美] 奇普·希思、[美] 丹·希思 / 姜奕晖 / 中信出版社 / 2014-1-8 / 49.00元,你或许相信在太空中唯一能看到的人工建筑就是万里长城，可乐能腐蚀人体骨骼，我们的大脑使用了10%；与此同时，你却记不得上周例会上领导的安排，昨天看过的那本书里... ,创意&营销&思维&创新&广告&心理学&设计&商业,中信出版社
https://book.douban.com/subject/3127834/,https://img3.doubanio.com/view/subject/s/public/s3172430.jpg,广告文案训练手册,目前最好的广告文案教程之一,8.5,427人,Bruce Bendinger / 谢千帆 / 中国传媒大学出版社 / 2008-5出版 / 158,《广告文案训练手册》主要内容：简单地说，《广告文案训练手册》至少有两个特点和一个作用。第一个特点，就是把广告文案回归到万物的世间去看待。现实本来就是丰富多异... ,广告文案&广告&文案&创意&营销,中国传媒大学出版社
https://book.douban.com/subject/20473412/,https://img3.doubanio.com/view/subject/s/public/s24575340.jpg,品牌洗脑,世界著名品牌只做不说的营销秘密,7.8,3502人,[美] 马丁·林斯特龙 / 赵萌萌 / 中信出版社 / 2013-1 / 45.00元,全球知名的品牌营销大师马丁·林斯特龙有一天突然对品牌感到厌倦，他决定以一个普通消费者的身份对品牌进行为期一年的“戒毒”——不购买新的品牌商品。但是，在坚持了... ,营销&品牌&心理学&商业&社会学&经济&广告&管理,中信出版社
