书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/3576486/,https://img2.doubanio.com/view/subject/s/public/s6530133.jpg,小狗钱钱,"引导孩子正确认识财富、创造财富的“金钱童话""",9.1,47841人,[德] 博多·舍费尔 / 王钟欣、余茜 / 南海出版公司 / 2009-2-1 / 20.00元,《小狗钱钱》主要内容：吉娅是一个普通的12岁女孩，一次偶然的机会，她救助了一只受伤的小狗，并给它取名叫“钱钱”。没想到，钱钱居然是一位深藏不露的理财高手，它... ,博多·舍费尔,理财&投资理财&教育&投资&经济&儿童文学&财商&要发财，先理财,南海出版公司
https://book.douban.com/subject/1033778/,https://img3.doubanio.com/view/subject/s/public/s1429010.jpg,富爸爸，穷爸爸, ,8.3,69570人,（美）罗伯特・T・清崎、莎伦・L・莱希特 / 杨君、杨明 / 世界图书出版公司 / 2000-09 / 18.80,《富爸爸，穷爸爸》是一个真实的故事，作者罗伯特・清崎的亲生父亲和朋友的父亲对金钱的看法截然不同，这使他对认识金钱产生了兴趣，最终他接受了朋友的父亲的建议，也... ,罗伯特・T・清崎&莎伦・L・莱希特,理财&富爸爸，穷爸爸&投资&财商&经济&财富&思维&管理,世界图书出版公司
https://book.douban.com/subject/5243775/,https://img2.doubanio.com/view/subject/s/public/s6462582.jpg,聪明的投资者, ,8.9,7130人,本杰明·格雷厄姆、Benjamin Graham / 王中华、黄一义 / 人民邮电出版社 / 2010-8 / 88.00元,这是一本投资实务领域的世界级和世纪级的经典著作，自从1949年首次出版以来，本书即成为股市上的《圣经》。本修订版在完整保留格雷厄姆原著1973年第4版的基础... ,本杰明·格雷厄姆&Benjamin Graham,投资&金融&理财&投资理财&格雷厄姆&价值投资&经典投资书籍&经济学,人民邮电出版社
https://book.douban.com/subject/27608239/,https://img2.doubanio.com/view/subject/s/public/s29643861.jpg,原则, ,8.3,29438人,[美] 瑞·达利欧 / 刘波、綦相 / 中信出版社 / 2018-1 / CNY 98.00,瑞·达利欧是全世界顶级投资家、企业家之一，对冲基金公司桥水创始人。桥水创立至今为客户赚取的收益远远超过历史上任何一家对冲基金。达利欧认为桥水的成功源自他所奉... ,瑞·达利欧,个人管理&思维&管理&提升&商业&投资&金融&生活,中信出版社
https://book.douban.com/subject/35188914/,https://img3.doubanio.com/view/subject/s/public/s33716660.jpg,价值,我对投资的思考,7.3,7969人,张磊 / 湛庐文化/浙江教育出版社 / 2020-9-2 / 118元,暂无,张磊,投资&价值投资&张磊&投资理财&价值&证券&VC&湛庐文化,浙江教育出版社
https://book.douban.com/subject/10799082/,https://img9.doubanio.com/view/subject/s/public/s10389195.jpg,投资最重要的事, ,8.7,6007人,[美] 霍华德·马克斯 Howard Marks / 孙 伊 / 中信出版社 / 2012-7 / 58.00元,《投资最重要的事》倾注了霍华德•马克斯一生的经验和研究，阐述了成功投资的秘诀，以及足以摧毁资本或断送职业生涯的错误。马克斯摘录备忘录中的段落阐明自己的思想，... ,霍华德·马克斯 Howard Marks,投资&金融&投资理财&价值投资&投资哲学&理财&霍华德马克斯&经济,中信出版社
https://book.douban.com/subject/34997975/,https://img2.doubanio.com/view/subject/s/public/s33638692.jpg,文明、现代化、价值投资与中国, ,8.2,5055人,李录 / 中信出版集团 / 2020-4 / 128,暂无,李录,投资&价值投资&金融&思维&金融投资&历史&芒格&生活,中信出版集团
https://book.douban.com/subject/5346110/,https://img1.doubanio.com/view/subject/s/public/s4532008.jpg,穷查理宝典,查理·芒格的智慧箴言录,8.8,14888人,[美]彼得·考夫曼 (编) / 李继宏 / 上海人民出版社 / 2010-10-01 / 88.00,《穷查理宝典》收录了查理过去20年来主要的公开演讲。除简单而权威的查理传略外，其后的《芒格的生活、学习和决策方法》以及《芒格主义：查理的即席谈话》整理了芒格... ,彼得·考夫曼,查理·芒格&投资&思维&智慧&金融&价值投资&经济&传记,上海人民出版社
https://book.douban.com/subject/26163553/,https://img9.doubanio.com/view/subject/s/public/s27653114.jpg,投资中最简单的事, ,8.7,8981人,邱国鹭 / 中国人民大学出版社 / 2014-10 / 45.90,暂无,邱国鹭,投资&价值投资&理财&金融&股票&投资理财&金融投资&经济,中国人民大学出版社
https://book.douban.com/subject/35025832/,https://img2.doubanio.com/view/subject/s/public/s33887052.jpg,巴芒演义,可复制的价值投资,9.0,1444人,唐朝 / 中国经济出版社 / 2020-3 / 69.00元,我们学习价值投资的过程中，经常会发现大师们在很多重要问题上有南辕北辙的表述，甚至同一位大师在不同场合、不同时间，可能表达出完全相反的观点，比如是烟蒂还是成长... ,唐朝,投资&价值投资&投资理财&巴菲特&金融&股票&人物传记&历史,中国经济出版社
