书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35295592/,https://img1.doubanio.com/view/subject/s/public/s33789389.jpg,小狗钱钱, ,9.1,4732人,[德]博多·舍费尔 / 文燚 / 中信出版集团 / 2021-2 / 39.80元,暂无,博多·舍费尔,理财&财商&自我成长&个人成长&儿童教育&育儿&亲子&成长,中信出版集团
https://book.douban.com/subject/3576486/,https://img2.doubanio.com/view/subject/s/public/s6530133.jpg,小狗钱钱,"引导孩子正确认识财富、创造财富的“金钱童话""",9.1,47846人,[德] 博多·舍费尔 / 王钟欣、余茜 / 南海出版公司 / 2009-2-1 / 20.00元,《小狗钱钱》主要内容：吉娅是一个普通的12岁女孩，一次偶然的机会，她救助了一只受伤的小狗，并给它取名叫“钱钱”。没想到，钱钱居然是一位深藏不露的理财高手，它... ,博多·舍费尔,理财&投资理财&教育&投资&经济&儿童文学&财商&要发财，先理财,南海出版公司
https://book.douban.com/subject/1033778/,https://img3.doubanio.com/view/subject/s/public/s1429010.jpg,富爸爸，穷爸爸, ,8.3,69586人,（美）罗伯特・T・清崎、莎伦・L・莱希特 / 杨君、杨明 / 世界图书出版公司 / 2000-09 / 18.80,《富爸爸，穷爸爸》是一个真实的故事，作者罗伯特・清崎的亲生父亲和朋友的父亲对金钱的看法截然不同，这使他对认识金钱产生了兴趣，最终他接受了朋友的父亲的建议，也... ,罗伯特・T・清崎&莎伦・L・莱希特,理财&富爸爸，穷爸爸&投资&财商&经济&财富&思维&管理,世界图书出版公司
https://book.douban.com/subject/27094706/,https://img3.doubanio.com/view/subject/s/public/s29500850.jpg,财富自由之路, ,8.6,6123人,李笑来 / 电子工业出版社 / 2017-8 / 79.00,暂无,李笑来,理财&投资理财&个人管理&个人提高&李笑来&思维&方法论&思维方法,电子工业出版社
https://book.douban.com/subject/5243775/,https://img2.doubanio.com/view/subject/s/public/s6462582.jpg,聪明的投资者, ,8.9,7132人,本杰明·格雷厄姆、Benjamin Graham / 王中华、黄一义 / 人民邮电出版社 / 2010-8 / 88.00元,这是一本投资实务领域的世界级和世纪级的经典著作，自从1949年首次出版以来，本书即成为股市上的《圣经》。本修订版在完整保留格雷厄姆原著1973年第4版的基础... ,本杰明·格雷厄姆&Benjamin Graham,投资&金融&理财&投资理财&格雷厄姆&价值投资&经典投资书籍&经济学,人民邮电出版社
https://book.douban.com/subject/27009488/,https://img3.doubanio.com/view/subject/s/public/s29414590.jpg,财务自由之路,7年内赚到你的第一个1000万,7.6,4674人,[德] 博多·舍费尔 / 刘欢 / 现代出版社 / 2017-3 / 45.00元,暂无,博多·舍费尔,理财&财务自由&投资理财&个人成长&投资&财商&经济学&好书，值得一读,现代出版社
https://book.douban.com/subject/27204860/,https://img1.doubanio.com/view/subject/s/public/s29618589.jpg,指数基金投资指南, ,8.2,10097人,银行螺丝钉 / 中信出版社 / 2017-11-1 / 59,暂无,银行螺丝钉,理财&指数基金&投资理财&投资&基金&金融&银行螺丝钉&价值投资,中信出版社
https://book.douban.com/subject/35275855/,https://img9.doubanio.com/view/subject/s/public/s33796274.jpg,小懒财富自由之路：从基金开始, ,9.2,178人,小懒 / 广东人民出版社 / 2020-11 / 39.80元,本书以图文的形式，生动有趣地梳理了基金理财的入门知识，深入浅出地总结出了各种基金理财实用知识，用一只萌萌的小黄鸭形象带着读者走进有趣有料有速度的基金理财世界... ,小懒,基金&理财&投资理财&入门&实用&赚钱&投资&学习,广东人民出版社
https://book.douban.com/subject/6974582/,https://img2.doubanio.com/view/subject/s/public/s8857282.jpg,股票作手回忆录, ,8.7,3612人,杰西·利弗莫尔 / 黄程雅淑，马晓佳 / 中国青年出版社 / 2012-1 / 33.90元,《彼得林奇点评版股票作手回忆录:巴菲特指定股市教科书》充满了利弗莫尔的人生和投资思路。他曾数次大起大落，做多和做空都赚过大钱，一生积攒的经验，后来历代的股神... ,杰西·利弗莫尔,股票&投资&金融&杰西·利弗莫尔&投资理财&投机&传记&回忆录,中国青年出版社
https://book.douban.com/subject/10799082/,https://img9.doubanio.com/view/subject/s/public/s10389195.jpg,投资最重要的事, ,8.7,6007人,[美] 霍华德·马克斯 Howard Marks / 孙 伊 / 中信出版社 / 2012-7 / 58.00元,《投资最重要的事》倾注了霍华德•马克斯一生的经验和研究，阐述了成功投资的秘诀，以及足以摧毁资本或断送职业生涯的错误。马克斯摘录备忘录中的段落阐明自己的思想，... ,霍华德·马克斯 Howard Marks,投资&金融&投资理财&价值投资&投资哲学&理财&霍华德马克斯&经济,中信出版社
