书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35640748/,https://img2.doubanio.com/view/subject/s/public/s34028621.jpg,敏捷营销, ,暂无,少于10人,刘谕谦 / 人民邮电出版社 / 2021-12 / 79.80元,暂无,刘谕谦,营销&销售&自我成长&自我提升&职场&商业&沟通&策划,人民邮电出版社
https://book.douban.com/subject/35368439/,https://img9.doubanio.com/view/subject/s/public/s33835426.jpg,传神文案,文案写对，营销才能做对,8.3,480人,空手 / 机械工业出版社 / 2021-2 / 79,这是第一本从品牌营销视角去定义文案的书。它关注的不是遣词造句，不是写出华丽的文章、斐然的文采，而是如何透过文案来打造品牌、制定营销方案，如何用一句文案真正将... ,空手,文案&营销&广告&品牌&策划&工具书&传播&我想读这本书,机械工业出版社
https://book.douban.com/subject/30191451/,https://img2.doubanio.com/view/subject/s/public/s29736562.jpg,流量池, ,7.5,3922人,杨飞 / 中信出版集团 / 2018-4 / 68.00,暂无,杨飞,营销&互联网&运营&广告&策划&方法论&产品&商业,中信出版集团
https://book.douban.com/subject/25804890/,https://img1.doubanio.com/view/subject/s/public/s28347459.jpg,疯传,让你的产品、思想、行为像病毒一样入侵,7.2,2872人,乔纳·伯杰 (Jonah Berger) / 刘生敏、廖建桥 / 电子工业出版社 / 2014-1-1 / CNY 48.00,《疯传:让你的产品、思想、行为像病毒一样入侵》内容简介：是什么让事物变得流行？从买轿车、买衣服、吃三明治，到给孩子取名字，你是否知道为什么某些产品会大卖，某... ,乔纳·伯杰,营销&互联网&商业&心理学&传播&策划&社会学,电子工业出版社
https://book.douban.com/subject/35280450/,https://img9.doubanio.com/view/subject/s/public/s33774036.jpg,连接,策划人思维的建立,暂无,少于10人,[中]任达 / 东方出版社 / 2020-9-1 / 68.00元,本书提出了商品要与消费者心智建立价值连接的重要思想，以及如何建立连接的方法。并在连接的主题下提出数个全新营销系统模型，帮助读者建立属于自己的营销价值评判系统... ,任达,营销&策划&营销策划&爱,东方出版社
https://book.douban.com/subject/30242424/,https://img3.doubanio.com/view/subject/s/public/s29788310.jpg,你的顾客需要一个好故事, ,7.1,240人,[美]唐纳德.米勒 / 修佳明 / 中国人民大学出版社 / 2018-6-18 / 68,让顾客成为故事的主人公，是那些现象级公司成功的秘诀之一。乔布斯的生活和重大职业生涯转变，发生在他与讲故事高手皮克斯合作之后，苹果在对外活动中开始变得以顾客为... ,唐纳德.米勒,营销&销售&商业&策划&文案&因为喜欢书，所以想看看！&很喜欢！希望有机会拜读！,中国人民大学出版社
https://book.douban.com/subject/1852664/,https://img9.doubanio.com/view/subject/s/public/s2413906.jpg,活动策划完全手册, ,7.2,456人,朱迪•艾伦 (Judy Allen) / 旅游教育出版社 / 2006-6-1 / 28.00元,对于活动策划者来说，活动没有“彩排”，只有“现场直播”!    活动策划者所策划和推出的任何活动——从最初的邀请到现场管理——都是所在公司形象的直接反映。无... ,朱迪•艾伦,活动策划&策划&营销&市场营销&工作&手册&广告,旅游教育出版社
https://book.douban.com/subject/1193831/,https://img1.doubanio.com/view/subject/s/public/s1745288.jpg,创意,广告学教父的巅峰之作，所有生产创意的人的枕边书,8.2,635人,[美] 詹姆斯·韦伯·扬 / 李旭大 / 中国海关出版社 / 2004-10 / 24.00元,并不是每一个人都能将自己的梦想变为现实，产是因为他们不够聪明、不够坚持，而是因为他们没有掌握方法。为什么那些资深创意人总是要比那些创意新人的好想法多一些，难... ,詹姆斯·韦伯·扬,创意&广告&策划&广告学&设计&营销&商业&设计理论,中国海关出版社
https://book.douban.com/subject/1083444/,https://img2.doubanio.com/view/subject/s/public/s1162692.jpg,文案发烧,20座ONE SHOW奖杯得主的广告心得,8.1,1100人,[美] 路克·苏立文 / 徐凤兰 / 中国财政经济出版社 / 2004-8-1 / 39.80元,《文案发烧》这本书是一部绝好的广告创作教科书。路克·苏立文是美国著名广告公司法龙·麦克艾里哥特广告公司的创意人。他创作的广告醒目、鲜活、简洁、突出，具有排山... ,路克·苏立文,文案&广告&创意&策划&设计&实用&专业,中国财政经济出版社
https://book.douban.com/subject/4074678/,https://img2.doubanio.com/view/subject/s/public/s4010392.jpg,新闻公关策划实战, ,7.5,71人,易圣华 / 机械工业出版社 / 2009-10 / 30.00元,暂无,易圣华,公关&PR&策划&市场营销&传播学&新闻&写作&营销,机械工业出版社
