书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35102294/,https://img1.doubanio.com/view/subject/s/public/s33784858.jpg,不拘一格,网飞的自由与责任工作法,8.2,2829人,[美] 里德·哈斯廷斯、[美] 艾琳·迈耶 / 杨占 / 中信出版社 / 2021-1-1 / 69.00,暂无,里德·哈斯廷斯&艾琳·迈耶,管理&商业&创业&新经济&美国&2020&听过1遍,中信出版社
https://book.douban.com/subject/27608239/,https://img2.doubanio.com/view/subject/s/public/s29643861.jpg,原则, ,8.3,29433人,[美] 瑞·达利欧 / 刘波、綦相 / 中信出版社 / 2018-1 / CNY 98.00,瑞·达利欧是全世界顶级投资家、企业家之一，对冲基金公司桥水创始人。桥水创立至今为客户赚取的收益远远超过历史上任何一家对冲基金。达利欧认为桥水的成功源自他所奉... ,瑞·达利欧,个人管理&思维&管理&提升&商业&投资&金融&生活,中信出版社
https://book.douban.com/subject/5325618/,https://img1.doubanio.com/view/subject/s/public/s4510907.jpg,高效能人士的七个习惯,30周年纪念版,8.4,16433人,[美] 史蒂芬·柯维 / 高新勇、王亦兵、葛雪蕾 / 中国青年出版社 / 2018-5-1 / 49.00元,本书精选柯维博士“七个习惯”的最核心思想和方法，为忙碌人士带来超价值的自我提升体验。用最少的时间，参透高效能人士的持续成功之路。 ,史蒂芬·柯维,个人管理&自我管理&自我修炼&成长&思维&管理&方法论&时间管理,中国青年出版社
https://book.douban.com/subject/1322025/,https://img2.doubanio.com/view/subject/s/public/s1441092.jpg,卓有成效的管理者, ,8.7,15923人,[美] 彼得·德鲁克 / 许是祥 / 机械工业出版社 / 2005-6 / 28.00元,暂无,彼得·德鲁克,管理&管理学&德鲁克&卓有成效的管理者&彼得·德鲁克&管理经典&商业&经典,机械工业出版社
https://book.douban.com/subject/35473807/,https://img9.doubanio.com/view/subject/s/public/s33907614.jpg,沟通的方法, ,8.6,1813人,脱不花 / 新星出版社 / 2021-6-11 / 69,暂无,脱不花,沟通技巧&沟通&个人成长&自我成长&自我管理&方法论&解决问题&学习,新星出版社
https://book.douban.com/subject/35623798/,https://img9.doubanio.com/view/subject/s/public/s34015785.jpg,华为数字化转型,企业持续有效增长的新引擎,8.9,38人,周良军、邓斌 / 人民邮电出版社 / 2021-11 / 88.00元,企业的数字化转型，面临诸多的难题，但真正卡转型“脖子”的，不是技术，而是思维和方法。如果能够站上先行者的肩膀上，学习吸收业界优秀实践的势能，那必然会是最稳健... ,周良军&邓斌,华为&管理&数字化&转型&成长&自我管理&自我成长&自我提升,人民邮电出版社
https://book.douban.com/subject/1033778/,https://img3.doubanio.com/view/subject/s/public/s1429010.jpg,富爸爸，穷爸爸, ,8.3,69561人,（美）罗伯特・T・清崎、莎伦・L・莱希特 / 杨君、杨明 / 世界图书出版公司 / 2000-09 / 18.80,《富爸爸，穷爸爸》是一个真实的故事，作者罗伯特・清崎的亲生父亲和朋友的父亲对金钱的看法截然不同，这使他对认识金钱产生了兴趣，最终他接受了朋友的父亲的建议，也... ,罗伯特・T・清崎&莎伦・L・莱希特,理财&富爸爸，穷爸爸&投资&财商&经济&财富&思维&管理,世界图书出版公司
https://book.douban.com/subject/1786387/,https://img9.doubanio.com/view/subject/s/public/s1657785.jpg,影响力, ,8.6,46258人,[美] 罗伯特·西奥迪尼 / 陈叙 / 中国人民大学出版社 / 2006-5 / 45.00元,政治家运用影响力来赢得选举，商人运用影响力来兜售商品，推销员运用影响力诱惑你乖乖地把金钱捧上。即使你的朋友和家人，不知不觉之间，也会把影响力用到你的身上。但... ,罗伯特·西奥迪尼,心理学&影响力&营销&社会心理&管理&营销心理&心理&商业,中国人民大学出版社
https://book.douban.com/subject/35611100/,https://img2.doubanio.com/view/subject/s/public/s34005873.jpg,双重转型,如何重新定位核心业务并实现颠覆性创新,8.3,40人,[美]斯科特·D. 安东尼（Scott D. Anthony）、［美］克拉克·G. 吉尔伯特（Clark G. Gilbert）、［美］马克·W. 约翰逊（Mark W. Johnson） / 慕兰、啸程 / 人民邮电出版社 / 2021-11-1 / 69.8,暂无,斯科特·D. 安东尼&克拉克·G. 吉尔伯特&马克·W. 约翰逊,转型&管理&商业&创新&创业&经济&领导力&思维,人民邮电出版社
https://book.douban.com/subject/35654312/,https://img9.doubanio.com/view/subject/s/public/s34035645.jpg,如何管理10人以下小团队,谷歌核心团队实现10倍速成长的高绩效秘诀,7.3,68人,[波] 彼得•费利克斯•格日瓦奇 / 程雨枫 / 后浪丨广东旅游出版社 / 2021-11-8 / 42.00,暂无,彼得•费利克斯•格日瓦奇,管理&团队&领导力&个人管理&工作&自我提升&情商&后浪,后浪丨广东旅游出版社
https://book.douban.com/subject/35618375/,https://img1.doubanio.com/view/subject/s/public/s34035608.jpg,长期主义,关注短期业绩，更要投资长期增长,8.1,84人,高德威(David Cote) / 崔传刚 / 中信出版社 / 2021-10 / 69.00元,暂无,高德威,管理&投资&商业&领导力&企业管理&经济学&思维&传记,中信出版社
https://book.douban.com/subject/34326931/,https://img9.doubanio.com/view/subject/s/public/s33565235.jpg,掌控习惯,如何养成好习惯并戒除坏习惯,8.6,6667人,[美] 詹姆斯·克利尔 / 迩东晨 / 北京联合出版公司 / 2019-7 / 56.00元,暂无,詹姆斯·克利尔,自我管理&习惯&个人管理&成长&自我修养&心理学&管理&心理,北京联合出版公司
https://book.douban.com/subject/35662577/,https://img9.doubanio.com/view/subject/s/public/s34043465.jpg,价值共生（精装版）,数字化时代的组织管理,8.8,35人,陈春花 / 人民邮电出版社 / 2021-11 / 98.00元,暂无,陈春花,个人成长&企业管理&自我提升&认知&管理&成长&自我成长&企业,人民邮电出版社
