书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35546622/,https://img1.doubanio.com/view/subject/s/public/s33956867.jpg,置身事内,中国政府与经济发展,8.9,7328人,兰小欢 / 上海人民出版社 / 2021-8 / 65.00元,暂无,兰小欢,中国经济&政治经济学&经济学&中国研究&中国&经济&政治&经济金融,上海人民出版社
https://book.douban.com/subject/35593780/,https://img9.doubanio.com/view/subject/s/public/s34008354.jpg,工作、消费主义和新穷人, ,8.3,2496人,[英]齐格蒙特·鲍曼 / 郭楠 / 上海社会科学院出版社 / 2021-9 / 45.00元,在生产者和普遍就业的社会中，贫穷是一回事。在消费者社会中，穷人是另一回事。在后者社会中，生活项目围绕消费者的选择而建立，而不是围绕工作、专业技能而建立。“贫... ,齐格蒙特·鲍曼,社会学&消费主义&经济&贫穷&文化理论&鲍曼&哲学&2021,上海社会科学院出版社
https://book.douban.com/subject/3576486/,https://img2.doubanio.com/view/subject/s/public/s6530133.jpg,小狗钱钱,"引导孩子正确认识财富、创造财富的“金钱童话""",9.1,47839人,[德] 博多·舍费尔 / 王钟欣、余茜 / 南海出版公司 / 2009-2-1 / 20.00元,《小狗钱钱》主要内容：吉娅是一个普通的12岁女孩，一次偶然的机会，她救助了一只受伤的小狗，并给它取名叫“钱钱”。没想到，钱钱居然是一位深藏不露的理财高手，它... ,博多·舍费尔,理财&投资理财&教育&投资&经济&儿童文学&财商&要发财，先理财,南海出版公司
https://book.douban.com/subject/1033778/,https://img3.doubanio.com/view/subject/s/public/s1429010.jpg,富爸爸，穷爸爸, ,8.3,69565人,（美）罗伯特・T・清崎、莎伦・L・莱希特 / 杨君、杨明 / 世界图书出版公司 / 2000-09 / 18.80,《富爸爸，穷爸爸》是一个真实的故事，作者罗伯特・清崎的亲生父亲和朋友的父亲对金钱的看法截然不同，这使他对认识金钱产生了兴趣，最终他接受了朋友的父亲的建议，也... ,罗伯特・T・清崎&莎伦・L・莱希特,理财&富爸爸，穷爸爸&投资&财商&经济&财富&思维&管理,世界图书出版公司
https://book.douban.com/subject/26435630/,https://img1.doubanio.com/view/subject/s/public/s28120578.jpg,经济学原理(第7版),微观经济学分册+宏观经济学分册,9.6,4070人,曼昆 (N.Gregory Mankiw) / 梁小民、梁砾 / 北京大学出版社 / 2015-5-1 / 128,《经济学原理（第7版）：微观经济学分册+宏观经济学分册》是目前国内市场上最受欢迎的引进版经济学教材之一，其最大特点是它的“学生导向”，它更多地强调经济学原理... ,曼昆,经济学&曼昆经济学&经济&经典&教科书&经管&Economics&商业,北京大学出版社
https://book.douban.com/subject/26824237/,https://img1.doubanio.com/view/subject/s/public/s29440008.jpg,大国大城,当代中国的统一、发展与平衡,8.8,9501人,陆铭 / 上海人民出版社 / 2016-7 / 42.00元,暂无,陆铭,社会学&经济学&城市研究&中国&社会科学&城市&经济&城市规划,上海人民出版社
https://book.douban.com/subject/35149551/,https://img9.doubanio.com/view/subject/s/public/s33698885.jpg,分析与思考,黄奇帆的复旦经济课,9.2,2259人,黄奇帆 / 上海人民出版社 / 2020-7 / 98.00元,本书是黄奇帆教授在复旦大学所做的关于中国经济的讲座合集。本书共收录了12次讲座，根据主题分为“宏观调控”“基础货币”“资本市场”“房地产发展”“对外开放”“... ,黄奇帆,黄奇帆&中国经济&经济学&经济&宏观经济&经济金融&中国&管理,上海人民出版社
https://book.douban.com/subject/3151575/,https://img3.doubanio.com/view/subject/s/public/s3203360.jpg,激荡三十年,中国企业1978-2008（珍藏图文版）,8.6,15486人,吴晓波 / 中信出版社 / 2008-7-1 / 32.00元,尽管任何一段历史都有它不可替代的独特性，可是，1978年—2008年的中国，却是最不可能重复的，在一个拥有近13亿人口的大国里，僵化的计划经济体制日渐瓦解了... ,吴晓波,经济&吴晓波&商业&历史&中国&激荡三十年&企业&国情,中信出版社
https://book.douban.com/subject/21966353/,https://img2.doubanio.com/view/subject/s/public/s26693881.jpg,贫穷的本质,我们为什么摆脱不了贫穷,7.5,11365人,阿比吉特•班纳吉 （Abhijit V.Banerjee）、埃斯特•迪弗洛 （Esther Duflo） / 景芳 / 中信出版社 / 2013-4 / 58.00元,《贫穷的本质:我们为什么摆脱不了贫穷》内容简介：他们曾被说成是白人的负担，是弱国劣政的牺牲者。他们是最底层的10亿人，生活在每天0.99美元的贫困线之下。数... ,阿比吉特•班纳吉&埃斯特•迪弗洛,经济学&社会学&贫穷&社会&经济&人类学&经济类&贫穷的本质,中信出版社
https://book.douban.com/subject/26985299/,https://img9.doubanio.com/view/subject/s/public/s29585484.jpg,小岛经济学,鱼、美元和经济的故事,8.1,5048人,[美] 彼得·希夫、[美] 安德鲁·希夫 / 胡晓姣、吕靖纬、陈志超 / 中信出版集团 / 2017-3 / 48,暂无,彼得·希夫&安德鲁·希夫,经济学&入门读物&经济&科普&通俗&好书，值得一读&2017,中信出版集团
