书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/35546622/,https://img1.doubanio.com/view/subject/s/public/s33956867.jpg,置身事内,中国政府与经济发展,8.9,7318人,兰小欢 / 上海人民出版社 / 2021-8 / 65.00元,暂无,兰小欢,中国经济&政治经济学&经济学&中国研究&中国&经济&政治&经济金融,上海人民出版社
https://book.douban.com/subject/26435630/,https://img1.doubanio.com/view/subject/s/public/s28120578.jpg,经济学原理(第7版),微观经济学分册+宏观经济学分册,9.6,4070人,曼昆 (N.Gregory Mankiw) / 梁小民、梁砾 / 北京大学出版社 / 2015-5-1 / 128,《经济学原理（第7版）：微观经济学分册+宏观经济学分册》是目前国内市场上最受欢迎的引进版经济学教材之一，其最大特点是它的“学生导向”，它更多地强调经济学原理... ,曼昆,经济学&曼昆经济学&经济&经典&教科书&经管&Economics&商业,北京大学出版社
https://book.douban.com/subject/26824237/,https://img1.doubanio.com/view/subject/s/public/s29440008.jpg,大国大城,当代中国的统一、发展与平衡,8.8,9500人,陆铭 / 上海人民出版社 / 2016-7 / 42.00元,暂无,陆铭,社会学&经济学&城市研究&中国&社会科学&城市&经济&城市规划,上海人民出版社
https://book.douban.com/subject/30316487/,https://img1.doubanio.com/view/subject/s/public/s29860119.jpg,资本论（全三卷）,马克思诞辰200周年纪念版,9.6,1243人,[德] 卡尔·马克思 / 中共中央马克思恩格斯列宁斯大林著作编译局 / 人民出版社 / 2018-5 / 240.00,2018年5月5日，是卡尔·马克思诞辰200周年。为了纪念这位伟大革命导师，推动新时代下马克思主义经典作家及其重要文献研究、推动马克思主义中国化时代化大众化... ,卡尔·马克思,资本论&马克思主义&马克思&经济学&哲学&社会学,人民出版社
https://book.douban.com/subject/26985299/,https://img9.doubanio.com/view/subject/s/public/s29585484.jpg,小岛经济学,鱼、美元和经济的故事,8.1,5048人,[美] 彼得·希夫、[美] 安德鲁·希夫 / 胡晓姣、吕靖纬、陈志超 / 中信出版集团 / 2017-3 / 48,暂无,彼得·希夫&安德鲁·希夫,经济学&入门读物&经济&科普&通俗&好书，值得一读&2017,中信出版集团
https://book.douban.com/subject/21966353/,https://img2.doubanio.com/view/subject/s/public/s26693881.jpg,贫穷的本质,我们为什么摆脱不了贫穷,7.5,11365人,阿比吉特•班纳吉 （Abhijit V.Banerjee）、埃斯特•迪弗洛 （Esther Duflo） / 景芳 / 中信出版社 / 2013-4 / 58.00元,《贫穷的本质:我们为什么摆脱不了贫穷》内容简介：他们曾被说成是白人的负担，是弱国劣政的牺牲者。他们是最底层的10亿人，生活在每天0.99美元的贫困线之下。数... ,阿比吉特•班纳吉&埃斯特•迪弗洛,经济学&社会学&贫穷&社会&经济&人类学&经济类&贫穷的本质,中信出版社
https://book.douban.com/subject/35149551/,https://img9.doubanio.com/view/subject/s/public/s33698885.jpg,分析与思考,黄奇帆的复旦经济课,9.2,2257人,黄奇帆 / 上海人民出版社 / 2020-7 / 98.00元,本书是黄奇帆教授在复旦大学所做的关于中国经济的讲座合集。本书共收录了12次讲座，根据主题分为“宏观调控”“基础货币”“资本市场”“房地产发展”“对外开放”“... ,黄奇帆,黄奇帆&中国经济&经济学&经济&宏观经济&经济金融&中国&管理,上海人民出版社
https://book.douban.com/subject/10785583/,https://img1.doubanio.com/view/subject/s/public/s10345719.jpg,思考，快与慢, ,8.1,17753人,[美] 丹尼尔·卡尼曼 / 胡晓姣、李爱民、何梦莹 / 中信出版社 / 2012-7 / 69.00元,暂无,丹尼尔·卡尼曼,心理学&思维&心理学、思维、决策&丹尼尔·卡尼曼&经济学&决策&心理&思考,中信出版社
https://book.douban.com/subject/1261560/,https://img3.doubanio.com/view/subject/s/public/s2164670.jpg,国富论, ,9.0,10538人,[英] 亚当·斯密 / 唐日松 等 / 华夏出版社 / 2005-1 / 69.00元,亚当·斯密并不是经济学说的最早开拓者，他最著名的思想中有许多也并非新颖独特，但是他首次提出了全面系统的经济学说，为该领域的发展打下了良好的基础。因此完全可以... ,亚当·斯密,经济学&国富论&亚当・斯密&经济&经典&亚当斯密&学术&英国,华夏出版社
https://book.douban.com/subject/20394150/,https://img3.doubanio.com/view/subject/s/public/s26862050.jpg,八次危机,中国的真实经验,8.9,4248人,温铁军、等 / 东方出版社 / 2013-1-1 / 55.00元,暂无,温铁军&等,温铁军&政治经济学&经济学&中国&中国经济&新角度看中国经济&经济&社会学,东方出版社
