书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,出版社
https://book.douban.com/subject/6974582/,https://img2.doubanio.com/view/subject/s/public/s8857282.jpg,股票作手回忆录, ,8.7,3612人,杰西·利弗莫尔 / 黄程雅淑，马晓佳 / 中国青年出版社 / 2012-1 / 33.90元,《彼得林奇点评版股票作手回忆录:巴菲特指定股市教科书》充满了利弗莫尔的人生和投资思路。他曾数次大起大落，做多和做空都赚过大钱，一生积攒的经验，后来历代的股神... ,杰西·利弗莫尔,中国青年出版社
https://book.douban.com/subject/30482551/,https://img9.doubanio.com/view/subject/s/public/s30019626.jpg,炒股的智慧,在华尔街炒股为生的体验,9.0,658人,陈江挺 / 商务印书馆 / 2019-1 / 26.00,《炒股的智慧》是一本教授炒股技巧的书。作者出生于中国，上海交通大学毕业后赴美留学，取得机械工程硕士学位，又在商学院国际金融专业学习，研究世界各地的金融市场和... ,陈江挺,商务印书馆
https://book.douban.com/subject/5243775/,https://img2.doubanio.com/view/subject/s/public/s6462582.jpg,聪明的投资者, ,8.9,7132人,本杰明·格雷厄姆、Benjamin Graham / 王中华、黄一义 / 人民邮电出版社 / 2010-8 / 88.00元,这是一本投资实务领域的世界级和世纪级的经典著作，自从1949年首次出版以来，本书即成为股市上的《圣经》。本修订版在完整保留格雷厄姆原著1973年第4版的基础... ,本杰明·格雷厄姆&Benjamin Graham,人民邮电出版社
https://book.douban.com/subject/27601129/,https://img1.doubanio.com/view/subject/s/public/s29634599.jpg,股票大作手回忆录, ,8.2,848人,埃德温·勒菲弗 / 王坤 / 中华工商联合出社 / 2017-11 / 49.80,杰克 施瓦格在对当代30位证券交易员的采访时，向他们提出了同样一个问题：哪一本书让证券交易员过目不忘、受益匪浅？《股票大作手回忆录》独占榜单名首。这本书记录... ,埃德温·勒菲弗,中华工商联合出社
https://book.douban.com/subject/26163553/,https://img9.doubanio.com/view/subject/s/public/s27653114.jpg,投资中最简单的事, ,8.7,8986人,邱国鹭 / 中国人民大学出版社 / 2014-10 / 45.90,暂无,邱国鹭,中国人民大学出版社
https://book.douban.com/subject/1087737/,https://img2.doubanio.com/view/subject/s/public/s2414322.jpg,日本蜡烛图技术,古老东方投资术的现代指南,8.9,4581人,（美）史蒂夫.尼森 / 丁圣元 / 地震出版社 / 1998-05-01 / 60.00元,《日本蜡烛图技术:古老东方投资术的现代指南》是对技术分析书面资料的一项激动人心的、价值不菲的充实。它以详实、流畅、精辟易懂的语言，有史以来第一次，将这门古老... ,史蒂夫.尼森,地震出版社
https://book.douban.com/subject/30194663/,https://img9.doubanio.com/view/subject/s/public/s29751634.jpg,股市真规则（畅销版）,站在巴菲特和晨星公司的肩上投资,9.0,810人,[美] 帕特·多尔西 / 中信出版集团 / 2018-4 / 65,暂无,帕特·多尔西,中信出版集团
https://book.douban.com/subject/24325274/,https://img1.doubanio.com/view/subject/s/public/s26682138.jpg,海龟交易法则, ,8.6,2410人,柯蒂斯•费思 / 乔江涛 / 中信出版社 / 2013-5 / 59,在金融界，流传着这样一个著名的故事。1983年，美国期货界的两个挚友——理查德•丹尼斯与威廉•埃克哈特之间就一个问题产生了分歧：伟大的期货交易者究竟是天生的... ,柯蒂斯•费思,中信出版社
https://book.douban.com/subject/26274190/,https://img1.doubanio.com/view/subject/s/public/s27906669.jpg,股票魔法师,纵横天下股市的奥秘,8.7,790人,【美】Mark Minervini（马克.米勒维尼） / 张泂 / 电子工业出版社 / 2015-1 / 59.00元,这是一本相当出色的投资指南！作者是美国最成功的股票交易商，他从30年的职业生涯中总结出来的方法CANSLIM写出来就是这本书！书中阐述了著名的、可以大大提高... ,Mark Minervini,电子工业出版社
https://book.douban.com/subject/35025832/,https://img2.doubanio.com/view/subject/s/public/s33887052.jpg,巴芒演义,可复制的价值投资,9.0,1447人,唐朝 / 中国经济出版社 / 2020-3 / 69.00元,我们学习价值投资的过程中，经常会发现大师们在很多重要问题上有南辕北辙的表述，甚至同一位大师在不同场合、不同时间，可能表达出完全相反的观点，比如是烟蒂还是成长... ,唐朝,中国经济出版社
https://book.douban.com/subject/4827219/,https://img2.doubanio.com/view/subject/s/public/s4409283.jpg,彼得·林奇的成功投资, ,9.1,3125人,[美] 彼得·林奇、[美] 约翰·罗瑟查尔德 / 刘建位、徐晓杰 / 机械工业出版社 / 2010-4-1 / 38.00元,本书系统介绍如何做好股票投资的充分准备，如何从生活和工作中开始寻找你喜爱的上市公司股票，如何分析上市公司的业务、财务、股票等基本面情况以及如何正确认识股价的... ,彼得·林奇&约翰·罗瑟查尔德,机械工业出版社
https://book.douban.com/subject/27175780/,https://img9.doubanio.com/view/subject/s/public/s29584234.jpg,股市趋势技术分析(原书第10版), ,8.6,431人,罗伯特D.爱德华兹、约翰·迈吉、W. H. C.巴塞蒂 / 万娟、郭烨、姚立倩、童伟华 / 机械工业出版社 / 2017-10 / 168,暂无,罗伯特D.爱德华兹&约翰·迈吉&W. H. C.巴塞蒂,机械工业出版社
https://book.douban.com/subject/26286602/,https://img1.doubanio.com/view/subject/s/public/s27968939.jpg,股票大作手操盘术(珍藏版), ,9.2,244人,杰西•利弗莫尔、理查德•斯密特 / 邓力、鞠玮婕 / 人民邮电出版社 / 45.00,暂无,杰西•利弗莫尔&理查德•斯密特,人民邮电出版社
https://book.douban.com/subject/30347305/,https://img3.doubanio.com/view/subject/s/public/s29890570.jpg,专业投机原理（典藏版）, ,9.1,140人,维克托·斯波朗迪 / 机械工业出版社 / 2018-10 / 99,本书自出版以来，已使无数股民获益，无论他们是散户、交易员，还是投机者、投资者。它之所以如此畅销不衰，是因为其内涵丰富，每读一遍都会让读者另有领会：对道氏理论... ,维克托·斯波朗迪,机械工业出版社
https://book.douban.com/subject/25829645/,https://img1.doubanio.com/view/subject/s/public/s27220989.jpg,股市进阶之道,一个散户的自我修养,8.7,2388人,李杰 / 中国铁道出版社 / 2014-3 / 55,暂无,李杰,中国铁道出版社
https://book.douban.com/subject/30416923/,https://img1.doubanio.com/view/subject/s/public/s33654427.jpg,价值投资实战手册, ,8.9,1692人,唐朝 / 中国经济出版社 / 2019-1 / 59.80,暂无,唐朝,中国经济出版社
https://book.douban.com/subject/34948750/,https://img9.doubanio.com/view/subject/s/public/s33562205.jpg,日本蜡烛图技术（第2版）,古老东方投资术的现代指南,8.8,325人,[美] 史蒂夫·尼森 / 丁圣元 / 湖南文艺出版社 / 2020-3-1 / 98.00元,“K线之父”“蜡烛图泰斗”史蒂夫·尼森畅销近30年的金融投资技术分析经典，让大众熟知蜡烛图技术的开山之作。作者结合近年全球市场变化进行了全新修订，原书第2版... ,史蒂夫·尼森,湖南文艺出版社
https://book.douban.com/subject/26290085/,https://img2.doubanio.com/view/subject/s/public/s29175222.jpg,手把手教你读财报,财报是用来排除企业的,8.7,4120人,唐朝 / 中国经济出版社 / 2015-1-1 / 49.00元,本书是一位久经沙场的老股民，在经历了无数次惨烈的投资战役之后，总结过往得失，呕心沥血而作。因为不是会计专业出身，所以没有晦涩的术语、难懂的公式。因为有多年的... ,唐朝,中国经济出版社
https://book.douban.com/subject/25779081/,https://img1.doubanio.com/view/subject/s/public/s27157469.jpg,教你炒股票, ,8.7,380人,缠中说禅 / 科学技术文献出版社 / 2013-10 / 86.00元,缠教你炒股票》为缠中说禅原著，其所阐述的缠论为最权威、最准确的。书中未添加任何他人见解，所谓“千人千缠”的说法是不准确的。就如很多人在解析江恩理论时添加了个... ,缠中说禅,科学技术文献出版社
https://book.douban.com/subject/27088810/,https://img2.doubanio.com/view/subject/s/public/s29494953.jpg,资本回报·穿越资本周期的投资,一个资产管理人的报告,8.7,585人,（英）爱德华.钱塞勒 / 陆猛 / 中国金融出版社 / 2017-5-1 / CNY 58.00,本书是对资本周期投资方法理论及其实际运用的一个全面介绍。本书由爱德华-钱塞勒编辑并撰写导言，包括60篇由马拉松公司基金经理在2002到2015年期间写的很好... ,爱德华.钱塞勒,中国金融出版社
https://book.douban.com/subject/3272812/,https://img2.doubanio.com/view/subject/s/public/s3331013.jpg,智慧型股票投资人, ,9.5,61人,班杰明·葛拉漢 (Benjamin Graham) / 俞濟群 / 寰宇出版 / 1996-12 / 500元,《智慧型股票投資人》一直被投資界譽為有史以來為股票投資人所撰寫的經典之作，在這本經典中，作者Benjamin Graham提出了穩健而安全的投資原則，長久以... ,班杰明·葛拉漢,寰宇出版
https://book.douban.com/subject/1089991/,https://img1.doubanio.com/view/subject/s/public/s2141099.jpg,期货市场技术分析, ,9.1,2629人,[美]约翰.墨菲 / 丁圣元 / 地震出版社 / 1994-5-1 / 80.00元,《期货市场技术分析(期&lt;现&gt;货市场股票市场外汇市场利率&lt;债券&gt;市场之道)》是讲商品期货技术分析的，主要内容有技术分析的理论基础、道氏理论、图表简介、趋势的基... ,约翰.墨菲,地震出版社
https://book.douban.com/subject/35000951/,https://img9.doubanio.com/view/subject/s/public/s33834814.jpg,投资中最简单的事（更新版）, ,8.7,896人,邱国鹭 / 中国经济出版社 / 2020-3 / 62.90元,暂无,邱国鹭,中国经济出版社
https://book.douban.com/subject/10593804/,https://img2.doubanio.com/view/subject/s/public/s9085042.jpg,十年一梦,一个操盘手的自白,8.3,1463人,青泽 / 凤凰出版社 / 2012-4 / 48.00元,《十年一梦:一个操盘手的自白(修订版)》内容简介：惊心动魄的“327国债”、悔恨万分的“苏州红小豆”、惨烈异常的“海南橡胶”、诡异的“天津红小豆”……在《十... ,青泽,凤凰出版社
https://book.douban.com/subject/24092345/,https://img3.doubanio.com/view/subject/s/public/s26590200.jpg,证券分析,第6版（平装上、下）,9.0,1600人,[美] 本杰明•格雷厄姆（Benjamin Graham）、[美] 戴维•多德（David L. Dodd） / 巴曙松、陈剑 / 中国人民大学出版社 / 2013-4 / 129.90元,	《证券分析》被誉为投资者的圣经，自1934年出版以来，八十年畅销不衰。市场反复证明，《证券分析》是价值投资的经典之作。《证券分析》第6版是1940年版本... ,本杰明•格雷厄姆&戴维•多德,中国人民大学出版社
https://book.douban.com/subject/1958714/,https://img2.doubanio.com/view/subject/s/public/s1989131.jpg,彼得·林奇的成功投资, ,8.7,6739人,[美] 彼得·林奇、约翰·罗瑟查尔德 / 刘建位、徐晓杰 / 机械工业出版社 / 2007-1 / 38.00元,作者用浅显生动的语言娓娓道出了股票投资的诸多技巧，向广大的中小投资者提供了简单易学的投资分析方法，这些方法是作者多年的经验总结，具有很强的实践性，对于业余投... ,彼得·林奇&约翰·罗瑟查尔德,机械工业出版社
https://book.douban.com/subject/30313572/,https://img2.doubanio.com/view/subject/s/public/s29857101.jpg,投资者的未来（典藏版）, ,9.2,275人,[美]杰里米 J.西格尔 / 机械工业出版社 / 2018-9 / 80,本书视角独特、结论有力，值得我国广大投资者阅读参考。常规投资指南一般会从投资学的基本原理出发，利用定价理论告诉投资者如何投资，而本书则不然，作者摒弃了比较流... ,杰里米 J.西格尔,机械工业出版社
